,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Range,Style,Warranty,Hazardous,Depth (mm),Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Material,Number of Tap Holes,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Attachment 6,Feature 10,Feature 11
20,PC43195,"Deva LEVER single lever bridge sink mixer 3"" Chrome Plated",Deva,141.12,"This Deva LEVER bridge sink mixer with adjustable centres is made of brass with a chrome finish. Suitable for all plumbing systems, this deck-mounted mixer includes a tactile lever handle for inclusive flow and temperature control.","Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Deva LEVER single lever bridge sink mixer 3"" Chrome Plated",,Bridge sink mixer;Tap fittings;Tap hot ;cold water connections,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/95/NW-C43195_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Deva_Shower-Tap_Guide_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_DLT305B_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PC42470,Bristan Renaissance bridge sink mixer tap Chrome,Bristan,338.1,"With porcelain details and elegant touches, this Bristan Renaissance bridge sink mixer has a period feel inspired by classical Italian design. Ideal for balanced systems but compatible with all water supplies, this deck-mounted tap is made of hardwearing brass with a chrome surface finish.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Bristan Renaissance bridge sink mixer tap Chrome,,Bridge sink mixer;Metal backnuts,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/70/NW-C42470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_Renaissance_DSM_C_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C42470_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/C42470_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PP76412,Bristan echo easyfit mono sink mixer Gun Metal pack,Bristan,99.0,"A modern choice for a contemporary kitchen, the Bristan Echo EasyFit sink mixer tap is finished in a statement gunmetal. Suitable for deck mounting, this twin lever-operated tap offers ease of installation using the secure, fast EasyFit system, with all tools and parts required for straightforward top-down installation included along with the main tap unit.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Bristan echo easyfit mono sink mixer Gun Metal pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/81/D80381_wm.jpg,,,,,,GunMetal,39.7 l/min @ 5 bar,0.4,65,190,,Contemporary,10 Years,N,230,Suitable for all pressure,No,No,Yes,N/A,Deck Mounted,Lever Handle,Brass,1,P76412 PK,Twin Lever Mono Sink Mixers,N,Brass construction,Gunmetal finish,Unique patented top fix design for simple installation,Locks into place with supplied Allen key,With 2x isolation valves and flexi tails,Connect to water supply and isolate base,Tap pushes onto base to secure,Easyfit tool and screws provided,Swivel spout for easy useWith long life quarter-turn ceramic disc valves for durablity and ease of use,,High quality metal fixings for security and durability,10 year warranty
23,PD88211,Bristan Value bridge deck sink mixer Chrome,Bristan,280.99,"Ideal for budget kitchen refits, the Bristan Value bridge deck mixer has a classic design and robust brass build. Operated with 3"" lever handles and using ceramic disc technology for smooth turning and drip-free use, this smart tap has a 210mm spout projection and high shine chrome finish.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Bristan Value bridge deck sink mixer Chrome,,Bridge sink mixer;3inch (76mm) metal lever handles,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/11/NW-D88211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D88211_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D88211_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D88211_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PD77200,Bristan Blueberry Easyfit Kitchen Sink Mixer Tap Chrome,Bristan,132.37,"Combining angles and curves for a modern look, the Bristan Blueberry monobloc sink mixer is made of tough brass and finished in chrome. Suitable for use in all plumbing systems, this deck-mounted tap is simple to install and includes a large, tactile handle for ease of use.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Bristan Blueberry Easyfit Kitchen Sink Mixer Tap Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/00/NW-D77200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_EFSNK_C_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D77200_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D77200_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PD77204,Bristan Pistachio Easyfit Kitchen Sink Mixer Tap Chrome,Bristan,175.27,"Smartly rounded with an understated peg handle, the Bristan Pistachio monobloc sink mixer is made of tough brass and bright chrome. Compatible with all plumbing systems, this mixer is designed for deck mounting.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Bristan Pistachio Easyfit Kitchen Sink Mixer Tap Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/04/NW-D77204_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Bristan_Pistachio_Sinkmixer_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_Pistachio_C_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D77204_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PD88210,VALUE LEVERBRIDGE DECK SINK MXR CH+6INLEV,Bristan,328.13,"Ideal for budget kitchen refits, the Bristan Value bridge deck mixer has a classic design and robust brass build. Operated with 6"" lever handles and using ceramic disc technology for smooth turning and drip-free use, this smart tap has a 210mm spout projection and high shine chrome finish.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> VALUE LEVERBRIDGE DECK SINK MXR CH+6INLEV,,Bridge sink mixer;6inch (152mm) metal lever handles,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/10/NW-D88210_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D88210_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D88210_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D88210_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PC63046,Bristan Design utility lever deck sink mixer tap Chrome,Bristan,165.88,"A classic choice for any kitchen, the Bristan Design utility sink mixer is made of tough brass with a clean chrome-plated finish. Lever-operated, this deck-mounted sink tap incorporates long life ceramic disc valves for smooth turning. The Bristan Design is compatible with all plumbing systems.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Bristan Design utility lever deck sink mixer tap Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/46/NW-C63046_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/C63046_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C63046_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/C63046_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PD88214,Bristan Value deck sink mixer Chrome,Bristan,115.12,"A classic design, this Bristan Value bridge deck mixer is ideal for budget renovations. Easy to use thanks to ceramic disc valves, this tap has lever handles and a 210mm spout projection. Value taps are made of long-lasting brass and have a chrome finish to suit any interior.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Bristan Value deck sink mixer Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/14/NW-D88214_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D88214_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D88214_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D88214_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PQ02013,Hansgrohe Logis M31 2 handle kitchen mixer Chrome,Hansgrohe,205.45,"Swivelling for convenient use while working in the kitchen, this Hansgrohe Logis M31 two-handle kitchen mixer is built using ceramic cartridge technology for ease of use. This smart tap with 145mm spout is made of brass with an attractive chrome-plated finish.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Hansgrohe Logis M31 2 handle kitchen mixer Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/13/NW-Q02013_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_Service_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_Logis_71285-0_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Q02013_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PE11968,Vado Astra mono basin mixer with ceramic disk valve and pop up waste,Vado,105.0,"Deck-mounted, the Vado Mono basin mixer is a smart, high-quality design that will suit most bathrooms. This tap is supplied with a pop-up waste for ease of all-in-one installation and incorporates a ceramic disc valve for long-lasting smooth operation.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Vado Astra mono basin mixer with ceramic disk valve and pop up waste,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/68/E11968_wm.jpg,,,,,,Chrome,5 L/min,0.2 LP,Manual,148,Astra,Basin Mixer,10 Year,N,95,Low,No,No,Yes,Mixer,Deck Mounted,2 handle,Chrome,1,AX-AST100/CDFR5CP,Basin Mixer,N,Minimum operating pressure of 0.2 bar,With 3LPM flow rate,Chrome finish,With waste,10 year warranty,,,,,,,
31,PQ40185,Hansgrohe Logis M31 kitchen mixer,Hansgrohe,214.24,"Swivelling for convenient use while working in the kitchen, this Hansgrohe Logis M31 single lever kitchen mixer is built using ceramic cartridge technology for ease of use. This smart tap with 220mm spout is made of brass with an attractive chrome-plated finish.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Hansgrohe Logis M31 kitchen mixer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/85/NW-Q40185_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_Service_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hansgrohe_Logis_71285-0_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Q40185_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PD88217,Bristan Value pillar bridge sink mixer Chrome,Bristan,251.99,"An ideal selection for kitchen improvements on a budget, the simply designed Bristan Value pillar bridge sink mixer is manufactured in tough brass with a simple, high shine chrome finish. Operated using 3"" metal lever handles with ceramic disc valves for smoother operation, this deck-mounted mixer tap offers a 210mm spout projection.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Bristan Value pillar bridge sink mixer Chrome,,Pillar bridge sink mixer;3inch (76mm) metal lever handles,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/17/NW-D88217_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D88217_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D88217_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D88217_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PC43200,"Deva LEVER wall mounted lever bridge sink mixer tap 6""",Deva,169.74,"This Deva LEVER bridge sink mixer is made of brass with a chrome finish. Suitable for all plumbing systems, this deck-mounted mixer includes a tactile lever handle for inclusive flow and temperature control.","Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> Deva LEVER wall mounted lever bridge sink mixer tap 6""",,Sink mixer;Basin waste,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/00/NW-C43200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_DLV305WM_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Deva_Shower-Tap_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PC43194,DEVA SGL LEVER DECK MNTD SINK MIXER CP,Deva,57.74,"This Deva LEVER sink mixer with swivel spout is made of brass with a chrome finish. Suitable for all plumbing systems, this deck-mounted mixer includes a tactile lever handle for inclusive flow and temperature control.",Bathrooms and Kitchens/Kitchen/Kitchen Mixer Taps/Kitchen Mixer Taps.csv -> DEVA SGL LEVER DECK MNTD SINK MIXER CP,,Sink mixer;Tap fittings;Tap hot ;cold water connections,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/94/NW-C43194_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Deva_DLT105_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Deva_Shower-Tap_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
