,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Hazardous,Model For Use With,Boiler Section,Boiler Range,Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Feature 1,Range For Use With,Feature 2,Range,Max Set Pressure,Maximum Operating Temperature,Colour,Weight,Dimensions mm (H x W x D),Application,Attachment 3,Size
29,P123537,Ideal 90deg high-level flue elbow,Ideal,43.35,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal 90deg high-level flue elbow,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/37/123537_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
30,P123342,Ideal stand off kit (for Vogue combi),Ideal,143.32,"This Ideal stand-off kit provides additional flexibility when installing a boiler, creating space to run pipework from above behind the unit for a neater finish.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal stand off kit (for Vogue combi),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/42/123342_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Boiler_Domestic_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
31,P124870,Ideal soffit kit,Ideal,30.47,A genuine Ideal soffit kit.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal soffit kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/70/124870_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/48/70/124870.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Boilers_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
32,P123911,Ideal FF flat weather collar,Ideal,45.01,An official Ideal 100mm diameter flat roof weather collar.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal FF flat weather collar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/11/123911_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Logic_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/39/11/123911.pdf,,,,,,,,,,,,,,,,,,,,,
33,P333682,Ideal telescopic flue kit (Pack-B),Ideal,98.0,At Ideal. we undertake to ensure that all functional parts are available for our products for a minimum of 10 years after cease of production. It’s not uncommon for us to continue to supply parts for considerably longer than this. Our philosophy is simple. We’ll only withdraw a spare when we cannot get it / make it. or when the cost of the part is so much that it’s more sensible to replace the boiler.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal telescopic flue kit (Pack-B),,Telescopic flue terminal;Flue turret;Rubber terminal wall seal;Screws;Sealing tape;Wall seal (white),https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/36/82/333682_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
34,P125413,Ideal horizontal flue terminal high rise 600mm,Ideal,108.13,This flue is one of numerous flueing options designed to make fitting of an Ideal boiler more flexible. The flue is designed to expel steam and gases produced during a boiler's normal operation.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal horizontal flue terminal high rise 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/13/125413_wm.jpg,,,N,"C24, C30, C35",Flue,Logic+,n/a,,223629,Flue Terminal,N,"Compatible with Ideal models including Logic Combi C, ESP1 and Logic+ Combi C","Logic ESP1, Logic+ Combi C",,,,,,,,,,
35,P123341,Ideal stand off kit without piping (for Vogue),Ideal,41.37,"This Ideal stand-off kit provides additional flexibility when installing a boiler, creating space to run pipework from above behind the unit for a neater finish.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal stand off kit without piping (for Vogue),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/41/123341_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/33/41/123341.pdf,,,,,,,,,,,,,,,,,,,,,
36,P123326,Ideal high level flue kit (for Heat) 55/80mm,Ideal,111.0,"Today, Ideal remains at the forefront of the domestic and commercial heating markets, leading the industry in setting new standards and challenging technological boundaries.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal high level flue kit (for Heat) 55/80mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/26/123325_123326_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,
37,P102732,Ideal Spares flue extension bracket 125mm,Ideal,15.0,"This Ideal brand wall bracket is designed to be located at the top of the boiler, remaining visible from the front to make installation easier.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Spares flue extension bracket 125mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/27/32/NW-102732_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Instinct-Heat_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
38,P412994,Ideal flue turret threaded cap,Ideal,13.51,"This genuine Ideal threaded cap is intended for use in the flue of Exclusive, iCombi, I-mini, Independent, Logic, Logic+, Procombi, Vogue, Classic, Instinct, Morco, Esprit, Atlantic, Keston Combi and Keston System boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal flue turret threaded cap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/94/412994_wm.jpg,,,N,"Exclusive 2 35, i24, I-mini 24, C24, System S 18, System S 30, 30, C 24, Code Combi ESP1 26, E 24, Heat 18, Max Combi C 35, System 18, System 30, System S 24, + System 18, + System S 15, Exclusive 24, C26 Gen 2, Combi 2 35, i2 24, I-mini C 24, + Combi 24",Flue,"Exclusive, iCombi, I-mini, Independent, Logic, Logic+, Procombi, Vogue, Classic, Instinct, Morco, Esprit, Atlantic, Keston Combi, Keston System",n/a,"System S 24,Combi 30,E 35,24,Code Combi ESP1 33,i35,Heat 30,System 24,Code Combi 33,Code Combi ES 38,ESP 35,Code Combi ES 33,ESP1 24,30,ESP1 30,C30,35,C35,System 15,Combi 24,ESP 30,Exclusive 24,Heat,Exclusive 30,Heat 24,Code Combi ES 26,ES 30,ESP1 35",176940,Threaded Cap,N,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,
39,P123538,Ideal 45deg high-level flue elbow (Pack of 2),Ideal,49.11,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal 45deg high-level flue elbow (Pack of 2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/38/123538_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,
40,P120693,Ideal concentric flue screw retaining kit,Ideal,2.03,An Ideal screw retaining kit for the fitting of Logic Code Combi boilers.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal concentric flue screw retaining kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/93/120693_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/si/ng/Ideal_Boilers_Guide_Social_Housing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic+_Flue-Accessories_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
41,P123308,Ideal flue deflector kit 60mm,Ideal,39.66,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal flue deflector kit 60mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/08/123308_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
42,P123501,Ideal horizontal flue terminal 600mm,Ideal,90.14,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal horizontal flue terminal 600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/01/123501_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
43,P468533,Ideal flue sensing nipple kit,Ideal,40.01,"This Ideal flue sensing nipple kit is compatible with boilers in the Classic, Esprit, iCombi, Independent, Instinct, Logic, Logic+, Exclusive, Morco, Atlantic, Procombi, Keston C and I-mini ranges.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal flue sensing nipple kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/33/468533_wm.jpg,,,N,"Combi 2 24, Combi 2 35, Eco 24, i2 24, i35, 0, System 15, 2 24, 30, C 24, E 24, E 35, System 15, System S 15, System S 30, 30, + C 35, + Heat 30, + Heat H 12, + Heat H 24, + System 18, Exclusive 2 24, i30, 0, System 18, ES 24, ES 30, ESP 30, Heat H 24, +",Flue,CombiExclusiveSystemHeat,H78173,"E 35,24,Combi 30,E 30,Eco 30,i35,Heat 30,Max Heat H 24,System 24,Heat 15,System 18 IE,ESP 35,ESP1 24,30,ESP1 30,C 24,C30,E 24,35,C35,i24,System 15,Max Heat H 18,System 30,System 15 IE,Heat 24,Exclusive 30,Eco 24,ESP1 35,+ System",175640,Nipple Kit,N,Complete nipple kit,,"For use in Combi, Exclusive, System and Heat units",,,,,,,,,
44,P439270,Ideal Spares thermostat kit,Ideal,196.9,"This Ideal thermostat kit is designed for Bosch SGS45E02GB/45, SGS45E02GB/52 and SGS45E02GB/56. The thermostat allows the user to change or set the temperature of a boiler. As well as wired thermostats, Wi-Fi enabled and wireless versions can also be used with selected boilers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Spares thermostat kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/70/NW-439270_wm.jpg,,,N,,,,E73447,"CXC 70,CXAP 100,CXA 90,CXD 140,CXA 50,CXi 550,CXC 94,CXA 70,CXC 116,CXA 50/H,CXAP 60,CXAP 40/H,CXA 70/H,CXAP 40,CXA 120/H,CXi 180,CXD 170,CXi 120,CXi 480,CXD 275,CXA 80,CXAP 90/H,CXD,CXA 40/H,CXAP 70,CXAP 50,CXAP 90,CXD 100,CXC 66,CXC 88,CXA 40,CXA 110/H",156016,Thermostat Kit,N,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,Spares,,,,,26.8L X 16.8W X 6.2H,Commercial,,
45,P111355,"Ideal insulation starter kit, standard height DN80/100",Ideal,233.0,"Made of expanded polypropylene, this Ideal 80/100mm insulation system for Evomax boilers consists of modular insulation sections, which are combined to cover a range of headers. Sections are secured together by coupling corresponding interlock features.","Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal insulation starter kit, standard height DN80/100",,Standard Height Insulation Continuation Kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/56/578056_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax2-Frame-Kit_Install.pdf,,,,,,,,,,,,,,,,,,,,,,
46,P412993,Ideal flue turret with sample point,Ideal,51.09,"This Ideal flue turret is suitable for installation with Logic, Logic Heat, Logic System, Pro Combi Exclusive, Code Combi, Independent+, Independent, Independent System, Logic+ System, Logic+, Logic+ Heat, Logic Code Combi, iCombi, i mini, Independent +Combi, Independent Combi, Classic Combi, Vogue and Vogue Max System boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal flue turret with sample point,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/93/NW-412993_wm.jpg,,,N,Logic 24Logic 30Logic 35Logic Heat 12Logic Heat 15Logic Heat 18Logic Heat 24Logic Heat 30Logic System 15Logic System 18Logic System 24Logic System 30Pro Combi Exclusive 24Pro Combi Exclusive 30Pro Combi Exclusive 35PROMCombi Exclusive 30Code Combi 26Code,Flue,LogicLogic HeatLogic SystemPro Combi ExclusiveCode CombiIndependent+IndependentIndependent SystemLogic+ SystemLogic+Logic+ HeatLogic Code CombiICombii miniIndependent +CombiIndependent CombiClassic CombiVogueVogue Max System,n/a,,176938,Turret,N,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,
47,P730731,Ideal flue turret air stopper,Ideal,11.74,"An official Ideal spare part, this air stopper is for use in a flue turret and offers compatibility with Logic, Logic Heat, Logic System, Pro Combi Exclusive, Code Combi, Independent+, Independent, Independent System, Logic+ System, Logic+, Logic+ Heat, Logic Code Combi, ICombi, i mini, Independent +Combi, Independent Combi, Classic Combi, Vogue and Vogue Max System boilers.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal flue turret air stopper,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/31/NW-730731_wm.jpg,,,N,Logic 24Logic 30Logic 35Logic Heat 12Logic Heat 15Logic Heat 18Logic Heat 24Logic Heat 30Logic System 15Logic System 18Logic System 24Logic System 30Pro Combi Exclusive 24Pro Combi Exclusive 30Pro Combi Exclusive 35PROMCombi Exclusive 30Code Combi 26Code,Flue,LogicLogic HeatLogic SystemPro Combi ExclusiveCode CombiIndependent+IndependentIndependent SystemLogic+ SystemLogic+Logic+ HeatLogic Code CombiICombii miniIndependent +CombiIndependent CombiClassic CombiVogueVogue Max System,n/a,,176941,Air Stopper,N,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,
48,P106457,Ideal High-Rise horizontal flue pack high rise 0.8mtr,Ideal,141.61,This Ideal 0.8M high rise flue pack provides flexibility and safety when installing a Logic boiler in a high rise building.,Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal High-Rise horizontal flue pack high rise 0.8mtr,,Flue Pack,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/57/106457_wm.jpg,,,N,,Flue,Logic+,n/a,,224701,Flue Pack,N,For use with Logic boilers,,For horizontal installations,High-Rise,,,,,,,,
49,P123508,Ideal vertical flue connector,Ideal,44.23,"It may be tempting to opt for a low cost spare part, but do consider the impact that this may have. Counterfeit parts are typically substandard, manufactured from poor quality materials thus impacting on the design and strength of the product. In the event of a system failure or - in a worst case scenario, an accident - the ultimate responsibility lies with the service and repair engineer rather than the product which was ill-chosen for the application. It is always reccommended you go for an official part, such as this one.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal vertical flue connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/08/123508_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
50,P122238,Ideal Logic ESP1 35 combi natural gas LPG conversion kit,Ideal,62.13,"Easy and quick to install with no need to make boiler adjustments, this Ideal conversion kit contains everything you need to convert a Logic combi boiler from natural gas to LPG operation. Suitable for boilers in propeties of almost any size, this kit is supplied with complete instructions as well as data plate labels.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal Logic ESP1 35 combi natural gas LPG conversion kit,,Gas valve (preset operation);Burner injector;Data plate labels;Instructions;Washer;O-ring,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/38/122238_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Boiler_2_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,
51,P124878,Ideal standoff kit (for System),Ideal,82.77,"This Ideal stand-off kit provides additional flexibility when installing a boiler, allowing for the downward routing of system flow and return pipework behind the unit for a neater finish.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal standoff kit (for System),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/78/124878_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/48/78/124878.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Logic+_Flue-Accessories_Guide.pdf,,,,,,,,,,,,,,,,,,,,,
52,P800088,Ideal B-flue pack mini,Ideal,151.61,"This B-Flue pack is a genuine Ideal part compatible with Mini and Europa units.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal B-flue pack mini,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/88/800088_wm.jpg,,,N,"C 24, S 24, 228, 224, C 28, S 28, 232, C 32",Flue,"Mini, Europa",726231,"232,C 24,C 32,224,S 28,228,S 24,C 28",176668,B-Flue Pack,N,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,
53,P498802,Ideal flue sensing nipple kit,Ideal,12.39,"This Ideal flue sensing nipple kit is compatible with boilers in the Henrad, Icos, Isar, Istor, Minimiser, Elise, Esprit 2, Evo, Response, Classic, Systemiser and Mexico ranges.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal flue sensing nipple kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/02/498802_wm.jpg,,,N,"SEC 80 FF, HE 30, HE 36, M 3080, HE 35 + Programmer, M 30/100, HE 325, SE 60, H 24, HE 24, C22/30, SE 40 FF, SE 80 FF, HE 15, HE 24, System HE 15, SE 30, SE 40, 100, M5080, C22/24, H 19, H 22, SE 60 FF, HE 24, HE 24 + Programmer, SE, SE 50 FF, SE 70 FF,",Flue,Programmer,E67483,"C22/35,HE 24 + Programmer,C22/30,SE 40 FF,SE 80 FF,M3050,SE,HE 24,System HE 15,H 12,SE 50,SE 30,H 16,H 15,H 19,SE 60 FF,HE 30 + Programmer,C22/24,FF 80,120,HE 15,100,HE 35,M5080,HE 30,SE 80,80,H 22,CC 120FF,H 24,SE 40,HE 18",170901,Nipple Kit,N,Complete nipple kit,,For use in a wide range of programmers,,,,,,,,,
54,P123780,Ideal high-level flue outlet kit,Ideal,171.51,"Today, Ideal remains at the forefront of the domestic and commercial heating markets, leading the industry in setting new standards and challenging technological boundaries.",Boilers/sub_categories/Domestic Boiler Flues & Accessories/sub_categories/Ideal Flues/Ideal Flues.csv -> Ideal high-level flue outlet kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/80/123780_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_Domestic Gas Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ideal_20HE_Domestic_Boilers_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
