,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Amps,Colour,Connection Type,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Position,Pressure,Pump Type,Range,Voltage (V),Warranty,Watts,Phase,Hazardous,Positive / Neutral / Universal,Twin / Single,Material,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Output,Feature 11,Feature 12,Feature 13,Feature 14
20,PC88061,Salamander CT twin head bathroom pump 2.6bar,Salamander,281.64,"A quiet and efficient solution to low water pressure, the 2.6 bar Salamander CT Force twin impeller bathroom pump boosts hot and cold supplies to showers, baths and toilets in a positive head gravity fed installation. Providing more powerful showers, faster-filling toilets and stronger mixer tap flow, the robust, effective CT Force incorporates Crossover technology for individual hot and cold outlet operation.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT twin head bathroom pump 2.6bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/61/NW-C88061_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_CT_BathroomPump_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PD52375,Stuart Turner Monsoon standard twin shower pump 4.0bar,Stuart Turner,707.32,"Designed for vented systems, the 4 bar Stuart Turner Monsoon standard twin pump can boost both hot and cold water supplies to an entire house, an individual bathroom or just the shower. Requiring a flow of just 0.6LPM through the outlet to start the pump, the Monsoon is suitable for positive head applications.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Stuart Turner Monsoon standard twin shower pump 4.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/75/NW-D52373_D52375_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Std_TwinPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Std_TwinPump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_Standard_Pump_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/STurner_Monsoon_StdTwinPump_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PD12065,Grundfos STR2 twin impeller universal regen shower pump,Grundfos,879.0,"The innovative, tough Grundfos STR2 regenerative shower pump with universal head and two impellers combines impressive performance levels with a durable build at an affordable price. Continuously rated as a regenerative pump, the STR2 overcomes the issue of air pockets and is ideal anywhere a plumbing route includes multiple bends and elbows. Boosting either hot or cold water to single showers or a simple bathroom suite where outlets are below the cold-water tank, this high-performance composite shower pump includes a low-speed induction motor for minimal turbulence in the pump head, quieter operation and a longer life.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Grundfos STR2 twin impeller universal regen shower pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/66/NW-D12065_D12066_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR2_STN_ShowPumps_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_SSR2_STR2_ShowPumps_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,PC88042,Salamander CT75 Xtra twin shower pump 2bar,Salamander,211.99,"The 2 bar Salamander CT75 Xtra twin regenerative shower pump boosts hot and cold water pressure to a single thermostatic shower in a gravity fed, positive head system. Quiet and compact, this continuously rated pump is a fully automatic solution to low water pressure.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT75 Xtra twin shower pump 2bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/42/NW-C88042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTXtra_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Salamander_CTXtra_Pump_Swap_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PC88055,Salamander CT Force universal twin bar pump 1.5bar,Salamander,534.25,"A quiet and efficient solution to low water pressure, the 1.5 bar Salamander CT Force 15 twin ended shower and bathroom pump boosts hot and cold supplied to showers, baths and toilets in a negative head gravity fed installation. Providing more powerful showers, faster-filling toilets and stronger mixer tap flow, the robust, effective CT Force meets the demand for increased domestic water supplies.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT Force universal twin bar pump 1.5bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/57/NW-C88055_C88057_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTForce_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PC88072,Salamander RP twin positive head centrifugal shower and whole house pump 3.0bar,Salamander,479.14,"Offering quiet efficiency, the 3 bar Salamander RP premium twin ended pump boosts the hot and cold water supply to showers, baths, basins and toilets in a positive head, gravity fed installation. Suitable for a wide range of shower types and heads and single mixer taps, this pump incorporates Crossover technology for individual outlet operation.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander RP twin positive head centrifugal shower and whole house pump 3.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/72/NW-C88072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_RP_ShowerPump_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_RP_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PD52369,Stuart Turner Monsoon universal twin shower pump 4.0bar,Stuart Turner,907.47,"Designed for vented systems, the 4 bar Stuart Turner Monsoon fully automatic universal twin pump boosts both hot and cold water supplies in balance and is suitable for both positive and negative head applications. The Monsoon Universal doesn't require a gravity flow of water to start, so it's ideal for pressurising a supply where outlets are higher than the water source, such as in a loft conversion or where it's not clear if a positive flow of water exists.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Stuart Turner Monsoon universal twin shower pump 4.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/69/NW-D52368_D52369_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Uni_TwinPump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Uni_TwinPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/STurner_Monsoon_UniTwinPump_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_UniTwinPump_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PD12022,Grundfos STP positive twin regan pump 2.0bar,Grundfos,930.0,"Manufactured to the highest standards, the Grundfos STP premium brass shower pump with positive head and two impellers is continuously rated as a regenerative pump, overcoming the issue of air pockets and ideal where a plumbing route includes multiple bends and elbows. This high performance shower pump is suitable for domestic, commercial or light industrial use, improving shower pressure up to 4 bar. Boosting both hot and cold water to single showers, multiple showers or providing a boost to a whole house where outlets are above or below the cold-water tank the robust, corrosion-resistant STN operates quietly and at a low speed for a longer working life.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Grundfos STP positive twin regan pump 2.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/23/NW-D12021_D12023_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Watermill_ShowPump_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR2_STN_ShowPumps_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PC88051,Salamander CT Force positive twin bar shower pump 2.0bar,Salamander,411.47,"A quiet and efficient solution to low water pressure, the 2 bar Salamander CT Force 20 twin ended shower and bathroom pump boosts hot and cold supplied to showers, baths and toilets in a positive head gravity fed installation. Providing more powerful showers, faster-filling toilets and stronger mixer tap flow, the robust, effective CT Force meets the demand for increased domestic water supplies.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT Force positive twin bar shower pump 2.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/52/NW-C88050_C88052_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTForce_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PD59575,Mira Pumps twin ended shower pump 1.5 bar,Mira,217.86,"Boosting hot and cold water supplies simultaneously, the Mira Domestic 1.5 bar twin impeller inlet shower pump generates a generous flow rate of up to 32 litres a minute. With quiet operation and an integral flow switch for automatic switch-on, this pump is a convenient choice for home use.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Mira Pumps twin ended shower pump 1.5 bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/75/NW-D59575_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_1_5_2bar_Twin_Pump_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_ShowersEnclosuresTrays_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PC88071,Salamander RP twin positive head centrifugal shower and bathroom pump 2.0bar,Salamander,410.37,"Offering quiet efficiency, the 2 bar Salamander RP premium twin ended pump boosts the hot and cold water supply to showers, baths, basins and toilets in a positive head, gravity fed installation. Suitable for a wide range of shower types and heads and single mixer taps, this pump incorporates Crossover technology for individual outlet operation.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander RP twin positive head centrifugal shower and bathroom pump 2.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/71/NW-C88070_C88071_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_RP_ShowerPump_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_RP_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PC88074,Salamander RP75TU twin universal centrifugal shower and bathroom pump 2.0bar,Salamander,561.09,"The 2 bar Salamander RPU premium single ended pump provides a quiet and efficient boost to the hot or cold water supplies to showers, baths, basins and toilets in a negative head, gravity fed installation. Suitable for providing boosted hot water to showers or mixers when cold is taken from the mains water, this adaptable pump is easy to install and incorporates a range of performance enhancing technologies.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander RP75TU twin universal centrifugal shower and bathroom pump 2.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/74/NW-C88073_C88074_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_RP_Pump_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_RPU_ShowerPump_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PD52497,Stuart Turner Monsoon standard twin shower pump 1.5bar,Stuart Turner,556.98,"Designed for vented systems, the 1.5 bar Stuart Turner Monsoon standard twin pump can boost both hot and cold water supplies to an entire house, an individual bathroom or just the shower. Requiring a flow of just 0.6LPM through the outlet to start the pump, the Monsoon is suitable for positive head applications.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Stuart Turner Monsoon standard twin shower pump 1.5bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/97/NW-D52497_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Std_TwinPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Std_TwinPump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_Standard_Pump_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/STurner_Monsoon_StdTwinPump_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PC88050,Salamander CT Force positive twin bar shower pump 1.5bar,Salamander,379.58,"Twin-ended, this Salamander CT Force regenerative pump is part of a range of high quality brass-ended shower pumps for positive head or universal use. Ideal for boosting hot and/or cold supplies to thermostatic or manual mixer valves, this range will supply flow rates of up to 32LPM to a variety of shower types, individual taps and toilet cisterns. Whole house boosting can also be achieved.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT Force positive twin bar shower pump 1.5bar,,Pump;Flexible hoses;Integral isolating valves,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/50/NW-C88050_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_CT_Force_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PD12028,Grundfos STN universal twin pump 2.0bar,Grundfos,1338.0,"Manufactured to the highest standards, the Grundfos STN premium brass shower pump with universal head and two impellers is continuously rated as a regenerative pump, overcoming the issue of air pockets and ideal where a plumbing route includes multiple bends and elbows. This high performance shower pump is suitable for domestic, commercial or light industrial use, improving shower pressure up to 4 bar. Boosting both hot and cold water to single showers, multiple showers or providing a boost to a whole house where outlets are above or below the cold-water tank the robust, corrosion-resistant STN operates quietly and at a low speed for a longer working life.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Grundfos STN universal twin pump 2.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/30/NW-D12027_D12030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Watermill_ShowPump_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR2_STN_ShowPumps_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PD52382,STUART TURNER CH 4-30 B,Stuart Turner,661.51,"Suitable for positive or negative head applications, the Stuart Turner CH4 boostamatic centrifugal pump supplies pressurised water from a break tank with no reliance on gravity to activate. CH Multistage Boostamatic pumps are self priming up to 5M and offer flow rates up to 160LPM as well as heads of up to 62M. Supplied with G1 flexible hoses and adapters, this pump is suitable for commercial or domestic use and can pump hot or cold water.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> STUART TURNER CH 4-30 B,,Pump;Flexible hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/82/NW-D52382_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/ST_CH4_Pump_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/ST_CH4_Pump_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PD52937,Stuart Turner Showermate twin shower pump U2.0,Stuart Turner,729.48,"Offering flow rates of up to 40LPM, the Stuart Turner Showermate standard twin shower pump is used to boost the hot and cold supply to a shower room or bathroom. This high performance yet compact pump is supplied with a pair of 15mm anti-vibration flexible hoses, each with an integral isolation valve on the inlet.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Stuart Turner Showermate twin shower pump U2.0,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/38/NW-D52937_D52938_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Stuart_Showermate_Universl_Twin_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rv/es/Stuart_Showermate-Unvrsl-Twin_Curves.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Stuart_Showermate_Universal_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PC88056,Salamander CT Force universal twin bar pump 2.0bar,Salamander,567.75,"A quiet and efficient solution to low water pressure, the 2 bar Salamander CT Force 20 twin ended shower and bathroom pump boosts hot and cold supplied to showers, baths and toilets in a negative head gravity fed installation. Providing more powerful showers, faster-filling toilets and stronger mixer tap flow, the robust, effective CT Force meets the demand for increased domestic water supplies.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT Force universal twin bar pump 2.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/57/NW-C88055_C88057_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTForce_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PD12062,Grundfos STR2 Str2 1.5C Twin Impeller Pos Regen S-Pump,Grundfos,407.0,"The innovative, tough Grundfos STR2 regenerative shower pump with positive head and two impellers combines impressive performance levels with a durable build at an affordable price. Continuously rated as a regenerative pump, the STR2 overcomes the issue of air pockets and is ideal anywhere a plumbing route includes multiple bends and elbows. Boosting either hot or cold water to single showers or a simple bathroom suite where outlets are below the cold-water tank, this high-performance composite shower pump includes a low-speed induction motor for minimal turbulence in the pump head, quieter operation and a longer life.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Grundfos STR2 Str2 1.5C Twin Impeller Pos Regen S-Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/62/NW-D12062_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR2_STN_ShowPumps_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_SSR2_STR2_ShowPumps_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PC88052,Salamander CT Force 30PT Force 30 Pt Twin 3 Bar Shwr Pump,Salamander,267.76,"A quiet and efficient solution to low water pressure, the 3 bar Salamander CT Force 30 twin ended shower and bathroom pump boosts hot and cold supplies to showers, baths and toilets in a positive head gravity fed installation. Providing more powerful showers, faster-filling toilets and stronger mixer tap flow, the robust, effective CT Force meets the demand for increased domestic water supplies.",Showering/Shower Pumps/Twin Impeller Shower Pumps/Twin Impeller Shower Pumps.csv -> Salamander CT Force 30PT Force 30 Pt Twin 3 Bar Shwr Pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/52/NW-C88050_C88052_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTForce_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
