,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection,Connection Size,Hazardous,Thread Standard,Max Set Pressure,Material,Thread Size,Maximum Operating Temperature,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Connection Type,Grade,Range,Pack Quantity,Colour,Weight,Size,Thickness,Attachment 3
27,P257432,Myson Matchmaster MASTER15LACD lockshield angle drain off 15mm Chrome (10),Myson,19.33,"A hardwearing choice for challenging applications, the Myson Matchmaster 15mm lockshield angled drain off heating valve is easily installed thanks to its simple compression connection. Featuring a graphite gland packing, easily compressed by tightening the gland nut, the Matchmaster valve is designed for long lasting usability. Made of tough brass with a chrome finish, this valve is part of a broad range offering a variety of options to suit the needs of different installations.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmaster MASTER15LACD lockshield angle drain off 15mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/32/257432_wm.jpg,,,Compression,15mm,N,BSP,,Brass,15mm,120 deg C,MASTER15LACD,DVC Valves,N,Central Heating,With lockshield,Angled version,Compression connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Meets BS 2767-10,,,,,,,Matchmaster,10,,,,,
28,P257422,Myson Matchmaster MASTER10LACDPF90 lockshield angle drain off c/w pushfit 90o elbow 10mm Chrome (10),Myson,23.52,"A hardwearing choice for challenging applications, the Myson Matchmaster 10mm lockshield 90° elbow angled drain off heating valve is easily installed thanks to its simple push-fit connection. Featuring a graphite gland packing, easily compressed by tightening the gland nut, the Matchmaster valve is designed for long lasting usability. Made of tough brass with a chrome finish, this valve is part of a broad range offering a variety of options to suit the needs of different installations.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmaster MASTER10LACDPF90 lockshield angle drain off c/w pushfit 90o elbow 10mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/22/257422_wm.jpg,,,Push Fit,10mm,N,BSP,,Brass,10 mm,92 deg C,MASTER10LACDPF90,DVC Valves,N,Central Heating,With lockshield,Angled version,Push-fit connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Meets BS 2767-10,,,,,,,Matchmaster,10,,,,,
29,P312679,Belimo linkage,Belimo,77.0,This Belimo linkage kit provides the ability to use new generation SMA actuators on Satchwell MB and MBF slipper valves.,"Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Belimo linkage",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/79/312679_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/312679_Fitting_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,P257426,Myson Matchmaster MASTER10LSCPF90 lockshield straight pushfit 90o elbow 10mm Chrome (10),Myson,25.09,"A hardwearing choice for challenging applications, the Myson Matchmaster 10mm lockshield 90° elbow straight heating valve is easily installed thanks to its simple push-fit connection. Featuring a graphite gland packing, easily compressed by tightening the gland nut, the Matchmaster valve is designed for long lasting usability. Made of tough brass with a chrome finish, this valve is part of a broad range offering a variety of options to suit the needs of different installations.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmaster MASTER10LSCPF90 lockshield straight pushfit 90o elbow 10mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/26/257426_wm.jpg,,,Push Fit,10mm,N,BSP,,Brass,10 mm,92 deg C,MASTER10LSCPF90,DVC Valves,N,Central Heating,With lockshield,Straight version,Push-fit connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Meets BS 2767-10,,,,,,,Matchmaster,10,,,,,
31,P257436,Myson Matchmaster MASTER15LSC 15mm Lockshield Straight Chrome (10),Myson,20.83,"A hardwearing choice for challenging applications, the Myson Matchmaster 15mm lockshield straight heating valve is easily installed thanks to its simple compression connection. Featuring a graphite gland packing, easily compressed by tightening the gland nut, the Matchmaster valve is designed for long lasting usability. Made of tough brass with a chrome finish, this valve is part of a broad range offering a variety of options to suit the needs of different installations.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmaster MASTER15LSC 15mm Lockshield Straight Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/36/257436_wm.jpg,,,Compression,15mm,N,BSP,,Brass,15mm,120 deg C,MASTER15LSC,DVC Valves,N,Central Heating,With lockshield,Straight version,Compression connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Meets BS 2767-10,,,,,,,Matchmaster,10,,,,,
32,P208615,Myson Matchmate MATE15WAC wheelhead angle 15mm Chrome (10),Myson,9.04,"Ideal for use in domestic systems, the Myson Matchmate 15mm wheelhead angled radiator valve promises high quality and excellent levels of reliability. Made of tough brass with a hardwearing CR3 chrome finish, impact-resistant valve cap and compression connection, this valve is one of a wide range of Matchmate products conceived to suit every installation.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmate MATE15WAC wheelhead angle 15mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/15/208615_wm.jpg,,,Compression,15mm,N,BSP,,Brass,15mm,120 deg C,MATE15WAC,DVC Valves,N,Central Heating,With wheelhead,Angled version,Compression connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Pressure tested in accordance with BS 2767,,,,,,,Matchmate,10,,,,,
33,PN67109,"JET Range vertical pressure gauge 4"" x 0-16bar plus certificate",JET Range,335.69,"Made of steel, this JET Range 72 100mm vertical pressure gauge for 0 - 16 bar pressures is supplied with certificate.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> JET Range vertical pressure gauge 4"" x 0-16bar plus certificate",,Pressure gauge;Certificate,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/08/581108_wm.jpg,,,,,N,,,Steel,,,72/099/0,Pressure Gauge,N,,100mm diameter pressure gauge,0 - 16 bar pressure rating,Steel construction,,,,,,,,,,,72,,Black,,100 mm,,
34,PK29710,JET Range pressure gauge adaptor probe,JET Range,23.05,A JET Range adapter probe for use with pressure gauges.,"Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> JET Range pressure gauge adaptor probe",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/10/NW-K29710_wm.jpg,,,,,N,,,Ethylene propylene core,,,K29710,Adaptor Probe,N,,Maximum pressure 35 bar (500 PSi),Temperature range 8 - 135°C,Ethylene propylene core maximum allowable temperature 135°C,,,,,,,,,,,,,Gold,24.70000,64 mm x 8 mm BSPF,,
35,PP00893,JET Range P00893 NAS sheet 3 x 500 x 500mm,JET Range,182.08,"Suitable for use with a wide range of substances, including refrigerants, oils, gases and fuels, this JET Range 3 x 500 x 500mm NAS sheet is made of synthetic fibre with NBR.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> JET Range P00893 NAS sheet 3 x 500 x 500mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/93/NW-P00890_P00893_wm.jpg,,,,,N,,,Synthetic Fibre with NBR,,,JET_NAS3MM_500SQ,Non-asbestos Sheet,N,,Combines synthetic and glass fibres,High stress relaxation,Dimensionally stab,Suitable for high temperature steam and water,Improved resistance against hydrocarbons,Suitable for use with a range of different media,,,,,,N/A,,,,White/Green,,500mm,3 mm,
36,PK17327,"Crane Spares D171A spare extension kit 1.1/4- 1.1/2""",Crane,23.59,"Easy to install and operate, this lightweight and compact Crane D171A extension kit is compatible with the brand's D171A threaded DZR ball valve with 1 1/4 to 1 1/2"" connections.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Crane Spares D171A spare extension kit 1.1/4- 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/28/NW-K17325_K17328_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D171A-D171AEXS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D171_1907008_WRAS_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PP00891,JET Range P00891 NAS sheet 1.5 x 500 x 500mm,JET Range,62.44,"Suitable for use with a wide range of substances, including refrigerants, oils, gases and fuels, this JET Range 1.5 x 500 x 500mm NAS sheet is made of synthetic fibre with NBR.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> JET Range P00891 NAS sheet 1.5 x 500 x 500mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/93/NW-P00890_P00893_wm.jpg,,,,,N,,,Synthetic Fibre with NBR,,,JET_NAS1.5MM_500SQ,Non-asbestos Sheet,N,,Combines synthetic and glass fibres,High stress relaxation,Dimensionally stab,Suitable for high temperature steam and water,Improved resistance against hydrocarbons,Suitable for use with a range of different media,,,,,,N/A,,,,White/Green,,500mm,1.5 mm,
38,PK64786,* JET BLUE LEVER AND SCREW FOR JET BBV35,JET Range,0.7,"This JET Range lever, blue to indicate a cold water supply, is for use with BBV35 brass isolating valves.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> * JET BLUE LEVER AND SCREW FOR JET BBV35",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/86/NW-K64786_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Brass_Ball_Valves_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,P257437,Myson Matchmaster MASTER15LSCPF90 lockshield straight c/w pushfit 90o elbow 15mm Chrome (10),Myson,26.23,"A hardwearing choice for challenging applications, the Myson Matchmaster 15mm lockshield 90° elbow straight heating valve is easily installed thanks to its simple push-fit connection. Featuring a graphite gland packing, easily compressed by tightening the gland nut, the Matchmaster valve is designed for long lasting usability. Made of tough brass with a chrome finish, this valve is part of a broad range offering a variety of options to suit the needs of different installations.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmaster MASTER15LSCPF90 lockshield straight c/w pushfit 90o elbow 15mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/37/257437_wm.jpg,,,Push Fit,15mm,N,BSP,,Brass,15mm,92 deg C,MASTER15LSCPF90,DVC Valves,N,Central Heating,With lockshield,Straight version,Push-fit connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Meets BS 2767-10,,,,,,,Matchmaster,10,,,,,
40,PD63975,ESYBX SLIM SH/TH BIN ESC/SQ HDL/PIN CPL,Ideal Standard,346.03,"Designed to fit into a 43mm wall cavity, the Ideal Standard Freedom built-in thermostatic shower mixer is based on the Easybox Slim platform and features 1/2"" BSP female connections. This built-in mixer incorporates easy-use metal lever handles and a square metal faceplate with clear colour markings.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> ESYBX SLIM SH/TH BIN ESC/SQ HDL/PIN CPL",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/75/NW-D63975_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Standard_A6377AA_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,P308485,Belimo satchwell mounting kit,Belimo,17.71,A Belimo mounting kit for use with Satchwell MB mixing valves.,"Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Belimo satchwell mounting kit",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/85/NW-308485_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Belimo_Retro_HTL24_3_T_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,P208606,Myson Matchmate MATE10WAC90 wheelhead angle c/w comp 90 degree elbow 10mm Chrome (10),Myson,12.81,"Ideal for use in domestic systems, the Myson Matchmate 10mm wheelhead 90° elbow angled radiator valve promises high quality and excellent levels of reliability. Made of tough brass with a hardwearing CR3 chrome finish, impact-resistant valve cap and compression connection, this valve is one of a wide range of Matchmate products conceived to suit every installation.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmate MATE10WAC90 wheelhead angle c/w comp 90 degree elbow 10mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/06/208606_wm.jpg,,,Compression,10mm,N,BSP,,Brass,10 mm,120 deg C,MATE10WAC90,DVC Valves,N,Central Heating,With wheelhead,Angled version,Compression connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Pressure tested in accordance with BS 2767,,,,,,,Matchmate,10,,,,,
43,P327133,Tesla Isogas isolating valve EN331 08mm,Tesla,2.65,"Suitable for gas installations, this manually operated Tesla Isogas EN331 8mm isolating valve is manufactured in robust brass with simple compression connections.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Tesla Isogas isolating valve EN331 08mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/33/327133_wm.jpg,,,Compression,8 mm,N,Compression,,Brass,8 mm,60,GC802,Ball Valve,N,Gas,Brass construction,For gas applications,Compression connections,EN 331 tested,,,,,,,,,,Isogas,,,,,,
44,P247857,Myson ABV ABV22A angled auto bypass valve 22mm,Myson,31.32,"Suitable for use in domestic central heating systems, the Myson ABV22A 22mm angled automatic bypass valve maintains a constant pump pressure and flow rate throughout a system. In addition, an ABV can help to reduce system noise while maximising efficiency. Made of robust brass, this ABV is part of a wide range designed to suit a variety of installation types.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson ABV ABV22A angled auto bypass valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/57/247857_wm.jpg,,,Compression,22 mm,N,BSP,,Brass,22 mm,120 deg C,ABV22A,DVC Valves,N,Central Heating,Angled version,Compression connections,Brass construction,Suitable for commercial or domestic projects,,,,,,,,,,ABV,,,,,,
45,P208610,Myson Matchmate MATE15LACD lockshield angle drain off 15mm Chrome (10),Myson,12.4,"Ideal for use in domestic systems, the Myson Matchmate 15mm lockshield angled drain off radiator valve promises high quality and excellent levels of reliability. Made of tough brass with a hardwearing CR3 chrome finish, impact-resistant valve cap and compression connection, this valve is one of a wide range of Matchmate products conceived to suit every installation.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmate MATE15LACD lockshield angle drain off 15mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/10/208610_wm.jpg,,,Compression,15mm,N,BSP,,Brass,15mm,120 deg C,MATE15LACD,DVC Valves,N,Central Heating,With lockshield,Angled version,Compression connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Pressure tested in accordance with BS 2767,,,,,,,Matchmate,10,,,,,
46,PN20712,JET Range 73 push on pocket 100mm Brass,JET Range,24.1,A JET Range 100mm spare brass push fit pocket for 100mm dial thermometers.,"Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> JET Range 73 push on pocket 100mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/12/NW-N20712_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Bimetal_Thermometer_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,P208608,Myson Matchmate MATE10WACPF90 wheelhead angle c/w pushfit 90 degree elbow 10mm Chrome (10),Myson,13.13,"Ideal for use in domestic systems, the Myson Matchmate 10mm wheelhead 90° elbow angled radiator valve promises high quality and excellent levels of reliability. Made of tough brass with a hardwearing CR3 chrome finish, impact-resistant valve cap and push-fit connection, this valve is one of a wide range of Matchmate products conceived to suit every installation.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmate MATE10WACPF90 wheelhead angle c/w pushfit 90 degree elbow 10mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/08/208608_wm.jpg,,,Push Fit,10mm,N,BSP,,Brass,10 mm,92 deg C,MATE10WACPF90,DVC Valves,N,Central Heating,With wheelhead,Angled version,Push-fit connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Pressure tested in accordance with BS 2767,,,,,,,Matchmate,10,,,,,
48,PK17328,"Crane Spares D171A spare extension kit 2""",Crane,21.5,"Easy to install and operate, this lightweight and compact Crane D171A extension kit is compatible with the brand's D171A threaded DZR ball valve with 2"" connections.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Crane Spares D171A spare extension kit 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/28/NW-K17325_K17328_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D171A-D171AEXS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D171_1907008_WRAS_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P257424,Myson Matchmaster MASTER10LACPF90 lockshield angle c/w pushfit 90o elbow 10mm Chrome (10),Myson,19.66,"A hardwearing choice for challenging applications, the Myson Matchmaster 10mm lockshield 90° elbow angled heating valve is easily installed thanks to its simple push-fit connection. Featuring a graphite gland packing, easily compressed by tightening the gland nut, the Matchmaster valve is designed for long lasting usability. Made of tough brass with a chrome finish, this valve is part of a broad range offering a variety of options to suit the needs of different installations.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmaster MASTER10LACPF90 lockshield angle c/w pushfit 90o elbow 10mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/24/257424_wm.jpg,,,Push Fit,10mm,N,BSP,,Brass,10 mm,92 deg C,MASTER10LACPF90,DVC Valves,N,Central Heating,With lockshield,Angled version,Push-fit connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Meets BS 2767-10,,,,,,,Matchmaster,10,,,,,
50,PN20710,JET Range 73 push on pocket 50mm Brass,JET Range,18.94,A JET Range 50mm spare brass push-fit pocket for 100mm dial thermometers.,"Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> JET Range 73 push on pocket 50mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/10/NW-N20710_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Jet_Gauges_Thermometers_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Jet_Bimetal_Thermometer_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PK00424,Kemper ETA-Therm auto balance valve DN15 Male,Kemper,116.9,This Kemper ETA-Therm DN15 male auto balance valve is a thermostatic balancing valve operating in temperatures of 56 to 58°C.,"Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Kemper ETA-Therm auto balance valve DN15 Male",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/24/K00424_wm.jpg,,,,,N,,,Gun Metals,DN15,,130 0G 015,Valves,N,,Gunmetal construction,Union thread connection,Brass finish,,,,,,,,,union thread,,,,Brass,,DN15,,
52,P538601,"Altecnic Caleffi anti-freeze valve 1""",Altecnic,94.8,"Preventing ice formation in a system's circuit, the Altecnic Caleffi 1"" antifreeze valve encourages circuit medium drainage when temperatures drop to 3°C. This valve is ideal for use in heat pump systems, where the draining process minimises the risk of expensive and inconvenient damage that can be caused to pipes, appliances and valves in freezing conditions. The Caleffi valve is compatible with fittings and pipes connected via a union only.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Altecnic Caleffi anti-freeze valve 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/01/538601_wm.jpg,,,MBSP,1 in,N,BSP,,Brass,1,65,108601,Anti-Freeze Valve,N,For use with Heat Pumps,For use with heat pumps'Maximum working pressure of 5 bar,Temperature range of 0 to 65°C,Ambient temperature rangeof  -30 to 60°C,Opening temperature of 3°C,Closing temperatureof  4°C,,,,,,,,,Caleffi,,,,,,
53,PK17325,"Crane Spares D171A spare extension kit 1/2-3/4""",Crane,8.49,"Easy to install and operate, this lightweight and compact Crane D171A extension kit is compatible with the brand's D171A threaded DZR ball valve with 1/2 to 3/4"" connections.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Crane Spares D171A spare extension kit 1/2-3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/28/NW-K17325_K17328_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D171A-D171AEXS_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_D171_1907008_WRAS_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_CopperAlloy_Ball_Valve_Install.pdf
54,P257429,Myson Matchmaster CPF90 wheelhead angle c/w pushfit 90o elbow 10mm Chrome (10),Myson,19.66,"A hardwearing choice for challenging applications, the Myson Matchmaster 15mm wheelhead 90° elbow angled heating valve is easily installed thanks to its simple push-fit connection. Featuring a graphite gland packing, easily compressed by tightening the gland nut, the Matchmaster valve is designed for long lasting usability. Made of tough brass with a chrome finish, this valve is part of a broad range offering a variety of options to suit the needs of different installations.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> Myson Matchmaster CPF90 wheelhead angle c/w pushfit 90o elbow 10mm Chrome (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/29/257429_wm.jpg,,,Push Fit,15mm,N,BSP,,Brass,15mm,92 deg C,MASTER10WACPF90,DVC Valves,N,Central Heating,With wheelhead,Angled version,Push-fit connection,Brass construction,CR3 chrome finish,Produced under an ISO 9001:2008 quality management system,Meets BS 2767-10,,,,,,,Matchmaster,10,,,,,
55,PK31657,SAUNDERS A040 BSPP SGI RHI Q,Saunders,143.75,"Made of rubber, this Saunders A-type handwheel-operated RHI diaphragm valve for 40mm pipe includes BSPP connections. It has a 16 bar pressure rating and withstands operating temperatures of -50 to 100°C.","Pipe, Valves and Fittings/Metal Pipe Valves/CIV Parts and Accessories/CIV Parts and Accessories.csv -> SAUNDERS A040 BSPP SGI RHI Q",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/-6/57/K31655-657_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Saunders_Diaphragm_Valve_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
