,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Finish,Depth (mm),Attachment 4,Attachment 5,Colour,Flush Type,Warranty,Air Pipe Supplied,Flush Mechanism,Material,Fittings Included,Inlet Position,Overflow Type,Feature 17,Feature 18,Feature 19,Feature 20
26,PB55240,Grohe Rapid SL flush plate and bracket 0.82m,Grohe,366.72,"The Grohe Rapid SL 3-in-1 installation set for wall-hung toilets makes fitting straightforward with the toolless QuickFix system, allowing connection of the hose, inspection shaft and water supply with ease. The steel frame is certified to hold loads of over 400kg for reliable stability and can be quickly installed in front of a solid wall or into a stud wall. Featuring a 3/6L dual flush with EcoJoy technology, this cistern kit reduces water consumption by up to 50% with no loss of flushing power and operates quietly thanks to the Whisper low-noise fittings and separate plumbing.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Grohe Rapid SL flush plate and bracket 0.82m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/40/NW-B55240_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_38773000_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_WC_Element_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PJ44513,Grohe Skate Cosmopolitan flush plate Chrome,Grohe,54.09,"Finished in sparkling StarLight chrome, the smart Grohe Skate Cosmopolitan flush plate provides an attractive, functional finishing touch to a bathroom. Easy to clean, the dual flush system gives the choice of 3L or 6L flush (or 3L and 4.5L in some ceramic bodies) as well as a stop option while integrated EcoJoy flush technology reduces water consumption by up to 50%. Installation, requiring the standard revision shaft, is straightforward and tool-free.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Grohe Skate Cosmopolitan flush plate Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/13/NW-J44513_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grohe_Skate_Cosmo_38732000_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_Flush_Plate_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grohe_Care_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PD81441,"Ideal Standard pre-wall systems 150mm depth concealed cistern, mechanical",Ideal Standard,115.24,"A high quality design, the Ideal Standard ProSys 150mm pre-wall concealed mechanical cistern offers ease of operation, fitting and maintenance. Flush-plate operated, it has a mechanical flush and uses a delay fill valve to help save on water.","Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Ideal Standard pre-wall systems 150mm depth concealed cistern, mechanical",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/41/D81441_wm.jpg,,,,,N,R042867,,N,Mechanical actuation,150mm depth,Easy maintenance,Compatible with numerous flush plate options,Water saving delay fill smart valve,Low height capability,5 year warranty,,,,,,,,,,,150,,,Neutral,Mechanical,5 Years,Yes,Flushplate,Mixed Material,Yes,,,,,,
29,P116497,Fluidmaster Dots dual flushing plate for 189 cistern Gloss Chrome,Fluidmaster,31.66,"Ideal for modern bathroom designs, the Fluidmaster Dots Duo plate is suitable for use with a 189 cistern. Offering easy installation and maintenance, this dual flush plate has a bright glossy chrome finish.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Fluidmaster Dots dual flushing plate for 189 cistern Gloss Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/97/NW-116497_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fluidmaster_SCHWAB_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PB24084,Nabis wall hung WC frame plate 1mtr,Nabis,281.52,"Measuring 1177 x 360 x 280mm, this Nabis wall-hung WC frame is supplied with an air inlet valve to help it achieve an AG-type air gap. This compact dual flush concealed cistern delivers a smart bathroom design with an easy to clean, open floor area.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Nabis wall hung WC frame plate 1mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/84/NW-B24084_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B24084_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/im/B24084_Nabis_IM.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P116471,Fluidmaster Duplo Plus WC frame 189pr - 747 1.12mtr,Fluidmaster,212.13,"A premium design, this Fluidmaster Duplo Plus 189PR concealed cistern with frame is supplied with the Fluidmaster 747 valve for quiet operation and ease of maintenance. Offering simple installation, 189PR offers a water-saving adjustable mechanical flush with the ability to set capacities anywhere from 3L to 7L.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Fluidmaster Duplo Plus WC frame 189pr - 747 1.12mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/71/NW-116471_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fluidmaster_SCHWAB_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PU94765,Geberit pneumatic dual flush actuator,Geberit,48.2,"This Geberit pneumatic dual flush actuator is designed for use with the AP109 pneumatic dual flush valve. Elegantly finished in chrome, the easy-clean button suits built-in bathroom furniture with concealed cisterns and in-wall installations while the reliable pneumatic mechanism withstands heavy traffic.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit pneumatic dual flush actuator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/65/NW-U94765_wm.jpg,,,,,N,241.413.21.1,Flush Actuator,N,Compatible with AP109 pneumatic dual flush valve,Actuator box 90mm deep,Requires a 65mm hole,Polished chrome,Plastic material,,,,,,,,,,,,,137,,,,,,,,,,,,,,,
33,PD04894,Ideal Standard ProSys WC pneumatic frame 820mm,Ideal Standard,224.27,"Suitable for front or top actuation of a cistern, this Ideal Standard ProSys 820mm pneumatic wall-hung WC frame is part of a full range of fittings for the high quality installation of a concealed toilet. Easy to fit and providing good access for maintenance, this frame includes a delay fill valve to help save on water.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Ideal Standard ProSys WC pneumatic frame 820mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/94/NW-D04894_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IStandard_WC_Frame_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PD04892,Ideal Standard ProSys Wall hung WC frame,Ideal Standard,224.27,"A high quality full depth WC frame, this Ideal Standard wall hung frame is part of the comprehensive ProSys In Wall installation system. Offering pneumatic actuation, this toilet cistern offers easy maintenance and a delay fill valve to help save on water.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Ideal Standard ProSys Wall hung WC frame,,WC frame,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/92/D04892_wm.jpg,,,,Prosys,N,R031367,,N,Pneumatic actuation,"Full height, 120mm depth WC frame",Easy maintenance,Water saving smart valve (delay fill),Easy adjustment to low water volume,,,,,,,,,,,,,120,,,Blue/Chrome,Dual Flush,10 Years,No,Pnuematic Flushplate,Mixed Material,No,Back inlet,,,,,
35,PB24085,Nabis WC frame plate 0.8mtr,Nabis,276.77,"Measuring 928 x 360 x 280mm, this Nabis wall-hung WC frame is supplied with an air inlet valve to help it achieve an AG-type air gap. This compact dual flush concealed cistern delivers a smart bathroom design with an easy to clean, open floor area.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Nabis WC frame plate 0.8mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/85/NW-B24085_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/s_/im/B24085_Nabis_IM.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B24085_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PB78400,Ideal Standard Mura auto cistern with fittings 9.0ltr White,Ideal Standard,236.81,"Supplied with fittings for ease of installation, this Ideal Standard Mura 9L one-piece auto cistern includes an integral cover, helping to improve hygiene and make cleaning simple.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Ideal Standard Mura auto cistern with fittings 9.0ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/00/NW-B78400_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Mura_S620101_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PB97892,Twyford Avalon/Sola cistern bottom inlet supply internal overflow 6/4ltr Chrome Plated cover clip,Twyford,192.69,This Twyford Avalon/Sola close coupled toilet cistern is fitted with a chrome-plated spatula lever and cover clip for added security.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Twyford Avalon/Sola cistern bottom inlet supply internal overflow 6/4ltr Chrome Plated cover clip,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/78/92/NW-B97891_B97892_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rw/ng/Twyford_Avalon_Rimless_CC_WC_Drwng.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_Avalon_Rimless_CC_WC_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P116474,Fluidmaster Schwab concealed cistern 187 - 747 6ltr,Fluidmaster,97.16,"This Fluidmaster Schwab dual flush cistern is supplied with the Fluidmaster 747 SE valve. Front or top actuated, this cistern and flush has been robustly tested to ensure long lasting quality.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Fluidmaster Schwab concealed cistern 187 - 747 6ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/74/116474_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fluidmaster_SCHWAB_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PU94794,Geberit Sigma20 dual flush plate Chrome/Matt,Geberit,111.02,A Geberit Sigma20 gloss/matte chrome dual flush plate for flush actuation with Geberit Sigma concealed cisterns.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit Sigma20 dual flush plate Chrome/Matt,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/95/NW-U94794_U94795_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Sanitary_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PB79137,Cistermiser Direct Flush Valve direct flush discreet (sensor) urinal valve (per bowl),Cistermiser,218.77,"The Cistermiser direct flush sensor offers discreet mains-fed urinal flushing. Designed for installation behind panel work with only the IR sensor visible, this water-saving infrared-activated valve flushes a urinal directly from the cold water supply.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Cistermiser Direct Flush Valve direct flush discreet (sensor) urinal valve (per bowl),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/37/NW-B79137_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Cistermiser_Specification_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Cistermiser_DirectFlush_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,P171969,Fluidmaster Fluidmaster Pneumatic Flush pneumatic flush plate Matt Black,Fluidmaster,23.01,"Finished in matte black, this Fluidmaster round dual flush button is compatible with Fluidmaster Pneumatic 1000E-030-P1 & 1000E-008-P1 compact concealed cisterns.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Fluidmaster Fluidmaster Pneumatic Flush pneumatic flush plate Matt Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/69/171969_wm.jpg,,,,Fluidmaster Pneumatic Flush,N,1000Z-032-P1,,N,Easy operation,Round shape,Matte black finish,Offers dual flush,For pneumatic cisterns,1 year warranty,,,,,,,,,,,,90,,,Black,Pneumatic,1 year,No,Pneumatic,ABS,N/A,rear,N/A,,,,
42,PJ23303,Ideal Standard Portman 21 basin bracket with waste 400mm,Ideal Standard,35.72,This Ideal Standard Portman 21 support bracket is designed for use with 400mm wash basins.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Ideal Standard Portman 21 basin bracket with waste 400mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/03/J23303_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Portman_21_S913867_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PB98702,Thomas Dudley Acclaim low level high pressure/low pressure connections 6/7/9litre White,Thomas Dudley,57.24,This Thomas Dudley Acclaim plastic cistern with bottom inlet and outlet is ideal for light to medium duty domestic and commercial applications.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Thomas Dudley Acclaim low level high pressure/low pressure connections 6/7/9litre White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/02/NW-B98702_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Thomas_Dudley_Brochure_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,P116473,Fluidmaster Schwab concealed cistern 189 - 747 7ltr,Fluidmaster,103.59,"This Fluidmaster Schwab dual flush cistern is supplied with the Fluidmaster 747 SE valve. Front actuated, this cistern and flush has been robustly tested to ensure long lasting quality.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Fluidmaster Schwab concealed cistern 189 - 747 7ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/73/116473_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Fluidmaster_SCHWAB_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,P231856,"Geberit Delta Geberit Duofix for wall-hung WC, with Delta concealed cistern 12 cm, flush plate Delta30, 112 cm pack",Geberit,189.0,"A useful pack for ease of installation, this Geberit Duofix kit is compatible with wall-hung WCs. It includes the Delta 120mm concealed cistern and Delta30 flush plate in addition to a self-supporting frame suitable for drilling into a wooden construction. The included cistern offers a front actuated dual flush and totally tool-free installation.","Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit Delta Geberit Duofix for wall-hung WC, with Delta concealed cistern 12 cm, flush plate Delta30, 112 cm pack",,"Duofix 112 cm element for wall-hun WC, Delta concealed cistern, Delta30 actuator plate ;fastening material",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/56/U94954_56_wm.jpg,,,,Delta,N,231856 PK,Frame and Cistern,N,Powder-coated self-supporting frame,Frame with Ø 9mm drilling holes for fastening in wood frame construction,Frame prepared for support brackets for ceramic toilets with small contact surfaces,Galvanized feet,Feet adjustable 0 - 200mm,Non-slip leg supports,Rotatable foot plates,Foot plate depth suitable for installation in U-profiles UW50 and UW75 and Geberit Duofix system rails,"Connection bend can be mounted without tools at different depths, adjustable range 45mm",Sound absorbing fastening for connection bend,Concealed cistern with front actuation,3/5.8L dual flush,Cistern fully insulated against condensation,"Cistern fulfils standard requirements in accordance with EN 14055, Class II",Immediate post flush with factory setting,Tool-free installation and maintenance on concealed cistern,,,,,,,,,,,,,,Water supply connection on rear or top centre,Protection cover box for service opening protects against moisture and dirt,Protection box can be cut to length,Equipped with conduit pipe for feed pipe for connection of Geberit Aqu
46,PU94795,Geberit Sigma20 dual flush plate - brushed/polished/brushed stainless steel,Geberit,170.15,A Geberit Sigma20 brushed/polished stainless steel dual flush plate for flush actuation with Geberit Sigma concealed cisterns.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit Sigma20 dual flush plate - brushed/polished/brushed stainless steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/95/NW-U94794_U94795_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Sanitary_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PU86023,Geberit Kappa50 dual flush actuator plate Gloss Chrome,Geberit,137.04,The Geberit Kappa50 gloss chrome dual flush actuator plate is built in die-cast zinc and designed for flush actuation with Geberit Kappa concealed toilet cisterns.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit Kappa50 dual flush actuator plate Gloss Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/23/NW-U86023_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Sanitary_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Geberit_Duofix_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Geberit_Duofix_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Geberit_Cisterns_Brochure.pdf,,,,,,,,,,,,,
48,PB55205,Grohe 38422 cistern 0.82m,Grohe,158.6,"Offering high performance adjustable flushing, this Grohe concealed dual flush cistern includes EcoJoy technology to save water with no reduction in flushing power. Quiet and condensation-free, this quality cistern is operated via a simple push button and is supplied with brackets for straightforward installation.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Grohe 38422 cistern 0.82m,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/05/NW-B55205_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_38422000_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grohe_WC_Element_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PU00096,Geberit Sigma concealed cistern 80mm 6/3ltr,Geberit,215.23,"Fitted with front actuation, this Geberit Sigma dual flush concealed cistern is suitable for installation in drywall construction, masonry walls, part or room-height pre-wall installations and with floor standing toilets. Fully insulated, this easy maintenance cistern is designed to resist condensation.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Geberit Sigma concealed cistern 80mm 6/3ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/96/NW-U00096_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Geberit_Sanitary_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PB98128,Thomas Dudley Vantage Electroflo Single flush infra-red touch free actived concealed cistern,Thomas Dudley,429.08,"Suitable for use with the Dudley Vantage and Miniflo concealed cisterns and Illusion A and V frames, the smart Thomas Dudley Vantage Electroflo electronic toilet flushing system supplies a hygienic, touch-free single flush via an infrared sensor. The mechanism can be installed into bathroom furniture, behind tiles or in partitioning with only an unobtrusive sensor left visible. This flexibility of installation makes the Vantage Electroflo ideal for commercial bathrooms.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Thomas Dudley Vantage Electroflo Single flush infra-red touch free actived concealed cistern,,"Cistern, infra-red sensor control and mains power adaptor",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/28/NW-B98128_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/81/28/Vantage_Data_Sheet_B98128.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PB96678,Saniflo Saniwall Pro UP integral macerator pump frame system and cistern glass,Saniflo,826.71,"Suitable for any type of suspended WC, the Saniflo Saniwall Pro UP external macerator pump is an updated version of the Saniwall frame system. Incorporating Grohe cistern technology, this pump offers internal maceration and a dual flush system and is fitted with three inlets for connecting to a shower, basin and bidet as required, helping to make shower room installations easy with no need for gravity-fed plumbing. With hassle-free access to the tank and electrical connections, Pro UP offers ease of maintenance.",Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Saniflo Saniwall Pro UP integral macerator pump frame system and cistern glass,,"Frame, cistern, macerator, fittings",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/78/NW-B96678_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Saniwall_Pro_Up_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_SFA_PumpMacerator_Brcr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PC90126,Ideal Standard Contour 21 school close coupled cistern and push button,Ideal Standard,226.35,This 6L Ideal Standard Contour 21 schools cistern includes internal overflow and secure cover fastener.,Commercial Plumbing/Commercial Cisterns and Frames/Commercial Cisterns and Frames.csv -> Ideal Standard Contour 21 school close coupled cistern and push button,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/26/NW-C90126_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Contour_21_S306401_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
