,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Thickness,Warranty,Hazardous,Depth (mm),Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Attachment 3,Attachment 4,Range,Attachment 5,Weight
22,PD28921,Merlyn Ionic Express pivot door only 800mm,Merlyn,405.62,"A favourite choice among installers, the Merlyn Ionic Express 800mm pivot door is practical, functional and stylish as well as simple to install with an Easy Fit system for a quicker job. Easy to clean, this door is built in robust 6mm safety glass with a Mershield Stayclear coating and features smooth, quick-release rollers.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Merlyn Ionic Express pivot door only 800mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/22/UP-D28919_D28922_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Merlyn_IonicExpress_SidePanel_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Showering_Collection_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_IonicExpress_PDoor_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Merlyn_IonicExpress_PDoor_Install.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_IonicExpress_PDoorPanel_Tech.pdf,
23,PD65110,Coram GB5 pivot door 800 x 1800mm Glass/Chrome Finish,Coram,209.48,"Ideal for smaller bathrooms or en-suites, the 800mm Coram GB5 pivot door shower enclosure has a reduced height of 1800mm and a 25mm adjustment profile. Designed with a classic semi-frameless look, this easy to clean shower enclosure has an inwards swinging door to minimise intrusion in a limited space.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Coram GB5 pivot door 800 x 1800mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/11/UP-D65108_D65111_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_GB5_Pivot_Door_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_GB5_Pivot_Door_Technical.pdf,,,,
24,PD29004,Merlyn Ionic Essence hinge door shower enclosure 1000mm,Merlyn,733.38,"The Merlyn Ionic Essence 1000mm hinged door and inline panel is manufactured in tough 8mm glass protected with Mershield Stayclear for easy cleaning. With smart chrome-finish door handles and a frameless side panel, this set-up is ideal for creating your perfect corner shower enclosure.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Merlyn Ionic Essence hinge door shower enclosure 1000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/07/UP-D29004_D29007_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Showering_Collection_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_Ionic_Essence_Hinge_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Merlyn_Ionic_Essence_Hinge_Install.pdf,,,,
25,PD65181,PREMIER8 PIVOT DOOR 1000X2000 GLASS CH,Coram,405.93,"A contemporary, minimalist design, the 1000mm Coram Premier 8 pivot door shower enclosure has modern linear handles and a semi-frameless design with concealed fixings and soft close sliding doors for a touch of luxury. Seamless flush rollers and ultra-clear soft seals are easy to clean and Level and Lock screwless adjustment ensures secure, straightforward installation. The Premier 8's pivot door is made using 8mm toughened safety glass and has a rise and fall pivot hinge, allowing the door to remain open at 90° and close easily.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> PREMIER8 PIVOT DOOR 1000X2000 GLASS CH,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/81/UP-D65177_D65181_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Premier_8_Pivot_Door_Install.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Premier_8_Pivot_Door_Technical.pdf,,,
26,PD28572,Merlyn MBOX pivot shower door 760mm,Merlyn,304.12,"Combining practicality and style, the 760mm Merlyn MBox pivot shower door is ideal for recess and corner shower installations. 1900mm tall and built from tough 6mm safety glass, the MBox offers reversible installation to suit your bathroom, easy installation with generous per profile adjustment and Mershield Stayclear treatment for effortless cleaning.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Merlyn MBOX pivot shower door 760mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/73/UP-D28571_D28573_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_MBOX_PivotDoor_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_MBOX_PivotDoor_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Merlyn_MBOX_Enclosures_Brochure.pdf,,,,
27,PD28920,Merlyn Ionic Express pivot door 760mm,Merlyn,402.23,"A favourite choice among installers, the Merlyn Ionic Express 760mm pivot door is practical, functional and stylish as well as simple to install with an Easy Fit system for a quicker job. Easy to clean, this door is built in robust 6mm safety glass with a Mershield Stayclear coating and features smooth, quick-release rollers.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Merlyn Ionic Express pivot door 760mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/22/UP-D28919_D28922_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Merlyn_IonicExpress_SidePanel_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Showering_Collection_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_IonicExpress_PDoor_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Merlyn_IonicExpress_PDoor_Install.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_IonicExpress_PDoorPanel_Tech.pdf,
28,PD28919,Merlyn Ionic Express pivot door shower enclosure 700mm,Merlyn,412.95,"A favourite choice among installers, the Merlyn Ionic Express 700mm pivot door is practical, functional and stylish as well as simple to install with an Easy Fit system for a quicker job. Easy to clean, this door is built in robust 6mm safety glass with a Mershield Stayclear coating and features smooth, quick-release rollers.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Merlyn Ionic Express pivot door shower enclosure 700mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/22/UP-D28919_D28922_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Merlyn_IonicExpress_SidePanel_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Showering_Collection_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_IonicExpress_PDoor_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Merlyn_IonicExpress_PDoor_Install.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_IonicExpress_PDoorPanel_Tech.pdf,
29,PT41776,Scudo pivot door 800 x 1850mm - 6mm glass,Scudo,164.29,"Designed with a quality pivot mechanism for smooth opening and closing, the Scudo S6 800 x 1850mm pivot shower door is a perfect finishing touch for a modern bathroom. Easy to clean thanks to its Aquashield treatment, this door is made of a thick clear glass with chrome frame and fittings and offers easy installation, even in rooms where walls aren't quite perfect.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Scudo pivot door 800 x 1850mm - 6mm glass,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/77/T41775_T41777_wm.jpg,,,Clear,up to 6 mm,"Lifetime (fixed parts only), 2 years moving parts and seals",N,,Chrome,Aluminium,S6-GLASS019,Pivot,N,With 6mm thick toughened safety glass,Aquashield glass treatment for ease of cleaning,Universal design offers left and right handed opening,Easy to install,Large adjustment for out-of-true walls,Lifetime warranty for fixed parts only,2 year warranty on moving parts and seals,,,,,,,,,
30,PD23785,Roman Haven 8 sliding door 1500mm,Roman,382.99,"Offering wide access suitable for most bathrooms and users, the Roman Haven 8 1500mm sliding shower door has a smooth sliding action to contribute to a sense of luxury. Fitted with a polished chrome frame and low profile seals, this understated 1950mm height shower door will fit seamlessly into most decorative schemes while features like quick-release rollers help to make cleaning and maintenance simple.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Roman Haven 8 sliding door 1500mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/85/D23783_D23785_wm.jpg,,,Chrome/Polished,8mm,Lifetime,N,80,Polished Chrome,AluminiumGlass,H4S15CS,Shower Enclosure,N,Reversible for left or right-hand fixing,Smooth running quick-release roller bearings,Minimalist low profile seals,Chromed brass handles,Polished chrome frame,Lifetime warranty,,,,,,,,Haven 8,,
31,PA21974,GEO 800MM BIFOLD DOOR L OR RH 6MM GLASS,Twyford,289.66,"A simple, practical design, the Twyford Geo 900 x 1900mm bifold glass shower door makes the most of floor space in a bathroom by folding back on itself when opened. Manufactured with a safe toughened glass with ProClean coating, this shower offers easy streak-free cleaning while magnet closures ensure a leakproof seal. Installation of these Geo doors is simplified with right or left-handed installation to suit your space.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> GEO 800MM BIFOLD DOOR L OR RH 6MM GLASS,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/74/A21974_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/19/74/A21974.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PD12266,Ideal Standard Connect 2 slider door 1100mm Bright Silver,Ideal Standard,622.85,"Easy to install and maintain, the Ideal Standard Connect2 1100mm slider door is made with tough 6mm safety glass treated with IdealClean for a long lasting shine and features click-and-clean wheels that can be removed for a complete top-to-toe cleaning job. Fitted with a high shine chrome frame and handle and concealed fixings, this power shower-proof 1955mm height shower cubicle door combines stylish design with practical robustness.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Ideal Standard Connect 2 slider door 1100mm Bright Silver,,Frame ;glass screens,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/66/D12266_wm.jpg,,,Bright Silver,6mm,10 Years,N,79,Bright Silver,Toughened Safety Glass,K9395EO,Shower Door,N,6mm toughened clear safety glass,IdealClean treatment for easier cleaning,Offers 25mm adjustment per profile,With chrome plated handle,Click-and-clean removable wheels,Unhanded for flexible installation,Includes concealed fixings,Smooth running wheels,Power shower-proof,10 year warranty,,,,Connect 2,,
33,PD65133,Coram Optima 6 pivot door 760 x 1900mm Glass/Chrome Finish,Coram,201.34,"Ideal for small bathrooms or en-suites, the 760 x 1900mm Coram Optima 6 pivot door shower enclosure has an in-swing to minimise its intrusion on your precious space and a 20mm adjustment per profile for a perfect fit. This modern, semi-frameless pivot door enclosure includes smooth rise and fall hinges, ultra-clear seals and stay-clean glass for hassle-free cleaning while Coram's Lock and Level system allows for screwless adjustment and Cam and Pin system makes installation fast.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Coram Optima 6 pivot door 760 x 1900mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/36/UP-D65132_D65136_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Coram_Optima_6_Pivot_Door_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Optima_6_Pivot_Door_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,,,
34,PD56174,Merlyn IQ 900 Pivot Door,Merlyn,361.85,"Quick and easy to install, the Merlyn IQ 1900 x 900mm pivot shower enclosure has a unique patent pending easy-fit mechanism that means it can even be fitted single handedly. With no screws used in the shower frame assembly, this cubicle is built directly onto the shower tray, an ideal set-up for bathrooms and en suites with minimal floor space. Drill-free slot-and-lock fitting and smart tools make the Merlyn IQ an installers dream.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Merlyn IQ 900 Pivot Door,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/74/NW-D56172_D56174_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Merlyn_IQ_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Merlyn_IQ_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PD65178,Coram Premier 8 pivot door 760 x 2000mm Glass/Chrome finish,Coram,255.31,"A contemporary, minimalist design, the 760mm Coram Premier 8 pivot door shower enclosure has modern linear handles and a semi-frameless design with concealed fixings and soft close sliding doors for a touch of luxury. Seamless flush rollers and ultra-clear soft seals are easy to clean and Level and Lock screwless adjustment ensures secure, straightforward installation. The Premier 8's pivot door is made using 8mm toughened safety glass and has a rise and fall pivot hinge, allowing the door to remain open at 90° and close easily.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Coram Premier 8 pivot door 760 x 2000mm Glass/Chrome finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/81/UP-D65177_D65181_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Premier_8_Pivot_Door_Install.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Coram_Premier_8_Pivot_Door_Technical.pdf,,,
36,PD65135,Coram Optima 6 pivot door 900 x 1900mm Glass/Chrome Finish,Coram,254.9,"Ideal for small bathrooms or en-suites, the 900 x 1900mm Coram Optima 6 pivot door shower enclosure has an in-swing to minimise its intrusion on your precious space and a 20mm adjustment per profile for a perfect fit. This modern, semi-frameless pivot door enclosure includes smooth rise and fall hinges, ultra-clear seals and stay-clean glass for hassle-free cleaning while Coram's Lock and Level system allows for screwless adjustment and Cam and Pin system makes installation fast.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Coram Optima 6 pivot door 900 x 1900mm Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/36/UP-D65132_D65136_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Coram_Optima_6_Pivot_Door_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Optima_6_Pivot_Door_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,,,
37,PD29007,Merlyn Ionic Essence hinge and inline moving panel (only),Merlyn,375.29,"The Merlyn Ionic Essence hinged door and fixed inline panel (sold separately) is manufactured in tough 8mm glass protected with Mershield Stayclear for easy cleaning. With smart chrome-finish door handles and a frameless side panel, this set-up is ideal for creating your perfect corner shower enclosure.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Merlyn Ionic Essence hinge and inline moving panel (only),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/07/UP-D29004_D29007_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Showering_Collection_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_Ionic_Essence_Hinge_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Merlyn_Ionic_Essence_Hinge_Install.pdf,,,,
38,PD65132,Coram Optima 6 pivot door 700 x 1900m Glass/Chrome Finish,Coram,196.26,"Ideal for small bathrooms or en-suites, the 700 x 1900mm Coram Optima 6 pivot door shower enclosure has an in-swing to minimise its intrusion on your precious space and a 20mm adjustment per profile for a perfect fit. This modern, semi-frameless pivot door enclosure includes smooth rise and fall hinges, ultra-clear seals and stay-clean glass for hassle-free cleaning while Coram's Lock and Level system allows for screwless adjustment and Cam and Pin system makes installation fast.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Coram Optima 6 pivot door 700 x 1900m Glass/Chrome Finish,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/36/UP-D65132_D65136_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Coram_Optima6_Premier8_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Coram_Optima_6_Pivot_Door_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Coram_Optima_6_Pivot_Door_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Coram_Showers_Brochure_July_2021.pdf,,,
39,PD28922,Merlyn Ionic Express pivot door shower enclosure 900mm,Merlyn,474.24,"A favourite choice among installers, the Merlyn Ionic Express 900mm pivot door is practical, functional and stylish as well as simple to install with an Easy Fit system for a quicker job. Easy to clean, this door is built in robust 6mm safety glass with a Mershield Stayclear coating and features smooth, quick-release rollers.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Merlyn Ionic Express pivot door shower enclosure 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/22/UP-D28919_D28922_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Merlyn_IonicExpress_SidePanel_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Ionic_Showering_Collection_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Merlyn_IonicExpress_PDoor_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_IonicExpress_PDoor_Tech.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Merlyn_IonicExpress_PDoorPanel_Tech.pdf,
40,PD12251,Ideal Standard Connect 2 quadrant enclosure (door radius 550mm) 900 x 900mm Bright Silver,Ideal Standard,812.42,"Offering practical sophistication, the 900mm Ideal Standard Connect 2 quadrant shower enclosure is manufactured in high quality clean glass with a bright silver-finish frame. With a range of features for improved installation, cleaning and maintenance, the Connect 2 enclosure is suitable for installation on a tray or direct to a tiled floor.",Showering/Shower Doors and Enclosures/Pivot Shower Enclosures/Pivot Shower Enclosures.csv -> Ideal Standard Connect 2 quadrant enclosure (door radius 550mm) 900 x 900mm Bright Silver,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/51/UP-D12250_D12251_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/IS_Bathrooms_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Connect_2_Quad_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
