,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Range,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Colour,Thickness,Waste Supplied,Bowl Type,Bowl Shape,Fitting / Mounting Type,Main Bowl Size,Material,Number of Tap Holes,Second Bowl Size,Depth (mm),Feature 15,Feature 16,Connection,Connection Size,Thread Standard,Thread Size,Maximum Operating Temperature,Application,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Style,Warranty,Sector,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Handle Type,Finish,Pack Quantity,Flush Type,Overflow Type,Air Pipe Supplied,Inlet Position,Flush Mechanism,Fittings Included,Feature 17,Feature 18,Anti Slip,Grips/Handles,Weight,Mounting Type,Feature 19,Feature 20,Feature 21,Position,Pre-Drilled Waste Hole,Pre-Drilled Overflow,Anti Slip Surface,Grips or Handles,Shape,Capacity Litre,Dimensions (L x W x D),Diameter,Attachment 6,Attachment 7,Attachment 8
49,PB24017,Nabis Flushing side entry concealed cistern,Nabis,53.1,"The innovative air inlet valve fitted to the Nabis Flushing concealed toilet cistern is capable of achieving an AG-type air gap. Providing easy installation, this complete kit includes a flushing valve, side entry valve and a smart chrome-plated push button. The compact Flushing is suitable for either in-wall or in-furniture installation and has a 6/4L or 4/2.6L adjustable dual flush with delayed action inlet valve, helping users to minimise water usage.",Commercial Plumbing/Commercial Plumbing.csv -> Nabis Flushing side entry concealed cistern,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/17/NW-B24016_B24017_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_t/ds/B24017_Nabis_TDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_B24016_B24017_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PB79122,Cistermiser replacement solenoid valve kit for IRC cistern valve,Cistermiser,121.83,A Cistermiser replacement solenoid valve kit for infrared urinal flush control valves.,Commercial Plumbing/Commercial Plumbing.csv -> Cistermiser replacement solenoid valve kit for IRC cistern valve,,Solenoid Valve,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/22/NW-B79122_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Cistermiser_Specification_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PB77700,Ideal Standard Contour urinal bowl 675mm White,Ideal Standard,462.84,"Classically designed, the Ideal Standard Contour urinal bowl is easy to clean and vandal-resistant to minimise maintenance. Ensuring reduced water waste compared to toilets, these urinals aren't just space-saving in a public toilet, they're eco-efficient too.",Commercial Plumbing/Commercial Plumbing.csv -> Ideal Standard Contour urinal bowl 675mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/77/00/NW-B77700_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/IS_Armitage_Shanks_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Contour_Urinals_B_Inlet_40_1_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PB98510,Saniflo SaniSlim sanitary system,Saniflo,580.3,"A slimline unit designed for easy concealed installation, the Saniflo SaniSlim macerator pump is ideal for concealment in kitchen or utility room units or for unobtrusive fitting behind slimline WCs. This powerful pump has four inlets for connection to domestic sinks or appliances and incorporates a carbon air filter to combat odours.",Commercial Plumbing/Commercial Plumbing.csv -> Saniflo SaniSlim sanitary system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/10/NW-B98510_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B98510_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sani_Vite_Pump2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PB97944,Twyford Flushsense air button dual flush - plastic plate chrome,Twyford,54.56,"This Twyford large, plastic flush plate is finished in chrome and suitable for dual flush operation.",Commercial Plumbing/Commercial Plumbing.csv -> Twyford Flushsense air button dual flush - plastic plate chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/44/NW-B97944_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Twyford_ConcealedCisternWC_DFPB_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Twyford_ConcledCisternMatrixBrochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PB62122,Ideal Standard Markwik 21+ tap hole panel mounted with lever operation and spout,Ideal Standard,623.56,"Offering sequential control, the Ideal Standard Markwik 21+ thermostatic basin mixer with lever draws comfortably mixed hot and cold water with each use. Designed for safety, this smart mixer uses insulated technology for a safe-touch surface as well as providing a built-in thermal cleanse and BioGuard outlet for a reduced risk of contamination. Suitable for use in clinical settings, this mixer tap has a detachable spout for sterilisation using an autoclave or washer disinfector.",Commercial Plumbing/Commercial Plumbing.csv -> Ideal Standard Markwik 21+ tap hole panel mounted with lever operation and spout,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/22/NW-B62122_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/IS_Markwik_21+_Mixer_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Markwik_21+_A6682AA_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,P870119,Reliance Valves Easifit union 4 in 1 TMV 22mm,Reliance Valves,113.12,A Radiance Valves Easifit 4-in-1 22mm TMV union.,Commercial Plumbing/Commercial Plumbing.csv -> Reliance Valves Easifit union 4 in 1 TMV 22mm,,Thermostatic mixing valve;Isolating valve;Check valve;Strainers;Test port,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/19/NW-870118_870119_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Easifit_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PC29082,Ideal Standard Starlite 1 tap hole hairdressers mixer tap and kit Chrome Plated,Ideal Standard,224.85,"Designed for use in salons, the Ideal Standard Starlite hairdresser's mixer includes sturdy metal handles, a flexible hose and metal sleeve and a handspray for targeted rinsing. Hardwearing, this deck-mounted mixer is finished in glossy chrome.",Commercial Plumbing/Commercial Plumbing.csv -> Ideal Standard Starlite 1 tap hole hairdressers mixer tap and kit Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/82/NW-C29082_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Starlite_S7450AA_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PD61262,Bristan Opac TS3650 lever exp shower valve,Bristan,462.76,"Suitable for all plumbing systems, this Bristan Opac TS3650 exposed shower valve with lever handle is made of brass with a chrome-plated finish. It is a single sequential control operating both temperature and flow.",Commercial Plumbing/Commercial Plumbing.csv -> Bristan Opac TS3650 lever exp shower valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/62/NW-D61262_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D61262_Spare_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_TMV2_Service_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D61262_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PJ23369,Ideal Standard Avon 21 self closing basin mixer tap Chrome Plated,Ideal Standard,396.97,"The smartly designed Ideal Standard Avon 21 washbasin mixer with self closing push button is ideal for commercial use. This chrome deck-mounted tap incorporates an anti-vandal design, flow regulator for reduced waste and variable temperature control.",Commercial Plumbing/Commercial Plumbing.csv -> Ideal Standard Avon 21 self closing basin mixer tap Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/69/NW-J23369_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Avon_21_B8861AA_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochur_2014.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PC16907,Delabie Tempomatic Mix 3 bath shower mixer (MIX3) with stop cock 15mm 6v,Delabie,423.79,"Designed for safety, hygiene and economy, the Delabie Tempomatic Mix 3 electronic bath/shower mixer tap uses a movement sensor to predict just when to turn on. Ideal for users with reduced mobility or for use in commercial premises where water waste is a concern, this deck-mounted 120mm tap is fitted with a scale-resistant flow straightener and reduced stagnation solenoid valve for safer, cleaner operation and robust longevity. An optional anti-bacterial duty flush and anti-blocking security measures are also included.",Commercial Plumbing/Commercial Plumbing.csv -> Delabie Tempomatic Mix 3 bath shower mixer (MIX3) with stop cock 15mm 6v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/07/NW-C16907_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Delabie_Tempomatic_Mix_3_4_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Delabie_Tempomatic_Mix_3_Mixer_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Delabie_US_Eng_49200615_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Delabie_NT490_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,PB97257,Ideal Standard Contour 21 standard seat no cover White,Ideal Standard,78.37,"Suitable for use in schools, this Ideal Standard Contour 21 bottom fixing white toilet seat is manufactured in a highly durable plastic for easy cleaning, hygienic use and reliable durability.",Commercial Plumbing/Commercial Plumbing.csv -> Ideal Standard Contour 21 standard seat no cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/57/NW-B97257_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Contour_21_S4059_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,PJ23586,Armitage Shanks Contour 21+ doc M back to wall left handed rails Stainless Steel,Armitage Shanks,1794.33,"Doc M Contour 21+ back to wall left hand corner pack, rimless WC pan, water saving delay fill Conceala cistern with spatula lever, grab rails, hinged support rail with toilet roll holder, seat no cover with retaining buffers, copper tails on TMV3 mixer tap. Doc M pack, specifically designed to latest recommendations which call for the tap to be positioned more conveniently on the side of the basin closest to the seated user. These packs have a left hand or right hand single taphole basin specific to that need. Taps have copper tails as these are preferred in many applications. TMV3 approved basin mixer to help prevent scalding with integral thermostat to reduce Legionella risk. Water saving 4.5 or 6 litre cistern.",Commercial Plumbing/Commercial Plumbing.csv -> Armitage Shanks Contour 21+ doc M back to wall left handed rails Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/5_/lh/S0685_LH_wm.jpg,,,,,,Contour 21,N,S0685MY,Back to Wall Left Handed Rails,N,Delivered in one box,Further rail colour options,LABC approved,BS8300 compliant,Stainless Steel finish rails with Grey seat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,PD06417,Saracen WhiffAway Waterless Urinals waterless powerballs (Pack of 3),Saracen,34.33,Saracen Waterless Urinal Maintenance Pack.  Quarterly (3 month) maintenance pack with all components required to maintain your Saracen Waterless Urinals.  Helpline provided for technical support.,Commercial Plumbing/Commercial Plumbing.csv -> Saracen WhiffAway Waterless Urinals waterless powerballs (Pack of 3),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/17/NW-D06417_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ba/ll/Saracen_ChangingthePowerBall.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Whiffaway_PowerBall_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/D06417_Saracen_Maintenance.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/ss/Saracen_D06416-D06419_ConvrsnProcess.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saracen_D06416-D06419_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,PC96149,"Armitage Shanks Stewart inset stainless steel single bowl sink, no overflow and right hand drainer, 920 x 500mm, 2 tapholes at",Armitage Shanks,283.22,"Suitable for installation in staff areas, the Armitage Shanks Stewart 920 x 500mm single bowl sink with drainer is designed for inset fitting into a work surface. This stainless steel sink is supplied complete with tap holes at 200mm centres.","Commercial Plumbing/Commercial Plumbing.csv -> Armitage Shanks Stewart inset stainless steel single bowl sink, no overflow and right hand drainer, 920 x 500mm, 2 tapholes at",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/49/C96149_wm.jpg,,,,,,,N,S1298MY,Inset Sink,N,Stainless steel construction,Right handed drainer,With 2x tap holes,Without drainer,On-furniture installation,No overflow and right hand drainer,,,,,,,,,Stainless Steel,5 mm,No,1,Rectangle,on furniture,420x350,Stainless Steel,2,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,PB97252,Ideal Standard Contour 21 standard seat plus cover White,Ideal Standard,85.48,"Suitable for use in schools, this Ideal Standard Contour 21 bottom fixing white toilet seat and cover is manufactured in a highly durable plastic for easy cleaning, hygienic use and reliable durability.",Commercial Plumbing/Commercial Plumbing.csv -> Ideal Standard Contour 21 standard seat plus cover White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/52/NW-B97252_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Contour_21_S4058_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,PJ76137,Grohe Dal rubber pan connector,Grohe,15.69,A Grohe Dal toilet flush pipe connector.,Commercial Plumbing/Commercial Plumbing.csv -> Grohe Dal rubber pan connector,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/37/NW-J76137_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grohe_Dal_37119000_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,PC16906,TEMPOMATIC MIX 4 BASM 6V BAT15MM +STOPCK,Delabie,333.28,"Offering touch-free hygiene, the Delabie Tempomatic Mix 4 electronic tap incorporates a movement sensor for waste-free delivery and a range of features designed to promote safe, clean use. This chrome-plated, deck-mounted tap includes a scale-resistant flow straightener and reduced stagnation solenoid valve as well as the option of an antibacterial duty flush.",Commercial Plumbing/Commercial Plumbing.csv -> TEMPOMATIC MIX 4 BASM 6V BAT15MM +STOPCK,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/06/NW-C16906_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Delabie_US_Eng_49000615_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Delabie_NT490_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,PB98526,Saniflo SaniCom 1 heavy duty commercial pump system,Saniflo,766.23,"The powerful Saniflo SaniCom 1 macerator pump is ideal for use in public or commercial environments like catering kitchens. A powerful lifting station, the SaniCom 1 incorporates two inlets and can handle high temperatures over shorter periods, making it suitable for washing machines or dishwashers.",Commercial Plumbing/Commercial Plumbing.csv -> Saniflo SaniCom 1 heavy duty commercial pump system,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/26/B98526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Saniflo_Sanicom_130_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/B98526_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Saniflo_Pumps_Macerators_Brchr_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,PD61046,"Rada thermostatic mixer valve 1/2""",Rada,283.79,"Approved for use in healthcare facilities, this Rada 215-T3 DK 1/2"" thermostatic mixing valve with Radatherm cartridge is safe, controllable and suitable for under-basin mounting.","Commercial Plumbing/Commercial Plumbing.csv -> Rada thermostatic mixer valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/46/NW-D61046_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Rada_215_T3_DK_Dimensions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_215_222_Series_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/cs/Rada_215_T3_DK_V2_App_Schematics.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rada_ProductRange_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_215_T3_DK_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,PD64414,Intatec Non Concussive basin mounted non-concealed taps,Intatec,72.09,"Designed for use with thermostatic mixing valves, this pair of Intatec 110mm height basin-mounted taps combine manual operation with automatic closing, helping to reduce water waste. Easy to operate via simple knobs, these taps offer convenience for those with limited mobility and are suitable for use in public changing rooms and bathrooms.",Commercial Plumbing/Commercial Plumbing.csv -> Intatec Non Concussive basin mounted non-concealed taps,,2x basin mounted taps,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/44/14/NW-D64414_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Intatec_NC162CP_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Intatec_NC162CP_Spare_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intatec_NC162CP_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,PJ23302,Ideal Standard Portman 21 basin bracket with waste 500/600mm,Ideal Standard,35.72,This modern Ideal Standard Portman 21 concealed bracket and waste support is designed for use with 500mm and 600mm wash basins.,Commercial Plumbing/Commercial Plumbing.csv -> Ideal Standard Portman 21 basin bracket with waste 500/600mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/02/J23302_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
