,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Flow Rate,Warranty,Hazardous,Depth (mm),Enclosure Class,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Connection,Connection Size,Thread Standard,Material,Thread Size,Maximum Operating Temperature,Application,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 2,Attachment 3,Weight,Phase,Output,Litres,Capacity Litre,Range,Feature 6,Voltage (V),Frequency,Pressure Rating
28,P180047,Grundfos Alpha straight spare plug coupling,Grundfos,28.0,A Grundfos Alpha pump plug with straight standard connection.,Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos Alpha straight spare plug coupling,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/47/NW-180047_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_Alpha_Plug_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Alpha1_Brochure.pdf,,,,,,,,,,,
29,P141530,Pump House Adaptors condensate soil and vent adaptor,Pump House,18.34,"Made of stainless steel, this Pump House 6 to 9.5mm (1/4 to 3/8"") self-sealing soil and vent adapter connects hose to soil and vent pipes.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Pump House Adaptors condensate soil and vent adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/30/NW-141530_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_CondensatePump_Acsrs_Tech.pdf,,,,,,,,,,,
30,P148839,"Grundfos brass union set BSP 1.1/4""",Grundfos,136.0,"Made of brass and bronze, this Grundfos union set with G2/Rp 1 1/4"" pipework connection and PN10 pressure rating is designed for Alpha2 TP 32B and UP 32B circulator pumps.","Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos brass union set BSP 1.1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/39/NW-148839_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_Alpha2_L_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grundfos_Alpha2_Instructions.pdf,,,,,,,,,,,
31,P148884,"Grundfos union valve set 22mm 1 1/4""",Grundfos,49.0,"This Grundfos connecting piece is made of brass and bronze with a ball valve and G1 1/4"" pump connection x 22mm pipework connection.","Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos union valve set 22mm 1 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/84/NW-148884_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Grundfos_Pump_Replacement_Guide_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,P157045,Grundfos 96412345 vibration damper,Grundfos,171.13,"Designed for use with the Hydro MPC pump system, this Grundfos CRI(E) 10 to CRI(E) 20 machine shoe reduces vibrations passed from a system into the floor, allowing for height adjustment by ±20mm.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos 96412345 vibration damper,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/45/NW-157045_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_Hydro_Multi_S_Data_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P193155,Hotun SF HWSF15-22 SF dry trap tundish 15x22mm White,Hotun,25.43,"The Hotun HWSF15-22 dry trap tundish is designed to supply safe discharge from a relief valve and to keep waste pipe odours from entering a building. Built for full compliance with water and building regulations, the SF range connects relief valve discharge to a foul waste or soil pipe, with one-way flow of water along with regulation required back-flow contamination and back-siphonage protection. This prevents cross-contamination of wholesome water. This dry trap tundish is approved for use as an air break to drain in commercial and domestic systems.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Hotun SF HWSF15-22 SF dry trap tundish 15x22mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/55/NW-193155_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hotun_SF_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Hotun_SF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hotun_SF_Installation.pdf,,,,,,,,,,
34,P118449,Baxi Multifit wired multi outdoor sensor for combi boiler White,Baxi,35.28,"Designed to position a temperature sensor on an outside wall, this Baxi Multifit QAC34 outdoor sensor kit allows homeowners to enjoy all the efficiency benefits of outdoor weather temperature compensation control. The sensor takes the outdoor temperature into consideration and regulates boiler flow temperature accordingly to meet the required comfort levels with minimal waste.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Baxi Multifit wired multi outdoor sensor for combi boiler White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/49/NW-118449_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/118449_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Baxi_Range_Guide.pdf,,,,,,,,,,,
35,P538602,"Altecnic Caleffi 108701 anti-freeze valve 1 1/4""",Altecnic,96.88,"Protecting heat pump equipment as well as associated valves and pipework, the Altecnic Caleffi 1 1/4"" anti-freeze valve drains circuit medium when its temperature reaches a low of 3C. This keeps potentially damaging ice from forming in the system, reducing the risk of damage and malfunction.","Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Altecnic Caleffi 108701 anti-freeze valve 1 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/86/02/538602_wm.jpg,,,,N,,,,108701,Anti-Freeze Valve,N,For use with heat pumps,MBSP,1.1/4 in,G / BSPP,Brass,1 1/4 in,65,Heat Pumps,Prevents ice forming in circuit,Reduces risk of damage to machine and pipes,Mechanical protective system,Air sensor versions allows system to work in cooling mode with water temperature approaching 3°C,,,,,,,,Caleffi,"With 1 1/4"" BSP male connections",,,
36,P148885,"Grundfos brass union set 3/4""",Grundfos,52.0,"Made of brass and bronze, this Grundfos union set with G1 1/4"" pump connection x Rp 3/4"" pipe connection is designed for use with UP 20-xx N and B pumps.","Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos brass union set 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/85/NW-148885_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Grundfos_Pump_Replacement_Guide_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,P193159,Hotun Shield SF HSSF tundish shield SF,Hotun,5.67,"The Hotun HSSF dry trap tundish is designed to supply safe discharge from a relief valve and to keep waste pipe odours from entering a building. Built for full compliance with water and building regulations, the SF range connects relief valve discharge to a foul waste or soil pipe, with one-way flow of water along with regulation required back-flow contamination and back-siphonage protection. This prevents cross-contamination of wholesome water. This dry trap tundish is approved for use as an air break to drain in commercial and domestic systems.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Hotun Shield SF HSSF tundish shield SF,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/59/NW-193159_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hotun_SF_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Hotun_SF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Hotun_SF_Installation.pdf,,,,,,,,,,
38,P149246,Grundfos differential pressure transducer 0-2.5bar,Grundfos,837.38,This Grundfos 12 - 30V differential-pressure sensor with M8 screw (self-cutting) for mounting on MGE 112/132 is supplied with an angular bracket for mounting on a motor or a bracket for wall mounting.,Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos differential pressure transducer 0-2.5bar,,Sensor;Angular bracket;M8 screw,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/46/NW-149246_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_E_Pumps_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,P110984,"Grundfos Magna Kit, Phead DN50-120 MAGNA1 ABC/MAGNA3 D",Grundfos,1643.0,"This Grundfos Magna DN 50-120 pump head kit, including shaft with impeller and rotor can, is compatible with Magna1 A, B and C and Magna3 D pumps.","Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos Magna Kit, Phead DN50-120 MAGNA1 ABC/MAGNA3 D",,Shaft;Impeller;Rotor can,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/84/NW-110984_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Grundfos_Magna_Service_Kit_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,P100673,WILO MECH SEAL GROUP 3 IPL DPL IP-E DP-E,Wilo,374.0,"This Wilo GRD group 3, standard version 60mm mechanical seal withstands a maximum fluid temperature of 120°C and offers compatibility with IPL, DPL, IP-E and DP-E.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> WILO MECH SEAL GROUP 3 IPL DPL IP-E DP-E,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/73/NW-100673_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Wilo_Mechanical_Seal_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,P148838,"Grundfos brass union set BSP 1""",Grundfos,22.0,"Made of brass and bronze, this Grundfos union set with G1 1/2"" pump connection x Rp 1 pipe connection and PN10 pressure rating is designed for use with Alpha 25-40B, 25-60B, TP 25B and UP 25B pumps.","Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos brass union set BSP 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/38/NW-148838_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Grundfos_Pump_Replacement_Guide_2017.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_Alpha2_L_Installation.pdf,,,,,,,,,,,
42,P144341,"Grundfos union set 5/4"" Cast Iron (Pair)",Grundfos,53.65,"Made of cast iron, this Grundfos union set with G1 1/2"" x Rp 1 1/4"" pipework connection is designed for use with UP 25-xx pumps.","Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos union set 5/4"" Cast Iron (Pair)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/41/NW-144341_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Grundfos_Pump_Replacement_Guide_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,P148840,"Grundfos brass union set BSP 1.1/2""",Grundfos,1284.0,"This Grundfos brass flange set with 1 1/2"" connection is designed for use with UPS 40-XX FN pumps.","Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos brass union set BSP 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/40/NW-148840_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Grundfos_Pump_Replacement_Guide_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,P110983,"Grundfos Magna Kit, Phead DN40-120 MAGNA1 ABC/MAGNA3 D",Grundfos,1384.0,"A Grundfos Magna DN 40 - 120/150/180 D-F version pump head kit supplied with shaft with impeller and rotor can. This kit is suitable for Magna 1 A, B and C and Magna 3 D pumps.","Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos Magna Kit, Phead DN40-120 MAGNA1 ABC/MAGNA3 D",,Shaft;Impeller;Rotor can,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/83/110983_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Grundfos_Magna_Service_Kit_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,P795257,Grundfos Magna pump head,Grundfos,512.0,"Compatible with Magna3 pumps, this Grundfos pump head kit includes a shaft with impeller and rotor can.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos Magna pump head,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/57/NW-795257_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Grundfos_Magna_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,P144009,"Grundfos flange set for UPS/UPE/UP40F 1.1/2""",Grundfos,138.0,"Made of carbon steel, this Grundfos threaded flange with DN 40 pump connection x Rp 1 1/2"" pipe connection is designed for use with UP 40-xx F, UP 20xx N and B pumps.","Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos flange set for UPS/UPE/UP40F 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/09/NW-144009_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Grundfos_Pump_Replacement_Guide_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,P145380,Wilo TOP-S S30/7  R7 40/0.5-12 1 phase replacement head,Wilo,633.0,This IPX4D rated Wilo TOP-S30/7 single phase 230V 10 bar pump head has a direction of rotation signal lamp and manual power adjustment with three speed stages.,Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Wilo TOP-S S30/7  R7 40/0.5-12 1 phase replacement head,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/80/NW-145380_wm.jpg,,,,N,,,,29991408,Pump Head,N,Single phase,,,,,,,Industrial Circulation SystemAir-Conditioning SystemClosed Cooling Circuit,For use with Wilo TOP-S30/7,10 bar pressure rating,,,,,,1,,,,TOP-S S30/7,,230,50,10 bar
48,P101265,Grundfos Magna 3 spacer kit PN6 50mm,Grundfos,86.95,"Made of steel, this Grundfos adapter allows for the replacement of a pump with a different port-to-port length.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Grundfos Magna 3 spacer kit PN6 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/65/NW-101265_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_MAGNA3_Model_D_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Circulator_Pumps_Brochure.pdf,,,,,,,,,,,
49,PD53827,Impey waste kit for use with gulper pump,Impey,162.65,"Suitable for use in a wetroom, this Impey level access horizontal waste kit is designed for use with a gulper pump.",Heating/Central Heating Pumps/Pump Parts and Accessories/Pump Parts and Accessories.csv -> Impey waste kit for use with gulper pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/27/D53827_wm.jpg,,,,N,,,,TAD13,pumped waste for wetroom,N,For use with shower waste pump,,,,,,,,Vinyl construction,Grey colour,,,,,3.28807,,,,,,,,,
