,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Weight,Refrigerant Suitability,Hazardous,Fin Spacing mm,Depth (mm),Surface Area,Air Throw,Fan Amps,Motor,Air Volume (m3 per s),Capacity at SC2 R404A,Inlet Size,Noise Level,Number of Fans,Outlet Size,Power Supply,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Attachment 3
25,P656503,Kelvion cooler ksc-301-srn no defrost,Kelvion,1010.55,"The Kelvion KSC-301-SRN no-defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion cooler ksc-301-srn no defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/03/656503_wm.jpg,25 kg,HFC,N,4 mm,453,24.8,8,0.6,1600,0.43,3.85,12mm,50dB(A) @3m,1,22mm,230/1/50,100788091,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,8M air throw,,,
26,P656596,Kelvion MSC-402-6RE cooler electric defrost,Kelvion,3302.72,"The Kelvion MSC-402-6RE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion MSC-402-6RE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/96/656596_wm.jpg,10.9 Kg,HFC,N,4 mm,590,96.3,19,2.1,1535,2.08,18.18,22 mm,60dB(A) @ 3m,2,42mm,230/1/50,100789017,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1535 RPM motor,19M air throw,,,
27,P675596,Kelvion TEC TEC7-5 cooler,Kelvion,874.23,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC7-5 2.76kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion TEC TEC7-5 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/68/682968_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
28,P675591,Kelvion TEC TEC4-7 cooler,Kelvion,551.46,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC4-7 1.72kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion TEC TEC4-7 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/95/NW-675590_675595_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
29,P656582,Kelvion MSC-401-6BE cooler electric defrost,Kelvion,1897.79,"The Kelvion MSC-401-6BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion MSC-401-6BE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/82/656582_wm.jpg,6.2 Kg,HFC,N,7 mm,590,28.8,16,2.1,1535,1.21,7.79,22 mm,58 Db(A) @ 3m,1,35mm,230/1/50,100789022,Evaporator,N,"The Kelvion MSC-401-6BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",,,,,,,,,
30,P656502,Kelvion cooler ksc-301-sre elec defrost,Kelvion,1097.89,"The Kelvion KSC-301-SRE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion cooler ksc-301-sre elec defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/02/656502_wm.jpg,27kg,HFC,N,4 mm,453,24.8,8,0.6,1600,0.43,3.85,12mm,50dB(A) @3m,1,22mm,230/1/50,100788094,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,8M air throw,,,
31,P656540,Kelvion KSC-401-6BE cooler electric defrost,Kelvion,2093.28,"The Kelvion KSC-401-6BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-401-6BE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/40/656540_wm.jpg,59 kg,HFC,N,7 mm,561,25.6,13,1.3,1270,0.94,6.14,28mm,45dB(A) @3m,1,28mm,230/1/50,100778331,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1270 RPM motor,13M air throw,,,
32,P675597,Kelvion TEC TEC7-7 cooler,Kelvion,874.23,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC7-7 3.02kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion TEC TEC7-7 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/68/682968_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
33,P656532,Kelvion KSC-304-4BE cooler electric defrost,Kelvion,2366.86,"The Kelvion KSC-304-4BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-304-4BE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/32/656532_wm.jpg,54Kg,HFC,N,7 mm,453,30.7,20,0.6,1600,1.85,9.23,22 mm,52dB(A) @3m,4,35mm,230/1/50,100685113,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,20M air throw,,,
34,P656498,Kelvion KSC-301-6RE cooler electric defrost,Kelvion,1061.07,"The Kelvion KSC-301-6RE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-301-6RE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/98/656498_wm.jpg,24 kg,HFC,N,4 mm,453,19.1,8,0.6,1600,0.34,3,12mm,47dB(A) @ 3m,1,22mm,230/1/50,100685077,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,8M air throw,,,
35,P685166,Beermaster BMOP320-1 1 phase condensing unit,Beermaster,2853.6,"Beermaster from Climate Center condensing unit is a flexible packaged cooling system, designed to fully incorporate the demands of the modern cellar cooling industry. An extensive range of reliable, efficient, service friendly condensing units and evaporators catering for cooling capacities between 3 and 15 kW, with rated ambient temperatures up to 38°C. Selections are available with cellar temperatures from 4°C to 12°C, which will meet the increasing range of cooling requirements for pubs, clubs and wine bars. In addition, sound levels have been minimised throughout the range of BMO condensing units and BMIE evaporators. Consisting of compact BMO outdoor, weatherproof, housed units aligned with space saving BMIE evaporators now incorporating EC fan technology, the Climate Center Beermaster range is the solution to all cellar cooling applications. Operating two BMIE evaporators will successfully cool cellars with irregular shapes (with one BMO condensing unit.) Temperature is controlled from one evaporator, t",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Beermaster BMOP320-1 1 phase condensing unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/69/NW-685166_685169_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/-1/685166_IM_Beermaster_BM+_OP320-1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Beermaster_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf
36,P698064,Tecumseh 8338302 condenser,Tecumseh,428.45,A Tecumseh replacement air cooled condenser.,Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Tecumseh 8338302 condenser,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/64/698064_wm.jpg,6.72Kg,,N,,154,,,,,No fan supplied,,9.52,,0,9.52,,8338302,Air Cooled Condenser,N,Replacement condenser,,,,,,,,,
37,P656515,Kelvion KSC-302-6RN cooler no defrost,Kelvion,1349.09,"The Kelvion KSC-302-6RN no-defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-302-6RN cooler no defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/15/656515_wm.jpg,94kg,HFC,N,4 mm,561,85.6,15,1.3,1600,1.55,13.79,22 mm,48dB(A) @3m,2,35mm,230/1/50,100685058,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,15M air throw,,,
38,P656500,Kelvion cooler ksc-301-sbe elec defrost,Kelvion,1136.15,"The Kelvion KSC-301-SBE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion cooler ksc-301-sbe elec defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/00/656500_wm.jpg,25 kg,HFC,N,7 mm,453,14.9,9,0.6,1600,0.49,3.33,12mm,50dB(A) @3m,1,22mm,230/1/50,100788100,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,9M air throw,,,
39,P656508,Kelvion cooler ksc-302-4be elec defrost,Kelvion,1375.8,"The Kelvion KSC-302-4BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion cooler ksc-302-4be elec defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/08/656508_wm.jpg,30Kg,HFC,N,7 mm,453,15.4,14,0.6,1600,0.93,4.35,15mm,49dB(A) @3m,2,28mm,230/1/50,100685111,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,14M air throw,,,
40,P684185,Beermaster BFC-AC-1 free cooler,Beermaster,1774.26,"Designed to save energy in beer cellars, this Beermaster Climate Center free cooler helps to maintain ambient air temperatures at or below 8°C. This system consists of a fan, filter, controller, damper, connection spigot and casing with two temperature probes supplied for monitoring the outside temperature. While one probe should be located outside, through the damper and a wall hole, the other is used to monitor the temperature inside the cellar.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Beermaster BFC-AC-1 free cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/85/NW-684185_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Beermaster_Free_Cooler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf,
41,P656474,Kelvion KSC-231-3RE cooler electric defrost,Kelvion,755.76,"The Kelvion KSC-231-3RE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-231-3RE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/74/656474_wm.jpg,12Kg,HFC,N,4 mm,403,7,6,0.3,1590,0.22,1.44,10mm,41dB(A) @3m,1,12mm,230/1/50,100685065,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1590 RPM motor,6M air throw,,,
42,P656524,Kelvion KSC-303-6BE cooler electric defrost,Kelvion,2042.03,"The Kelvion KSC-303-6BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-303-6BE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/24/656524_wm.jpg,53 kg,HFC,N,7 mm,453,34.3,16,0.6,1600,1.28,5.3,22 mm,51dB(A) @3m,3,35mm,230/1/50,100685117,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,16M air throw,,,
43,P656488,Kelvion KSC-301-3BE cooler electric defrost,Kelvion,861.86,"The Kelvion KSC-301-3BE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-301-3BE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/88/656488_wm.jpg,1.6 kg,HFC,N,7 mm,453,5.8,10,0.6,1600,0.44,1.69,10mm,68dB(A) @m3,1,12mm,230/1/50,100685107,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,10M air throw,,,
44,P685163,Beermaster BMOP210-1 1 phase condensing unit,Beermaster,2388.78,"Beermaster from Climate Center condensing unit is a flexible packaged cooling system, designed to fully incorporate the demands of the modern cellar cooling industry. An extensive range of reliable, efficient, service friendly condensing units and evaporators catering for cooling capacities between 3 and 15 kW, with rated ambient temperatures up to 38°C. Selections are available with cellar temperatures from 4°C to 12°C, which will meet the increasing range of cooling requirements for pubs, clubs and wine bars. In addition, sound levels have been minimised throughout the range of BMO condensing units and BMIE evaporators. Consisting of compact BMO outdoor, weatherproof, housed units aligned with space saving BMIE evaporators now incorporating EC fan technology, the Climate Center Beermaster range is the solution to all cellar cooling applications. Operating two BMIE evaporators will successfully cool cellars with irregular shapes (with one BMO condensing unit.) Temperature is controlled from one evaporator, t",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Beermaster BMOP210-1 1 phase condensing unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/63/685163_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Beermaster_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/10/-1/685163_IM_Beermaster_BM+_OP210-1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf
45,P685164,Beermaster BMOP250-1 1 phase condensing unit,Beermaster,2420.25,"Beermaster from Climate Center condensing unit is a flexible packaged cooling system, designed to fully incorporate the demands of the modern cellar cooling industry. An extensive range of reliable, efficient, service friendly condensing units and evaporators catering for cooling capacities between 3 and 15 kW, with rated ambient temperatures up to 38°C. Selections are available with cellar temperatures from 4°C to 12°C, which will meet the increasing range of cooling requirements for pubs, clubs and wine bars. In addition, sound levels have been minimised throughout the range of BMO condensing units and BMIE evaporators. Consisting of compact BMO outdoor, weatherproof, housed units aligned with space saving BMIE evaporators now incorporating EC fan technology, the Climate Center Beermaster range is the solution to all cellar cooling applications. Operating two BMIE evaporators will successfully cool cellars with irregular shapes (with one BMO condensing unit.) Temperature is controlled from one evaporator, t",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Beermaster BMOP250-1 1 phase condensing unit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/64/685164_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/50/-1/685164_IM_Beermaster_BM+_OP250-1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Beermaster_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf
46,P656534,Kelvion KSC-304-4RE cooler electric defrost,Kelvion,2400.06,"The Kelvion KSC-304-4RE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-304-4RE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/34/656534_wm.jpg,54Kg,HFC,N,4 mm,453,51.3,17,0.6,1600,1.5,11.23,22 mm,52dB(A) @3m,4,35mm,230/1/50,100685076,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,17M air throw,,,
47,P675594,Kelvion TEC TEC6-5 cooler,Kelvion,659.04,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC6-5 2.14kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion TEC TEC6-5 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/95/NW-675590_675595_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
48,P656506,Kelvion cooler ksc-302-3re elec defrost,Kelvion,1344.76,"The Kelvion KSC-302-3RE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion cooler ksc-302-3re elec defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/06/656506_wm.jpg,27kg,HFC,N,4 mm,453,19.4,13,0.6,1600,0.82,4.54,15mm,49dB(A) @3m,2,28mm,230/1/50,100685070,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,13M air throw,,,
49,P675590,Kelvion TEC TEC4-5 cooler,Kelvion,551.46,"Suitable for reach-in and walk-in cold cabinets or small cold rooms, the Kelvion Searle TEC4-5 1.61kW small blow-through unit cooler has a wide operating range of 10 to -40°C. This cooler is optimised to meet the requirements of emerging CO2 system designs with variables including transcritical, subcritical and standing pressures.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion TEC TEC4-5 cooler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/95/NW-675590_675595_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Kelvion_Searle_Cooler_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/GEA_TEC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kelvion_Searle_TEC_Technical.pdf
50,P656538,Kelvion KSC-304-6RE cooler electric defrost,Kelvion,2656.31,"The Kelvion KSC-304-6RE electric defrost cooler/evaporator is designed for use in commercial applications. A lightweight unit, this evaporator offers ease of transport and installation while a hinged drip tray and side panels provide simplified maintenance.",Refrigeration/Evaporators & Condensers/Commercial and Industrial/Commercial and Industrial.csv -> Kelvion KSC-304-6RE cooler electric defrost,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/38/656538_wm.jpg,68 kg,HFC,N,4 mm,453,76.4,16,0.6,1600,1.36,12.51,22 mm,52dB(A) @3m,4,35mm,230/1/50,100685080,Evaporator,N,Compatible with HFC refrigerant,With hinged drain tray,With hinged side panels for ease of access,Lightweight design,Up-to-date EC fans offer high levels of efficiency,1600 RPM motor,16M air throw,,,
