,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Seasonal Space Heating Energy Efficiency %,Seasonal Space Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Flow Rate,Water Heating Energy Efficiency Class,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Dry Weight (kg),Boiler Bundles,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6
28,P116257,Grant Vortex Eco Utility 21/26 ErP floor standing utility boiler excluding flue,Grant,1727.56,"With its simplified design, including an uncomplicated pipework layout and fuss-free control panel, the Grant Vortex Eco Utility 21/26 automatic pressure jet oil boilers, is easy to install and particularly well-suited to utility room spaces. Featuring cutting edge internal components such as a Riello RDB low-NOx burner and Grant's own stainless steel heat exchanger, this boiler combines robustness with economy, helping to reduce costs with an ErP A rating while ensuring the best possible performance.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Eco Utility 21/26 ErP floor standing utility boiler excluding flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/58/116256_116258_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_VortexEcoUtility_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_VortexEcoUtilitySystem_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116257_ErP.pdf
29,P333916,Grant Vortex Eco External System 21/26 floor standing oil boiler,Grant,2126.0,"Robustly built to withstand challenging outdoor conditions, the steel-enclosed Grant Vortex Eco External 21/26 condensing boiler is designed for installation outside the home, against a wall or as a freestanding unit. The boiler's multi-directional flue and conveniently quiet operation make siting easy in even the most difficult of locations, while internal components including a tough stainless steel heat exchanger and Riello RDB low-NOx burner help to achieve an ErP A rating.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Eco External System 21/26 floor standing oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Eco_External_wm.jpg,White/Gloss,Oil,Vortex Eco External System,5 Year,136 kg,A,N,A,,26 kW,800,91.67,Floor Standing,333916 PK,External System Boiler Pack,N,Suitable for fitting against a wall or freestanding away from the property,Factory-fitted multi-directional flue for flexible fitting,Exceptionally quiet operation,Galvanised steel enclosure,High quality powder-coated paint finish for weather protection,Fitted with Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Mains isolating switch and test switch,,,Factory-fitted frost stat set to 5°C,5 year warranty available when following Grant installation specification and guidelines,,,,136,,,,,,,
30,P116298,Grant Vortex Pro External Combi 36 ErP high efficiency outdoor combi oil boiler,Grant,3469.61,"Ideal for those homes where space is at a premium, the Grant Vortex Pro External Combi 36 boiler serves heating and hot water in an instant without the need for an additional water tank and, thanks to the tough powder-coated casing and built-in frost protection, it can be safely installed and run from the garden, garage or cellar. Fitted with the super reliable Riello RDB burner for compliancy with 2018 low NOx legislation and offering an ErP A rating, this 36kW combi reduces environmental impact and fuel bills while increasing hot water performance via Grant's larger sized heat exchangers.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Pro External Combi 36 ErP high efficiency outdoor combi oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/98/116296_116298_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116298_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Pro_Ext_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Grant_Vortex_Pro_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Pro_Ext_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/gs/Grant_Vortex_Pro_Burner_Settings.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grant_Vortex_Pro_Ext_Combi_Instructions.pdf
31,P333901,Grant Vortex Pro XS Internal Combi 26 oil boiler XS 26kW,Grant,2593.0,"Compact in size, the Grant Vortex Pro XS Internal Combi 26 condensing boiler also runs extremely quietly for convenient installation in a kitchen or utility room. Part of an award-winning range, this 26kW boiler is fitted with Grant's patented stainless steel heat exchanger and features Riello low-NOx technology, helping it to meet modern NOx emissions targets while delivering an ErP A rating for heating and a B rating for hot water. Providing a simple diagnostic system and super-fast hot water delivery, the Vortex Pro XS is a convenient choice for both homeowner and engineer alike.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Pro XS Internal Combi 26 oil boiler XS 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/om/bi/Grant_Vortex_Pro_Internal_Combi_wm.jpg,White/Gloss,Oil,Vortex Pro XS Internal Combi,5 Year,1.65Kg,A,N,92,,26 kW,606,91,Floor Standing,333901 PK,Combi Boiler Pack,N,Sleek white casing,Compact 515mm wide footprint,Exceptionally quiet operation,Suitable replacement for an older oil-fired combi,Riello low-NOx burner,24L expansion vessel,Neon diagnostic indicators,2 very accurate electronic temperature controls allow boiler to operate in condensing mode on central heating while producing instant hot water,"36.6 L/min @ 10°C, 18.3 L/min @ 20°C",B,Patented Grant larger size stainless steel heat exchanger for improved performance,Low system pressure cut off switch protects boiler in the unlikely event of system water loss,"DHW flow rate 36.6LPM at 10°C, 18.3LPM at 20°C",5 year warranty available when following Grant's installation specification and guidelines,,,,,,,,,
32,P174925,Warmflow Agentis boilerhouse oil boiler 21kW,Warmflow,1268.68,"Designed specifically for boilerhouse or garage installation, the Aegentis Warmflow 21kW oil boiler has a robust blue housing inside which you'll find an efficient heat exchanger supplying A-rated efficiency. This boiler features an up-to-the-minute Riello burner for powerful yet quiet operation, top-mounted flow and return connections and a factory-fitted condensate trap. Warmflow boilers are supplied fully factory-wired with burner and thermostat, helping to simplify installation.",Boilers/Oil Boilers/Oil Boilers.csv -> Warmflow Agentis boilerhouse oil boiler 21kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6_/33/B21 26 33_wm.jpg,,Oil,Agentis,2 years,114 kg,A,N,,A,21 kW,600,-,Floor Standing,B21,Heat Only Boiler,N,Blue leathergrain casing,"Robust, compact design",Front servicing for faster maintenance,For use with conventional flues,Also compatible with HE Easy-Fit balanced flue system,With Riello burner,ErP A-rated,Up to 5 year warranty,,A,,,,,,,,,,,,,
33,P333923,Worcester Bosch Greenstar Danesmoor Utility Regular ErP+ 12/18 boiler,Worcester Bosch,1654.0,"A powerful choice for homes of any size, the Worcester Bosch Greenstar Danesmoor Utility 12/18 ErP+ regular boiler provides reliable supplies even in properties with more than two bathrooms or those where water pressure is low, with no need for a pump or water tank. ErP A-rated for its excellent levels of efficiency, this quiet boiler has a compact design that will slot smartly between units in a kitchen or utility room, keeping it in easy reach for complete control.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Greenstar Danesmoor Utility Regular ErP+ 12/18 boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ro/nt/Danesmoor_Utility_caseon_front_wm.jpg,White,Oil,Greenstar Danesmoor Utility Regular ErP+,,,,N,"90,A/90%",A,,,,,333923 PK,Condensing Regular Boiler Pack,N,Quiet in operation,No need for separate pump and loft tank,Concealed boiler controls including hot water temperature control and system pressure gauge,Over 90% efficiency,Suitable for use where mains water pressure is low,Highly efficient,Suitable for use with Greenskies solar panels,Compatible with Greenstore hot water cylinders,,,2 year warranty,,,,,,,,,,,,
34,P333927,Worcester Bosch Greenstar Danesmoor External 18/25 2022+ heat only boiler,Worcester Bosch,2160.0,"A regular oil boiler ideal for external fitting on properties of almost any size, the Worcester Bosch Greenstar Danesmoor External 18/25 2022+ heat only boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight and flexible, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Greenstar Danesmoor External 18/25 2022+ heat only boiler,,Boiler;Greenstar Danesmoor External installation;Commissioning ;servicing instruction manual;User Instructions;Guarantee registration card;Condensate trap;BSP plug;Cabinet key;100mm services duct;Balanced flue kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/72/115370_115372_wm.jpg,White,Oil,Greenstar Danesmoor External,2 years,114 kg,A,N,"90,A/90%",A,25 kW,780,90.9,Floor Standing,333927 PK,Heat Only Boiler,N,Cross firing burner,Accepts a 30°C return temperature making the appliance perfect for modern heating designs,One piece baffle for quick and easy servicing,Lightweight aiding installation,Easy access oil and hydraulic connections,Compatible with solar thermal,80/125mm room sealed flues with lengths of up to 8m available,Plume management of up to 5m with conventional and flexi-flue kits also available,,,,,,,,,,,,,,,
35,P115066,HRM Wallstar 1 low nox boiler 12-16kw,HRM,2169.66,"Built on over twenty years of experience, the HRM Wallstar 1 boiler is the latest in a long line of successful heating appliances. Retaining the same ease of installation and servicing as its predecessors, the Wallstar 1 offers improved space saving and quieter than ever operation, making it ideal for the smallest of homes. This efficient boiler is fitted with a low-NOx burner for reduced emissions, safer operation and compliancy with EU directives.",Boilers/Oil Boilers/Oil Boilers.csv -> HRM Wallstar 1 low nox boiler 12-16kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/66/115066_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/115066_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/115066_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HRM_HANDBOOK_Installation.pdf,,,
36,P116295,Grant Vortex Pro Internal Combi 36 ErP combi oil boiler,Grant,3310.21,"Efficient, easy to use and hassle-free to fit, the robust Grant Vortex Pro Internal Combi 36 condensing boiler features Riello low NOx burner technology to meet the latest low NOx emission targets while helping to reduce fuel costs and waste through an impressive ErP A rating for heating efficiency. Fitted with Grant's patented larger size heat exchangers, designed to increase hot water performance, this 35kW output boiler ensures reliable heating and hot water side-by-side in even the busiest homes. With neon diagnostic indicators, a factory-fitted internal condensate trap and 24L expansion vessel, the quiet and compact Vortex Pro makes installation and maintenance easy.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Pro Internal Combi 36 ErP combi oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/95/116293_116295_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grant_Vortex_Pro_Int_Combi_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Pro_Int_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Grant_Vortex_Pro_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116295_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/gs/Grant_Vortex_Pro_Burner_Settings.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Pro_Int_Combi_Technical.pdf
37,P116294,Grant Vortex Pro Internal Combi 26 ErP combi oil boiler,Grant,2958.42,"Energy efficient, attractively designed, reliable and high performing, the Grant Vortex Pro Internal Combi 26 condensing boiler brings together thoughtful technology, high safety levels and an impressive ErP A rating for heating efficiency, helping to lessen your environmental impact and reduce fuel bills too. Featuring the trusted Riello RDB burner, this 26kW output combi is compliant with 2018's low NOx legislation while Grant's patented larger size heat exchangers increase performance and accurate dual temperature controls maintain instant hot water production while in central heating condensing mode, keeping the whole family comfortable.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Pro Internal Combi 26 ErP combi oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/95/116293_116295_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Grant_Vortex_Pro_Int_Combi_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grant_Vortex_Pro_Int_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/re/_1/Grant_Vortex_Pro_Brochure_1.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/gs/Grant_Vortex_Pro_Burner_Settings.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116294_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Pro_Int_Combi_Technical.pdf
38,P333942,Worcester Bosch Greenstar Danesmoor External System ErP+ 12/18 oil boiler,Worcester Bosch,2418.0,"Ideal for outdoor installation on properties of almost any size, the Worcester Bosch Greenstar Danesmoor External System 12/18 ErP+ high efficiency system boiler has been designed based on customer feedback to deliver on user-friendly performance and ease of installation. Lightweight yet robustly built with an IP45 powder-coated enclosure designed to withstand inclement weather, this reliable ErP A-rated boiler is fitted with an easy to remove one-piece primary baffle and cross firing burner and offers effortless access to oil and hydraulic connections. Oil-fired, the Danesmoor is compatible with alternative power sources, including Greenskies solar and the Greensource air-to-water pump, providing homeowners with the option to further improve efficiency.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Greenstar Danesmoor External System ErP+ 12/18 oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/no/bg/Dmoor Sys Ext frt nobg_wm.jpg,White,Oil,Greenstar Danesmoor External System ErP+,,,,N,A,,,,,,333942 PK,External Condensing System Boiler Pack,N,"Incorporates many of the components of a traditional heating system for easier, less disruptive installation",Green powder-coated cabinet for protection and seamless integration,Inbuilt frost protection,IP45 ingress protection for reliable performance even in harsh weather conditions,Can be used with Greenskies solar panels for energy and cost savings,Compatible with Worcester Greenstore cylinders,2 year warranty,,,,,,,,,,,,,,,,
39,P333936,Worcester Bosch Greenstar Utility 50/70 2022+ heat only boiler,Worcester Bosch,2778.0,"Ideal for large homes and light commercial premises, the Worcester Bosch Greenstar Danesmoor Utility 50/70 2022+ heat only boiler has a compact footprint yet provides an impressive heat output. ErP A-rated, this smartly designed and efficient boiler includes a concealed control panel for a neater look wherever it's installed.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Greenstar Utility 50/70 2022+ heat only boiler,,Boiler;Greenstar Utility installation;Commissioning ;servicing instruction manual;User instructions;Fascia information card;Guarantee registration card;ErP label,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/69/115368_115369_wm.jpg,Black,Oil,Greenstar Utility,2 years,220 kg,A,N,A,,70 kW,795,90.5,Floor Standing,333936 PK,Heat Only Boiler,N,100/150mm room sealed flues,,,,,,,,,,,,,,,,,,,,,,
40,P116268,Grant Vortex Eco 16/21 ErP high efficiency external wall hung boiler including flue,Grant,2392.5,"Highly efficient and always reliable, the Grant Vortex Eco External 16/21 automatic pressure jet oil boiler is part of an award-winning range of ErP A-rated boilers. Fitted with Grant's patented stainless steel heat exchanger and turbulator baffle system, this wall-mounted outdoor boiler includes inbuilt weather protection for all year round reliability. Pre-plumbed and with a multi-directional flue, the compact Vortex Eco provides a variety of fitting options for flexibility of installation.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Eco 16/21 ErP high efficiency external wall hung boiler including flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/70/116267_116270_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grant_VortexEcoWall_External_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grant_Vortex_Burner_Settings_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/116268_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grant_Vortex_Oil_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grant_Vortex_Oil-Boiler_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grant_VortexEcoWHExternalSstem_Guide.pdf
41,P333903,Grant Vortex Eco Utility 26/35 floor standing heat only oil boiler,Grant,1851.0,"Easy to use and easy to install, the utility room-friendly Grant Vortex Eco Utility 26/35 automatic pressure jet oil boiler features an intuitive control panel and simplified pipework layout. State of the art internal components include the Riello RDB low-NOx burner and Grant's own patented stainless steel heat exchanger, helping to make the Vortex Eco not just highly reliable but efficient enough for an energy-saving, cost-reducing ErP A rating.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Eco Utility 26/35 floor standing heat only oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/57/116257_wm.jpg,White,Oil,Vortex Eco Utility,5 Year,127 kg,A,N,92.4,,35 kW,602,92.4,Floor Standing,333903 PK,Heat Only Boiler Pack,N,Suitable for use in open-vented or sealed central heating systems,"Simplified casing, control panel and pipework",Exceptionally quiet operation,Optional side or rear flue exits,Front service access,Fitted with a Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Compliant with September 2018 low-NOx legislation,,,5 year warranty available when following Grant installation specification and guidelines,,,,,,,,,,,,
42,P333915,Grant Vortex Eco External System 15/21 floor standing oil boiler,Grant,1934.0,"Robustly built to withstand challenging outdoor conditions, the steel-enclosed Grant Vortex Eco External 15/21 condensing boiler is designed for installation outside the home, either against a wall or as a freestanding unit. The boiler's multi-directional flue and conveniently quiet operation make siting easy in even the most difficult of locations while internal components, including a tough stainless steel heat exchanger and Riello RDB low-NOx burner, help to achieve an ErP A rating.",Boilers/Oil Boilers/Oil Boilers.csv -> Grant Vortex Eco External System 15/21 floor standing oil boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Eco_External_wm.jpg,White/Gloss,Oil,Vortex Eco External System,5 Year,136 kg,A,N,A,,21 kW,800,92.68,Floor Standing,333915 PK,External System Boiler Pack,N,Suitable for fitting against a wall or freestanding away from the property,Factory-fitted multi-directional flue for flexible fitting,Exceptionally quiet operation,Galvanised steel enclosure,High quality powder-coated paint finish for weather protection,Fitted with Riello RDB low-NOx burner,Unique Grant Vortex stainless steel heat exchanger,Mains isolating switch and test switch,,,Factory-fitted frost stat set to 5°C,5 year warranty available when following Grant installation specification and guidelines,,,,136,,,,,,,
43,P115348,Worcester Bosch Heatslave II 2022+ 18/25 Greenstar heatslave II 18/25 2022+,Worcester Bosch,3025.9,"Suitable for properties of most sizes, the floor standing Greenstar Heatslave II 18/25 provides reliable hot water and heating with high levels of efficiency. The oil-fired combi boilers in this range provide flow rates of up to 22LPM and have easy to access connections alongside a single-piece stainless steel primary baffle and cross firing burner for simple servicing and maintenance as well as reliability. Controlling the Heatslave II with the next-gen Heatronic 4i digital control unit provides users with accuracy as well as handy diagnostic information.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Heatslave II 2022+ 18/25 Greenstar heatslave II 18/25 2022+,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/49/115347_115349_wm.jpg,,Oil,Heatslave II 2022+,2 years,151kg,A,N,,,25 kW,600,88.9,Floor Standing,7731600261,Oil Boiler,N,Cross firing burner,"One-piece baffle for quick, easy servicing",Easy-access oil and hydraulic connections,Front access for routine servicing,Pivoting expansion vessel for ease of access,Compatible with Greenstar Comfort controls,80/125mm room sealed flues up to 8M available,Plume management available up to 5M with conventional flexi-flue kits,18 L/min,B,A-rated efficiency,2 year warranty,,,,,,,,,,,
44,P115068,HRM Wallstar 3 low nox boiler 20-24kw,HRM,2455.92,"The HRM Wallstar 3 boiler is based on the design of previous Wallstar units with improvements incorporating twenty years of boiler design experience. Easy to install and service, just like its predecessors, the Wallstar 3 is more compact and quieter in operation, so its the perfect choice for homes with limited storage space but high heat demand. This efficient boiler is fitted with a low-NOx burner for reduced emissions, safer operation and compliancy with EU directives.",Boilers/Oil Boilers/Oil Boilers.csv -> HRM Wallstar 3 low nox boiler 20-24kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/68/115068_wm.jpg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/115068_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/115068_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/HRM_HANDBOOK_Installation.pdf,,,
45,P333920,Worcester Bosch Greenstar Danesmoor Kitchen Regular ErP+ 12/18 boiler,Worcester Bosch,1689.0,"Suitable for use in off-gas properties, the Worcester Bosch Greenstar Danesmoor Kitchen 12/18 ErP+ regular boiler has a compact design especially for fast, stress-free installation in a kitchen or utility room. ErP A-rated for its high levels of efficiency, this robust and reliable regular boiler offers full compatibility with sustainable sources such as Bosch's Greenskies solar panels and Greensource air-to-water pumps, helping to improve the Danesmoor's eco-friendly credentials even further while also significantly reducing household costs.",Boilers/Oil Boilers/Oil Boilers.csv -> Worcester Bosch Greenstar Danesmoor Kitchen Regular ErP+ 12/18 boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/67/115365_115367_wm.jpg,White,Oil,Greenstar Danesmoor Kitchen Regular ErP+,2 years,104 kg,A,N,"90,A/90%",A,18 kW,600,90,Floor Standing,333920 PK,Condensing Regular Boiler Pack,N,Suitable for homes of any size,Perfect for kitchen or utility room installation,Over 90% efficient to help reduce energy bills and carbon footprint,Compatible with an optional 7 day programmer,Can be used with Greenskies solar panels and Greensource air-to-water heat pumps for energy and cost savings,Compatible with Greenstore hot water cylinders,2 year warranty,,,,,,,,,,,,,,,,
