,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Colour,Fuel Type,Range,Hazardous,Seasonal Space Heating Energy Efficiency %,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Attachment 6,Boiler Bundles,Flow Rate,Warranty,Weight,Energy Rating,Water Heating Energy Efficiency Class,Output,Depth (mm),Efficiency (SAP 2009),Mounting Type,Feature 15,Feature 16,Feature 17,Feature 18,Max Vertical Level Flue Length (metres),Boiler Section,Boiler Range,Rated Heat Output (Prated or Psup),Seasonal Space Heating Energy Efficiency Class,Max High Level Flue Length (metres),Preset Pressure Relief Valve (Bar),Dry Weight (kg),Feature 19,Feature 20,Attachment 7,Attachment 8
47,P333011,"Ideal i-mini C30 combi boiler, flue and filter pack",Ideal,747.0,"Compact and lightweight, the Ideal i-mini C30 combi boiler with flue and filter is designed for easy installation into the smallest of spots. Highly reliable, this 30kW boiler is easy to service and maintain, thanks to its reduced component count and its build quality. In addition, the i-mini is highly efficient, earning SEDBUK recognition and an ErP A rating for a reduced carbon footprint and cost effective operation, helping families to meet their green aims.","Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Ideal i-mini C30 combi boiler, flue and filter pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/10/333010_wm.jpg,,,,,,,Natural Gas,I-Mini,N,,333011 PK,Combi Boiler Pack,N,"Includes boiler, filter and flue",Compact cupboard fit,Wide range of additional flueing options,Low lift weight,Low component count maximises reliability,Easy to read pressure gauge,High SEDBUK efficiency,Fast hot water response through DHW preheat,DHW flow rate of 14.5LPM,5 year warranty,,,,,,"333009, 333011, 333153",,,,,,,,,,,,,,,,,,,,,,,,,
48,P333552,Alpha Etec Plus 28NX combi boiler and horizontal flue,Alpha,882.0,TBC,Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Alpha Etec Plus 28NX combi boiler and horizontal flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/52/333552_wm.jpg,,,,,,,,,N,,333552 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P333484,Baxi 836 7814305 combi 2 boiler only pack,Baxi,1169.99,"Lightweight and compact, the Baxi 836 Combi 2 boiler offers easy installation and reliable operation thanks to its robustly built brass hydraulic block, pre-heated condensate trap and stainless steel heat exchanger. Suitable for use with natural gas or LPG, this 36kW boiler is highly efficient, earning it an ErP A rating for both heating and hot water. An Adey Micro 2 magnetic system filter is included in this boiler pack, helping to reduce potential damage and maintain efficiency through the effective removal of potentially damaging debris.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Baxi 836 7814305 combi 2 boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/24/151024_wm.jpg,,,,,,,Natural Gas / LPG,836,N,,333484 PK,Boiler - Combi,N,Lightweight design for ease of fitting,Compact cupboard fit,With stainless steel heat exchanger,Tough brass hydraulic block,With Easy-Fill permanent filling link,Pre-heated siphonic condensate trap reduces risk of freezing,Combined PrV with seperate drain for easy maintenance,Includes Adey Micro 2 magnetic system filter,Certified Opentherm,Suitable for natural gas or LPG,10 year parts and labour warranty,,,,,,12.2 lpm,10 Years Parts and Labour,31.8kg,A,A,20 kW,285,94,hanging bracket,,,,,,,,,,,,,,,,
50,P333155,Heatrae Sadia Amptec C900 electric boiler only pack 9kW,Heatrae Sadia,824.0,"Helping homeowners to minimise waste, the Heatrae Sadia Amptec C900 electric flow boiler is a reliable electric alternative to gas or oil-fired home heating. Ideal for use in challenging locations, like a loft room, conservatory or workshop, this 9kW boiler is suitable for connection to pressurised or open-vented systems and can be installed with existing radiators, thermostats and valves for easy conversion to electric. With no flue outlet or fuel tank to work with, the Amptec simplifies installation and makes siting easier compared to conventional heating solutions.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Heatrae Sadia Amptec C900 electric boiler only pack 9kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/6_/pk/333154_56 PK_wm.jpg,,,,,,,Electric,Amptec,N,,333155 PK,Electric Flow Boiler - Standard Pack,N,"Compatible with standard radiators, programmer, pump, room thermostat and thermostatic radiator valves",Compact and lightweight,Suitable for use in pressurised or open-vented systems,Domestic hot water can be produced when installed with an indirect cylinder or separate direct cylinder,No flue and no fuel tanks means installation is flexible,"With no flue, no heat is wasted for 99.8% efficiency",Silent in operation,Front panel indicator shows boiler state,Solid state technology with no moving parts for a longer life,Soft start and zero volt switching avoids power surges,,,,,,333155,,,,,,,,,,,,,,,,,,,,,,,,,
51,P333540,Worcester Bosch Greenstar 2000 GR2300iW 30 C NG combi boiler only pack 30kW,Worcester Bosch,800.0,"Suitable for apartments and small-medium houses, the Worcester Bosch Greenstar 2000 GR2300iW 30 C NG combi boiler pack is ideally suited to serving single bathroom properties. Fully compatible with third party external 230V controls as well as a wide range of Worcester mechanical and connected controls, this 30kW combi offers ErP A-rated levels of efficiency alongside excellent reliability.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch Greenstar 2000 GR2300iW 30 C NG combi boiler only pack 30kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/40/333540_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/WB_GR2300iW_30_C_NG_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/WB_Greenstar_2000_Instal_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_2000_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_2000_Operating_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,P334463,Vaillant ecoTEC Plus 424 heat only boiler pack with flue,Vaillant,1185.0,"Supplied with a choice of flue to suit your installation, the Vaillant ecoTEC plus 424 high efficiency heat only boiler is an ideal solution in homes where low water pressure problems mean that an open vent system with hot water storage is the only choice. Lightweight and with a compact footprint, this 24kW output unit can be installed easily into a kitchen cupboard for faster fitting while high quality components minimise the risk of costly and inconvenient breakdowns. ErP A-rated, the ecoTec plus offers compatibility with both solar panels and smart controls, helping to create a more eco-friendly heating system.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Vaillant ecoTEC Plus 424 heat only boiler pack with flue,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/pk/334460_64 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Vaillant_ecoTEC_plus_VU_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_ecoTEC_Boiler_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_OpenVent-ecoTECplus_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_Open_Vent-ecoTEC_plus_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,P107131,Worcester Bosch greenstar 1000 24kW boiler and flue pack,Worcester Bosch,653.0,TBC,Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch greenstar 1000 24kW boiler and flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/31/107131_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/10/00/107131_107133_Wocester Greenstar 1000.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,P333103,Vaillant Ecotec Plus 2 832 boiler only pack,Vaillant,1376.0,"Connecting to a wide variety of controls, the updated Vaillant ecoTEC Plus 832 combi boiler can be operated via app meaning you never have to worry about coming home to a chilly house. Easy to install, maintain and service, this 32kW boiler has a smart internal layout with all vital components in easy reach. And because the ecoTEC's footprint and connections haven't changed, retrofitting in the same position as an old, worn boiler is simple. Offering ease of operation and inBUS technology, the ecoTEC Plus gives the homeowner ErP A-rated efficiency and the option to switch to LPG or, at a later date, hydrogen.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Vaillant Ecotec Plus 2 832 boiler only pack,,"Boiler, Connections, Documnets ;manuals",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/87/127377_127387_wm.jpg,,,,,,,Natural Gas / LPG,Ecotec Plus 2,N,,333103 PK,Combi Boiler,N,Compatible with plug-and-play myVAILLANT connect internet gateway,Connects to most Vaillant controls excluding timeSWITCH 150 and 160,Suitable for app control,Internal layout offers ease of access to major components,Easy installation and servicing,"Same dimensions, footprint, flue position and pipe connections as previous models",Simple semi-touchscreen interface,Guided commissioning and set-up wizard,Offers ease of navigation,Automatic quick conversion to LPG,No additional parts required for LPG,With IoniDETECT technology,Intelligent gas combustion monitoring for modulation range of up to 1:10,InBUS technology for accurate reading of flow rate and pressure differential via pump,,,13.0,5 Years,40.5kg,A,A,32 kW,352,TBC,Wall Hung,Compatible with up to 20% hydrogen mix,Compatible with all Vaillant accessories and technologies,5 year warranty,,,,,,,,,,,,,
55,P111982,Worcester 2000 25 kW boiler with free Center RF theromstat pack,Worcester,790.0,TBC,Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester 2000 25 kW boiler with free Center RF theromstat pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/82/111982_wm.jpg,,,,,,,,,N,,111982 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,P333988,Worcester Bosch Greenstar 8000 Life GR8300iW 30 C NG combi boiler pack 30kW White,Worcester Bosch,1250.0,"The Worcester Bosch Greenstar 8000 Life GR8300iW 30 C NG follows in the footsteps of the popular CDi Classic, equally reliable and user-friendly but with improved efficiency and flexibility. With its contemporary design the 8000 Life looks good in any home and installation is quick and easy thanks to a lower lift weight and a familiar layout with all the same fixture points as the Classic. Daily use of this 30kW boiler is simple using the full colour text display and you have the option to go smart by hooking up with Bosch's EasyControl thermostat. Offering an ErP A rating this boiler helps homeowners to reduce fuel bills and lessen their household emissions.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 30 C NG combi boiler pack 30kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Life_White_wm.jpg,,,,,,,Natural Gas,Greenstar 8000 Life,N,,333988 PK,Condensing Combi Boiler,N,Direct replacement for the Worcester Bosch CDi Classic,"Easier installation, servicing and maintenance",Full colour text display and push button boiler control,Simple switch from CDi classic with same fixing points and connections,Greenstar Intelligent Filling System,Reduced lift weight compared to the CDi classic,Full wireless connectivity with the Bosch EasyControl,8 year guarantee,,,,,,,,"333830, 333988",11 L/min @ 40°C,8 years,47 kg,A,A,30 kW,365,94,Wall Hung,,,,,,,,,,,,,,,,
57,P333022,Vokera Excel i 25 20188732 combi boiler only pack,Vokera,420.0,"Exclusively available to Wolseley customers, the Vokera Excel-i 25 combi boiler accepts a 20% hydrogen blend but is also suitable for operation via a methane-hydrogen blend to meet the requirements of imminent network switchovers. Fitted with a large bore stainless steel heat exchanger, this robust 25kW boiler is designed for reduced downtime, operating efficiently and reliably with regular servicing. Thanks to its simple, modern digital user interface, the Excel-i is easy to operate and commission with quick navigation through settings with no need to constantly refer back to the unit's instruction manual.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Vokera Excel i 25 20188732 combi boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/43/105642_105643_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Vokera_Excel-i_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,P111339,Worcester 1000 30 kW boiler with Honeywell Home T3 theromstat,Worcester,715.99,TBC,Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester 1000 30 kW boiler with Honeywell Home T3 theromstat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/39/111339_wm.jpg,,,,,,,,,N,,111339 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,P333919,Grant Vortex Pro External Combi 26 oil boiler 26kW,Grant,2814.0,"Designed to meet low-NOx regulations, the Grant Vortex Pro External Combi 26 external boiler is part of an award-winning range featuring Riello low-NOx technology. Incorporating Grant's patented heat exchangers with their large surface areas and low water content, this 26kW boiler has an ErP A rating for heating and B rating for hot water, improving efficiency in the home. Standing up to all weathers, the Vortex Pro External has a robust powder-coated casing and built-in frost protection for year-round reliability, even in challenging weather conditions.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Grant Vortex Pro External Combi 26 oil boiler 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/rn/al/Grant_Vortex_Pro_External_wm.jpg,,,,,,White/Gloss,Oil,Vortex Pro External Combi,N,91.71,333919 PK,Combi Boiler Pack,N,"High quality, external powder-coated casing","Factory-fitted multi-directional flue for faster, flexible installation",Patented Grant larger size heat exchangers for improved performance,Riello low-NOx burner,2 very accurate electronic temperature controls allow boiler to operate in condensing mode on central heating while producing instant hot water,Low system pressure cut off switch protects boiler in the unlikely event of system water loss,24L expansion vessel,Neon diagnostic indicators,Built-in frost protection,89.5 to 91.6% gross SAP2009 annual efficiency,"DHW flow rate 36.6LPM at 10°C, 18.3LPM at 20°C",2 year warranty,,,,,"36.6 L/min @ 10°C, 18.3 L/min @ 20°C",5 Year,2.06Kg,A,B,26 kW,754,91.71,Floor Standing,,,,,,,,,,,,,,,,
60,P111309,"Alpha E-TEC NX + 38 kW boiler, flue and copper tube 6 mtr x 22 mm pack",Alpha,1038.0,TBC,"Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Alpha E-TEC NX + 38 kW boiler, flue and copper tube 6 mtr x 22 mm pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/09/111309_wm.jpg,,,,,,,,,N,,111309 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,P111985,Worcester 2000 30 kW boiler with Honeywell Home T3 theromstat pack,Worcester,894.99,TBC,Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester 2000 30 kW boiler with Honeywell Home T3 theromstat pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/85/111985_wm.jpg,,,,,,,,,N,,111985 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,P111338,Worcester 1000 24 kW boiler with Honeywell Home T3 theromstat,Worcester,657.99,TBC,Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester 1000 24 kW boiler with Honeywell Home T3 theromstat,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/38/111338_wm.jpg,,,,,,,,,N,,111338 PK,,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,P333008,Ideal i-mini C24 combi boiler and flue pack,Ideal,637.0,"Compact and lightweight, the Ideal i-mini C24 combi boiler with flue is designed for easy installation into the smallest of spots. Highly reliable, this 24kW boiler is easy to service and maintain, thanks to its reduced component count and its build quality. In addition, the i-mini is highly efficient, earning SEDBUK recognition and an ErP A rating for a reduced carbon footprint and cost effective operation, helping families to meet their green aims.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Ideal i-mini C24 combi boiler and flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/8_/333008__wm.jpg,,,,,,,Natural Gas,I-Mini,N,,333008 PK,Combi Boiler Pack,N,Includes boiler and flue,Compact cupboard fit,Wide range of additional flueing options,Low lift weight,Low component count maximises reliability,Easy to read pressure gauge,High SEDBUK efficiency,Fast hot water response through DHW preheat,DHW flow rate of 11.5LPM,5 year warranty,,,,,,"333008, 333010, 333152",,,,,,,,,,,,,,,,,,,,,,,,,
64,P333081,Vaillant Ecotec Plus 2 840 horizontal flue pack,Vaillant,1667.0,Make new installation and retrofit jobs easier with this complete boiler pack featuring the Vaillant ecoTEC Plus 2 840 boiler and a compatible horizontal flue.,Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Vaillant Ecotec Plus 2 840 horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/81/333081_wm.jpg,,,,,,,,Ecotec Plus 2,N,,333081 PK,,N,All-in-one pack,For ease of specification,With flue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,P333091,Vaillant ecoFIT pure 825 combi boiler with horizontal flue and boiler protection kit,Vaillant,1109.0,"Supplied with a horizontal flue and boiler protection kit, the Vaillant ecoFIT pure 825 combination boiler is quick and easy to install thanks to its lighter weight and compact cupboard fit size. Built using premium quality components and offering reduced energy consumption, this reliable 25kW combi has earned an ErP A rating for efficiency, while its almost silent operation has seen it awarded the Noise Abatement Society's Quiet Mark.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Vaillant ecoFIT pure 825 combi boiler with horizontal flue and boiler protection kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/pk/333091_93 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vaillant_ecoFIT_pure_825_835_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Vaillant_ecoFIT_pure_Oper_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vaillant_ecoFIT_pure_825_835_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,P333563,Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler with flue and system filter 25kW,Worcester Bosch,1148.0,"Offering ErP A-rated heating and hot water delivery, the Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler pack provides homeowners with economy, comfort and efficiency. Easy to install, this well-designed 25kW condensing combi boiler is supplied with a flue as well as a system filter for clean and reliable operation. The Greenstar 4000 is designed with a simple, clear display panel for ease of use and fast troubleshooting.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch Greenstar 4000 GR4700iW 25 C NG combi boiler with flue and system filter 25kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/3_/pk/333562_333563_PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/WB_WM_Gas_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/WB_Greenstar_4000_Combi_Instal_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/WB_Greenstar_4000_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/he/GR4700iW_25_C_NG_ErP_Data_Fiche.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/WB_Gas_Fired_Boiler_Prdt_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/WB_Greenstar_4000_Combi_Oprtg_Manual.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
67,P105616,Glow-worm Compact 28C-AS/1H-GB combi boiler with horizontal flue and filter 28kW,Glow-worm,633.0,TBC,Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Glow-worm Compact 28C-AS/1H-GB combi boiler with horizontal flue and filter 28kW,,"Gas-fired wall-hung boiler;Horizontal flue;Filter;Bag containing valves for gas, heating and domestic hot water;Drain spigot of the expansion relief valve;2x bag with small parts;Condensate discharge hose;Enclosed documentation",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/16/105616_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/ts/Glow_worm_Compact_24c_28c_O_Instrcts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Glow_worm_TheEnergy_Compact_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Glow_worm_Compact_24c_28c_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,P333653,Worcester Bosch Greenstar Si Compact 25Si NG combi boiler and horizontal flue pack,Worcester Bosch,1199.0,"With a compact design for convenient installation inside a kitchen cupboard, the Worcester Bosch Greenstar 25Si Compact NG combi boiler is ideal for small to medium sized homes with a single bathroom. Also suitable for fitting in a loft or even a garage, this frost protected combi is supplied with a horizontal flue for all-in-one installation with no need to shop around. ErP A-rated, the Greenstar Compact has an intuitive display for ease of use and offers full compatibility with a wide range of controls, including the Bosch EasyControl, a smart choice to up your heating system to A+ levels of efficiency.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Worcester Bosch Greenstar Si Compact 25Si NG combi boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/4_/pk/333653_54 PK_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_WM-gas-combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Worcester_CDi Compact_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,P333714,Ideal Logic Max Combi C24 boiler and horizontal flue pack,Ideal,1065.0,"Provided with a horizontal flue, the Ideal Logic Max Combi C24 boiler offers easy installation through its compact, cupboard-fit design and its reduced lift weight. Offering all the finest features of the award-winning Logic+, this 24kW domestic combi boiler also offers an easy to read digital display and a service countdown timer. Robustly designed to minimise maintenance, the Logic Max has an ErP A rating for its efficient operation, which can be improved by intelligent use of compatible controls.",Boilers/sub_categories/Boiler Packs/Boiler Packs.csv -> Ideal Logic Max Combi C24 boiler and horizontal flue pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/_a/333714_A_wm.jpg,,,,,,White/Gloss,Natural Gas,Logic Max Combi,N,A,333714 PK,Condensing Combi Boiler and Horizontal Flue Pack,N,Includes boiler and horizontal flue,Compact cupboard fit,Hardwearing and scratch-resistant,"Easy installation, commissioning and service",Full sequence automatic ignition,Fan-assisted combustion,Easy to reach pressure gauge on front panel,Large digital display,Service timer with telephone number display/service display,Compatible with Ideal controls,DHW flow rate 9.9LPM at 35°C,Due to the high efficiency of the boiler a plume of water vapour will form at the flue terminal during operation,Condensate is drained off through a plastic waste pipe at boiler base,10 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,
