,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Dimensions mm (H x W x D),Supplier Product Code,Type,WEEE Compliant,By Model Number,Feature 1,Feature 2,Feature 3,Feature 4,Range,Max Set Pressure,Maximum Operating Temperature,Exhaust Port Size,Thread Size,Part Gas Council number,Weight
35,P444098,Hamworthy 533805004 flame probe,Hamworthy,36.04,A genuine Hamworthy replacement flame probe for P and HE boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy 533805004 flame probe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/98/NW-444098_wm.jpg,,N,x  x,533805004,Flame Probe,N,"P105,P70,P70LL,P80,P50,P60,W 60,P95,P40,W 95,P100LL,P40LL,P120,W 140",,,,,,,,,,,
36,P444093,Hamworthy pilot burner assembly,Hamworthy,381.44,"This Hamworthy pilot burner assembly is suitable for use in the 50 HE.  A pilot assembly normally includes a pilot bracket, injector, electrode and thermocouple. The pilot flame ignites gas entering the boiler's main burner via the gas valve when the system is switched on. The pilot flame operates alongside the printed circuit board (PCB) and the rest of the pilot assembly for safe and efficient ignition.  As the UK’s leading parts specialist, Wolseley carries the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy pilot burner assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/93/444093_wm.jpg,,N,x  x,363310387,Pilot Burner Assembly,N,Wessex HE 50,,,,,,,,,,,179.00000
37,P443005,Hamworthy 533805014 flame probe,Hamworthy,35.88,"A genuine Hamworthy replacement flame probe for PC, PI and W boilers.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy 533805014 flame probe,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/05/NW-443005_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_Purewell40-120KW_Install.pdf,,,,,,,,,,,,,,,,,
38,P443010,Hamworthy control box (Purewell),Hamworthy,219.2,A Hamworthy control box for Bosch commercial boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy control box (Purewell),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/10/NW-443010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_Purewell40-120KW_Install.pdf,,,,,,,,,,,,,,,,,
39,P443009,Hamworthy burner to heat exchanger gasket,Hamworthy,21.06,"This Hamworthy replacement burner/heat exchanger gasket is suitable for ModuMax boilers. O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy burner to heat exchanger gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/09/NW-443009_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_WessexModuMaxMK3_Install.pdf,,,,,,,,,,,,,,,,,
40,P444048,Hamworthy spark electrode,Hamworthy,41.83,This Hamworthy spark electrode is suitable for the 200 HE and 200 County boiler. An ignition (spark) electrode causes the spark that begins combustion within the burner.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy spark electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/48/NW-444048_wm.jpg,,N,x  x,333801440,Spark Electrode,N,Wessex 200 HE,,,,,,,,,,,
41,P444011,Hamworthy high/low damper motor repair kit,Hamworthy,247.36,A high/lower damper motor repair kit for use with Neff U1722N0GB/01 and Neff U1722N0GB/02 boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy high/low damper motor repair kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/11/NW-444011_wm.jpg,,N,,563605231,High/Low Damper Motor Repair Kit,N,"PC 70,PC 120,PC 60,PC 80,PI 70,PI 40,PC 105,PI 100,PC 50,PC 40,PC 95",Boiler part,,,,,,,,,,
42,P443064,Hamworthy O ring,Hamworthy,0.69,"This Hamworthy nitrile O-ring for the Siemens WXLI1240GB/14 is made of tough nitrile for resistance to grease, oil and chemicals. O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy O ring,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/64/NW-443064_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_Purewell40-120KW_Install.pdf,,,,,,,,,,,,,,,,,
43,P444774,"Hamworthy gas valve 3/4""",Hamworthy,202.64,"A genuine Hamworthy spare part, this 3/4"" gas valve is compatible with a variety of Hamworthy boilers in the P and PI permanent pilot ranges.  The gas valve is employed in the distribution of gas. When gas is required in the burner the printed circuit board (PCB) sends a signal to the gas valve, which opens to allow gas to flow into the burner or the pilot assembly (depending on the model of the appliance).  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.","Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy gas valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/74/NW-444774_wm.jpg,,N,,533903019,Gas Valve,N,"PC 70,PC 60,PC 120,PC 80,P105,P70,P70LL,PI 70,P80,PI 40,P50,PC 105,P60,P95,P40,P100LL,PC 50,PC 40,PC 95,P40LL,P120,PI 100",,,,,,60 mbar,70,3/4,3/4,,
44,P443080,Hamworthy fan assembly,Hamworthy,577.79,"This Hamworthy replacement fan assembly is designed to suit a wide range of Hamworthy commercial boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy fan assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/80/NW-443080_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_Purewell65-125HE_Install.pdf,,,,,,,,,,,,,,,,,
45,P444767,Hamworthy automatic control thermostat (HE),Hamworthy,72.21,This Hamworthy automatic control thermostat is compatible with a wide variety of boilers from the Hamworthy range.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy automatic control thermostat (HE),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/67/NW-444767_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_PowerstckCalrifier_Install.pdf,,,,,,,,,,,,,,,,,
46,P444725,Hamworthy control box,Hamworthy,260.93,This Hamworthy control box is suitable for a range of the brand's automatic boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy control box,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/25/NW-444725_wm.jpg,,N,x  x,533901169,Control Box,N,"P105,P70,P70LL,P80,P50,W 60,P60,P100LL,P40,W 95,P95,P40LL,P120,W 140",,,,,,,,,,,
47,P409279,Hamworthy H.S.I service kit (for dorcester dr-tc water heater),Hamworthy,354.31,"This Hamworthy hot surface igniter is compatible with the Glow-worm Coordinate. The most commonly used electronic ignition system, a hot surface ignitor works by heating up when electricity passes through it. Ordinarily made of silicon nitride and silicon carbide ceramic, the igniter’s heat ignites the gas on the opening of the gas valve.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy H.S.I service kit (for dorcester dr-tc water heater),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/79/NW-409279_wm.jpg,,N,x  x,573409460,Hot Surface Igniter,N,,,,,,,,,,,152796,
48,P409505,Hamworthy ignitor transformer (230/220/120V),Hamworthy,84.33,A Hamworthy 230/220/120V ignition transformer for ModuMax and PV range boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy ignitor transformer (230/220/120V),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/05/NW-409505_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_WessexModuMaxMK3_Install.pdf,,,,,,,,,,,,,,,,,
49,P466224,Hamworthy fan speed control PCB,Hamworthy,625.23,"This Hamworthy fan speed control PCB is suitable for use in the brand's W 120, W 140, W 60, W 80 and W 95 boilers.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy fan speed control PCB,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/24/NW-466224_wm.jpg,,N,x  x,563605636,Fan Speed Control PCB,N,,,,,,,,,,,,
50,P409501,Hamworthy fleet customers annual service kit,Hamworthy,81.26,A Hamworthy annual service kit for a range of Hamworthy F range boilers.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy fleet customers annual service kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/01/NW-409501_wm.jpg,,N,x  x,563605617,Annual Service Kit,N,,Reliable,Qualified,Trustworthy,Experienced,,,,,,,
51,P466206,Hamworthy fan outlet gasket,Hamworthy,9.68,"This Hamworthy replacement fan outlet gasket is suitable for use in a wide selection of ModuMax and F range boilers. O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy fan outlet gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/06/NW-466206_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_WessexModuMaxMK3_Install.pdf,,,,,,,,,,,,,,,,,
52,P409269,Hamworthy customer de-scale kit (for modumax 120/250),Hamworthy,288.5,This Hamworthy de-scale kit is suitable for the maintenance of ModuMax boiler units.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy customer de-scale kit (for modumax 120/250),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/69/409269_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_WessexModuMaxEco_Install.pdf,,,,,,,,,,,,,,,,,
53,P443006,Hamworthy 563801013 hot surface ignitor,Hamworthy,139.67,"This Hamworthy hot surface igniter is suitable for ModuMax MK1 220 HE, 220 M and 250 C. The most commonly used electronic ignition system, a hot surface ignitor works by heating up when electricity passes through it. Ordinarily made of silicon nitride and silicon carbide ceramic, the igniter’s heat ignites the gas on the opening of the gas valve.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy 563801013 hot surface ignitor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/06/NW-443006_wm.jpg,,N,x  x,563801013,Hot Surface Igniter,N,"220 M HE,250 C,220 C",,,,,,,,,,,
54,P443092,Hamworthy gas valve O ring,Hamworthy,0.45,"This Hamworthy nitrile 70 O-ring has a 33.05mm inside diameter and 1.78mm outside diameter and offers suitability for Glow-worm 30B, 30F, 40B, 40F, 50B and 50F. O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy gas valve O ring,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/92/NW-443092_wm.jpg,,N,,742111245,O-Ring,N,"PC 60,PC 120,P105,PV 110 C,PC 80,PV 65 HE,PV 95 C,PC 105,W 60,P60,P40,PC 40,UR 470,UR 250,PV 85 HE,PI 100,PC 70,P7,P70LL,PI 70,P50,UR 384LL,PV 140 C,W 95,P95,PC 50,PC 95,P40LL,P120,W 140",,,,,,,,,,313615,
55,P444039,Hamworthy round cork gasket,Hamworthy,1.89,"A Hamworthy replacement round cork gasket for the Hamworthy 50 HE. O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy round cork gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/39/NW-444039_wm.jpg,,N,x  x,331212319,Round Cork Gasket,N,Wessex HE 50,,,,,,,,,,4135110,
56,P443011,Hamworthy 563801011 hot surface ignitor,Hamworthy,159.11,"A Hamworthy hot surface igniter for S65 and S70 C boilers. The most commonly used electronic ignition system, a hot surface ignitor works by heating up when electricity passes through it. Ordinarily made of silicon nitride and silicon carbide ceramic, the igniter’s heat ignites the gas on the opening of the gas valve.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy 563801011 hot surface ignitor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/11/NW-443011_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hamworthy_Sherborne_Install.pdf,,,,,,,,,,,,,,,,,
57,P444001,Hamworthy burner to heat exchanger gasket,Hamworthy,12.08,"A Hamworthy replacement burner gasket for the Hamworthy 100 M, S65, S70 C, 100 M - 200 and 100 M - 300. O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy burner to heat exchanger gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/01/NW-444001_wm.jpg,,N,x  x,531201007,Burner Gasket,N,"S65,S70 C,100 M HE",,,,,,,,,,,
58,P443021,Hamworthy rear gasket,Hamworthy,32.43,"This Hamworthy replacement rear gasket is suitable for Hamworthy 110 HE, 150 HE, 190 HE, 220 HE, 250 HE, 280 HE, 310 HE, 340 HE, 370 HE and 400 HE. O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy rear gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/21/NW-443021_wm.jpg,,N,x  x,573405194,Rear Gasket,N,"HE 370,HE 150,HE 250,HE 340,HE 110,HE 220,HE 310,HE 400,HE 190,HE 280",,,,,,,,,,,
59,P444047,Hamworthy electrode,Hamworthy,40.92,A Hamworthy replacement electrode for the HE 50. An ignition (spark) electrode causes the spark that begins combustion within the burner. while flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.,Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/47/NW-444047_wm.jpg,,N,x  x,333801341,Electrode,N,,,,,,,,,,,4135110,
60,P444771,Hamworthy fan assembly (Wessex),Hamworthy,775.38,"This Hamworthy replacement fan assembly is designed Wessex 200 HE boilers. The fan introduces fresh air into a boiler's combustion chamber, ensuring that gas is burnt correctly and extracting burnt gas at the end of the combustion process. Your boiler's safety parameters ensure that no gas passes through to the main burner if the fan is not functioning correctly.",Parts and Spares/Commercial and Industrial Boiler Parts/Hamworthy Commercial Boiler Parts/Hamworthy Commercial Boiler Parts.csv -> Hamworthy fan assembly (Wessex),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/71/NW-444771_wm.jpg,,N,x  x,563605643,Fan Assembly,N,,,,,,,,,,,,
