,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Volume,Hazardous,Pack Type,Physical State / Form,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Attachment 4,Attachment 5,Attachment 6,Attachment 7,Connection Type,Range,Weight,Container Type,Quantity,Application
25,P459395,Regin zoom spout oiler,Regin,5.98,"This Regin Zoom Spout oiler is filled with Unocal 76 general purpose turbine lubricating oil with a 210°C flash point. The oiler's flexible, telescoping, non-conductive plastic spout extends from approximately 7 1/2"" (190mm) to 13 1/2"" (340mm) to help reach awkward spots in motors, gear sets and fans. Popularly used by heating, ventilation engineers, maintenance personnel, mechanics and home owners, this oil is ideal for use in bushings, electric motors (fractional to 3hp), compressors, linkages, vacuum pumps, bearings and blowers.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Regin zoom spout oiler",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/93/95/NW-459395_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/459395_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Regin_Products_Brochure_2015-2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,PF68408,Polypipe silicone grease jar 100g,Polypipe,19.34,"Polypipe SG100 jointing silicone grease is designed for use when fitting Polypipe's plastic push-fit waste, soil and underground drainage systems.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Polypipe silicone grease jar 100g",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/08/NW-F68408_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Polypipe_SG100_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P497667,Rocol gas tap lubricant 50g,Rocol,27.85,"Formulated for effective lubrication and sealing of gas taps and taper plug cocks, Rocol M23660 gas tap lubricant is a molybdenum disulphide lubricant developed with cooker and tap manufacturers for taps operating with 1st, 2nd and 3rd family gases.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Rocol gas tap lubricant 50g",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/67/NW-497667_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/ROCOL_Gas_and_Plumbing_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/ROCOL_M23660_Lubricant_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/ROCOL_M23660_Lubricant_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
28,P515526,Hep2O silicon spray 400ml,Hep2O,12.14,"Hep2O silicone lubricant spray is part of the easy, fast and secure Hep2O system.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Hep2O silicon spray 400ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/26/NW-515526_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Hep2O_Plumbing_System_User_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Hep2O_Silicone_Lubricant_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Hep2O_Push_Fit_Plumb_InstallersGuide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P608217,Rocol Foodlube multi-lube 500ml,Rocol,47.76,"PTFE fortified, Rocol FoodLube multi-lube penetrating lubricant is a food-grade, multi-purpose, water displacing lubricant for use on chains, bearings, slides and other mechanisms in food, pharmaceutical and other clean environments. This all-round lubricating fluid contains additives to boost performance and improve adhesion while offering excellent water wash-off resistance and corrosion protection. FoodLube is supplied in a hand trigger pack for accurate use, a bulk version is also available for refilling.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Rocol Foodlube multi-lube 500ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/17/NW-608217_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/ROCOL_FOODLUBE_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/ROCOL_FOODLUBE_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/ROCOL_FOODLUBE_Brochure.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/me/nt/ROCOL_FOODLUBE_Technical_Statement.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/ROCOL_NSF_ISO_21469_Certification.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/ROCOL_HALAL_Control_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/ROCOL_Kosher_Certification.pdf,,,,,,
30,PF25305,Marley Chemicals and Adhesives silicone lubricant aerosol (no cfc),Marley,25.22,This Marley SZ400 universal silicone lubricant is formulated specifically for use with Marley Equator products. It is suitable for use in both above and below ground drainage projects.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Marley Chemicals and Adhesives silicone lubricant aerosol (no cfc)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/05/NW-F25305_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Marley_Silicone_Spray_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PP01472,Durapipe Durapipe PVC 03457395 eco cleaner 500ml (1),Durapipe,15.16,A 500ml tin of Durapipe Eco cleaner cleaning fluid.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Durapipe Durapipe PVC 03457395 eco cleaner 500ml (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/72/NW-P01472_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Durapipe_Eco_Cleaner_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PQ64158,Wavin OsmaS 4S380G cleaner 250ml,Wavin,15.47,"Wavin OsmaS degreasing cleaner is suitable for uPVC, ABS and muPVC pipe systems.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Wavin OsmaS 4S380G cleaner 250ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/58/NW-Q64158_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_Degreasing_Cleaner_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P497681,Rocol Sapphire aqua silicon 85g,Rocol,36.25,"Offering long term lubrication, Rocol Sapphire Aqua-Sil is a highly resistant silicone grease for lubricating seals, slides and slow speed bearings.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Rocol Sapphire aqua silicon 85g",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/81/NW-497681_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/ROCOL_SAPPHIRE_Aqua_Sil_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/ROCOL_Lubrication_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/ROCOL_SAPPHIRE_Aqua_Sil_SDS.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/ROCOL_Gas_and_Plumbing_Brochure.pdf,,,,,,,,,
34,PP31470,Georg Fischer Tangit ABS tin of cement 650g,Georg Fischer,41.15,Georg Fischer Tangit solvent cement is designed for use in COOL-FIT jointing systems.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Georg Fischer Tangit ABS tin of cement 650g",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/70/NW-P31470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Georg_Fischer_Tangit_ABS_Cement_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/GF_Piping_Systems_ABS_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/George_Fischer_Tangit_ABS_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PP41596,Georg Fischer Tangit cleaning fluid for PVC/CPVC/ABS 1kg,Georg Fischer,46.26,"Georg Fischer Tangit cleaner is suitable for the cleaning of PVC-U, PVC-C and ABS.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Georg Fischer Tangit cleaning fluid for PVC/CPVC/ABS 1kg",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/96/NW-P41596_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Georg_Fischer_Tangit_Cleanr_ABS_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/George_Fischer_Tangit_Cleaner_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/GF_Piping_Systems_ABS_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PN57447,Gyproc Easi-Fill filler 1kg (Pack of 5),Gyproc,24.61,"An ideal snagging tool, Gyproc Easi-Filler multi-purpose filler grips to painted surfaces, drying to set within 70 minutes. Lightweight and easy to prepare, apply and then sand, Easi-Filler has a working time of 45 minutes and is perfect for carrying out lots of small filling jobs in one go.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Gyproc Easi-Fill filler 1kg (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/47/NW-N57447_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Gyproc_Jointing_Range_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PP01470,Durapipe UPVC cement 500ml,Durapipe,45.67,"Lightweight unplasticised polyvinyl chloride (PVC-U), ideal for use in pressurised irrigation systems and drinking water, in chemical installations and for water treatment.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Durapipe UPVC cement 500ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/70/NW-P01470_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Durapipe_Solvent_Cement_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PT86021,Rothenberger threading spray (mineral) 600ml,Rothenberger,16.71,Rothenberger Ronol high performance mineral thread cutting oil ensures clean threads and improved durability.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Rothenberger threading spray (mineral) 600ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/21/NW-T86021_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/T86021_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Rothenberger_Catalogue_2016_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PN10897,Rothenberger threading oil mineral 5ltr,Rothenberger,29.15,Rothenberger Ronol high performance mineral thread cutting oil ensures clean threads and improved durability.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Rothenberger threading oil mineral 5ltr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/97/NW-N10897_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/N10897_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Rothenberger_Catalogue_2016_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PF32504,Polypipe Terrain solvent-weld cement 500ml,Polypipe,58.79,This Polypipe Terrain solvent weld cement is for solvent jointing of uPVC and ABS fittings in non-pressure systems.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Polypipe Terrain solvent-weld cement 500ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/04/NW-F32504_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_TerrainS&W_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PQ97064,Wavin OsmaS 4S391 silicone lubricant tube 50g,Wavin,20.15,"This Wavin OsmaS silicone lubricant is ideal for use in waste, soil and ventilation systems.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Wavin OsmaS 4S391 silicone lubricant tube 50g",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/64/NW-Q97064_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_Soluble_Lubricant_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PF32594,Polypipe Terrain lubricant for seal ring assembly,Polypipe,77.83,Polypipe Terrain soluble lubricant is used to lubricate the seal rings on expansion fittings.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Polypipe Terrain lubricant for seal ring assembly",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/94/NW-F32594_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_TerrainS&W_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,P497673,Rocol manganese pipe joining compound 400g,Rocol,20.67,"Formulated with graphite and manganese, Rocol SteamSeal foliac high pressure pipe sealant provides effective sealing for ferrous pipework. This high pressure, setting pipe sealant is suitable for metallic threaded and flanged joints.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Rocol manganese pipe joining compound 400g",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/73/NW-497673_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/ROCOL_STEAMSEAL_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/ROCOL_Gas_and_Plumbing_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/ROCOL_STEAMSEAL_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PF25304,Marley Chemicals and Adhesives silicone lubricant tub 500g,Marley,78.27,This Marley SZ500 universal silicone lubricant is formulated specifically for use with Marley Equator products. It is suitable for use in both above and below ground drainage projects.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Marley Chemicals and Adhesives silicone lubricant tub 500g",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/04/NW-F25304_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Marley_Easyjoint_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PH68148,Wavin OsmaS 4S392 silicone lubricant spray 400ml,Wavin,35.07,"This Wavin OsmaS silicone lubricant is ideal for use in waste, soil and ventilation systems.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Wavin OsmaS 4S392 silicone lubricant spray 400ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/48/NW-H68148_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_Silicone_Lubricant_Spray_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PN66924,Sika Everbuild SikaBond multi stick 350ml,Sika Everbuild,7.79,"Created for the trade, Sika Everbuild Multi Stick is a hybrid polymer grab adhesive capable of bonding almost anything, from glass to marble to mirror, plasterboard and stone. Working effectively and curing fast in both wet and dry conditions, UV-resistant Multi Stick, supplied in a 350ml cartridge, will reliably adhere in the rain and even underwater.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Sika Everbuild SikaBond multi stick 350ml",,Cartridge 350ml x 12,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/24/N66924_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Sika_MultiStick_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,P581039,Brian Hyde Laco all purpose oil zoom spout 115ml,Brian Hyde,4.56,"Ideal for lubricating in hard to reach places, this Brian Hyde LA-CO precision spout oiler has a specially designed telescoping spout to reach up to 13"" away to lubricate motors, bearings and other awkward parts.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Brian Hyde Laco all purpose oil zoom spout 115ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/39/NW-581039_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Brian_Hyde_LA_CO_Spout_Oiler_SDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PF32512,Polypipe Terrain 9101.25 cleaning fluid 250ml,Polypipe,21.78,Polypipe Terrain cleaning fluid should be used to clean uPVC pipe and fittings before the application of liquid weld.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Polypipe Terrain 9101.25 cleaning fluid 250ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/12/NW-F32512_wm.jpg,,,,White,,N,,Liquid,9101.250CF,Cleaning Fluid,N,250ml bottle,Suitable for commercial and building services,,,,,,,,,,,Solvent weld,Terrain,0.31464,Bottle,250 mL,Commercial and Building Services
49,PQ64163,Wavin OsmaS 4S394G filler Clear,Wavin,25.43,This Wavin OsmaS solvent cement filler is suitable for uPVC soil and drain pipes.,"Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Wavin OsmaS 4S394G filler Clear",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/63/NW-Q64163_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_Solvent_Cement_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PF09923,Hunter can solvent cement for UPVC 250ml,Hunter,18.59,"Offering a high resin content for good filling capacity in diametrical gaps, this Hunter special solvent cement is ideal for joining rigid PVC pipes and accessories in pressure systems.","Drainage/Drainage Essentials/Pipe Sealants, Lubricants & Compounds/Pipe Sealants, Lubricants & Compounds.csv -> Hunter can solvent cement for UPVC 250ml",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/23/NW-F09923_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Hunter_Solvent_Cement_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Hunter_Solvent_Cement_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Hunter_Plumbing_System_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
