,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Range,Hazardous,Dimensions mm (H x W x D),Part Gas Council number,By Model Number,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Model For Use With,Boiler Section,Boiler Range,Warranty,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 2,Connection,Fuel Type,Thread Size,Feature 8,Pack Quantity
30,P411401,Vaillant burner lid,Vaillant,186.84,A Vaillant burner lid for repair or replacement in Vaillant brand boilers.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Vaillant burner lid,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/01/411401_wm.jpg,,,N,,,,0020272052,Burner Lid,N,,Genuine Vaillant spare,Part of a wide range of boiler accessories,,,,,,,,,,,,,,,
31,P466145,Satronic universal wiring base,Satronic,52.86,"This Satronic S98 wiring base includes terminals 1 - 9, A, B, C and two spare terminals S1 and S2. It is compatible with TF, MMI, MMG, DKO, DKW, DKG and DMG.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Satronic universal wiring base,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/45/NW-466145_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/466145_Satronic_Data Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
32,P419409,Satronic photocell bracket,Satronic,0.93,A Satronic photocell bracket for MZ770.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Satronic photocell bracket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/09/NW-419409_wm.jpg,,,N,x  x,,,65320085,Photocell Bracket,N,,Black,,,,,,,,,,,,,,,,
33,P446988,"Anglo Nordic braided safety oil line 1/4"" male straight x 1/4"" female straight 500mm long",Anglo Nordic,6.56,"Designed for connecting pipework to an oil burner, this Anglo Nordic braided red and green flexible oil line is suitable for diesel, kerosene and biofuel blends to B20. This oil line includes straight inlet/outlet fittings mechanically crimped to the hose.","Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Anglo Nordic braided safety oil line 1/4"" male straight x 1/4"" female straight 500mm long",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/89/NW-446988_446989_wm.jpg,,,N,x  x,,,9400012,Oil Line,N,,UNI9362 nitrile rubber core,Nitrile rubber complies with EN 6806,Temperature range -25 to 90°C,,,,,"Suitable for use with liquid fuels including diesel, kerosene and biofuels up to B21",,,,,,,,,
34,P419415,Satronic 9 pin universal wiring base,Satronic,16.55,"This Satronic S98 wiring base includes terminals 1 - 9, A, B, C and two spare terminals S1 and S2. It is compatible with TF, MMI, MMG, DKO, DKW, DKG and DMG.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Satronic 9 pin universal wiring base,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/15/NW-419415_wm.jpg,,,N,x  x,,,65320101,Wiring Base,N,,9 Pin,,,,,,,,,,,,,,,,
35,P456471,Riello seal kit,Riello,11.73,"This Riello seal kit contains a range of useful seals to prevent leaks in a heating system and ensure no escape of harsh, toxic gases. These seals are suitable for use in domestic, commercial and industrial systems.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Riello seal kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/71/NW-456471_wm.jpg,,,N,x  x,,"HEATSLAVE 25/32 EXT,12/18 OOO GB OIL,Heatslave II 12/18,Heatslave II 25/32 External,HEATSLAVE 12/18 EXT,CAMRAY 18/25 U'LITY,CAMRAY 25/32 EXT SYS,CAMRAY 25/32 EXT,CAMRAY 12/18 EXT SYS,HEATS,CAMRAY 25/32 U'LITY SYS,Heatslave II 25/32,HEATSLAVE HE 18/25 INT",87161093410,Seal Kit,N,ResidentialCommercialIndustrial,Compatible with a range of Heatslave II and Camray units,,,,,,,,,,,,,,,,
36,P729549,Ideal Spares burner hood seal,Ideal,41.23,An Ideal burner hood seal for Ideal Xtra F 80 - 560 commercial boilers.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ideal Spares burner hood seal,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/49/NW-729549_wm.jpg,,Spares,N,14.4L X 21.7W X 4H,n/a,"Xtra F 280,Xtra F 160,Xtra F 480,Xtra F 240,Xtra F 560,Xtra F 120,Xtra F 80,Xtra F 320,Xtra F 200,Xtra F 400",174412,Burner Hood Seal,N,Commercial,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,,,,,,
37,P419422,Exocet kerosene lubricity additive 500ml,Exocet,14.0,"This Exocet kerosene lubricity additive with 1:5000 treatment ratio is formulated for use where kerosene is used in place of gas oil or diesel in stationary engines or burners, but can also be used in domestic and commercial heating systems to protect fuel pumps from wear. Compensating for low sulphur kerosene's natural lack of lubricity, this additive minimises wear rates and maximises equipment life. It is recommended for use in heating systems experiencing fuel pump failures or seizures and in agricultural grain dryers.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Exocet kerosene lubricity additive 500ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/22/NW-419422_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/419422_MSDS.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P456842,Anglo Nordic oil line 900mm long,Anglo Nordic,15.76,"Designed for connecting pipework to an oil burner, this Anglo Nordic Mec-style 900mm braided red and green flexible oil line with 1/4"" female (90° elbow) x 1/4"" female connections is suitable for diesel, kerosene and biofuel blends to B20. This oil line includes 90° elbow inlet/outlet fittings mechanically crimped to the hose.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Anglo Nordic oil line 900mm long,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/42/NW-456842_wm.jpg,,,N,x  x,,"BURNER MEC 20 GB 131 T 12,BURNER MEC 3 GB - TYPE 124T 12,BURNER MEC 8 GB 123 T 12",9404001-W,Oil Line,N,,UNI9362 nitrile rubber core,Nitrile rubber complies with EN 6806,"Core generally TN6 6mm, larger bore cores",,,,,Temperature range -25 to 90°C,"Suitable for liquid fuels including diesel, kerosene and biofuels up to B20",,,,,,,,
39,P700571,Trianco PCB (211559),Trianco,340.72,"This Trianco replacement printed circuit board is designed for use with Aztec Classic boilers.  The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Trianco PCB (211559),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/71/NW-700571_wm.jpg,,,N,x  x,,,211559,Printed Circuit Board,N,,For use with Aztec Classic boilers,Printed circuit board only,,,,,,,,,,,,,,,
40,P771734,Potterton burner bar,Potterton,265.92,This Potterton 8801618 replacement burner bar is compatible with selected past production Derwent boilers.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Potterton burner bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/34/NW-771734_wm.jpg,,,N,x  x,,"Derwent Compact Plus - Ceased Production 2013,Derwent Prestige Plus - Ceased Production 2013,Derwent Prestige - Ceased Production 2004,Derwent Compact Plus Condensing - Ceased Production 2008",COMN9020400,Burner Bar,N,CommercialIndustrial,,,,,,,,,,,,,,,,,
41,P481304,Broag eco gas service kit (310),Broag,252.24,This Broag S100198 eco gas service kit is designed for use with Remeha (Baxi) commercial boilers.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Broag eco gas service kit (310),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/04/NW-481304_wm.jpg,,,N,x  x,,,S100198,Gas Service Kit,N,,,,,,,,1 year,,,,,,,,,,
42,P456447,Riello flange gasket,Riello,9.33,"Suitable for single stage, two stage and modulating operation, this Riello flange gasket creates a seal between a burner and boiler to prevent the release of products of combustion. It is recommended that this gasket is changed during annual servicing where signs of deterioration are observed.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Riello flange gasket,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/47/NW-456447_wm.jpg,,,N,x  x,,,87161093270,Flange Gasket,N,ResidentialCommercialIndustrial,"For single stage, two stage and modulating operation",,,,,,,,,,,,,,,,
43,P466628,Ecoflam gas large,Ecoflam,53.63,This Ecoflam T106/41 transformer is suitable for use with a variety of Blu gas burners.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ecoflam gas large,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/28/NW-466628_wm.jpg,,,N,x  x,,,65323230,Transformer,N,CommercialDomestic,"Suitable for Blu 170 AB, Blu 170 AB multiblock, Blu 170 and Blu 170 multiblock","Suitable for Blu 250 AB, Blu 250 AB multiblock, Blu 250 and Blu 250 multiblock","Suitable for Blu 350 AB, Blu 350 AB multiblock, Blu 350 and Blu 350 multiblock",,,,,,,,,,,,,,
44,P461486,Ideal Spares 013561 main burner bar,Ideal,246.34,"This Ideal main burner bar is compatible with a variety of CX, CX2, CXC and CXD boilers. The burner produces heat in a combustible heating appliance. In natural gas appliances gas is transferred to a gas valve and into the burner for ignition. The heat created is used to heat the water in the master heat exchanger.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ideal Spares 013561 main burner bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/86/NW-461486_wm.jpg,,Spares,N,13.8L X 19.6W X 83.6H,790048,,013561,Main Burner Bar,N,Commercial,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,,,,,,
45,P446992,"Anglo Nordic oil line adaptor 1/4"" x 1/8""",Anglo Nordic,1.52,"Intended for use with braided oil safety lines, this Anglo Nordic oil line adapter has 1/4"" x 1/8"" male BSPP connections and is supplied with a copper ring.","Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Anglo Nordic oil line adaptor 1/4"" x 1/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/92/NW-446992_wm.jpg,,,N,x  x,,,9400006,Adaptor,N,,Designed for braided oil safety lines,"1/4"" x 1/8"" male BSPP connections and copper ring.",,,,,,,,,,,,,,,
46,P455555,Eogb filter and O ring kit,Eogb,8.08,This Eogb filter and O-ring kit is designed for use with a variety of HRM boilers.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Eogb filter and O ring kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/55/55/NW-455555_wm.jpg,,,N,x  x,,,A02-0001,Filter and O-Ring Kit,N,CommercialDomestic,"Compatible with HRM Wallstar Dec-15, HRM Wallstar 15/20 and HRM Wallstar 20/25","Compatible with HRM Wallstar 25/19 combi, HRM Wallstar 12/15 system and HRM Wallstar 15/20",,,,,,,,,,,,,,,
47,P797105,Worcester Bosch 3rd baffle,Worcester Bosch,60.0,"An official Bosch part, this baffle is designed for use in the casing of Worcester Bosch Camray, Camray 5, Bonus and Camray 5 Utility units.  Baffle plates control the circulation of air traveling into an appliance, resulting in more efficient mixing of gases and better combustion.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Worcester Bosch 3rd baffle,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/05/797105_wm.jpg,,,N,,,"65/90 EXTERNAL,40/65,BOULTER BONUS 65/95,65/90 U'LITY SYS,40/65 EXTERNAL,BOULTER BONUS 40/65,COMBI 90 EXTERNAL,COMBI 90,40/65 KITCHEN,COMBI 70,40/65 U'LITY SYS,40/65 SYS,COMBI 55,65/95,65/90 SYS,40/65 U'LITY",87161072300,Baffle,N,,,,,"BOULTER BONUS 65/95, 40/65 U'LITY, 40/65 U'LITY SYS, 65/90 EXTERNAL, COMBI 55, COMBI 70, COMBI 90, 65/95, 40/65, 40/65, 40/65 SYS, 65/90 SYS, COMBI 90 EXTERNAL, 65/90 U'LITY SYS, 40/65, BOULTER BONUS 40/65, 40/65 EXTERNAL, 40/65 KITCHEN",Casing,"Camray, Camray 5, Bonus, Camray 5 Utility",,,,,,,,,,,
48,P412814,Ideal Spares burner seal kit 150w,Ideal,63.26,This Ideal 150kW burner seal kit offers compatibility with Ideal 30 - 150 and LPG boilers.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ideal Spares burner seal kit 150w,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/14/NW-412814_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Ideal_Evomax_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P466524,Ecoflam hardwire transformer 230V,Ecoflam,38.87,This Ecoflam T123/2 230V hardwire transformer is suitable for use in a wide selection of oil burners in the Dual and Minor ranges.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ecoflam hardwire transformer 230V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/24/NW-466524_wm.jpg,,,N,x  x,,"Minor 8 AB,Minor 4 AB,Minor 12 AB",65323243,Transformer,N,CommercialDomestic,230V,,,,,,,,,,,,,,,,
50,P457093,"Riello MB MBDLE 407 gas train model 3/4""",Riello,891.98,"This Riello 3/4"" multibloc gas train is fitted with a microprocessor-based control box offering useful diagnostic functions. The train's main components are contained in a single unit. A gas train is selected based on fuel output and the pressure in the supply line. Either multibloc type or composed type, a gas train can be designed with the fuel supply delivered from the right or left hand side.","Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Riello MB MBDLE 407 gas train model 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/93/NW-457093_wm.jpg,,MB,N,,,,3970531,GAS TRAIN,N,,"With 3/4"" thread",2 year parts only warranty from manufacture date,2 years parts and labour warranty from date of Riello commissioning,,,,,,,,,,3/4 inch BSPT Female,Natural Gas,3/4 inch,,
51,P463367,Ideal Spares 150152 main burner bar,Ideal,99.54,This Ideal main burner bar is compatible with a variety of Ideal commercial boilers. The burner produces heat in a combustible heating appliance. In natural gas appliances gas is transferred to a gas valve and into the burner for ignition. The heat created is used to heat the water in the master heat exchanger.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ideal Spares 150152 main burner bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/33/67/NW-463367_wm.jpg,,Spares,N,15.2L X 20.6W X 83.8H,E58112,"CXC 70,C,CXA 50,CXD 60,CXA 70,CXAP 60/H,CXC 116,CXAP 60,CXA 110,CXAP 40/H,CXA 70/H,CXS 120/H,CX 60,CXA 120/H,CXA 90/H,CXD 50,CXA 60,CXD 70,CXA 80,CXAP 90/H,CXS 50,CXAP 70,CXA 100,CXAP 50,CXAP 50/H,CX 100,CXA 40,CX 90,CX 70,CXA 60/H,CXC 48,CX 50,CXA 110/H",150152,Main Burner Bar,N,Commercial,"Our company remains true to its founding principles of quality, innovation and value – building on its rich heritage as we look to the future.",,,,,,,,,,,,,,,,
52,P480028,Worcester Bosch set of v-baffles,Worcester Bosch,145.1,"This Worcester Bosch set of V-baffles is suitable for use in the casing of Heatslave and Danesmoor boilers.  Baffle plates control the circulation of air traveling into an appliance, resulting in more efficient mixing of gases and better combustion.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Worcester Bosch set of v-baffles,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/28/480028_wm.jpg,,,N,,,,87161209390,Baffle Set,N,,,,,"15/19-OSO-GB, Boilerhouse 12/14, 15/19-OOO-GB, 12/14-OOO-(CF), 12/14-OSO-GB, 15/19 ROO (RS), Boilerhouse 15/19, 15/19-OOO-(CF), 15/19 RSO (RS), 15/19 RSO SYS, Boilerhouse 20/25, 15/19-OSO-GB, 20/25-OSO-GB, 12-25 OOO, 15/19-OOO-GB U'LITY, 12/14-OSO-GB, 15",Casing,"Danesmoor, Heatslave",,,,,,,,,,,
53,P798999,Worcester Bosch 3rd 4th & 5th baffle,Worcester Bosch,54.76,"An official Bosch part, this baffle is designed for use in the casing of Worcester Bosch Camray and Camray 5 units.  Baffle plates control the circulation of air traveling into an appliance, resulting in more efficient mixing of gases and better combustion.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Worcester Bosch 3rd 4th & 5th baffle,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/99/798999_wm.jpg,,,N,,,"65/90A U'LITY,BOULTER BONUS 65/90A,65/90A KITCHEN",87161071830,Baffle,N,,,,,"65/90A KITCHEN, 65/90A U'LITY, BOULTER BONUS 65/90A",Casing,"Camray 5, Camray",,,,,,,,,,,
54,P729479,Ideal Spares burner 150kw kit,Ideal,623.18,An Ideal 150kW burner kit for the repair of commercial Ideal boilers.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ideal Spares burner 150kw kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/79/NW-729479_wm.jpg,,Spares,N,N/A,n/a,,176357,Commercial Boiler Parts,N,,For commercial boilers,Genuine Ideal spare part,Contains main burner only,,,,,,,,,,,,,,
55,P466526,Ecoflam single heat lead,Ecoflam,14.86,This Ecoflam BFE01401/1 ignition cable is a single heat lead offering compatibility for a wide range of oil boilers.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ecoflam single heat lead,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/26/NW-466526_wm.jpg,,,N,x  x,,"Minor 12.1 cr,Minor 12.1 R cr,Minor 4.1 R cr,Minor 12 AB,Minor 8.1 cr,Minor 8.1,Minor 4.1,Minor 8 AB,Minor 8.1 R cr,Minor 4 AB,Minor 4.1 R,Minor 4.1 cr,Minor 8.1 R",65070264,Cable,N,CommercialDomestic,"Suitable for Dual 1, Dual 2, Maior P10 AB and Maior P10","Suitable for Minor 1 40/60, Minor1 60/80 and Minor 1 80/95","Suitable for Minor 12 AB, Minor4 AB and Minor 8 AB",,,,,,,,,,,,,,
56,P456055,Nu-Way photo cell (MZ770S),Nu-Way,15.76,"This Nuway Satronic MZ770S photocell is an oil burner safety device, designed to monitor the combustion chamber for a flame signal. The photocell provides a monitored feedback signal back to the PCB and during start-up process ensures ignition happens only where there isn't a flame or stray light in the chamber. Once the flame it lit, the photocell continues monitoring, telling the PCB to initiate burner lock out if the flame is lost. This photocell is compatible with a wise selection of appliances including those in the Ecoflam, Stirling and ROL and NOL ranges.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Nu-Way photo cell (MZ770S),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/55/NW-456055_wm.jpg,,,N,x  x,,,C31039X,Photocell,N,,"All over the world Nuway are known for reliability, efficiency and performance.",,,,,,,,,,,,,,,,
57,P411398,Vaillant burner lid,Vaillant,231.43,A Vaillant burner lid for repair or replacement in Vaillant brand boilers.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Vaillant burner lid,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/98/411398_wm.jpg,,,N,,,,0020272050,Burner Lid,N,,Genuine Vaillant spare,Part of a wide range of boiler accessories,,,,,,,,,,,,,,,
58,P421264,Anglo Nordic water seperator,Anglo Nordic,51.22,"This Anglo Nordic 3/8"" oil filter and water separator is suitable for use with diesel or biodiesel up to B30. It is made up of a cast aluminium head with a transparent polycarbonate bowl.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Anglo Nordic water seperator,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/64/NW-421264_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/421264_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
59,P477662,Broag gasket for burner,Broag,33.64,"This Broag replacement burner gasket is suitable for use in a range of Remeha Commercial (Baxi) boilers. O-rings, gaskets and washers are used in many different areas of the boiler to join parts to pipework. Among other sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Broag gasket for burner,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/62/NW-477662_wm.jpg,,,N,x  x,,"Gas 210 Eco Pro 80kW,Gas 210 Eco Pro 200kW,Gas 210 Eco Pro 120kW,Gas 210 Eco Pro 160kW",S100551,Burner Gasket,N,,Easy to Replace,High Quality,,,,,1 year,,,,,,,,,,
60,P466069,Satronic 810.1 module timing control box 240v,Satronic,354.94,"The Satronic Mod 43-44 MMI 810.1 gas burner control box controls and monitors blown gas and combined burners of any nominal thermal load tested and certified according to EN 298. Automatic safety controls on MMI 810.1 models 13, 33 and 35 can also be used for burners on fixed hot air heaters per DIN 4794.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Satronic 810.1 module timing control box 240v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/69/NW-466069_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Satronic_MMI810-1_811-1_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
61,P466631,Ecoflam pump motor coupling White,Ecoflam,7.43,This Ecoflam pump coupling is suitable for use with Minor 1 - 30 and Maior oil burners.,Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Ecoflam pump motor coupling White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/31/NW-466631_wm.jpg,,,N,x  x,,"VL4.610 DP,VL4.610 D,VGL4.610 DP,NC29 H201A,NC61 H201A,VGL5.1000 DP,VL4.460 DP,VL4.460 D,NC46 H201A,VGL5.1000 110 V,NC36 H201A,VL5.950 D,VL3.290 D,VL5.950 DP,VGL4.460 DP,VL5.1200 D,VL3.360 D,VGL5.700 DP,VGL5.750 KN 110 V,VL5.1200 DP",65074172,Coupling,N,CommercialDomestic,White,,,,,,,,,,,,,,,,
62,P456909,Anglo Nordic oil line braided 700mm,Anglo Nordic,6.73,"Designed for connecting pipework to an oil burner, this Anglo Nordic 700mm braided red and green flexible oil line has 1/4"" male (90° elbow) x 1/4"" female connections. Suitable for biofuel blends to B20, this oil line includes 90° elbow inlet/outlet fittings mechanically crimped to the hose.",Parts and Spares/Heating Replacement Parts/Burner Parts and Accessories/Burner Parts and Accessories.csv -> Anglo Nordic oil line braided 700mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/09/NW-456909_wm.jpg,,,N,x  x,,,2404007,Oil Line,N,,Kerosene compatible,Oil line core manufactured with UNI 9362 nitrile rubber,Braided in galvanised steel mesh to ANCC standards,,,,,-25 to 90°C temperature range,Suitable for biofuel blends to B20,90° degree fittings,Galvanised fittings mechanically crimped,,,,,1 year warranty,
