,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Range,Thickness,Warranty,Hazardous,Frame Colour,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Attachment 1,Attachment 2,Attachment 3,Position,Shower Tray Shape,Style,Weight,Depth (mm),Floor Mounted,Waste Supplied,Anti Slip Surface,Riser included,Feature 10,Feature 11,Attachment 4
24,PD06552,IMPEY LEVEL DEC EASY FIT 1500X1200 +EDP1,Impey,612.1,"Straightforward to install, the Impey Level-Dec EasyFit 1500 x 1200mm wetroom floor former is a strongly durable 22mm thick GRP floorboard replacement with four pre-formed drainage gradients designed to offer a level access wetroom floor ideal for a vinyl finish. Manufactured in high glass content SMC, the Level-Dec EasyFit helps to save on installation time and cost, withstanding up to 300kg (47 stone) with no requirement for under-boarding, while the included rotating drain plate adjusts through 360° to avoid any underfloor obstructions.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> IMPEY LEVEL DEC EASY FIT 1500X1200 +EDP1,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/52/NW-D06552_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Impey_Brochure_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Impey_Level-Dec_EasyFit_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Impey_Shower_Brochure.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Impey_Level-Dec_EasyFit_Install.pdf
25,PD02418,Kudos Ultimate 2 square wall post kit Chrome,Kudos,51.16,"The Kudos Ultimate 2 square wall post kit is suitable for use with a shower tray or fitted directly to a tiled floor. Easy to install, the Ultimate 2 features a unique crystal clear glass-to-glass corner joint seal for a modern, seamless finish.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Kudos Ultimate 2 square wall post kit Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/18/UP-D02418_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Kudos_Ultimate_Brochure.pdf,,,,,,,,,,,,,,
26,PT41736,Scudo 8 mm wetroom 800 mm with 275 mm deflector panel,,300.14,"Manufactured in toughened safety glass, the Scudo 800 x 2000mm wetroom panel, supplied with a deflector panel, is finished with Acquashield for ease of cleaning. This must-have glass treatement creates an invisible barrier that resists soap scum, limescale and bacterial buildup, making regular cleaning simple with no need for harsh chemicals.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Scudo 8 mm wetroom 800 mm with 275 mm deflector panel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/36/T41736_wm.jpg,Clear,,,,N,,,800I8WETSET,,N,Up to 8mm thick safety glass,Aquashield treated for ease of cleaning,"Modern, minimalist support arm included",Suitable for installation on a tray or direct to tiled floor,With 20mm adjustment for out of true walls,Wetroom and return panel included,With chrome frame,Lifetime warranty,,,,,,,,,,,,,,,,
27,PT41794,Scudo wetroom 8mm 1100 x 2000mm,Scudo,226.57,"A simple design to suit most bathroom decors, this Scudo 1100 x 2000mm wetroom shower panel helps to reduce splashing while creating a sleek, modern finish.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Scudo wetroom 8mm 1100 x 2000mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/94/T41794_wm.jpg,Chrome,,8mm,Limited lifetime,N,Chrome,Glass,S8-WET1100CHR,Wetroom Panel,N,Manufactured with 8mm thick glass,For wet room use,Chrome frame,Can be converted to brushed brass with a conversion kit,Limited lifetime warranty,,,,,,,,,,,,,,,,,,,
28,PD54015,Impey Aqua Dec EasyFit easyfit rotating plate square drain floow former 900 x 900 x 22mm Off-White,Impey,452.43,"Straightforward to install, the Impey Aqua-Dec EasyFit 900 x 900mm wetroom floor former is a strongly durable 22mm thick GRP floorboard replacement with four pre-formed drainage gradients designed to offer a level access wetroom floor ideal for a tiled finish. Manufactured in high glass content SMC, the Aqua-Dec EasyFit helps to save on installation time and cost, withstanding up to 300kg (47 stone) with no requirement for under-boarding, while the included rotating drain plate adjusts through 360° to avoid any underfloor obstructions.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Impey Aqua Dec EasyFit easyfit rotating plate square drain floow former 900 x 900 x 22mm Off-White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/15/NW-D54014_D54015_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Impey_Aqua_Dec_Brochure.pdf,,,,,,,,,,,,,,
29,PD54004,Impey WaterGuard square floor membrane kit,Impey,256.18,"A complete wet room sealing solution, this 5M² Impey WaterGuard floor membrane kit provides 1mm thick sealing for floors, providing a lifetime barrier against leaks. Helping to speed up installation time, WaterGuard requires no curing time, can be tiled directly after laying and can withstand temperatures of up to 60°C for compatibility with underfloor heating solutions like Impey Aqua-Mat.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Impey WaterGuard square floor membrane kit,,10m² of Impey WaterGuard membrane;500ml BAL primer;20m jointing tape;5x internal corners;External corner;Butyl sealant,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/04/NW-D54004_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Impey_145_Butyl_Sealant_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Impey_Aqua_Dec_Brochure.pdf,,,,,,,,,,,,,
30,PD54019,Impey Aqua Dec EasyFit easyfit rotating plate square drain floow former 1200 x 1200 x 22mm Off-White,Impey,568.64,"Straightforward to install, the Impey Aqua-Dec EasyFit 1200 x 1200mm wetroom floor former is a strongly durable 22mm thick GRP floorboard replacement with four pre-formed drainage gradients designed to offer a level access wetroom floor ideal for a tiled finish. Manufactured in high glass content SMC, the Aqua-Dec EasyFit helps to save on installation time and cost, withstanding up to 300kg (47 stone) with no requirement for under-boarding, while the included rotating drain plate adjusts through 360° to avoid any underfloor obstructions.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Impey Aqua Dec EasyFit easyfit rotating plate square drain floow former 1200 x 1200 x 22mm Off-White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/24/NW-D54017_D54024_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Impey_Aqua_Dec_Brochure.pdf,,,,,,,,,,,,,,
31,PD06548,IMPEY LEVEL DEC EASY FIT 1400X900 + EDP1,Impey,494.64,"Straightforward to install, the Impey Level-Dec EasyFit 1400 x 900mm wetroom floor former is a strongly durable 22mm thick GRP floorboard replacement with four pre-formed drainage gradients designed to offer a level access wetroom floor ideal for a vinyl finish. Manufactured in high glass content SMC, the Level-Dec EasyFit helps to save on installation time and cost, withstanding up to 300kg (47 stone) with no requirement for under-boarding, while the included rotating drain plate adjusts through 360° to avoid any underfloor obstructions.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> IMPEY LEVEL DEC EASY FIT 1400X900 + EDP1,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/49/NW-D06544_D06549_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Impey_Brochure_2019.pdf,,,,,,,,,,,,,,
32,PD53551,IMPEY VINYL GULLEY HORIZONTAL,Impey,99.85,"With a horizontal or vertical outlet, the Impey gravity waste comes as standard with all Level-Dec EasyFit floor formers. Made of plastic with a chrome finish, this 200mm drainage waste is ideal for use in vinyl wet room floors.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> IMPEY VINYL GULLEY HORIZONTAL,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/51/NW-D53551_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Impey_Healthcare_Brochure.pdf,,,,,,,,,,,,,,
33,PD14076,Impey Level-Dec EasyFit easy-fit level dec 1850 x 900mm,Impey,602.59,"Straightforward to install, the Impey Level-Dec EasyFit 1850 x 900mm wetroom floor former is a strongly durable 22mm thick GRP floorboard replacement with four pre-formed drainage gradients designed to offer a level access wetroom floor ideal for a vinyl finish. Manufactured in high glass content SMC, the Level-Dec EasyFit helps to save on installation time and cost, withstanding up to 300kg (47 stone) with no requirement for under-boarding, while the included rotating drain plate adjusts through 360° to avoid any underfloor obstructions.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Impey Level-Dec EasyFit easy-fit level dec 1850 x 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/76/NW-D14076_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Impey_Brochure_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Impey_Level-Dec_EasyFit_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Impey_Shower_Brochure.pdf,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Impey_Level-Dec_EasyFit_Install.pdf
34,PD54014,Impey Aqua Dec EasyFit easyfit rotating plate square drain floow former 800 x 800 x 22mm Off-White,Impey,418.0,"Straightforward to install, the Impey Aqua-Dec EasyFit 800 x 800mm wetroom floor former is a strongly durable 22mm thick GRP floorboard replacement with four pre-formed drainage gradients designed to offer a level access wetroom floor ideal for a tiled finish. Manufactured in high glass content SMC, the Aqua-Dec EasyFit helps to save on installation time and cost, withstanding up to 300kg (47 stone) with no requirement for under-boarding, while the included rotating drain plate adjusts through 360° to avoid any underfloor obstructions.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Impey Aqua Dec EasyFit easyfit rotating plate square drain floow former 800 x 800 x 22mm Off-White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/15/NW-D54014_D54015_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Impey_Aqua_Dec_Brochure.pdf,,,,,,,,,,,,,,
35,PD54005,10MSQ FLOOR MEMBRANE KIT,Impey,394.46,"A complete wet room sealing solution, this 10M² Impey WaterGuard floor membrane kit provides 1mm thick sealing for floors, providing a lifetime barrier against leaks. Helping to speed up installation time, WaterGuard requires no curing time, can be tiled directly after laying and can withstand temperatures of up to 60°C for compatibility with underfloor heating solutions like Impey Aqua-Mat.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> 10MSQ FLOOR MEMBRANE KIT,,5m² of Impey WaterGuard membrane;500ml BAL primer;15m jointing tape;5x internal corners;External corner;Butyl sealant,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/05/NW-D54005_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Impey_145_Butyl_Sealant_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Impey_Aqua_Dec_Brochure.pdf,,,,,,,,,,,,,
36,PD06549,Impey Level-Dec EasyFit easy-fit level dec and edp1 1200 x 1200mm,Impey,540.97,"Straightforward to install, the Impey Level-Dec EasyFit 1200 x 1200mm wetroom floor former is a strongly durable 22mm thick GRP floorboard replacement with four pre-formed drainage gradients designed to offer a level access wetroom floor ideal for a vinyl finish. Manufactured in high glass content SMC, the Level-Dec EasyFit helps to save on installation time and cost, withstanding up to 300kg (47 stone) with no requirement for under-boarding, while the included rotating drain plate adjusts through 360° to avoid any underfloor obstructions.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Impey Level-Dec EasyFit easy-fit level dec and edp1 1200 x 1200mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/49/NW-D06544_D06549_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Impey_Brochure_2019.pdf,,,,,,,,,,,,,,
37,PD54018,Impey Aqua Dec EasyFit easyfit rotating plate square drain floow former 1200 x 900 x 22mm Off-White,Impey,505.29,"Straightforward to install, the Impey Aqua-Dec EasyFit 1200 x 900mm wetroom floor former is a strongly durable 22mm thick GRP floorboard replacement with four pre-formed drainage gradients designed to offer a level access wetroom floor ideal for a tiled finish. Manufactured in high glass content SMC, the Aqua-Dec EasyFit helps to save on installation time and cost, withstanding up to 300kg (47 stone) with no requirement for under-boarding, while the included rotating drain plate adjusts through 360° to avoid any underfloor obstructions.",Showering/Shower Doors and Enclosures/Wet Room Panels/Wet Room Panels.csv -> Impey Aqua Dec EasyFit easyfit rotating plate square drain floow former 1200 x 900 x 22mm Off-White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/24/NW-D54017_D54024_wm.jpg,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Impey_Aqua_Dec_Brochure.pdf,,,,,,,,,,,,,,
