,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Connection,Connection Size,Hazardous,Thread Standard,Material,Thread Size,Maximum Operating Temperature,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Pack Quantity,Range,Sector,Depth (mm),Warranty
25,PB98494,ELECTROFLO NO TOUCH FLUSH ACTIV WAVE S2,Thomas Dudley,402.31,"Suitable for installation up to 750mm from a cistern, this Thomas Dudley Wave S2 touch-free dual flush plate is suitable for use in built-in bathroom furniture, tiles, partitioning and walls. Compatible with Vantage, Miniflow and Pushflo cisterns, the Wave S2 offers smooth pneumatic operation and has a chrome-plated finish.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> ELECTROFLO NO TOUCH FLUSH ACTIV WAVE S2,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/94/NW-B98494_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
26,P171615,Reliance Valves Heatguard Dual 4 in 1 dual thermostatic mixing valve 15mm,Reliance Valves,153.32,"Made of nickel-plated DZR brass and with viton seals, this RWC Heatguard Dual 4-in-1 thermostatic mixing valve can supply 37LPM at 2.5 bar pressure loss. With a tamperproof cap that can act as a temperature adjustment tool, this three-port TMV has scale-resistant internal components and 15mm compression water inlets with flat faced union connections to comply with building regulations and D08.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Heatguard Dual 4 in 1 dual thermostatic mixing valve 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/17/NW-171615_171617_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/RWC_Heatguard_Dual_TMV_Tech_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Heatguard_Dual_TMV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWC_HeatGuardTMV_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/RWC_Heatguard_Dual_TMV_TMV2_3_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,
27,P171621,Reliance Valves Ausimix Compact 2 in 1 thrmostatic mixing valve 15mm,Reliance Valves,87.07,"Offering versatile protection from the dangers of scalding, RWC Ausimix Compact 2-in-1 thermostatic mixing valve is made of DZR brass with a nickel-plated finish. This three-port valve offers viton seals and 15mm flat face union connections. Telescopic connectors and SharkBite push-fit connections are also available.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Ausimix Compact 2 in 1 thrmostatic mixing valve 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/22/NW-171621_171622_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Ausimix_Compact_TMV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWC_Ausimix_TMV2_3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,
28,P171624,Reliance Valves Ausimix Compact 4 in 1 thrmostatic mixing valve 22mm,Reliance Valves,134.31,"Offering versatile protection from the dangers of scalding, RWC Ausimix Compact 4-in-1 thermostatic mixing valve is made of DZR brass with a nickel-plated finish. This three-port valve offers viton seals, red/blue levers and 22mm flat face union connections. Telescopic connectors and SharkBite push-fit connections are also available.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Ausimix Compact 4 in 1 thrmostatic mixing valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/24/NW-171623_171624_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/RWC_Ausimix_Compact_4in1_TMV_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Ausimix_Compact_TMV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWC_Ausimix_TMV2_3_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,
29,PD62693,Bristan Sirrus Mini T Thermostatic Mixing Valve 15mm,Bristan,63.75,"Helping to make water outlets safer, this Bristan Sirrus thermostatic mixing valve is made of brass with 15mm connections. This three-port blending valve is supplied with serviceable filters.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Bristan Sirrus Mini T Thermostatic Mixing Valve 15mm,,Thermostatic mixing valve;Check valve;Filters,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/26/93/NW-D62693_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_TMV_MT503_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D62693_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D62693_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,
30,PB98512,Thomas Dudley Kinetic infrared urinal flush control box and solenoid valve,Thomas Dudley,259.16,This Thomas Dudley Kinetic infrared urinal flush control offers 12 hour hygiene and 24 hour economy flush modes.,Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Thomas Dudley Kinetic infrared urinal flush control box and solenoid valve,,Infrared tamper proof control box;1m lead with plug;Solenoid valve;Adaptor fittings;Flush mounting kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/12/NW-B98512_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/TD_Kinetic_Flush_Control_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ol/Dudley_Kinetic_Urinal_Control.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/2-/23/TD_Products-Parts_Catalogue_2022-23.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/TD_Kinetic_FlushControl_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_n/ew/Dudley_Kinetic_Urinal_Control_New.pdf,,,,,,,,,,,,,,,,,,,,,
31,P419890,Altecnic flush and fill valve 22mm,Altecnic,71.74,"Suitable for domestic or small commercial heating systems, the Altecnic 22mm flush and fill valve combines two ball-type isolating valves and a single T-port diverting ball valve. This provides ease of filling and flushing with chemical cleaners or water treatment solutions.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Altecnic flush and fill valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/90/419890_wm.jpg,,,,,,Compression,22 mm,N,Compression,Brass,22 mm,85,124-1501,Fill & Flush Valve,N,Used to fill and flush the system with cleaning chemicals or water treatment,For use with cleaning chemicals or water treatment,For maximum temperatures of 85°C,Works to minimum temperature of 2°C,Suitable for maximum pressure of 10 bar,Compression ends comply with BS EN 1252-2 for use with R250 (half hard) copper tube,,,,,
32,PD61368,Bristan Sirrus mixing valve 15mm Chrome,Bristan,438.01,"Suitable for single point or group applications, this Bristan Sirrus 15mm mixing valve is finished in classic chrome. It offers thermostatic operation for safe shut-off should either the hot or cold water supply to an outlet fail.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Bristan Sirrus mixing valve 15mm Chrome,,Thermostatic mixing valve;Check valve;Filters,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/NW-D61368_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_TMV3_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D61368_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D61368_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
33,PG73877,F1102 IR URINAL FLUSH BATTERY POWERED,Franke,259.36,"This battery-operated Franke Sissons infra-red urinal flush controller limits water waste to significantly reduce costs and maintain hygiene in a public bathroom. Easy and fast to install, with inbuilt vandal-resistance and durable long life construction, this smart automatic control system automatically detects when urinals have been used, flushing automatically for hands-off hygiene. During long periods of inactivity, for example over weekends and during holidays, the urinal is flushed at least once every 12 or 24 hours as selected by the user.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> F1102 IR URINAL FLUSH BATTERY POWERED,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/77/NW-G73877_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Franke_WS_Stadia_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Franke_WS_Transport_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/G73877_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Franke_FF11xx_Installation_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,
34,PC85164,Pegler VSH Tectite TX402 TMV3/2 mixing valve 15mm,Pegler,112.01,"This Pegler Yorkshire Tectite TX402 thermostatic mixing valve is suitable for use in a wide range of settings, from health and social care to domestic and commercial. Made of brass, this three-port valve offers 15mm push-fit connections.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Pegler VSH Tectite TX402 TMV3/2 mixing valve 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/64/NW-C85164_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_TMV_T_Type_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_BSI_Kitemark_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/PY_TMV_TX_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_TMV2_TX_NSF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_TMV3_TX_NSF_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,
35,PD61727,Rada Meynell thermostatic mixing valve 15/3,Rada,129.46,"The Rada Meynell 15/3 thermostatic mixing valve is a 1/2"" point-of-use valve, suitable for under-basin installation. It is supplied with a white plastic outer casing and integral check valves and strainers.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Rada Meynell thermostatic mixing valve 15/3,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/27/NW-D61727_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Rada_Meynell_15_3_Dimensions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Rada_Meynell_15_3_Mixng_Valve_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rada_ProductRange_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/cs/Rada_Meynell_15_3_V2_App_Schematics.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Rada_Meynell_15_3_Mixng_Valve_Tech.pdf,,,,,,,,,,,,,,,,,,,,,
36,PC30660,Ideal Standard Conceala 2 extended lever spindle 250mm Chrome Plated,Ideal Standard,86.37,The contemporary designed Ideal Standard Conceala 2 flushing lever with extended 250mm spindle is made of chrome-plated metal for a finish to suit most bathrooms.,Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Ideal Standard Conceala 2 extended lever spindle 250mm Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/60/NW-C30660_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_Conceala_2_S4491AA_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,
37,P187578,Reliance Valves Heatguard 4 in 1 heatguard TMV3 22mm,Reliance Valves,207.41,"The gunmetal RWC Heatguard TMV3-8 thermostatic mixing valve is a high performance thermostatic mixing valve is fully approved to NHS standards for safe use in healthcare settings. Fitted with viton seals, the Heatguard TMV3-8 has 22mm compression connections.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Heatguard 4 in 1 heatguard TMV3 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/78/NW-187578_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWC_Heatguard_TMV3_8_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Heatguard_TMV3_8_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,
38,PC85162,Pegler Yorkshire PEG402UAX TMV3/2 15mm mix valve,Pegler,194.4,"Made of brass with a chrome-plated finish, this Pegler Yorkshire PEG402UAX Anti-Scald thermostatic mixing valve has 15mm copper x copper end connections and blue and red levers. Eliminating the risk of scalding, this three-port valve can be used in domestic installation as well as in health and social care, schools and commercial applications.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Pegler Yorkshire PEG402UAX TMV3/2 15mm mix valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/62/NW-C85160_C85162_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_TMV_T_Type_WRAS_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/PY_TMV3_TMV2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/PY_Anti_Scald_TMV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_TMV3_TX_NSF_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/PY_TMV2_TX_NSF_Certificate.pdf,,,,,,,,,,,,,,,,,,,,,
39,P171467,Reliance Valves Heatguard 2 in 1 thermostatic mixing valve 15mm,Reliance Valves,170.97,"The gunmetal RWC Heatguard TMV3-8 2-in-1 thermostatic mixing valve is a high performance thermostatic mixing valve is fully approved to NHS standards for safe use in healthcare settings. Fitted with viton seals, the Heatguard TMV3-8 has 15mm compression connections.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Heatguard 2 in 1 thermostatic mixing valve 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/67/NW-171467_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWC_HeatGuardTMV_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/RWC_Heatguard_TMV3_8_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Heatguard_TMV3_8_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,
40,PD61047,"Rada thermostatic mixer valve 3/4""",Rada,448.57,"Approved for use in healthcare settings, the Rada 222-T3 DK thermostatic mixing valve is suitable for under-bath mounting and incorporates the unique Radatherm cartridge.","Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Rada thermostatic mixer valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/47/NW-D61047_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Rada_222_T3_Mixing_Valve_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rada_215_222_Series_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rada_ProductRange_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/cs/Rada_222_T3_DK_V2_App_Schematics.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Rada_222_T3_Dimensions.pdf,,,,,,,,,,,,,,,,,,,,,
41,P870208,JG Speedfit Easifit thermostatic mixing valve 15mm,JG Speedfit,50.83,"Ultra-compact, lightweight and suitable for fitting in even the tightest of spots, this RWC Easifit 2-in-1 thermostatic mixing valve doesn't just protect from scalding, it also helps to reduce water waste and energy consumption. Precisely blending hot and cold water to a safe and comfortable temperature, the Easifit protects users from accidental burns and makes water flow reliably comfortable. Functioning at flow rates right down to 1LPM, this brass valve is resistant to scale and other contaminants for a longer usable life. Fitted with viton seals and 15mm push-fit connections and incorporating JG Speedfit, the three-port Easifit offers fast, simple installation without tools.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> JG Speedfit Easifit thermostatic mixing valve 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/08/NW-870208_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Easifit_TMV_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
42,P171616,Reliance Valves Heatguard Dual 4 in 1 dual thermostatic mixing valve 22mm,Reliance Valves,181.01,"Made of nickel-plated DZR brass and with viton seals, this RWC Heatguard Dual 4-in-1 thermostatic mixing valve can supply 37LPM at 2.5 bar pressure loss. With a tamperproof cap that can act as a temperature adjustment tool, this three-port TMV has scale-resistant internal components and 22mm compression water inlets with flat faced union connections to comply with building regulations and D08.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Heatguard Dual 4 in 1 dual thermostatic mixing valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/17/NW-171615_171617_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/RWC_Heatguard_Dual_TMV_Tech_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Heatguard_Dual_TMV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWC_HeatGuardTMV_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/RWC_Heatguard_Dual_TMV_TMV2_3_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,
43,PJ76142,Grohe Dal flush pipe wth connector,Grohe,12.86,GROHE WC Extension for concealed cisterns.,Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Grohe Dal flush pipe wth connector,,Flush pipe extension only,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/42/J76142_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_FlushPipe_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grohe_EnjoyWater_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,
44,P311010,Honeywell Home TM200VP hw home tmv3 15mm mixing valve 4 in 1,Honeywell Home,123.85,"Helping to make showering safer for everyone, this thermostatic mixing valve with scald protection is made of brass and offers 15mm connections and NBR seals plus red and blue levers. Used for localised control adjacent to point of use outlets, this valve automatically cuts off the hot water inlet should the incoming cold supply fail, providing the hot water inlet temperature is at least 10K higher than that of the mixed water setting.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Honeywell Home TM200VP hw home tmv3 15mm mixing valve 4 in 1,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/10/NW-311010_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Honeywell_Resideo_TM200VP_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,
45,P171619,Reliance Valves Heatguard Dual 2 in 1 dual thermostatic mixing valve 22mm,Reliance Valves,115.33,"Made of nickel-plated DZR brass and with viton seals, this RWC Heatguard Dual 2-in-1 thermostatic mixing valve can supply 37LPM at 2.5 bar pressure loss. With a tamperproof cap that can act as a temperature adjustment tool, this three-port TMV has scale-resistant internal components and 22mm compression water inlets with flat faced union connections to comply with building regulations and D08.",Commercial Plumbing/Commercial Flushing Controls and Valves/Commercial Flushing Controls and Valves.csv -> Reliance Valves Heatguard Dual 2 in 1 dual thermostatic mixing valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/19/NW-171618_171619_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/RWC_Heatguard_Dual_TMV_Tech_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/RWC_Heatguard_Dual_TMV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/RWC_HeatGuardTMV_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/RWC_Heatguard_Dual_TMV_TMV2_3_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,
