,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Diameter,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Depth (mm),Dimensions mm (H x W x D),Material Type,Tap Holes,Body Material,Number of Tap Holes,Feature 6,Feature 7,Range,Feature 8,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Projection Depth,Style,Warranty,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Feature 9,Feature 10,Attachment 3,Attachment 4,Weight,Minimum Base Unit Size (mm),Waste Kit Included,Sector
32,PC24982,"Ideal Standard plastic strainer waste 1.1/4"" White",Ideal Standard,8.14,"This Ideal Standard white plastic strainer waste pack is suitable in a wide range of settings, including education, hotel, office, residential, leisure and healthcare.","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Ideal Standard plastic strainer waste 1.1/4"" White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/82/NW-C24982_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_S8810_Strainer_Waste_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AShanks_Sanitaryware_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PF41190,"McAlpine unslotted basin waste 1.1/4"" x 3.1/2"" Brass/Chrome Plated",McAlpine,29.27,"This McAlpine unslotted clicker basin waste is made of brass to McAlpine's always high standards. This fitting includes 1 1/4 x 3 1/2"" BSP connections.","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> McAlpine unslotted basin waste 1.1/4"" x 3.1/2"" Brass/Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/90/NW-F41190_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_CWU60-CB_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_CW60-CB_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,
34,PA05104,Center H5134 tap reviver lever head 3/4 (1 pair),Center,16.17,"An easy update for old or broken taps, this pack of two Center CB 3/4"" bath tap revivers with lever heads is suitable for BS5412 and BS1010 bathroom taps. With no need to disturb existing plumbing, tap revivers are a fast fix for tired bathrooms.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Center H5134 tap reviver lever head 3/4 (1 pair),,2x 3/4 Tap reviver with lever head,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/51/04/A05104_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/A05104 - Data Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/ad/A05104 TDS Center tap reviver lever head.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PD02874,Nabis Brighton towel ring,Nabis,23.25,"The contemporary Nabis Brighton towel ring is made from durable zinc alloy with a polished chrome finish. Easy to install using the unique X plate system, the Brighton range is a hassle-free upgrade for your bathroom.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis Brighton towel ring,,Towel ringAll fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/74/D02874_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Nabis_Accessories_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Brighton_Towel_Ring_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PC42969,Bristan Complementary Products round slotted push button basin waste Chrome,Bristan,40.79,"This Bristan round push slotted basin waste is built from high quality, durable brass with a gold-plated finish.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Bristan Complementary Products round slotted push button basin waste Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/69/NW-C42969_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_547833_Instrcts_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_547833_BASIN08C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PF47171,"McAlpine combination bath assembly 1 1/2"" Chrome Plated",McAlpine,7.83,"Constructed to a high standard using black polypropylene (PP), this McAlpine combination bath assembly includes a waste, plug, chain and overflow. It is supplied with 1 1/2"" x 70mm stainless steel flange connections.","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> McAlpine combination bath assembly 1 1/2"" Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/71/F47171_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_FBW2PC_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,
38,PF41180,"McAlpine poP-up bath waste plus overflow 1.1/2"" x 70mm Chrome Plated",McAlpine,44.42,"This McAlpine pop-up bath waste is made of polypropylene (PP) to McAlpine's always high standards. This fitting includes 1 1/2"" BSP x 70mm stainless steel flange connections.","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> McAlpine poP-up bath waste plus overflow 1.1/2"" x 70mm Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/80/NW-F41180_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_PUB-CP_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_PUB-CP_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,
39,PF47170,"McAlpine combination bath assembly 1 1/2"" Stainless Steel",McAlpine,16.73,"Constructed to a high standard using white polypropylene (PP), this McAlpine combination bath assembly includes a waste, plug, chain and overflow. It is supplied with 1 1/2"" x 70mm stainless steel flange connections.","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> McAlpine combination bath assembly 1 1/2"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/70/F47170_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_FBW2P_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,
40,PC06248,Thomas Dudley slotted spring clicker basin waste,Thomas Dudley,11.75,"Easy to fit, this Thomas Dudley slotted clicker basin waste has a spring-loaded mechanism for effortless operation. Manufactured with a robust threaded brass body and sleek chrome finish, this high quality basin waste is the ideal finishing touch for a modern bathroom.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Thomas Dudley slotted spring clicker basin waste,,Waste and fittings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/48/NW-C06248_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/2-/23/TD_Products-Parts_Catalogue_2022-23.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PD00336,Kaldewei bolt on leg set,Kaldewei,23.07,This easy-install Kaldewei bolt-on bath leg set is height adjustable for convenience and comfort.,Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Kaldewei bolt on leg set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/36/NW-D00336_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Kaldewei_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kaldewei_5030_Legs_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PD01245,Salamander TapBoost TBS15 single outlet booster pump White,Salamander,108.4,"Solving the problem of poor water performance, the Salamander TapBoost inline contact pump helps improve flow at a single mains or gravity fed outlet. Improving water flow rates to between 7 and 11LPM, depending on incoming flow, this easy-install pump can be fitted to either a hot or a cold outlet.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Salamander TapBoost TBS15 single outlet booster pump White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/45/D01245_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_D01245_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PB97996,"Nabis 1 1/2"" Domed urinal waste - white",Nabis,5.74,A Nabis white plastic domed urinal waste.,"Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis 1 1/2"" Domed urinal waste - white",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/96/B97996_wm.jpg,,,White,,N,Plastic,,30120437,Domed Urinal Waste,N,"1½"" plastic waste",Unslotted,60mmflange,Plastic backnut,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PJ43502,Kaldewei Eurowa bolt-on leg set,Kaldewei,15.78,This easy-install Kaldewei Eurowa bolt-on bath leg set has a durable steel frame with plastic legs.,Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Kaldewei Eurowa bolt-on leg set,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/02/NW-J43502_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Kaldewei_5039_Legs_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Kaldewei_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,P176371,"Essex Partners Fix-A-Tap wash basin tap repair kit 32mm 1/2"" Orange",Essex Partners,9.6,"This Essex Partners Fix-A-Tap ceramic wash basin tap repair kit is designed for fitting new 1/2"" taps into a china or ceramic basin with 36mm tap holes.","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Essex Partners Fix-A-Tap wash basin tap repair kit 32mm 1/2"" Orange",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/71/NW-176371_wm.jpg,,,,,N,,,32MM ORANGE,Repair Kit,N,"Includes recessed plugs, plastic sleeves and brass washers","For 1/2"" basin taps",For 36mm tap hole,For ceramic or china wash basin only,To fit 1x pair of taps/mixer,,,,,,,Prevents tap rotation/damage to the wash basin,,Fix-A-Tap,,,,,,,,,,,,,,,,,,,,,,
46,PC58923,"Thomas Dudley Beta poly float with brass thread 4.1/2""",Thomas Dudley,1.06,"This Dudley Beta poly ball float is supplied with a 4 1/2"" brass thread.","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Thomas Dudley Beta poly float with brass thread 4.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/23/C58923_wm.jpg,,,,,N,,,PTOFLO370209,Ball Float,N,Toilet parts,Poly foat only,4 1/2 IN brass thread,,,,,,,,,,,Beta,,,,,,,,,,,,,,,,,,,,,,
47,PF41191,"McAlpine slotted basin waste 1.1/4"" x 3 1/2"" Brass/Chrome Plated",McAlpine,29.27,"This McAlpine slotted clicker basin waste is made of brass to McAlpine's always high standards. This fitting includes 1 1/4"" x 3 1/2"" BSP connections.","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> McAlpine slotted basin waste 1.1/4"" x 3 1/2"" Brass/Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/91/NW-F41191_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_CW60-CB_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/McAlpine_CW60-CB_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/McAlpine_WcConnectors_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,
48,PD00170,Nabis Elixir double robe hook,Nabis,5.03,"Nabis Elixir double robe hook is made up of durable zinc alloy construction. Bathroom is special, to rejuvenate and soak away the stresses of the outside world. That is why new bathroom should be made into the perfect space for relaxing and unwinding. The nabis Bathroom Collection offers a complete collection of bathroom products allowing to design that perfect space. Nabis offers a complete range of desire bathroom products to enable to design complete bathroom to the style and specification.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis Elixir double robe hook,,Double robe hook;All fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/70/D00170_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D00170_Nabis_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D00170_Nabis_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Croydex_WMAccessories_Brochure.pdf,,,,,
49,PD92094,Proplas PVC panelling white gloss PR01,Proplas,40.23,"Completely waterproof, the Proplas PR01 Splashpanel in White Gloss is a stylish choice for a simple, clean bathroom finish. A simple, long lasting alternative to tiles, these easy-clean panels are suitable for showers, bathrooms and wet rooms and can simply be installed over existing tiles for a whole new look with minimal hassle.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Proplas PVC panelling white gloss PR01,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/95/D92094_D92095_wm.jpg,,,White,,N,PVC,,PRPLWHITZGLZ27800,PVC Wall Panelling,N,PVC construction,White Gloss finish,100% waterproof,Fast installation,Virtually maintenance-free,8,,,,,,Non-porous and mould-free,Easy to clean,,Can be installed over tiling,,,,,,,,,,,,,,Fire rated tested to BS EN 13501-1:2007,,,,,,,
50,PC39753,"Thomas Dudley bath waste overflow 1 1/2"" 2 7/8""",Thomas Dudley,6.49,"Easy to fit, this Thomas Dudley pop-up bath waste is manufactured with a robust brass body and sleek chrome finish, the ideal finishing touch for a modern bathroom.","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Thomas Dudley bath waste overflow 1 1/2"" 2 7/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/53/C39753_wm.jpg,,,Chrome,,N,Brass,,PSWWAS368306,Bath Waste,N,"Fast, easy installation",Modern design,Brass construction,Chrome finish,With fittings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PD02573,Nabis Elixir toilet roll holder,Nabis,13.51,"Nabis Elixir toilet roll holder is made up of durable zinc alloy construction with high quality chrome plated finish. Bathroom is special, to rejuvenate and soak away the stresses of the outside world. That is why new bathroom should be made into the perfect space for relaxing and unwinding. The nabis bathroom collection offers a complete collection of bathroom products allowing to design that perfect space. Nabis offers a complete range of desire bathroom products to enable to design complete bathroom to the style and specification.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis Elixir toilet roll holder,,Toilet roll holderAll fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/73/D02573_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02573_Nabis_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D02573_Nabis_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PC50233,"Wirquin unslotted basin waste with plastic plug and chain 1 1/4"" Chrome",Wirquin,9.76,"This 1 1/4"" unslotted basin waste is supplied with a plastic plug and chrome chain.","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Wirquin unslotted basin waste with plastic plug and chain 1 1/4"" Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/33/C50233_wm.jpg,,,Chrome,,N,Brass,,30120603,Basin Waste with Plug,N,Unslotted waste,With plastic plug,With chrome chain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PB00074,Cramer CRAMER  bath touch up stick Alpine White,Cramer,6.08,"This Cramer white bath touch up stick is for use on ceramic, enamelled, acrylic, metal and painted surfaces.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Cramer CRAMER  bath touch up stick Alpine White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/74/NW-B00074_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Cramer_Salesbook_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PF41151,"McAlpine Flange bath waste plus plug and chain 1 1/2"" x 70mm",McAlpine,5.92,"Made of white polypropylene with a black PVC plug, this quality McAlpine 72mm centre pin bath waste includes 1 1/2"" BSP x 70mm flange connections.","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> McAlpine Flange bath waste plus plug and chain 1 1/2"" x 70mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/51/F41151_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/McAlpine_BSW10PC_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/McAlpine_Plumbing_Products_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PD02577,Nabis Elixir towel ring,Nabis,15.46,"Nabis Elixir towel ring is made up of durable zinc alloy construction. Bathroom is special, to rejuvenate and soak away the stresses of the outside world. That is why new bathroom should be made into the perfect space for relaxing and unwinding. The nabis Bathroom Collection offers a complete collection of bathroom products allowing to design that perfect space. Nabis offers a complete range of desire bathroom products to enable to design complete bathroom to the style and specification.",Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Nabis Elixir towel ring,,Towel ringAll fixings,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/77/D02577_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/D02577_Nabis_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/D02577_Nabis_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PC50268,"Wirquin long/slotted sink waste 1 1/2"" Chrome Plated",Wirquin,9.11,A Wirquin long/slotted sink waste with chrome finish.,"Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Wirquin long/slotted sink waste 1 1/2"" Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/68/NW-C50268_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Macdee_Brassware_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,PC42961,Bristan Complementary Products round slotted clicker basin waste Chrome Plated,Bristan,37.17,This Bristan round clicker slotted basin waste is made of durable solid brass with a high shine chrome-plated finish.,Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Bristan Complementary Products round slotted clicker basin waste Chrome Plated,,Round clicker basin waste;Waste flange;2x Rubber washer;Waste body;Backnut,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/61/NW-C42961_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Bristan_753404_Instrcts_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Bristan_547894_BASIN04C_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PC06513,"Wirquin extension tube and flange 1.25""",Wirquin,13.16,"A Wirquin 1.25"" extension tube and flange and flange in chrome-plated brass.","Bathrooms and Kitchens/Bathroom Accessories/Bathroom Accessories.csv -> Wirquin extension tube and flange 1.25""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/13/C06513_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/8-/19/Wirquin_Product_Catalogue_UK_2018-19.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Wirquin_Product_Catalogue_2018_2019.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Wirquin_7_Basin_Technical.pdf,,,,,
