,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Thickness,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Attachment 1,Attachment 2,Attachment 3,Range,Weight,Diameter,Feature 6,Feature 7
27,PM97916,JET Range Rubber Lined pipe clip twin screw M8/M10 dual boss 94-104mm,JET Range,7.55,"Offering excellent versatility, this JET Range twin screw rubber-lined pipe clip for 94 - 104mm pipes incorporates a phthalate-free EPDM rubber strip, allowing grip range to be extended while offering acoustic suppression, reducing noise transference through pipework. Compatible with plastic, copper and stainless steel pipes, the EPDM rubber has a rounded leading edge for easier pipework installation without the issue of the rubber being pulled out of the clip. Thanks to its BZP steel construction and strengthening ribs, the clip is able to handle high load weights with no deforming while an extended dual M8/M10 threaded boss provides wide ranging system compatibility.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> JET Range Rubber Lined pipe clip twin screw M8/M10 dual boss 94-104mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/23/NW-M97904_M97923_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ee/ts/M97904 - M97923_RL Clips Spec Sheets.pdf,,,,,,,
28,P511436,Talon Pipe Cover straight connector for double cover 22mm,Talon,1.27,"Offering a high quality, neat and professional finish, this Talon Pipe Cover 22mm uPVC side access is designed to provide concealment anywhere pipework is forced to run horizontally to allow for bends in a pipe.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover straight connector for double cover 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/36/NW-511436_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talon_Pipe_Cover_V2_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Talon_Pipe_Cover_Accessories_Tech.pdf,,,,,
29,P511701,Talon Pipe Cover double cover 15mm x 2.5mtr,Talon,9.1,"Suitable for use both inside and outside, this Talon 15mm double pipe cover is supplied in 2.5M lengths. Made of extruded white uPVC, this cover offers resistance to mild acids and alkalis and stands up well to the effects of weathering.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover double cover 15mm x 2.5mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/01/NW-511701_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Pipe_Covers_Technical.pdf,,,,,,
30,PT83835,M Greenaway And Son SZ zinc plated studding 3mtr (m16),M Greenaway And Son,59.79,This M Greenaway And Son SZ M16 x 3M studding is made of steel with a BZP finish.,"Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> M Greenaway And Son SZ zinc plated studding 3mtr (m16)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/35/NW-T83831_T83835_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/MGreenawaySons_Fixings_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/MGreenawaySons_T83835_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/iz/es/MGreenawaySons_Fixing_Range_Sizes.pdf,,,,,
31,PM98917,"M Greenaway And Son Malleable malleable single ring BSP M10 - 1/4"" Black",M Greenaway And Son,3.37,"This M Greenaway And Son 1/4"" M10 BSP single pipe ring is manufactured from a malleable iron with a traditional black finish.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> M Greenaway And Son Malleable malleable single ring BSP M10 - 1/4"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/17/M98917_wm.jpg,Black,,N,Malleable iron steel,8 mm,MS0202M,Single Ring,N,Malleable iron steel construction,Black finish,,,,,,,Malleable,35.00000,,,
32,PM98951,"M Greenaway And Son Malleable screw on bracket 2.1/2"" Black",M Greenaway And Son,12.09,"This M Greenaway And Son 2 1/2"" screw-on bracket is manufactured from a malleable iron with a traditional black finish.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> M Greenaway And Son Malleable screw on bracket 2.1/2"" Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/51/M98951_wm.jpg,Black,,N,Malleable iron steel,6.5 mm,MS1601,Screw On Bracket,N,Malleable iron steel construction,Black finish,,,,,,,Malleable,385.00000,,,
33,PM92132,M Greenaway And Son galvanised acute angled tee bracket,M Greenaway And Son,26.44,This M Greenaway And Son four-hole 45° acute angle bracket is manufactured in a galvanised steel.,"Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> M Greenaway And Son galvanised acute angled tee bracket",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/32/M92132_wm.jpg,Hot Dipped / Galvanised,6mm,N,Mild Steel,138 x 60mm,GB25,Angle Tee Bracket,N,Mild steel construction,Hot-dipped galvanised finish,,,,,,,,7.47309,138 x 40¬†,,
34,P519415,Hep2O HX85 pipe clip screw 28mm,Hep2O,0.55,"This Hep2O HX85 screw-type pipe clip is designed to secure 28mm Hep2O pipe. It can be used in conjunction with a HX85 spacer, creating space between the pipe and the surface it is fixed to.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Hep2O HX85 pipe clip screw 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/94/15/NW-519415_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Hep2O_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Hep2o_Brochure.pdf,,,,,,
35,PM98936,M Greenaway And Son Malleable double ring M10 1 1/2 Black,M Greenaway And Son,6.28,"This M Greenaway And Son 1 1/2"" M10 single pipe ring is manufactured from a malleable iron with a traditional black finish.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> M Greenaway And Son Malleable double ring M10 1 1/2 Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/36/M98936_wm.jpg,Black,,N,Malleable iron steel,40 mm,MS1303M,Double Ring,N,Malleable iron steel construction,Black finish,,,,,,,Malleable,,,,
36,PM92124,M Greenaway And Son GB galvanised 90deg angled - 4 hole bracket,M Greenaway And Son,15.5,"Made of 6mm thick mild steel, this M Greenaway And Son 3 x 1 hole 90° bracket with galvanised finish has been designed to support and fix together Channel (strut) lengths in metal framework. The majority of Channel accessories and bracketry are pre-drilled with 14mm fixing holes, allowing the use of bolts and threaded rod for fixings.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> M Greenaway And Son GB galvanised 90deg angled - 4 hole bracket",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/24/NW-M92124_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/MGreenawaySons_GB14_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/MGreenawaySons_ChannelAccssrs_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/si/ze/MGreenawaySons_ChannelAccssrs_Size.pdf,,,,,
37,PM92131,M Greenaway And Son GB galvanised 45deg obtuse angled bracket,M Greenaway And Son,15.15,"Made of hot dipped galvanised mild steel, this M Greenaway and Son 45° obtuse angled bracket is supplied with 14mm fixing holes.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> M Greenaway And Son GB galvanised 45deg obtuse angled bracket",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/31/NW-M92131_wm.jpg,Galvanised,,N,Steel,83 mm (L) x 52 (W) mm x 40 (H) mm,GB2345,45° Bracket,N,Hot dipped galvanised (HDG) mild steel bracket in 6mm thick material,14mm fixing holes,,,,,,,GB,,83 x 52 x 40,,
38,P697257,Inaba Denko SLIMDUCT ID-SKF-75-K 45deg slim trunk 75mm Black,Inaba Denko,12.08,"Made of black PVC with a gloss finish, this Inaba Denko SLIMDUCT 75mm 45° trunking bend is suitable for internal or external use. This fitting is UV resistant, fireproof and fully paintable.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Inaba Denko SLIMDUCT ID-SKF-75-K 45deg slim trunk 75mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/57/697257_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Inaba_Denko_Trunking_Technical.pdf,,,,,,,
39,P697252,Inaba Denko SLIMDUCT ID-SCF-75-K 45deg slim trunk 75mm Black,Inaba Denko,16.68,"Made of black PVC with a gloss finish, this Inaba Denko SLIMDUCT 75mm 45° trunking elbow is suitable for internal or external use. This fitting is UV resistant, fireproof and fully paintable.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Inaba Denko SLIMDUCT ID-SCF-75-K 45deg slim trunk 75mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/52/697252_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Inaba_Denko_Trunking_Technical.pdf,,,,,,,
40,PM92143,M Greenaway And Son galvanised external connector 21mm,M Greenaway And Son,45.12,"Made of a galvanised steel, this M Greenaway And Son GB external channel connector is for use with a 41 x 21 half channel.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> M Greenaway And Son galvanised external connector 21mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/43/M92143_wm.jpg,Hot Dipped / Galvanised,6mm,N,Mild Steel,41 x 21mm,GB41A21,Connector,N,Mild steel construction,Hot-dipped galvanised finish,,,,,,,,7.47309,41 x 41,,
41,P597029,Brefco RKW supaplate 8mm White,Brefco,0.55,"Use this Brefco RKW 8mm Supaplate at the end of a fitting job to neatly conceal pipe holes in a floor, wall or ceiling with minimal effort and cost.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Brefco RKW supaplate 8mm White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/29/597029_wm.jpg,White,,N,Polypropylene,Inner Diameter: 8 mmOuter Diameter: 40 mm,12108,Pipe Cover,N,Polypropylene construction,White colour,Split ring design,Suitable for retrofit,,,,,RKW,3.15847,8 mm,,
42,P511195,Talon u-box for boiler kit 3 500mm,Talon,37.41,"Offering simple installation and maintenance, the Talon 500mm U-Box for boiler kits helps to minimise costs from day one onwards. Fully removeable for future boiler maintenance, this highly resistant box fits all standard boiler sizes and offers complete weather resistance for long term reliability.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon u-box for boiler kit 3 500mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/95/511195_wm.jpg,White,200,N,UPVC,D:200mm W:400mm,CUB3/500,Boiler Box Cover,N,PVC-u construction,Easy installation,Deep white gloss finish is easy to maintain,Multiple on-site trades are not required,Resistant to acids and alkalis,,,,,,,,
43,P637128,Lawton Tube MUN cast hospital bracket 22mm Brass,Lawton Tube,6.74,"Made of brass, this Lawton Tube MUN 22mm hospital bracket is a seamless, one piece fitting, making it strong and easy to work with. This fitting is compatible with the entire Lawton copper plumbing and heating range.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Lawton Tube MUN cast hospital bracket 22mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/28/NW-637127_637128_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,
44,P597053,Flamco RVC supaplate 18mm Chrome Plated,Flamco,1.6,"Providing a neat finish to any installation this Flamco RVC 18mm chrome pipe escutcheon plate conceals messy pipe holes in walls, floors or ceilings.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Flamco RVC supaplate 18mm Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/55/NW-597050_597055_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Flamco_Domestic_Brochure.pdf,,,,,,,
45,P637127,Lawton Tube MUN cast hospital bracket 15mm Brass,Lawton Tube,5.84,"Made of brass, this Lawton Tube MUN 15mm hospital bracket is a seamless, one piece fitting, making it strong and easy to work with. This fitting is compatible with the entire Lawton copper plumbing and heating range.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Lawton Tube MUN cast hospital bracket 15mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/28/NW-637127_637128_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,
46,P697255,Inaba Denko SLIMDUCT ID-SJ-75-K slim trunk connector 75mm Black,Inaba Denko,4.63,"Made of black PVC with a gloss finish, this Inaba Denko SLIMDUCT 75mm trunking connector is suitable for internal or external use. This fitting is UV resistant, fireproof and fully paintable.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Inaba Denko SLIMDUCT ID-SJ-75-K slim trunk connector 75mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/55/NW-697255_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Inaba_Denko_Trunking_Technical.pdf,,,,,,,
47,P697261,Inaba Denko SLIMDUCT ID-SWC-75-K slim trunk wall 75mm Black,Inaba Denko,9.2,"Made of black PVC with a gloss finish, this Inaba Denko SLIMDUCT 75mm trunking wall rosette is suitable for internal or external use. This fitting is UV resistant, fireproof and fully paintable.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Inaba Denko SLIMDUCT ID-SWC-75-K slim trunk wall 75mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/61/697261_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Inaba_Denko_Trunking_Technical.pdf,,,,,,,
48,P637071,Lawton Tube MUN cast screw on bracket 22mm Chrome Plated,Lawton Tube,5.35,"Made of brass with a chrome finish, this Lawton Tube MUN 22mm cast screw-on bracket is a seamless, one piece fitting, making it strong and easy to work with. This fitting is compatible with the entire Lawton copper plumbing and heating range.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Lawton Tube MUN cast screw on bracket 22mm Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/71/NW-637070_637071_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,
49,P511432,Talon Pipe Cover flat corner for double cover 22mm,Talon,2.67,"Offering a high quality, neat and professional finish, this Talon Pipe Cover 22mm uPVC flat corner is designed to conceal a gap where skirting cover lengths meet and is ideal for use where a vertical cover meets a horizontal cover.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon Pipe Cover flat corner for double cover 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/32/NW-511432_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talon_Pipe_Cover_V2_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Talon_Pipe_Cover_Accessories_Tech.pdf,,,,,
50,P697254,Inaba Denko SLIMDUCT ID-SF-75-500-K slim trunk 75mm Black,Inaba Denko,14.41,"Made of black PVC with a gloss finish, this Inaba Denko SLIMDUCT 75mm flexible trunking joint connector is suitable for internal or external use. This fitting is UV resistant, fireproof and fully paintable.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Inaba Denko SLIMDUCT ID-SF-75-500-K slim trunk 75mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/54/697254_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Inaba_Denko_Trunking_Technical.pdf,,,,,,,
51,P697258,Inaba Denko SLIMDUCT ID-SP-75-K slim trunk rosette 75mm Black,Inaba Denko,16.68,"Made of black PVC with a gloss finish, this Inaba Denko SLIMDUCT 75mm trunking flat rosette is suitable for internal or external use. This fitting is UV resistant, fireproof and fully paintable.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Inaba Denko SLIMDUCT ID-SP-75-K slim trunk rosette 75mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/58/697258_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Inaba_Denko_Trunking_Technical.pdf,,,,,,,
52,P637050,Lawton Tube MUN pressed screw on bracket 15mm Brass,Lawton Tube,2.41,"Made of brass, this Lawton Tube MUN 15mm pressed screw-on bracket is a seamless, one piece fitting, making it strong and easy to work with. This fitting is compatible with the entire Lawton copper plumbing and heating range.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Lawton Tube MUN pressed screw on bracket 15mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/54/NW-637050_637054_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,
53,P511705,Talon TS single hinged clip 10mm,Talon,0.45,"The Talon TS 10mm single-hinged clip provides secure 360° fixing for pipework. Manufactured in high quality polypropylene, this clip is compatible with size 10 countersunk screws and a variety of sizes can be connected using the dovetail, providing equal pipe spacing.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Talon TS single hinged clip 10mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/05/NW-511705_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Hinged_Clips_Technical.pdf,,,,,,,
54,P172998,Falcon Trunking PTR clips to suit 15mm trunking,Falcon Trunking,0.23,"This pack of Falcon Trunking double pipe clips is designed to be used with 15mm pipes and PTR215 pipe trunking. Completely enclosing a pipe with a white uPVC boxing, this continuous backing system overcomes even the slightest surface unevenness, providing continuous contact between system and installation surface meaning that the installation doesn't rely only on pipe clips.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Falcon Trunking PTR clips to suit 15mm trunking",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/98/NW-172998_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Falcon_Trunking_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Falcon_Trunking_Pipe_Management_Brcr.pdf,,,,,,
55,P697253,Inaba Denko SLIMDUCT ID-SE-75-K slim trunk end 75mm Black,Inaba Denko,5.21,"Made of black PVC with a gloss finish, this Inaba Denko SLIMDUCT 75mm trunking end is suitable for internal or external use. This fitting is UV resistant, fireproof and fully paintable.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Inaba Denko SLIMDUCT ID-SE-75-K slim trunk end 75mm Black",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/53/NW-697253_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Inaba_Denko_Trunking_Technical.pdf,,,,,,,
56,P637063,Lawton Tube MUN cast screw on bracket 22mm Brass,Lawton Tube,4.12,"Made of brass, this Lawton Tube MUN 22mm cast screw-on bracket is a seamless, one piece fitting, making it strong and easy to work with. This fitting is compatible with the entire Lawton copper plumbing and heating range.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Lawton Tube MUN cast screw on bracket 22mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/66/NW-637062_637066_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Lawton_Tube_Plumbing_Brochure.pdf,,,,,,,
57,PCA9105,Plasson Pushfit mech pushfit 25mm x 22mm,Plasson,168.7,"Made using toughened material for robustness, this Plasson Mech 25 x 22mm push-fit meter connection point is suitable for use on multiport manifolds. KIWA approved, it incorporates a drain cap and double check valve.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Boxing and Trunking/Pipe Boxing and Trunking.csv -> Plasson Pushfit mech pushfit 25mm x 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/05/NW-CA9105_wm.jpg,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Plasson_MCP_Technical.pdf,,,,,,,
