,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Warranty,Watts,Weight,Hazardous,Depth (mm),Dimensions (L x W x D),IP Rating,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Material Type,Material,Attachment 1,Attachment 2,Pack Quantity,Size,Attachment 3,Attachment 4,Colour,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Attachment 5,Range,Style,Connection Type,With Drain Off,Max Pressure,Flow Water Temperature,Pipe Connection Size,Radiator Connection Size,Sensor,Shape,With Lockshield,Pressure,BTU h,Height (mm),Width (mm),Diameter,Attachment 6
26,P201967,Stelrad K3 freestanding foot and hardware pack,Stelrad,20.2,This Stelrad freestanding foot and hardware pack in Traffic White is suitable for installation of the Stelrad K3 floor-standing radiator.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Stelrad K3 freestanding foot and hardware pack",,Brackets;Vents;Plugs,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/67/201967_wm.jpg,2 years,N/A,,N,N/A,N/A,N/A,9215,Freestanding Foot and Hardware Pack,N,Durable build,White finish,Suitable for use with most Stelrad radiators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5 bar,0,N/A,N/A,,
27,P336332,Hive radiator control head,Hive,51.74,"This Hive smart radiator valve pack is designed to make your heating system more adaptable. Working in conjunction with Hive thermostats where available, the valve head independently controls individual radiators for precise room-by-room heating.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Hive radiator control head",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/32/336332_wm.jpg,,,,N,,,,UK7004240,Radiator Control,N,"Includes smart radiator valve head, 2x AA batteries and 2x valve body adaptors",Controls individual radiators,Compatible with Hive thermostat,Can work without a Hive thermostat,,Plastic,,,,,,,White,Simple fitting to most radiators,Link to other Hive devices with Hive actions,Ultra-quiet motor with anti-stick protection,Requires a compatible thermostatic radiator valve body,,,,,Modern,,No,,,,,No,,No,,,,,,
28,P246150,"Danfoss RA-FN20 angled valve 3/4""",Danfoss,31.16,"Made from brass with a smart nickel-plated finish, the Danfoss RA-FN radiator valve incorporates R 3/4"" x Rp 3/4"" connections, a chromium steel pressure pin and lifetime lubricated O-ring seal. Designed for use in two-pipe heating systems, the complete gland assembly is easily replaced with no need to drain down the system. It is supplied with a grey protective cap, used for manual regulation during the construction phase. This cap should not be used as a manual shut-off device.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss RA-FN20 angled valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/50/NW-246150_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_Euro_Cone_R_Valve_Fact_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesD_RA_G_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_Series_D_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P457204,Regin REGR05 radiator valve change kit,Regin,20.67,"This Regin Revolve change kit makes it simple to change radiator valves without the hassle of draining down. Suitable for use on 15mm or 22mm pipework, this kit contains all the tools you need to complete a quick job, all contained in a handy carry bag.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Regin REGR05 radiator valve change kit",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/04/457204_wm.jpg,,,,N,,,,R05,Change Kit,N,"Includes 2x patented rubber bungs, key pattern fixing clip and air bleed key",For use on 15mm and 22mm pipework,Supplied in strong nylon zip bag,,,Rubber,,,,,,,Black,,,,,,,,,Standard,,,,,,,,,,,,,,,
30,PBE9876,Timloc Rad-Seal 2221 radiator pipe guide and seal 125 x 140 x 25mm White,Timloc,3.96,"This Timloc Rad-Seal Face-Fix radiator pipe guide and seal provides an air leakage barrier around the point of entry for through-wall 10mm plastic radiator pipework. Offering fast face-fix installation, it securely positions the pipework into the required direction ready for connection while helping to meet Building Regs.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Timloc Rad-Seal 2221 radiator pipe guide and seal 125 x 140 x 25mm White",,Radiator pipe guide;Seal,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/76/NW-BE9876_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/BE9876_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P247182,Danfoss RA-FN 013G0083 vertical angle valve 1/2'',Danfoss,27.7,"Made from brass with a smart nickel-plated finish, the Danfoss RA-FN radiator valve incorporates R 1/2"" x Rp 1/2"" connections, a chromium steel pressure pin and lifetime lubricated O-ring seal. Designed for use in two-pipe heating systems, the complete gland assembly is easily replaced with no need to drain down the system. It is supplied with a grey protective cap, used for manual regulation during the construction phase. This cap should not be used as a manual shut-off device.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss RA-FN 013G0083 vertical angle valve 1/2''",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/82/NW-247182_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_Commercial_TRV_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesD_RA_G_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_Domestic_P_Selection_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_SeriesF_Technical.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_RA_FN_Series_D_Technical.pdf,,,,,,,,,,,,,,,,,
32,P250809,Intatec Inta Telescopic Radiator Tails 0-45mm,Intatec,4.25,"Made of robust metal with a chrome finish, this pair of Intatec Inta telescopic radiator tails is designed for the convenient extension of radiator valves by up to 45mm. Supplied with 1/2"" BSP connections, these UK-manufactured tails are compatible with most radiators.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Intatec Inta Telescopic Radiator Tails 0-45mm",,2 x Radiator Tail,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/09/250809_wm.jpg,2 Year,,,N,,,,TRT045,Radiator Tail,N,Pack of 2,Extends radiator valves up to 45mm,Metal construction,Metallic finish,,Brass,,,,,,,Chrome/Polished,2 year warranty,,,,,,,Inta,Modern,BSP,No,,N/A,N/A,1/2 BSP,No,Round,N/A,,,,,,
33,P247482,Drayton TRV4 angled lockshield with drain-off tap 15mm Chrome,Drayton,9.18,This Drayton TRV4 angled lockshield valve with white cap is compatible with both domestic radiators and towel rails. A chrome finish matches in with the Drayton TRV range.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Drayton TRV4 angled lockshield with drain-off tap 15mm Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/82/NW-247482_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,P230770,Rettig PURMO RAL9016 touch up paint 12mltr,Rettig,3.97,Cover up annoying scratches and scuffs with this Revive Radiators Rettig PURMO tough white touch-up paint.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Rettig PURMO RAL9016 touch up paint 12mltr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/07/70/230770_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Rettig_Purmo_Radiator_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P247956,Drayton TRV4 compression elbow 15mm Chrome,Drayton,4.13,This Drayton TRV4 15mm compression elbow is suitable for use with lockshields and manual valves.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Drayton TRV4 compression elbow 15mm Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/56/NW-247956_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Drayton_TRV4_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,P581287,Select Group SEL9235 rubber radiator drain down tub,Select Group,10.08,"Fitting 10 to 22mm pipes, this Select Group flexible rubber drain down tub has a geneorus 14L capacity. Promising a reliable seal, the flexible flange is suitable for use at different angles, including on horizontal pipes.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Select Group SEL9235 rubber radiator drain down tub",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/87/581287_wm.jpg,,,,N,,,,SEL9235,Drain Down Tub,N,Flexible rubber drain down tub,Suitable for use on horizontal pipes,"Fits 10, 12, 15 and 22mm pipes",14L capacity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,P251018,Pegler Terrier pushfit elbow 15mm,Pegler,5.0,A Pegler Yorkshire Terrier 15mm push-fit elbow connector.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Pegler Terrier pushfit elbow 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/18/NW-251018_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/PY_Terrier_TRV_MRV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Terrier_HeatingSolutions_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,P251016,Pegler Terrier pushfit elbow 15x10mm,Pegler,4.2,A Pegler Yorkshire Terrier 15 x 10mm push-fit elbow connector.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Pegler Terrier pushfit elbow 15x10mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/16/NW-251016_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/PY_Terrier_TRV_MRV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Terrier_HeatingSolutions_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,P251017,Pegler Terrier pushfit straight connector 15 x 10mm,Pegler,4.67,A Pegler Yorkshire Terrier 15 x 10mm push-fit straight connector.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Pegler Terrier pushfit straight connector 15 x 10mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/17/NW-251017_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/PY_Terrier_TRV_MRV_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Terrier_HeatingSolutions_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,P260435,Myson Avonmore Eco450 electric heater kit,Myson,125.68,"This Myson Avonmore 450W electric heater kit is compatible with the Kasai, Interlude, Maranoa, Avonmore and Tyne radiators and towel warmers.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Myson Avonmore Eco450 electric heater kit",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/35/NW-260435_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Myson_Avonmore_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,P219520,CenterRail bracket kit for straight towel warmer White,CenterRail,9.22,A genuine CenterRail spare bracket kit for the white straight Tradefix towel warmer,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> CenterRail bracket kit for straight towel warmer White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/20/219520_wm.jpg,20years,,,N,,,,TFLCRSTWH,Bracket Kit,N,Includes fixings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,P581248,Select Group Eezyfill radiator dosing cup,Select Group,21.56,"This Select Group Eezyfill radiator dosing cup is a neat and easy solution for adding inhibitors or other chemicals to a heating system without nasty spills and inconvenient mess. Screwing directly into any 1/2"" BSP female tapping, this cup is a must for fast, convenient maintenance jobs.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Select Group Eezyfill radiator dosing cup",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/48/581248_wm.jpg,,,,N,,,,SEL9260,Dosing Cup,N,Quick and easy to use,Mess-free use,"Screws into any radiator with a 1/2"" BSP female tapping",,,Nylon 66 with a generic white masterbatch with a Brass Fitting,,,,,,,White,,,,,,,,Eezyfill,Standard,Threaded,,,,,1/2 inch,,,,,,,,,
43,P219525,CenterRail bracket kit for straight towel warmer Chrome,CenterRail,17.07,A genuine CenterRail spare bracket kit for the chrome straight CenterRail towel warmer,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> CenterRail bracket kit for straight towel warmer Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ke/ts/CenterRail_Brackets_wm.jpg,20years,,,N,,,,CRLCRSTCH,Bracket Kit,N,Includes fixings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,P219524,CenterRail bracket kit for straight towel warmer White,CenterRail,10.13,A genuine CenterRail spare bracket kit for the white straight CenterRail towel warmer,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> CenterRail bracket kit for straight towel warmer White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ke/ts/CenterRail_Brackets_wm.jpg,20years,,,N,,,,CRLCRSTWH,Bracket Kit,N,Includes fixings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,P219521,CenterRail bracket kit for straight towel warmer Chrome,CenterRail,15.5,A genuine CenterRail spare bracket kit for the chrome straight TradeFix towel warmer,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> CenterRail bracket kit for straight towel warmer Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/95/21/219521_wm.jpg,20years,,,N,,,,TFLCRSTCH,Bracket Kit,N,Includes fixings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,P248004,Drayton push fit elbow 15mm,Drayton,9.49,"This Drayton TRV4 15mm push-fit elbow is designed for use with lTRVs, ockshields and manual valves.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Drayton push fit elbow 15mm",,15mm angle pushfit elbow,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/04/NW-248004_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,P247119,Honeywell Home Valencia T100MZ 2512 hw home t100mz 2512 remote head 9-26c,Honeywell Home,77.23,"This Valencia remote sensing head with 2M cable is designed for use with Valencia thermostatic radiator valves (TRVs). Sitting up to 2M away from the radiator, this sensing head ensures an accurate, reliable reading of the temperature in a room anywhere where a radiator is obstructed behind furniture or curtains or inside a cover.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Honeywell Home Valencia T100MZ 2512 hw home t100mz 2512 remote head 9-26c",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/20/247119_247120_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Honeywell_Heating_Controls_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,P511711,Talon Snappit kit 15mm Chrome,Talon,9.04,"Providing a neat, professional finish, the Talon Snappit 200mm towel rail tail kit, with pipe covers and chrome collars, conceals and protects unsightly pipework, providing a straightforward alternative to painting. Fitting to copper or plastic pipe with minimal effort, Snappit requires no messy adhesive.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Talon Snappit kit 15mm Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/11/NW-511711_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Snappit_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P250882,Intatec i-Ten drain-off tail piece 15mm,Intatec,11.66,"An Intatec spare part, this drain-off tail is designed for use with Intatec heating products.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Intatec i-Ten drain-off tail piece 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/82/250882_wm.jpg,1 year,,,N,,,,15DOT,Drain Off Tail Piece,N,Chrome finish,1 year warranty,,,,Brass,,,,,,,Chrome/Metallic,,,,,,,,i-Ten,Modern,,,,,,,,,,,,,,15 mm,
50,P250805,Intatec I-Therm straight thermostatic radiator valve with metal lockshield pack 15mm Chrome,Intatec,41.05,"Manufactured by a UK-based company, this Intatec I-Therm 15mm angled thermostatic radiator valve (TRV) is supplied with a metal head lockshield valve. With a modern, round design, glossy chrome finish and compatibility with heated towel rails, this TRV is an ideal addition to a contemporary bathroom.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Intatec I-Therm straight thermostatic radiator valve with metal lockshield pack 15mm Chrome",,Thermostatic radiator valve;Lockshield,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/05/NW-250805_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intatec_Combined_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,P219527,CenterRail bracket kit for curved towel warmer Chrome,CenterRail,20.19,A genuine CenterRail spare bracket kit for the chrome curved CenterRail towel warmer,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> CenterRail bracket kit for curved towel warmer Chrome",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ke/ts/CenterRail_Brackets_wm.jpg,20years,,,N,,,,CRLCRCUCH,Bracket Kit,N,Includes fixings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,P247081,Drayton TRV4 one piece reducing set single 15/10mm,Drayton,1.11,"Suitable for any Drayton 15mm valve and lockshield, this Drayton TRV4 one-piece 15mm to 10mm reducing adapter is made of copper.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Drayton TRV4 one piece reducing set single 15/10mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/81/NW-247081_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Drayton_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,P336333,Hive radiator control head and body,Hive,64.89,"With a white and silver finish, this Hive smart radiator valve head and body offers self-regulating control over the flow of hot water into an individual radiator. This allows for convenient and economical room-by-room heating.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Hive radiator control head and body",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/33/336333_wm.jpg,,,,N,,,,UK7004561,Radiator Control Head and Body,N,Helps save money and energy,Detects open windows,Works with any type of heating system,Requires plumbed radiators with TRV valve bodies,,Plastic,,,,,,,White / Silver,2 year battery life,2x AA batteries included,,,,,,,,,,,,,,,,,,,,,,
54,P108918,Manthorpe Radiator Pipe Guide and Seal GRS-DUO mount plate,Manthorpe,5.54,"Preventing air leaks while also creating a neat finish, the Manthorpe GRS-DUO twin plate radiator pipe guide and seal seals the pipework penetrations made where a radiator is plumbed using 10mm flexible plastic barrier pipework. In addition, GRS-DUO's first fix plate guides exiting pipework to valve points at outer corners for a reduced risk of kinks and chafing on exposed pipework. With a patent pending twin plate design, this product also covers and seals plasterboard holes during second fix using a unique single central fixing for attachment to the rear mount plate so there's no requirement to fit plasterboard fixings close to cut edges. Offering a range of fixing location options via a selection of pilot holes between the two plates, GRS-DUO ensures reliable fitting in a variety of plasterboard and radiator offsets.","Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Manthorpe Radiator Pipe Guide and Seal GRS-DUO mount plate",,20 x cover plates ;pipe clamps,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/18/108918_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/108918_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/108918_Fitting_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,P247029,Danfoss RA/V built in sensor,Danfoss,53.48,This Danfoss RA/VL built-in sensor is a replacement for the straightforward upgrade of old valves with no need to drain down.,"Radiators/Radiator Brackets, Parts and Fittings/Radiator Brackets, Parts and Fittings.csv -> Danfoss RA/V built in sensor",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/29/NW-247029_wm.jpg,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_Warranty_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Danfoss_Commercial_TRV_Catalogue.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_New_Sockets_Fact_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_Sensor_Replacement_Guide.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_Product_Overview_Brochure.pdf,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_New_MSlotted_Screw_FactSheet.pdf
