,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Equal / Unequal,End Connection A size,End Connection C size,Gender,Material,Size,Connection Type 1,Connection Type 2,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Approvals,Angle,Feature 6,Colour,Depth (mm),Diameter,Weight,Feature 7,Range,Attachment 2,Attachment 3,End Connection B size
25,PP13027,GF CPVC ADAPTOR NIPPLE 723910556  20-1/2,Georg Fischer,6.88,"This Georg Fischer 20mm x 1/2"" adapter nipple is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC ADAPTOR NIPPLE 723910556  20-1/2",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/27/P13027_wm.jpg,,N,Unequal,20 mm,1/2 in,,PVC-C,20 mm,Spigot,,723910556,PVC-C Nipple,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,180,WRAS approved,,,,,,,,,
26,PP13110,GF CPVC REDUCING BUSH 723900334    20X16,Georg Fischer,3.2,"This Georg Fischer 20 x 16mm reducing bush is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC REDUCING BUSH 723900334    20X16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/10/P13110_wm.jpg,,N,Unequal,20 mm,16 mm,,PVC-C,20 mm,Spigot,,723900334,PVC-C Socket,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,180,WRAS approved,,,20mm x 16mm,,,,,,
27,PP13023,GF CPVC 90D BEND 723000108            32,Georg Fischer,25.76,"This Georg Fischer 32mm 90° bend is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 90D BEND 723000108            32",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/21/P13021_wm.jpg,,N,Equal,32 mm,32 mm,,PVC-C,32 mm,Socket,,723000108,PVC-C Bend,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,90,WRAS approved,,,32 mm,,,,,,
28,PP13073,GF CPVC 90D EQUAL TEE 723200108       32,Georg Fischer,8.66,"This Georg Fischer 32mm 90° equal tee is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 90D EQUAL TEE 723200108       32",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/70/P13070_wm.jpg,,N,Equal,32 mm,32 mm,,PVC-C,32 mm,Socket,,723200108,PVC-C Tee,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,180,WRAS approved,,,32 mm,,,,,,32 mm
29,PP13040,GF CPVC 90D ELBOW 723100105           16,Georg Fischer,4.2,"This Georg Fischer 16mm 90° elbow is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 90D ELBOW 723100105           16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/40/P13040_wm.jpg,,N,Equal,16 mm,16 mm,,PVC-C,16 mm,Socket,,723100105,PVC-C Elbow,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,90,WRAS approved,,,16 mm,,,,,,
30,PP13160,GF CPVC CAP 723960105                 16,Georg Fischer,3.89,"This Georg Fischer 16mm cap is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC CAP 723960105                 16",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/60/P13160_wm.jpg,,N,Unequal,16 mm,N/A,,PVC-C,16 mm,Socket,,723960105,PVC-C Cap,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,,WRAS approved,,,16 mm,,,,,,
31,PP12024,Durapipe HTA 90deg CPVC elbow 25mm,Durapipe,2.76,"This Durapipe HTA 25 x 25mm 90° elbow is made of C-PVC and brass. HTA is quick and easy to securely install, providing a complete C-PVC pipework system suitable for domestic hot and cold water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> Durapipe HTA 90deg CPVC elbow 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/24/NW-P12023_P12024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_HTA_Technical_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PP12404,HTA CPVC DU B/VLV 25MM GVHCEP25,Durapipe,81.77,"Offering fast, easy installation, this Durapipe HTA 25mm double union ball valve is made of C-PVC and brass. Suitable for domestic hot and cold water, HTA ball valves are part of a complete C-PVC pipework system. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> HTA CPVC DU B/VLV 25MM GVHCEP25",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/04/NW-P12403_P12404_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_HTA_Technical_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PP12274,"Durapipe HTA CPVC female iron brass adaptor 20 x 25mm x 1/2""",Durapipe,9.54,"This Durapipe HTA 20/25mm x 1/2"" adapter is made of C-PVC and brass. HTA is quick and easy to securely install, providing a complete C-PVC pipework system suitable for domestic hot and cold water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> Durapipe HTA CPVC female iron brass adaptor 20 x 25mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/76/NW-P12274_P12276_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_HTA_Technical_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PP12221,"Durapipe HTA male iron brass adaptor 63 x 75mm x 2""",Durapipe,64.87,"This Durapipe HTA 63/75mm x 2"" adapter nipple is made of C-PVC and brass. HTA is quick and easy to securely install, providing a complete C-PVC pipework system suitable for domestic hot and cold water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> Durapipe HTA male iron brass adaptor 63 x 75mm x 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/21/NW-P12220_P12221_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_HTA_Technical_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PP12213,"Durapipe HTA CPVC male iron brass adaptor 20 x 25mm x 1/2""",Durapipe,10.08,"This Durapipe HTA 20/25mm x 1/2"" adapter nipple is made of C-PVC and brass. HTA is quick and easy to securely install, providing a complete C-PVC pipework system suitable for domestic hot and cold water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> Durapipe HTA CPVC male iron brass adaptor 20 x 25mm x 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/14/NW-P12213_P12214_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_HTA_Technical_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PP25431,"Durapipe HTA CPVC male iron brass adaptor 32 x 40mm x 1""",Durapipe,22.38,"This Durapipe HTA 32/40mm x 1"" adapter nipple is made of C-PVC and brass. HTA is quick and easy to securely install, providing a complete C-PVC pipework system suitable for domestic hot and cold water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> Durapipe HTA CPVC male iron brass adaptor 32 x 40mm x 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/31/NW-P25431_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_HTA_Technical_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PP13114,GF CPVC REDUCING BUSH 723900342    32X20,Georg Fischer,5.81,"This Georg Fischer 32 x 20mm reducing bush is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC REDUCING BUSH 723900342    32X20",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/10/P13110_wm.jpg,,N,Unequal,32 mm,20 mm,,PVC-C,32 mm,Spigot,,723900342,PVC-C Reducer,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,180,WRAS approved,,,32mm x 20mm,,,,,,
38,PP12403,Durapipe HTA CPVC double union ball valve 20mm,Durapipe,75.11,"This Durapipe HTA 20 x 20mm ball valve is made of C-PVC and brass. HTA is quick and easy to securely install, providing a complete C-PVC pipework system suitable for domestic hot and cold water services. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> Durapipe HTA CPVC double union ball valve 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/04/NW-P12403_P12404_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_HTA_Technical_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PP12275,"Durapipe HTA CPVC female iron brass adaptor 25 x 32mm x 3/4""",Durapipe,11.65,"This Durapipe HTA 25/32mm x 3/4"" adapter is made of C-PVC and brass. HTA is quick and easy to securely install, providing a complete C-PVC pipework system suitable for domestic hot and cold water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> Durapipe HTA CPVC female iron brass adaptor 25 x 32mm x 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/76/NW-P12274_P12276_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_HTA_Technical_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PP12023,Durapipe HTA 90deg CPVC elbow 20mm,Durapipe,1.97,"This Durapipe HTA 20 x 20mm 90° elbow is made of C-PVC and brass. HTA is quick and easy to securely install, providing a complete C-PVC pipework system suitable for domestic hot and cold water services.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> Durapipe HTA 90deg CPVC elbow 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/24/NW-P12023_P12024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Durapipe_HTA_Technical_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PP13026,GF CPVC 90D BEND 723000111            63,Georg Fischer,63.81,"This Georg Fischer 63mm 90° bend is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 90D BEND 723000111            63",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/21/P13021_wm.jpg,,N,Equal,63 mm,63 mm,,PVC-C,63 mm,Socket,,723000111,PVC-C Bend,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,90,WRAS approved,,,63mm,,,,,,
42,PP13029,GF CPVC 90D BEND 732000114           110,Georg Fischer,291.43,"This Georg Fischer 110mm 90° bend is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 90D BEND 732000114           110",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/21/P13021_wm.jpg,,N,Equal,110 mm,110 mm,,PVC-C,110mm,Socket,,723000114,PVC-C Bend,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,90,WRAS approved,,,110mm,,,,,,
43,PP13097,GF CPVC SOCKET 723910112              75,Georg Fischer,36.66,"This Georg Fischer 75mm socket is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC SOCKET 723910112              75",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/90/P13090_wm.jpg,,N,Equal,75 mm,75 mm,,PVC-C,75 mm,Socket,,723910112,PVC-C Socket,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,180,WRAS approved,,,75mm,,,,,,
44,PP13091,GF CPVC SOCKET 723910106              20,Georg Fischer,3.89,"This Georg Fischer 20mm socket is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC SOCKET 723910106              20",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/90/P13090_wm.jpg,,N,Equal,20 mm,20 mm,,PVC-C,20 mm,Socket,,723910106,PVC-C Socket,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,180,WRAS approved,,,20 mm,,,,,,
45,PP13061,GF CPVC 45D ELBOW 723150106           20,Georg Fischer,7.33,"This Georg Fischer 20mm 90° elbow is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 45D ELBOW 723150106           20",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/60/P13060_wm.jpg,,N,Equal,20 mm,20 mm,,PVC-C,20 mm,Socket,,723150106,PVC-C Elbow,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,45,WRAS approved,,,20 mm,,,,,,
46,PP13164,GF CPVC CAP 723960109                 40,Georg Fischer,11.05,"This Georg Fischer 40mm cap is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC CAP 723960109                 40",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/60/P13160_wm.jpg,,N,Unequal,40 mm,N/A,,PVC-C,40 mm,Socket,,723960109,PVC-C Cap,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,,WRAS approved,,,40 mm,,,,,,
47,PP13068,GF CPVC 45D ELBOW 723150113           90,Georg Fischer,93.91,"This Georg Fischer 90mm 90° elbow is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 45D ELBOW 723150113           90",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/60/P13060_wm.jpg,,N,Equal,90 mm,90 mm,,PVC-C,90 mm,Socket,,723150113,PVC-C Elbow,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,45,WRAS approved,,,90mm,,,,,,
48,PP13046,GF CPVC 90D ELBOW 723100111           63,Georg Fischer,25.01,"This Georg Fischer 63mm 90° elbow is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 90D ELBOW 723100111           63",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/40/P13040_wm.jpg,,N,Equal,63 mm,63 mm,,PVC-C,63 mm,Socket,,723100111,PVC-C Elbow,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,90,WRAS approved,,,63mm,,,,,,
49,PP13077,GF CPVC 90D EQUAL TEE 723200112       75,Georg Fischer,76.11,"This Georg Fischer 75mm 90° equal tee is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC 90D EQUAL TEE 723200112       75",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/70/P13070_wm.jpg,,N,Equal,75 mm,75 mm,,PVC-C,75 mm,Socket,,723200112,PVC-C Tee,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,180,WRAS approved,,,75mm,,,,,,75 mm
50,PP13161,GF CPVC CAP 723960106                 20,Georg Fischer,3.89,"This Georg Fischer 20mm cap is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC CAP 723960106                 20",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/60/P13160_wm.jpg,,N,Unequal,20 mm,N/A,,PVC-C,20 mm,Socket,,723960106,PVC-C Cap,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,,WRAS approved,,,20 mm,,,,,,
51,PP13148,GF CPVC REDUCING BUSH 723900378   110X63,Georg Fischer,44.04,"This Georg Fischer 110 x 63mm reducing bush is part of a comprehensive range of PVC-C fittings suitable for high temperature environments. Fittings in this range offer high tensile strength and excellent impact resistance as well as the ability to withstand temperatures ranging from 0°C to 80°C. PVC-C systems are ideal for transporting aggressive media, including mixed acid waste, and are therefore popularly chosen for use in metal treatment, microelectronic production, chemical, paper and pulp applications.","Pipe, Valves and Fittings/Plastic Pipe Fittings/C-PVC Pipe Fittings/C-PVC Pipe Fittings.csv -> GF CPVC REDUCING BUSH 723900378   110X63",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/10/P13110_wm.jpg,,N,Unequal,110 mm,63 mm,,PVC-C,110mm,Spigot,,723900378,PVC-C Reducer,N,"Excellent mechanical properties, even at high temperatures",Flame-retardant,Self-extinguishing,"Safe, simple jointing technology for ease of fitting and reduced cost",PVC-C construction,WRAS,180,WRAS approved,,,110mm x 6.3mm,,,,,,
