,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Amps,Colour,Connection Type,Flow Rate,Min System Pressure Cold (Bar),Operating Temperature,Position,Pressure,Pump Type,Range,Voltage (V),Warranty,Watts,Phase,Hazardous,Positive / Neutral / Universal,Twin / Single,Material,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Type,Output,Feature 11,Feature 12,Feature 13,Feature 14
20,P419039,Salamander CT Xtra 75 twin shower pump 2bar pack,Salamander,142.0,"The 2 bar Salamander CT75 Xtra twin regenerative shower pump boosts hot and cold water pressure to a single thermostatic shower in a gravity fed, positive head system. Quiet and compact, this continuously rated pump is a fully automatic solution to low water pressure.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander CT Xtra 75 twin shower pump 2bar pack,,Pump;Flexible hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/42/NW-C88042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Salamander_GravityBooster_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_CTXtra_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,PD08096,Grundfos STR2 Str2 1.5C Twin Impeller Pos Regen S-Pump,Grundfos,100.0,"Designed to minimise turbulence in the pump head, the Grundfos STR2 regenerative shower pump provides powerful performance without high levels of noise. Running on a smooth and reliable AC induction motor, this pump is fitted with a regenerative impeller for fewer system air pockets. Ideal for shower systems containing a lot of bends and elbows, the STR2 offers reliable flow rates of up to 0.6M³/h.",Showering/Shower Pumps/Shower Pumps.csv -> Grundfos STR2 Str2 1.5C Twin Impeller Pos Regen S-Pump,,Pump;Stainless steel hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/96/NW-D08096_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR_STR_SSP_STP_SSN_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_Shower_Pump_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,PC88073,Salamander RPU twin universal centrifugal bathroom pump 1.5bar,Salamander,512.94,"The quiet 1.5 bar Salamander RPU premium twin ended universal pump boosts the hot and cold water supply to showers, baths, basins and toilets in a negative head, gravity fed installation. Suitable for use across a wide range of outlets, the RPU incorporates Crossover technology allowing for individual hot or cold or mixed boosts.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander RPU twin universal centrifugal bathroom pump 1.5bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/74/NW-C88073_C88074_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_RP_Pump_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_RPU_ShowerPump_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,P419038,Salamander CT Xtra 50 twin shower pump 1.5bar pack,Salamander,109.0,"The 1.5 bar Salamander CT50 Xtra twin regenerative shower pump boosts hot and cold water pressure to a single thermostatic shower in a gravity fed, positive head system. Quiet and compact, this continuously rated pump is a fully automatic solution to low water pressure.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander CT Xtra 50 twin shower pump 1.5bar pack,,Pump;Flexible hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/41/C88041_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Salamander_GravityBooster_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_CTXtra_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,PC88044,Salamander CT Xtra single shower pump 2.5bar,Salamander,208.07,"Boost hot or cold water in a gravity fed, positive head system with this 2 bar Salamander CT85 Xtra single regenerative pump. Quiet and compact, this continuously rated pump boosts water to individual hot or cold taps.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander CT Xtra single shower pump 2.5bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/44/NW-C88044_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Salamander_CTXtra_ShowerPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Salamander_CTXtra_Pump_Swap_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_CT_Pump_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PD85771,Aqualisa Aquastream pump and hose adaptor assembly White,Aqualisa,165.12,An Aqualisa shower pump motor assembly with white outlet elbow and hose adapter.,Showering/Shower Pumps/Shower Pumps.csv -> Aqualisa Aquastream pump and hose adaptor assembly White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/71/NW-D85771_wm.jpg,,,,,,,Black/White,,,,,,,,Aquastream,,1 year,,,N,,,,910618,N,Includes pump and hose adapter,1 year warranty,,,,,,,,,Shower Pump and Hose Adaptor,,,,,
26,PD01245,Salamander TapBoost TBS15 single outlet booster pump White,Salamander,108.4,"Solving the problem of poor water performance, the Salamander TapBoost inline contact pump helps improve flow at a single mains or gravity fed outlet. Improving water flow rates to between 7 and 11LPM, depending on incoming flow, this easy-install pump can be fitted to either a hot or a cold outlet.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander TapBoost TBS15 single outlet booster pump White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/45/D01245_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_D01245_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PD52934,Stuart Turner Showermate twin shower pump S2.0 bar,Stuart Turner,280.9,"Offering flow rates of up to 37LPM, the Stuart Turner Showermate standard twin shower pump is used to boost the hot and cold supply to a shower room or bathroom. This high performance yet compact pump is supplied with a pair of 15mm anti-vibration flexible hoses, each with an integral isolation valve on the inlet.",Showering/Shower Pumps/Shower Pumps.csv -> Stuart Turner Showermate twin shower pump S2.0 bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/34/NW-D52933_D52934_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Stuart_Showermate_Standard_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Stuart_Showermate_Std_Twin_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rv/es/Stuart_Showermate-Std-Twin_Curves.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PP76322,@ SALAMAND TBS15 INLINE CMPCT PUMP WH PK,Salamander,103.0,"Solving the problem of poor water performance, the Salamander TapBoost inline contact pump helps improve flow at a single mains or gravity fed outlet. Improving water flow rates to between 7 and 11LPM, depending on incoming flow, this easy-install pump can be fitted to either a hot or a cold outlet.",Showering/Shower Pumps/Shower Pumps.csv -> @ SALAMAND TBS15 INLINE CMPCT PUMP WH PK,,1x TapBoost Pump (with 0.95m cable);1x Power Supply Unit (with 1.15m cable);1x Power Supply Unit Mains Cable (1.9m);1x 15mm Inlet Compression Nut;1x 15mm Inlet Compression Olive;1x Spare Inlet Filter (one is pre-fitted to the pump inlet),https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/45/D01245_wm.jpg,,,,,,,,,,,,,,,TapBoost,,,,,N,,,,P76322 PK,N,Extremely quiet operation,Compact design for tight spaces,Fits to either hot or cold outlet,With brass ends,Inline design for easy installation,Pump includes 0.95M power cable,Power supply unit includes 1.15M cable,With 1.9M mains cable,With 15mm fittings,Includes spares,Single Outlet Booster Pump,,,,,
29,PD01258,Salamander TankBoost mains water booster system 350L 3.0 bar,Salamander,2466.07,"Helping to improve water supply, this Salamander TankBoost 350L 3 bar mains water booster system is the answer to the problem of insufficient mains water supply. Featuring a 200L storage tank and submersible, integrated stainless steel pump, this powerfully efficient system delivers pressures of up to 3 bar and flow rates of up to 80LPM while working quietly for less in-home disturbance. To improve performance even further additional storage tanks can be linked to primary TankBoost unit for larger capacities.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander TankBoost mains water booster system 350L 3.0 bar,,TankBoost Pumped Unit;Installation Manual,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/_1/D01258_1_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/D01258_Line Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,P105753,Wilo Yonos GIGA2.0-D 80/1-15/4 0 in-line pump,Wilo,7936.49,"Employing an IE5 EC motor, the Wilo Yonos Giga 2.0-D 80/1-15/4 0 inline pump offers highly efficient pumping of the large amounts of water required for the air conditioning, heating and cooling systems in large-sized premises. Easy to operate via a clear all-colour display, complete with both analogue and digital interfaces, the Giga can be fully integrated in building management systems for improved control.",Showering/Shower Pumps/Shower Pumps.csv -> Wilo Yonos GIGA2.0-D 80/1-15/4 0 in-line pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/57/53/105753_wm.jpg,,,,,,,Black/Green,,N/A,,,,,,Yonos,,,,,N,,,,2205895,N,Twin head pump functionality,Easily accessible cable connections and terminals,Automatic troubleshooting routines,Integrated full motor protection,Interfaces for integration into building automation systems,IE5 EC motor technology,Gradually (90°) rotatable LED display,Differential pressure sensor 2-10V,Fluid temperature of -20°C to +120°C,Maximum operating pressure of 16 bar,,4 kW,Port-to-port length of 360mm,DN80 pipe connection,IP55 rated,2 year warranty
31,PD52935,Showermate twin shower pump S2.6,Showermate,373.82,"Helping to boost both the hot and cold water supply to an individual shower, bath, shower mixer or mixer tap, the Showermate S2.6 Standard twin shower pump is suitable for positive head applications. Fitted with anti-vibration feet, this unit operates quietly for minimal disturbance while running.",Showering/Shower Pumps/Shower Pumps.csv -> Showermate twin shower pump S2.6,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/35/D52935_wm.jpg,,,,,,5,Black,pump conections G 3/4 M,42l/min,0.055,4-40,Vertical,2.6bar,Peripheral,,240,3,495,1,N,Positive,Twin,Plastic,47344,N,Black colour,Suitable for positive head applications,High quality compact plastic pump,Pump has 15mm flexible hoses with integral ISO valves on inlets,Quiet operation,Intermittently rated,Anti-vibration feet,EPDM/PTFE/Al. Oxide seal,Pre-wired with 1.5M power cable,WRAS approved,,,3 year warranty,,,
32,PD12065,Grundfos STR2 twin impeller universal regen shower pump,Grundfos,879.0,"The innovative, tough Grundfos STR2 regenerative shower pump with universal head and two impellers combines impressive performance levels with a durable build at an affordable price. Continuously rated as a regenerative pump, the STR2 overcomes the issue of air pockets and is ideal anywhere a plumbing route includes multiple bends and elbows. Boosting either hot or cold water to single showers or a simple bathroom suite where outlets are below the cold-water tank, this high-performance composite shower pump includes a low-speed induction motor for minimal turbulence in the pump head, quieter operation and a longer life.",Showering/Shower Pumps/Shower Pumps.csv -> Grundfos STR2 twin impeller universal regen shower pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/66/NW-D12065_D12066_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR2_STN_ShowPumps_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_SSR2_STR2_ShowPumps_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PD52443,Stuart Turner Monsoon standard single shower pump 2.0bar,Stuart Turner,391.25,"Designed for use in vented systems, the 2 bar Stuart Turner Monsoon standard single shower pump boosts water pressure in the hot and cold water supply of a positive head application. The pump requires just 0.6LPM to start and provides ideal power for boosting the blended water outlet between a shower valve and showerhead.",Showering/Shower Pumps/Shower Pumps.csv -> Stuart Turner Monsoon standard single shower pump 2.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/43/NW-D52443_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Std_SinglePump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_Standard_Pump_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/STurner_Monsoon_StdSinglePump_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Std_SinglePump_Curve.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PD12022,Grundfos STP positive twin regan pump 2.0bar,Grundfos,930.0,"Manufactured to the highest standards, the Grundfos STP premium brass shower pump with positive head and two impellers is continuously rated as a regenerative pump, overcoming the issue of air pockets and ideal where a plumbing route includes multiple bends and elbows. This high performance shower pump is suitable for domestic, commercial or light industrial use, improving shower pressure up to 4 bar. Boosting both hot and cold water to single showers, multiple showers or providing a boost to a whole house where outlets are above or below the cold-water tank the robust, corrosion-resistant STN operates quietly and at a low speed for a longer working life.",Showering/Shower Pumps/Shower Pumps.csv -> Grundfos STP positive twin regan pump 2.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/23/NW-D12021_D12023_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Watermill_ShowPump_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR2_STN_ShowPumps_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PD12067,Grundfos SSR2 single impeller negative regen shower pump,Grundfos,609.0,"The innovative, tough Grundfos SSR2 regenerative shower pump with universal head and one impeller combines impressive performance levels with a durable build at an affordable price. Continuously rated as a regenerative pump, the SSR2 overcomes the issue of air pockets and is ideal anywhere a plumbing route includes multiple bends and elbows. Boosting either hot or cold water to single showers or a simple bathroom suite where outlets are below the cold-water tank, this high-performance composite shower pump includes a low-speed induction motor for minimal turbulence in the pump head, quieter operation and a longer life.",Showering/Shower Pumps/Shower Pumps.csv -> Grundfos SSR2 single impeller negative regen shower pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/67/NW-D12067_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR2_STN_ShowPumps_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Grundfos_SSR2_STR2_ShowPumps_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PD01236,ACCUBOOST 450LT PUMPED ACCUMULATOR SET,Salamander,2210.97,"Suitable for use in domestic and light commercial premises and offering compatibility with combi boilers, the Salamander 450L AccuBoost pumped accumulator tank and upstream kit helps to improve mains water performance by a minimum of 12LPM in unvented systems with limited water pressure or flow, or in systems where both flow and pressure are a problem at the same time. Storing water at pressure for better than ever delivery from every outlet, Accuboost is available in a variety of tank sizes with both pumped and unpumped options.",Showering/Shower Pumps/Shower Pumps.csv -> ACCUBOOST 450LT PUMPED ACCUMULATOR SET,,Pumped accumulator tank ;upstream kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/36/NW-D01236_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Salamander_AccuBoost_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_Mains_Booster_Brchr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PD12028,Grundfos STN universal twin pump 2.0bar,Grundfos,1338.0,"Manufactured to the highest standards, the Grundfos STN premium brass shower pump with universal head and two impellers is continuously rated as a regenerative pump, overcoming the issue of air pockets and ideal where a plumbing route includes multiple bends and elbows. This high performance shower pump is suitable for domestic, commercial or light industrial use, improving shower pressure up to 4 bar. Boosting both hot and cold water to single showers, multiple showers or providing a boost to a whole house where outlets are above or below the cold-water tank the robust, corrosion-resistant STN operates quietly and at a low speed for a longer working life.",Showering/Shower Pumps/Shower Pumps.csv -> Grundfos STN universal twin pump 2.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/30/NW-D12027_D12030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Watermill_ShowPump_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_SSR2_STN_ShowPumps_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PD52382,STUART TURNER CH 4-30 B,Stuart Turner,661.51,"Suitable for positive or negative head applications, the Stuart Turner CH4 boostamatic centrifugal pump supplies pressurised water from a break tank with no reliance on gravity to activate. CH Multistage Boostamatic pumps are self priming up to 5M and offer flow rates up to 160LPM as well as heads of up to 62M. Supplied with G1 flexible hoses and adapters, this pump is suitable for commercial or domestic use and can pump hot or cold water.",Showering/Shower Pumps/Shower Pumps.csv -> STUART TURNER CH 4-30 B,,Pump;Flexible hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/82/NW-D52382_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/ST_CH4_Pump_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/ST_CH4_Pump_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PC88075,Salamander RPU twin universal centrifugal shower and whole house pump 3.0bar,Salamander,599.83,"Offering quiet efficiency, the 3 bar Salamander RPU premium twin ended pump boosts the individual hot and cold water supply to showers, baths, basins and toilets in a positive head, gravity fed installation. Suitable for a wide range of shower types and heads and single mixer taps, this pump incorporates Crossover technology for individual or mixed outlet operation.",Showering/Shower Pumps/Shower Pumps.csv -> Salamander RPU twin universal centrifugal shower and whole house pump 3.0bar,,Pump;Flexible hoses,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/75/NW-C88075_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/rc/hr/Salamander_GravityBooster_Pump_Brchr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Salamander_RP_Pump_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Salamander_RPU_ShowerPump_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,PD52369,Stuart Turner Monsoon universal twin shower pump 4.0bar,Stuart Turner,907.47,"Designed for vented systems, the 4 bar Stuart Turner Monsoon fully automatic universal twin pump boosts both hot and cold water supplies in balance and is suitable for both positive and negative head applications. The Monsoon Universal doesn't require a gravity flow of water to start, so it's ideal for pressurising a supply where outlets are higher than the water source, such as in a loft conversion or where it's not clear if a positive flow of water exists.",Showering/Shower Pumps/Shower Pumps.csv -> Stuart Turner Monsoon universal twin shower pump 4.0bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/69/NW-D52368_D52369_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/STurner_Monsoon_Uni_TwinPump_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/STurner_Monsoon_Uni_TwinPump_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/STurner_Monsoon_UniTwinPump_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/STurner_Monsoon_UniTwinPump_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,P168712,Grundfos TPED 40-300/2-A-F-A-BQQE single-stage close-coupled volute twin-head pump 3 x 400V 50Hz,Grundfos,9572.26,"Ideal for heating, cooling and district energy, the Grundfos TPE single stage, close-coupled, volute pump offers inline suction and discharge ports of identical diameter and a combined temperature and differential pressure sensor. Thanks to a top-pull-out design, the power head (motor, pump head and impeller) can be removed while the pump housing remains in the pipework for easy, stress-free servicing and maintenance. The twin-head pump is designed with two parallel power heads, each with a fan-cooled, permanent-magnet synchronous motor and a frequency converter and PI controller in the motor terminal box for continuously variable control of speed.",Showering/Shower Pumps/Shower Pumps.csv -> Grundfos TPED 40-300/2-A-F-A-BQQE single-stage close-coupled volute twin-head pump 3 x 400V 50Hz,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/87/12/NW-168712_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_TPE_TPED_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_TPE_TPED_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Grundfos_TP_TPD_TPE_TPE3_3D_Brcr.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
