,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Colour,Flow Rate,Range,Voltage (V),Warranty,Phase,Hazardous,Output,Depth (mm),Frequency,Pressure Rating,Standards,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Weight,Attachment 5,Connection Type,Max Pressure,Material,Operating Pressure,Maximum Operating Temperature,Application,Capacity Litre
22,P179729,Grundfos GT-U+ GT-U+ 500 PN10,Grundfos,2019.0,"The Grundfos GT-U+ 500L steel pressure tank has a replaceable, non-toxic butyl rubber bladder enclosed by compressed nitrogen and is equipped with a Manometer and a connection for a pressure switch. With a built-in pressure gauge on the tank body, a pressure switch can also be installed next to the air valve on top of the tank. This tank's replaceable bladder is suitable for potable water and grey water applications where high-pressure ratings are required, such as in booster systems, heating expansion, pressurisation and in water-hammer arresting.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos GT-U+ GT-U+ 500 PN10,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/29/NW-179729_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_GT_Tanks_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Grundfos_GT_Pressure_Tanks_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_GT_Pressure_Tanks_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Grundfos_DomesticWaterCatalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_GT-U_Plus_Installation.pdf,,,,,,,
23,P116635,Grundfos Scala1 Scala1 5-55 5-55 1x230v 50hz no plug ce,Grundfos,1165.0,"Fully integrated, this Grundfos Scala1 5-55 self-priming booster pump is an all-in-one, compact waterworks solution for simple pressure boosting in domestic and light commercial premises. Pressure rated to 8 bar, this pump is ideal for garden irrigation and can provide a pressure boost for one and two family homes.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Scala1 Scala1 5-55 5-55 1x230v 50hz no plug ce,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/35/NW-116635_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Scala_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fe/ty/Grundfos_Scala1_Safety.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_Scala1_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P140985,Grundfos Home Booster MD450200 cold water home booster 4.5 bar,Grundfos,4759.0,"Suitable for properties with one to two bathrooms, this Grundfos 240V Home Booster is a self-contained cold water booster set for use where the existing mains water supply doesn't meet the needs of a pressurised hot and cold water system. Featuring an integral 200L storage tank with Type AB air gap, in accordance with Water Byelaws regulations, the booster's high quality stainless steel CM I pump is quiet, efficient and robust for a long working life. It is controlled via the PM2 Pressure Manager controller.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Home Booster MD450200 cold water home booster 4.5 bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/85/NW-140984_140985_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Grundfos_Water_PressureBoosting_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_HomeBooster_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_HomeBooster_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,PD65420,Stuart Turner Mainsboost VariQ booster pump,Stuart Turner,516.12,"Energy efficient and quiet, the variable speed Stuart Turner Mainsboost VariQ boosts water performance from a cold water storage tank, roof tank or ground tank up to 5.5 bar. Suitable for domestic or light commercial use, this system is suitable for properties of up to three floors and with up to ten outlets in simultaneous use. This means that if a variety of outlets, such as showers and appliances, are running at the same time, pump speed will be automatically adjusted so the user notices no irritating drop in pressure. Easy to install and commission, the Mainsboost VariQ pump has a handy backlit touchscreen for intuitive use.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Stuart Turner Mainsboost VariQ booster pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/20/D65420_wm.jpg,,,,,,,Mainsboost VariQ,230,2 years,,N,,194,,55 bar,UKCA / CE;WRAS Approved Product,47322,Booster pump,N,Boosts pressure up to 5.5 bar,Boosts flow rate up to 97 litres/min,Variable speed intelligent control,Quiet operation,Illuminated touch screen and control panel,Easy to install and commission,Self priming up to 4 metres,Dry run protection,Continuously rated,Flexible connection hoses (sold separately),2 year warranty,,,,,,,,,,,
26,P140991,Grundfos Max-E Boost 1 phase booster 230v,Grundfos,5562.0,"Compact and cost-effective, the Grundfos Max-E Boost is a single pump packaged cold water booster set for large homes with two or more bathrooms. Harnessing the latest in variable speed pump motor technology, Max-E Boost maintains a constant discharge pressure up to a maximum setting of 4.5 bar (factory setting 3 bar), while the speed-controlled Grundfos CRIE 5-5 vertical multistage pump eliminates the noise caused by water hammer. Ideal for installation in a utility room or garage, or in a frost-protected outdoor enclosure, the Max-E Boost connects to any Water Byelaw approved cold water storage tank with a sufficient AB Air Gap capacity.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Max-E Boost 1 phase booster 230v,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/91/NW-140991_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MAX_E_BOOST_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_MAX_E_BOOST_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,PD52832,Stuart Turner Mainsboost Flomate MBF 80 low water pressure pump,Stuart Turner,1095.82,"Designed for use in high occupancy properties, the Mainsboost Flomate MBF 80 fits neatly in a standard 500mm kitchen base unit, minimising wasted space. Connected directly to the incoming mains, Flomate can deliver up to 16LPM flow at 3.2 bar pressure to multiple outlets, up to the pre-set cut-in limit of the 80L pressure vessel. When the cut-in limit is reached, the system will deliver 12LPM until the pressure vessel is able to recharge.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Stuart Turner Mainsboost Flomate MBF 80 low water pressure pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/32/NW-D52832_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Stuart_Turner_MBF_60-80_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Stuart_Turner_MBF_60-80_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Stuart_Turner_MBF_80_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,PD52835,Stuart Turner Mainsboost Flomate MBF 300 low water pressure pump,Stuart Turner,1644.67,"Suitable for large homes with more than one bathroom, the Stuart Turner Mainsboost Flomate MBF 300 boost system can be installed in a typical 600mm larder-style kitchen cupboard. This system will deliver up to 30LPM flow at 3.2 bar pressure, dependent on the chosen pressure vessel variant, to several outlets, up to the pre-set cut-in limit. Where the cut-in limit is reached, the system will deliver 12LPM until able to recharge.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Stuart Turner Mainsboost Flomate MBF 300 low water pressure pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/35/NW-D52833_D52835_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Stuart_Turner_MBF_100-300_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Stuart_Turner_MBF_100-300_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Stuart_Turner_MBF_80_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P179736,Grundfos Hydro MPC-E 3 CRIE 5-9,Grundfos,23680.0,"A compact assembly, per DIN standard 1988/T5, the Grundfos Hydro MPC-E CRIE5-9 three phase pressure booster system is built around speed-controlled CRIE pumps with highly efficient, electronically commutated permanent-magnet motors. Equipped with a service-friendly cartridge shaft seal, HQQE (SiC/SiC/EPDM), this system is suitable for boosting the pressure of commercial heating and water supplies.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Hydro MPC-E 3 CRIE 5-9,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/36/NW-179736_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_Hydro_MPC_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_Hydro_MPC_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,P102577,Grundfos Scala2 self priming compact waterworks (for pressure boosting in domestic applications),Grundfos,896.0,"Fully integrated and self-priming, the Grundfos SCALA2 3-45 A is a compact solution for pressure boosting in one and two family homes, offering reliably good pressure at the tap and water lift from a depth of 8M in under 5 minutes. Easy to install and start-up, SCALA2 ensures a reliable water supply in installations where there is a risk of dry running and leakages in suction hose or pipes. Designed with a range of protective functions, this pressure boosting pump requires little-to-no maintenance.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Scala2 self priming compact waterworks (for pressure boosting in domestic applications),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/77/NW-102577_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Grundfos_SCALA_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P140984,Grundfos Home Booster MD300200 cold water home booster 3.0 bar,Grundfos,4721.0,"Suitable for properties with one to two bathrooms, this Grundfos 240V Home Booster is a self-contained cold water booster set for use where the existing mains water supply doesn't meet the needs of a pressurised hot and cold water system. Featuring an integral 200L storage tank with Type AB air gap, in accordance with Water Byelaws regulations, the booster's high quality stainless steel CM I pump is quiet, efficient and robust for a long working life. It is controlled via the PM2 Pressure Manager controller.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos Home Booster MD300200 cold water home booster 3.0 bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/85/NW-140984_140985_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Grundfos_Water_PressureBoosting_Brcr.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_HomeBooster_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_HomeBooster_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PD64907,Stuart Turner Mainsboost vessel water boosting system,Stuart Turner,1028.5,"The Stuart Turner Mainsboost boost system MB 300SV has a nominal vessel size of 300L and a pressurised water holding capacity of around 174L. This single vessel unit is supplied with a comprehensive Upstream Line-In Kit (ULK) with 22mm pipe diameter fittings. Designed for direct on-mains systems, such as unvented cylinders and combination boilers, where the mains pressure is greater than 2.0 bar, Mainsboost offers improved flow at taps and other outlets. In properties with a higher water demand, Mainsboost can form part of a multi-vessel systems. Mainsboost vessels have an epoxy-coated steel body and durable virgin butyl diaphragm.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Stuart Turner Mainsboost vessel water boosting system,,Boost system;Upstream line-in kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/07/NW-D64907_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stuart_Turner_Steel_Vessel_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/si/on/Stuart_Turner_Steel_Vert_Dimension.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Stuart_Turner_Steel_Vessel_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fo/rm/Stuart_Turner_Mainsboost_Survey_Form.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P148268,Grundfos CMBE commercial/industrial close coupled in-line circulator pumps,Grundfos,3587.0,"A compact booster system for domestic water supplies, this Grundfos CMBE 5-62 I-U-C-D-D-B booster has a five way valve, expansion tank, pressure gauge and an integrated speed controller to keep constant pressure in the pipe system. A pressure sensor monitoring changes in water consumption signals to the speed controller to adapt performance for maximised comfort and efficiency. Easy to install, the CMBE is ready to plug-and-play as soon as pipework is installed.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos CMBE commercial/industrial close coupled in-line circulator pumps,,CME pump with integrated frequency converter;5-way valve;Expansion tank;Pressure gauge,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/82/68/NW-148268_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_CMBE_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grundfos_MGE_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ce/rt/Grundfos_CMBE_Morocco_Declar_Cert.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,P143008,Grundfos GT-HR hot water expansion vessel,Grundfos,1765.0,The Grundfos GT-HR 500L steel pressure tank includes a non-replaceable rubber diaphragm and is pre-charged with nitrogen.,Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Grundfos GT-HR hot water expansion vessel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/08/NW-143008_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Grundfos_GT-H_GT-HR_GT-U_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Grundfos_GT_Tanks_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Grundfos_GT_Pressure_Tanks_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Grundfos_GT_Pressure_Tanks_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Grundfos_DomesticWaterCatalogue_2020.pdf,,,,,,,
35,PD64901,Stuart Turner Mainsboost MB 200SV-1-22 Vessel mains water boosting system,Stuart Turner,869.55,"With a nominal vessel size of 200L, the Mainsboost MB 200SV-1-22 booster pump supplies a pressurised water holding capacity of around 110L. Easy to install compared to similar pumps, the MB 200SV-1-22 is supplied with the compact Mainsboost Monobloc 22/28mm Upstream Line-In Kit (ULK) and is made from reliably tough epoxy-coated steel with a durable virgin butyl diaphragm for long-lasting use.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Stuart Turner Mainsboost MB 200SV-1-22 Vessel mains water boosting system,,Boost system;Upstream line-in kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/01/NW-D64901_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stuart_Turner_Steel_Vessel_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/si/on/Stuart_Turner_Steel_Vert_Dimension.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Stuart_Turner_Steel_Vessel_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fo/rm/Stuart_Turner_Mainsboost_Survey_Form.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PD52834,Stuart Turner Mainsboost Flomate low water pressure pump,Stuart Turner,1509.09,"Suitable for large homes with more than one bathroom, the Stuart Turner Mainsboost Flomate MBF 200 boost system can be installed in a typical 600mm larder-style kitchen cupboard. This system will deliver up to 30LPM flow at 3.2 bar pressure, dependent on the chosen pressure vessel variant, to several outlets, up to the pre-set cut-in limit. Where the cut-in limit is reached, the system will deliver 12LPM until able to recharge.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Stuart Turner Mainsboost Flomate low water pressure pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/35/NW-D52833_D52835_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Stuart_Turner_MBF_100-300_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Stuart_Turner_MBF_100-300_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Stuart_Turner_MBF_80_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,P421793,Altecnic heat pump buffer tank 50 ltrs,Altecnic,577.57,"Working as a hydraulic separator and as a buffer tank, this Altecnic heat pump buffer tank offers a capacity of 50L.While the tank's buffer function reduces heat pump on/off switching, the hydraulic separator ensures that heat pump flow rates and terminal flow rates are unconnected. This buffer tank is suitable for on-wall installation.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Altecnic heat pump buffer tank 50 ltrs,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/93/421793_wm.jpg,,,,,White,,,,12 Months,,N,,,,,,569050,Heat Pump Buffer Tank,N,For hot and cold water,Maximum working pressure 4 bar,Temperature range of -10°C to 95°C,Suitable for up to 30% glycol solutions,White colour,,,,,,,,,,,Female,4,Steel / Polurethane hard foam,4,95,Buffer Tank,50 l
38,PD64947,Stuart Turner Mainsboost Charger wall mount charger water bossting pump,Stuart Turner,1234.2,"Providing the ideal solution where mains pressure is less than 2.0 bar, this Stuart Turner Mainsboost 12-28 WM wall-mounted charger pump with MBC 12 and bypass kit will boost pressure by 3.5 bar when fitted in conjunction with Mainsboost steel or composite vessels. Suitable for installation remote from the Mainsboost vessel with no loss of performance, Mainsboost Charger pumps are supplied in a noise-reducing enclosure, making fitting flexible.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Stuart Turner Mainsboost Charger wall mount charger water bossting pump,,Boost system;Bypass kit,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/47/NW-D64946_D64947_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/si/on/Stuart_Turner_MBC_12_Dimension.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Stuart_Turner_MBC_12_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stuart_Turner_MBC_12_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fo/rm/Stuart_Turner_Mainsboost_Survey_Form.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,PD64963,Stuart Turner Mainsboost iBoost water boosting system with variable speed pump,Stuart Turner,2468.4,"Suitable for high occupancy properties with multiple bathrooms, the Stuart Turner Mainsboost iBoost integrated boost system provides a boosted cold water supply of up to 100LPM and up to 4.5 bar pressure, with a typical delivery of 60LPM at 3.0 bar pressure. Fitting into any standard 600mm kitchen larder cupboard, this compact unit offers flexible installation alongside existing white goods. In addition to the standard iBoost CAT 3/4 model, the iBoost CAT 5 features a weir overflow, ideal for use where the risk of backflow contamination from Category 5 fluids exists. Both iBoost models are available with fixed or variable speed pump controls and the optional iBoost +200 extension tank allows stored water capacity to be increased to 400L.",Heating/Central Heating Pumps/Booster Pumps/Booster Pumps.csv -> Stuart Turner Mainsboost iBoost water boosting system with variable speed pump,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/63/NW-D64963_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Stuart_Turner_F200_V200_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ur/ve/Stuart_Turner_Mainsboost_V200_Curve.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/al/Stuart_Turner_F200_V200_Dimensional.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Stuart_Turner_Mainsboost_iBoost_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/fo/rm/Stuart_Turner_Mainsboost_Survey_Form.pdf,,,,,,,
