,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Range,Hazardous,Material,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Gender,Resistance Features,Standards,Pack Quantity,Feature 7,Feature 8,Feature 9,Warranty,Cut Resistance Rating,Tear Resistance Rating,Puncture Resistance Rating,Coating Material,Lining Material,Application,Feature 10,Feature 11,Feature 12,Pack Type,Attachment 3,Attachment 4,Physical State / Form
28,PBF0112,Scruffs switchback 3 size 9 Tan,Scruffs,64.99,"Offering flexible protection, the Scruffs Switchback 3 S3 anti-static mid-ankle safety boot in size 9 helps to minimise the risk of electrostatic build-up and sole puncture. Slip-resistant, these working shoes have a scruff-resistant moulded toe and Poron insole for comfort while Micro-fresh technology prevents mould growth for reduced odours.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs switchback 3 size 9 Tan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/15/NW-BF0110_BF0115_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Switchback_3_Tan_DoC.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P456991,Black Mamba Snakeskin gloves Orange XLarge,Black Mamba,26.0,"Offering reliable grip and complete control on the job, these Black Mamba Snakeskin gloves in orange have a textured grip pattern across the palm.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Black Mamba Snakeskin gloves Orange XLarge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/91/456991_wm.jpg,,,Orange,,N,"Nitrile- Latex Free, Powder free",XLarge,3010947,,N,Extra large size,Orange colour,8 mil thickness,Nitrile construction,Latex-free,Powder-free,,,"Force at break (N) Min 6, Tensile Strength (MPA) Min 14",,,,,,,,,,,,,,,,,,
30,PBF0108,Scruffs halo 3 size 11 Navy,Scruffs,53.42,"A casual shoe with inbuilt protection, the Scruffs Halo 3 safety trainer in navy features reliable penetration protection as well as slip resistance for safe wear on the worksite. Smart yet comfortable enough to wear all day long, these shoes have durable moulded toes for protection against scuffs and a padded tongue and collar for soft, supportive comfort.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs halo 3 size 11 Navy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/09/NW-BF0104_BF0109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Strainers_EU_UK_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Safety_Trainers_EU_DoC.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PBF0106,Scruffs halo 3 size 9 Navy,Scruffs,41.66,"A casual design with added safety, this Scruffs Halo safety trainers in size 9 have a steel toe and composite midplate for flexible protection from sole penetration and a slip resistance rating for safer use. Designed with a suede upper and robust moulded toe for scuff protection, these Halo trainers have a padded tongue and ankle collar for comfort. Slip-resistant for safe, comfortable working.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs halo 3 size 9 Navy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/09/NW-BF0104_BF0109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Strainers_EU_UK_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Safety_Trainers_EU_DoC.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PBF0113,Scruffs switchback 3 size 10 Tan,Scruffs,64.99,"Offering flexible protection, the Scruffs Switchback 3 S3 anti-static mid-ankle safety boot in size 10 helps to minimise the risk of electrostatic build-up and sole puncture. Slip-resistant, these working shoes have a scruff-resistant moulded toe and Poron insole for comfort while Micro-fresh technology prevents mould growth for reduced odours.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs switchback 3 size 10 Tan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/15/NW-BF0110_BF0115_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Switchback_3_Tan_DoC.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P337336,Firehawk Firehawk Heat Alarm FHH10 10 year sealed battery heat alarm,Firehawk,12.92,"The reliable FireHawk FHH10 long-life 10 year heat alarm incorporates advanced thermistor-based detection, which is controlled by FireHawk's bespoke software. This alarm is ideal for those spots where a smoke alarm might cause a nuisance, such as a kitchen, garage or anywhere where high levels of dust are created.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Firehawk Firehawk Heat Alarm FHH10 10 year sealed battery heat alarm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/36/NW-337336_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/24/FIREHAWK_337336_Spec-Sheet_2024.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Firehawk_Smoke_Alarm_guide_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Firehawk_FHH10_Manual_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/337336_Technical.pdf,
34,PBF0107,Scruffs halo 3 size 10 Navy,Scruffs,41.66,"A casual design with added safety, this Scruffs Halo safety trainers in size 10 have a steel toe and composite midplate for flexible protection from sole penetration and a slip resistance rating for safer use. Designed with a suede upper and robust moulded toe for scuff protection, these Halo trainers have a padded tongue and ankle collar for comfort. Slip-resistant for safe, comfortable working.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs halo 3 size 10 Navy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/09/NW-BF0104_BF0109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Strainers_EU_UK_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Safety_Trainers_EU_DoC.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,PBF0114,Scruffs switchback 3 size 11 Tan,Scruffs,75.78,"Offering flexible protection, the Scruffs Switchback 3 S3 anti-static mid-ankle safety boot in size 11 helps to minimise the risk of electrostatic build-up and sole puncture. Slip-resistant, these working shoes have a scruff-resistant moulded toe and Poron insole for comfort while Micro-fresh technology prevents mould growth for reduced odours.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs switchback 3 size 11 Tan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/15/NW-BF0110_BF0115_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Switchback_3_Tan_DoC.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PBF0111,Scruffs switchback 3 size 8 Tan,Scruffs,75.78,"Offering flexible protection, the Scruffs Switchback 3 S3 anti-static mid-ankle safety boot in size 8 helps to minimise the risk of electrostatic build-up and sole puncture. Slip-resistant, these working shoes have a scruff-resistant moulded toe and Poron insole for comfort while Micro-fresh technology prevents mould growth for reduced odours.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs switchback 3 size 8 Tan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/15/NW-BF0110_BF0115_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Switchback_3_Tan_DoC.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PF49940,McAlpine McAlpine Kneepads KP-P slide-in knee pads for pocketed work trousers one size Red and Black (1),McAlpine,36.58,"This pair of McAlpine KP-P knee pads help to make working under sinks, fitting flooring and other low level tasks more comfortable. Protecting the knee joints, these one-size pads simply slide into the kneepad pockets of your work trousers.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> McAlpine McAlpine Kneepads KP-P slide-in knee pads for pocketed work trousers one size Red and Black (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/39/597439_wm.jpg,,,Black / Red,McAlpine Kneepads,N,,,KP-P,Knee Pads,N,McAlpine Kneepads disperse pressure away from the knee,Have 100% recovery,Breathable,Don't have to be extracted from workwear to be washed,,,,,,1,,,,,,,,,,Knee Support,,,,Packed Sleeve,,,Pocket Kneepads
38,PBE8049,Scruffs Trade Flex softshell L Black,Scruffs,41.67,"Flexible, hardwearing and practical, this Scruffs Trade Flex soft shell jacket in L is made of a high-tech 92% polyester fabric designed to stand up to challenging working conditions. Easy to wear all day long, this black jacket help you to look smartly professional in front of clients while keeping you warm, comfortable and dry whatever the work day throws at you.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs Trade Flex softshell L Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/50/NW-BE8048_BE8050_wm.jpg,,,Black,Trade Flex,N,"92% Polyester, 8% elastane",Large,T55123,Jacket,N,Lightweight water-resistant softshell jacket provides protection from light rain,"Slim fitting, with 4-way flex which allows maximum movement while working",Breathable mesh lining and high fleece-lined collar for warmth and protection against the elements,Abratect™ abrasion-resistant sleeve panels,Features 3 x outer zipped pockets and an internal phone pocket for safe storage of valuables and tools,92% polyester 8% elastane.,,,,,,,,,,,,,,,,,,,,,
39,PBE8072,"Scruffs Trade Flex shorts 32"" Slate",Scruffs,27.77,"Manufactured in hard wearing canvas, these slate Scruffs Trade Flex 32"" shorts combine good looks with practicality for a professional appearance when at work. Suitable for working in all conditions, these trousers are part of a range designed for safety and comfort on the job.","Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs Trade Flex shorts 32"" Slate",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/10/T52810_wm.jpg,,,Slate,Trade Flex,N,"YKK zipped fly. 65% polyester, 35% cotton, 250gsm",32,T52810,Shorts,N,"Durable, high performance materials",Slate colour,Made with polyester and cotton,YKK zipped fly,Reinforced pocket,Triple-stitched seams for durability,Mens,Hard wearing canvas fabric pocket reinforcements & triple-stitched seams,,,,,,,,,,,,,,,,,,,
40,PF49941,McAlpine strapped protective knee pads one size Red and Black (1),McAlpine,50.79,"Proven to offer support to the whole knee, these McAlpine strapped protective knee pads can reduce point pressure by distributing weight away from the knees. Comfortable and convenient, these pads help to make working on your knees for a long time easier.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> McAlpine strapped protective knee pads one size Red and Black (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/41/F49941_wm.jpg,,,Red / Black,,N,,,KP-S,Knee Pads,N,One size fits all,For domestic or trade use,Machine washable,No need to remove from trousers,Won't degrade,,,,,1,,,,,,,,,,Domestic or trade,,,,Cardboard Sleeve,,,
41,PBF0104,Scruffs halo 3 size 7 Navy,Scruffs,53.42,"A casual design with added safety, this Scruffs Halo safety trainers in size 7 have a steel toe and composite midplate for flexible protection from sole penetration and a slip resistance rating for safer use. Designed with a suede upper and robust moulded toe for scuff protection, these Halo trainers have a padded tongue and ankle collar for comfort. Slip-resistant for safe, comfortable working.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs halo 3 size 7 Navy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/09/NW-BF0104_BF0109_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Strainers_EU_UK_DoC.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/oc/Scruffs_Halo3_Safety_Trainers_EU_DoC.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PBE8073,"Scruffs Trade Flex shorts 34"" Slate",Scruffs,25.77,"Manufactured in hard wearing canvas, these slate Scruffs Trade Flex 34"" shorts combine good looks with practicality for a professional appearance when at work. Suitable for working in all conditions, these trousers are part of a range designed for safety and comfort on the job.","Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs Trade Flex shorts 34"" Slate",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/11/T52811_wm.jpg,,,Slate,Trade Flex,N,"YKK zipped fly. 65% polyester, 35% cotton, 250gsm",3/4,T52811,Shorts,N,"Durable, high performance materials",Slate colour,Made with polyester and cotton,YKK zipped fly,Reinforced pocket,Triple-stitched seams for durability,Mens,Hard wearing canvas fabric pocket reinforcements & triple-stitched seams,,,,,,,,,,,,,,,,,,,
43,PBE6821,Beeswift B-Brand SG-604 goggles,Beeswift,1.68,"This lightweight Beeswift BBrand goggle is treated with Crystal Coat, C-380M, a polysiloxane-based thermal cure hard-coat that offers anti-fog performance as well as abrasion and chemical resistance.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Beeswift B-Brand SG-604 goggles,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/21/NW-BE6821_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/BE6821_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PBE8040,Scruffs Adjustable Clip Belt Black,Scruffs,7.49,"Fitted with a clip fastening for easy adjustability to fit any waist, this Scruffs Workwear one size belt is made of tough, reinforced cotton to help it stand up to constant wear. Stylishly designed, this belt has a ready-distressed look and a Scruffs-branded metal buckle.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> Scruffs Adjustable Clip Belt Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/40/NW-BE8040_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Scruffs_SS_2015_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,P617194,DTS Defend XL nitrile gloves Black,DTS,8.19,"Thicker and stronger than other nitrile gloves, DTS Defend heavy duty nitrile gloves, in XL size, are highly resistant to chemicals, abrasion and penetration. Designed for single-use, these latex-free gloves are extremely durable and offer excellent grip.",Trade Essentials/PPE and Workwear/PPE and Workwear.csv -> DTS Defend XL nitrile gloves Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/94/617190_617194_wm.jpg,,,Black,Defend,N,Nitrile,XL,ZHPFN-0460XL,,N,Black colour,Ultra-strong nitrile construction,Thick manufacture,With textured fingerprints,Enhanced grip,Latex-free and powder-free,,,"CE, UKCA, EN 1186",,Ambidextrous wear,Single use,Meets EN 1186: Food Migration,,,,,,,,CE Marked,UKCA approved,,,,,
