,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Connection Size,Hazardous,Operator Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Connection Type,Range,Feature 3,Feature 4,Colour,Material Type,Warranty,Material,Size,Operating Temperature,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Seat Material,Pack Quantity,Feature 5,Single / Double,Thread Size,Standards,Diameter
31,P171029,"Masefield Beta equilibrium ball valve (bsp) 1.1/2"" Gun Metal (5)",Masefield,474.3,"This lever-operated Masefield Beta 1 1/2"" equilibrium ball valve minimises issues caused by changing water pressures. With controlled closure, a high flow, full bore seat and hydraulically balanced closing action, this gunmetal ball valve offers a fast, quiet shut-off.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Masefield Beta equilibrium ball valve (bsp) 1.1/2"" Gun Metal (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/30/NW-171025_171030_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,P414129,"Center CB brass ball type pump valve 28mm x 1.1/2""",Center CB,11.63,"Used to isolate a central heating circulating pump, this Center CB 28mm ball-type pump valve uses an internal ball operated by a screwdriver slot to isolate water flow. Ideal for installation where space is limited, this compact valve has a 28mm compression joint on one end for connection to 28mm copper pipe. At the opposite end, a 1 1/2"" nut and washer securely attaches onto the circulating pump's flange. Manufactured in hot-forged brass, this pump valve offers durability and hassle-free operation.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Center CB brass ball type pump valve 28mm x 1.1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/29/NW-414129_wm.jpg,,,28 mm x 1-1/2 inch,N,Slotted,BFPVB-28,Pump Valve,N,Connects domestic circulation pumps and copper pipes,Isolation point for removal of circulation pump,Threaded,,Compression connection,12 month warranty,,,,,,,,,,,,,,,,,
33,P250572,"Midbrass valve flat face 15mm x 3/8""",Midbrass,2.31,"A Midlands Brass 15mm x 3/8"" ISO flat face valve.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midbrass valve flat face 15mm x 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/72/250572_wm.jpg,,,15 mm x 3/8 inch,N,,BFIVFF-15C,Flat Faced Isolating Valve,N,Brass construction,Chrome-plated finish,Compression x Male Threaded,,1 year warranty,,,,,,,,,,,,,,,,,,
34,P537464,"Masefield drop arm for ball float valve 1.1/4 and 1.1/2"" (5)",Masefield,131.26,"Ensuring the correct air gap is achieved, this Masefield drop arm and adapter helps to prevent backflow, keeping the clean water supply from becoming contaminated. Made using all high-quality materials, this version has a 9/16"" BSW connection to suit all float-operated piston type valves.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Masefield drop arm for ball float valve 1.1/4 and 1.1/2"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/64/NW-537463_537464_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/22/Masefield_Beta_Valve_Brochure_2022.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P250445,Midland Brass isolating valve comes with handle 22mm Nickel,Midland Brass,8.96,"Suitable for both hot and cold water systems, this Midland Brass 22mm brass isolating valve is supplied with an olive in the nut ends. A metal lever is used to activate shut-off.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass isolating valve comes with handle 22mm Nickel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/45/NW-250444_250445_wm.jpg,,,22 mm,N,Handle,BFIVLM-22,Isolating Valve with Handle,N,Brass construction,Nickel finish,Threaded,,1 year warranty,,,,,,,,,,,,,,,,,,
36,P255689,Midland Brass double check valve (DZR) 28mm (5),Midland Brass,14.6,"Made of reliable DZR brass, this Midland Brass 28mm check valve is designed for spanner operation.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass double check valve (DZR) 28mm (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/89/NW-255688_255689_wm.jpg,,,28 mm,N,,CMBFDCV-28,Check Valve,N,DZR brass construction,28mm size,,,,,,,,,,,,,,,,5,,,,,
37,P414070,Center CB copper x copper compression wheel head gate valve 15mm Brass (1),Center CB,3.8,"This Center CB 15mm gate valve offers compression connections and wheelhead operation.  A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Center CB copper x copper compression wheel head gate valve 15mm Brass (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/72/NW-414070_414072_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/414070_414071_414072_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PK74296,JET Range 41GMLS Type-A lock shield drain cock (BSP) 15mm Bronze,JET Range,57.61,This JET Range 41GMLS bronze type A wrench operated plain drain cock with lockshield includes a 15mm BSP tapered male end connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range 41GMLS Type-A lock shield drain cock (BSP) 15mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/96/NW-K74296_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_41-41C-41GM-41GMLS_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,P503702,Pegler VSH Tectite quarter turn lever ball valve 22mm,Pegler,14.47,"This VSH Tectite TX300 22 x 22mm quarter-turn ball valve is made of brass with push-fit end connections. A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Pegler VSH Tectite quarter turn lever ball valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/02/NW-503701_503702_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ov/al/VSH_Tectite_DVGW_TX300_Approval.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Pegler_BSIKitemark_CCAPF_Certificate.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/if/ct/Pegler_SphericalValves_WRAS_Certifct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/VSH_Tectite_TX300_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pegler_Y_Tectite_Brochure.pdf,,,,,,,,
40,P250464,Midland Brass brass slotted isolating valve 15mm,Midland Brass,2.76,"Suitable for both hot and cold water systems, this Midland Brass 15mm isolating valve is supplied with an olive in nut ends. It has a screwdriver slot for shut-off.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass brass slotted isolating valve 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/64/NW-250464_wm.jpg,,,15mm,N,Slotted,BFIVB-15,Isolating Valve,N,Brass construction,WRAS approved,Threaded,,1 year warranty,,Metal/s,,,,,,,,,,,,,,,,
41,P236594,Center CXC Chrome Plated WRAS Approved isolating valve 15 mm,Center,1.16,This Center CXC CP 15mm directional isolation valve is finished in nickel and supplied complete with nuts and olives.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Center CXC Chrome Plated WRAS Approved isolating valve 15 mm",,"1 Isolation Valve, 2 x olives, 2 x nut ends",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/94/236594_wm.jpg,,,,N,,CMTFIV-15W,,N,Quarter-turn operation,Nickel finish,,,With 2x olives and nut ends,Complies with EN1254-2,,,,,,,,,,,,,,,,,
42,PK74234,JET Range DZR DZR copper x copper double check valve 22mm,JET Range,22.68,"This JET Range DZR copper x copper double check valve, which includes BSP female x BSP male 22mm connections, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range DZR DZR copper x copper double check valve 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/38/NW-K74233_K74238_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PK74236,JET Range DZR DZR copper x copper double check valve 32mm,JET Range,54.26,"This JET Range DZR copper x copper double check valve, which includes BSP female x BSP male 32mm connections, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range DZR DZR copper x copper double check valve 32mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/38/NW-K74233_K74238_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PK74393,JET Range JET 11 28mm CxC BS 1010 Stopcock,JET Range,74.02,This JET Range JET 11 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed using a 28mm compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range JET 11 28mm CxC BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/93/K74393_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74391-K74396_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Range_K74391-K74396_Technical.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74391_K74393_Technical Data Sheet.pdf,,,,,,,,,,
45,PU64297,"Midland Brass PT1 high pressure ball valve (BS1212) 3/4""",Midland Brass,19.69,"This Midland Brass 3/4"" ball valve is manufactured in brass with BSP connections.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass PT1 high pressure ball valve (BS1212) 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/97/NW-U64297_wm.jpg,,,3/4 inch,N,Float,MBFBVHPP1-E,Ball Valve,N,Brass construction,12 month warranty,BSP,,,,,,,,,,,,,,,,,,,,
46,P414078,Midland Brass lockshield gate valve WRAS 28mm,Midland Brass,14.84,"This Midland Brass 28mm gate valve is designed for spanner operation.  A gate valve, also known as a sluice valve, opens by lifting a barrier out of the path of a fluid. Gate valves normally require minimal space along the pipe axis and offer minimal flow restriction when fully open. A multi-turn valve, operation of a gate valve is carried out via a threaded stem, turning multiple times to change position.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass lockshield gate valve WRAS 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/78/NW-414078_wm.jpg,,,28 mm,N,Lockshield,MBFGVLSNB-28,Gate Valve,N,Brass construction,12 month warranty,Copper,,,,,,,,,,,,,,Brass,,,,,,
47,PU64301,"Midland Brass PT2 high pressure ball valve (BS1212) 3/4""",Midland Brass,12.24,"A Midland Brass 3/4"" ball valve.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in li","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass PT2 high pressure ball valve (BS1212) 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/01/NW-U64301_wm.jpg,,,3/4 inch,N,Float,MBFBVHPP2-E METAL,Ball Valve,N,Metal construction,12 month warranty,,,,,,,,,,,,,,,,,,,,,
48,P171036,"Masefield Beta high pressure nylon seat ball valve bottom entry (part2) 1/2"" (10)",Masefield,22.93,"Made of brass and with BSP connections, this Masefield Beta 1/2"" high pressure seat ball valve is highly reliable. Lever-operated, this valve is supplied with a removable seat and tail with spares and washers readily available for ease of maintenance, even years down the line.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Masefield Beta high pressure nylon seat ball valve bottom entry (part2) 1/2"" (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/36/NW-171036_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P255686,Midland Brass single check valve 28mm (5),Midland Brass,9.21,"This Midland Brass 28mm check valve is made of robust brass.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass single check valve 28mm (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/86/255686_wm.jpg,,,28 mm,N,,CMBFSCV-28,Check Valve,N,Brass construction,28mm size,,,,,,,,,,,,,,,,5,,,,,
50,P414120,"Midland Brass standard pump union 1"" (5)",Midland Brass,7.23,"Used to connect hot and cold water plumbing, this Midland Brass 1"" threaded standard pump union is made of a high-quality brass and is supplied with a washer for hassle-free connection.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass standard pump union 1"" (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/20/NW-414120_wm.jpg,,,1 inch,N,,BFPVU,Pump Union,N,Standard type,"1"" size",Threaded,,,,,,,,,,,,,,,5,,,,,
51,P255690,Midland Brass double check valve (DZR) 15mm Chrome Plated,Midland Brass,5.29,"WRAS approved, this Midland Brass 15mm check valve is made of tough DZR brass.  A check valve, sometimes called a non-return valve, is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Midland Brass double check valve (DZR) 15mm Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/90/NW-255690_wm.jpg,,,15mm,N,,CMBFDCVCP-15,Check Valve,N,WRAS approved,,,,,,,,,,,,,,,,,,,,,,
52,P171035,"Masefield Beta high pressure nylon seat ball valve bottom entry (part1) 1/2"" (10)",Masefield,18.52,"Made of brass and with BSP connections, this Masefield Beta 1/2"" high pressure seat ball valve is highly reliable. Lever-operated, this valve is supplied with a removable seat and tail with spares and washers readily available for ease of maintenance, even years down the line.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Masefield Beta high pressure nylon seat ball valve bottom entry (part1) 1/2"" (10)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/35/NW-171035_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PN60522,"JET Range Brass Gauge Cock gauge cock female x female 3/8"" Brass",JET Range,26.3,"Made of brass, this manual JET Range lever-operated gauge cock is supplied with 10mm BSP female end connections.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range Brass Gauge Cock gauge cock female x female 3/8"" Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/23/NW-N60521_N60523_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/Wolseley_Exclusive_Range_Guide_2018.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PK11486,Crane D138 check valve (BSP) PN25 32mm Bronze,Crane,334.47,"The Crane D138 PN25 32mm check valve has a 1 1/4"" BSP tapered female connection. This non-return valve is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Crane D138 check valve (BSP) PN25 32mm Bronze",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/86/NW-K11486_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Crane_KM-07296_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Crane_D138_Check_Valve_Technical.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Crane_J1483_Check_Valve_Install.pdf,,,,,,,,,,
55,PK74206,Rubinetterie 24 spring check valve (BSP) 32mm Brass,Rubinetterie,20.2,"Designed to make sure that liquid or gas flows in just one direction, this 24 spring single check valve with 32mm BSP female connection recognises flow and velocity, closing automatically to prevent backflow. Suitable for a maximum pressure of 25 bar, this valve has a brass body and FKM seat.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Rubinetterie 24 spring check valve (BSP) 32mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/11/NW-K74202_K74211_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PK74293,JET Range 41 Type-A drain cock (BSP) 15mm Brass,JET Range,26.36,This JET Range 41 brass type A wrench operated drain cock includes a 15mm BSP tapered male end connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range 41 Type-A drain cock (BSP) 15mm Brass",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/94/NW-K74293_K74294_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_41-41C-41GM-41GMLS_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,P171009,"Masefield Beta high pressure seat ball valve (part1) 2"" Bronze (5)",Masefield,376.62,"This Masefield Beta 2"" high pressure seat ball valve is supplied with removable seats and brass backnuts. Brass float operated, this valve incorporates BSP connections.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> Masefield Beta high pressure seat ball valve (part1) 2"" Bronze (5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/09/NW-171007_171009_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beta_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PK74699,JET Range WCV-SP single plate check valve 65mm,JET Range,347.96,"This JET Range WCV-SP 65mm 16PN single plate check valve is designed to ensure that liquid or gas fluid flows in only one direction, depending on flow and velocity to close automatically, preventing backflow.","Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range WCV-SP single plate check valve 65mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/04/NW-K74698_K74704_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Jet_Valve_Guide_2016.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PK74391,JET Range JET 11 15mm CxC BS 1010 Stopcock,JET Range,21.36,This JET Range JET 11 brass stop cock isolates the water supply to a property where required for maintenance or in an emergency. It is installed using a 15mm compression connection.,"Pipe, Valves and Fittings/Plumbers Brassware/Plumbing Valves/Plumbing Valves.csv -> JET Range JET 11 15mm CxC BS 1010 Stopcock",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/91/K74391_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Jet_Range_K74391-K74396_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Jet_Range_K74391-K74396_Technical.pdf,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/K74391_K74393_Technical Data Sheet.pdf,,,,,,,,,,
