,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Flow Rate,Max System Pressure Cold (Bar),Min System Pressure Cold (Bar),Warranty,Hazardous,Depth (mm),Material,Number of Outlets,Number of Spray Patterns,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Attachment 4,Attachment 5,Range,Operating Temperature,Projection Depth,Style,Pressure (Low / Med / High),Tank,Mains,Cartridge,Spout Type,Fitting / Mounting Type,Handle Type,Number of Tap Holes,Feature 13,Attachment 6,Attachment 7,Attachment 8,Pack Quantity,Feature 14,Pressure,Eco Setting,Voltage (V),Shower Head Diameter,Engine Box Height (mm),Engine Box Width (mm),Engine Box Depth (mm),Hose Length,Water Entry Points,Cable Entry,Water Heating Declared Load Profile,Water Heating Energy Efficiency Class,Sound Power Level (Indoors),Manual / Thermostatic,Water Entry,Water Heating Energy Efficiency
41,PD62477,Mira Minilite exposed mini mixing valve with magniflow Chrome,Mira,205.13,"Perfect for en-suite bathrooms, the compact Mira Minilite EV shower mixer is a real space saver. Fast and easy to install, the Minilite EV includes a single flow and temperature control for fine-tuned comfort, Mira Magni-flo technology for improved flow, even at low pressure and a large 90mm showerhead for full, luxuriant coverage.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Mira Minilite exposed mini mixing valve with magniflow Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/77/NW-D62477_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Minilite_Guide_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Minilite_EV_Drw_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Beat-Nectar_Shower_Fits_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,PD10850,Bristan Frenzy cool touch bar valve shower multi-mode kit,Bristan,150.85,"The stylish Bristan Frenzy thermostatic bar shower is easy to install using the supplied wall mount 12 fixing kit and built-in front-of-wall isolation valves. With a range of safety features, dual flow and temperature control and an easy to clean handset, the Frenzy is highly suitable for family bathrooms.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Bristan Frenzy cool touch bar valve shower multi-mode kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/50/D10850_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Bristan_FZSHXMMCTFFC-VOCTFFC_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/D10850 FZ SHXMMCTFF C_Data Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PD62396,Mira Coda pro EV exposed variable bar shower and kit,Mira,172.47,"Simple yet powerful, the Mira Coda Pro EV shower mixer offers easy installation with a front-of-tile fitting system and adjustable centres plus intuitive use via separate temperature and flow controls. Suitable for all systems, performing in even the lowest pressure, the Coda Pro EV is an economical choice for challenging bathrooms.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Mira Coda pro EV exposed variable bar shower and kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/96/NW-D62396_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_BeatNectarShowerFitting_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Coda_Pro_EV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_EV_ERD_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Coda_Pro_EV_Drw_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_EV_ThermostaticBarValve_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PP76420,Bristan Zing Zing Bar Valve & Kit Cp,Bristan,55.0,"A great choice for a family bathroom, the Bristan Zing bar valve and shower kit features a range of safety features for peace of mind. These include a safe-touch bar valve in which cold water surrounds the hot supply, keeping the outer surface cool, even during the hottest of showers, and thermostatic technology, maintaining a safe temperature should water pressures fluctuate. The included shower kit includes a limescale-resistant, rub-clean showerhead for ease of maintenance.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Bristan Zing Zing Bar Valve & Kit Cp,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/03/C26203_wm.jpg,,,,Chrome/Metallic,"4 L/min at 0.2 bar, 22.8 L/min at 5 bar",5,0.2,5 Years,N,64,Brass,Single,1,P76420 PK,Thermostatic,N,Brass construction,Metallic chrome finish,"With G 1/2"" inlet connections",Thermostatic cartridge with pre-set temperature stop at 38°C,Preset can be overridden to a maximum of 46°C,Cold water feed surrounds hot water for safe-to-touch valve,With 1.5M hose,Rub-clean anti-limescale handset,Includes hose retainer,"Flow rate 4LPM at 0.2 bar, 22.8LPM at 5 bar",5 year warranty,,,,Zing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PP76425,ZING2 ADJ THERM RISER DIV BARSHOW CHR PK,Bristan,130.0,"A stylish design suitable for over-bath, cubicle or wet room installation, the easy-install Bristan Zing adjustable thermostatic dual outlet shower with diverter is supplied complete with a telescopic riser, hose and two showerheads. Featuring rub-clean nozzles, the overhead drencher showerhead and single function handset not only provide users with showering choice, they also make cleaning simple, requiring just a gentle rub to remove debris and limescale.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> ZING2 ADJ THERM RISER DIV BARSHOW CHR PK,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/83/D88183_wm.jpg,,,,Chrome,,,,5 Years,N,,,,,P76425 PK,Thermostatic Bar Shower,N,Includes bar shower valve and hose,With telescopic rigid riser rail,Includes drench head and single function handset,Supplied with Wall Mount 10 fast fixing kit for easy retrofit,Telescopic riser for adjustable height,Integral 2 outlet diverter for easy switching,Rub-clean anti-limescale handset and drench head design,Chrome finish,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PA05042,Nabis concealed dual control thermostatic valve plate and handles,Nabis,107.1,This Nabis two control valve plate includes thermostatic control for safe showering and individual adjustment of flow and temperature. The valve is supplied with both round and square handle options to suit your bathroom design.,Showering/Showers/Mixer Showers/Mixer Showers.csv -> Nabis concealed dual control thermostatic valve plate and handles,,Concealed dual control thermostatic valve plateHandles,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/42/NW-A05042_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Nabis_A05042_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Nabis Shower Spare Parts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_A05033-A05060_Shower_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PA05043,* NAB MANUAL LEVER SHOWER VALVE,Nabis,38.67,This Nabis manual lever chrome shower valve has a dual function lever for on/off and temperature control and is suitable for either concealed or exposed installation.,Showering/Showers/Mixer Showers/Mixer Showers.csv -> * NAB MANUAL LEVER SHOWER VALVE,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/43/NW-A05043_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_Shower_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/ts/Nabis Shower Spare Parts.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/A05043_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PD53217,Aqualisa AQ cool touch square shower column,Aqualisa,237.6,"A distinctive, contemporary shower for modern bathrooms. An 'integrated diverter' is situated in the handle that switches the water flow between a single mode square 89mm handset to the 200mm square drencher head for two completely different shower experiences. The unique telescopic shower column means this is a versatile option for any bathroom configuration while the cool touch body, as well as the temperature override button, add assuring safety features. Available in polished chrome, this shower column is suitable for HP UK water systems and comes complete with a 5 year guarantee as standard (T&C's apply)",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Aqualisa AQ cool touch square shower column,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/32/17/NW-D53217_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_AQSQBar2_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PC63125,Bristan Quest bath shower mixer tap Chrome Plated,Bristan,219.44,"Built to last, the modern Bristan Quest bath/shower mixer with handset, hose and bracket is made of tough brass with a long lasting chrome surface. This curved, deck-mounted mixer is compatible with all plumbing systems and features ceramic cartridge control for ease of use.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Bristan Quest bath shower mixer tap Chrome Plated,,Bath shower mixer;1.75m hose;Rub-clean anti-limescale handset;Wall bracket,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/25/NW-C63125_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C63125_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Bristan_TapsShowersAccers_Brchr_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/C63125_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/C63125_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,PD96035,Mira Honesty mixer shower,Mira,333.46,"Boldly designed with strong, cubic lines, the Mira Honesty ERD shower mixer includes two statement showerheads, including a huge deluge head, for combined practicality and luxury. Suitable for use in all pressure systems, even low pressure, the Honesty delivers a range of powerful features including Magni-flo for up to three times the flow of other showers and, for family-friendly safe use, thermostatic control, Cool Shield and a maximum temperature stop.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Mira Honesty mixer shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/59/548059_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Honesty_ERDBarValvFittg_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,PD62508,Mira Form Dual Outlet Mixer Shower,Mira,389.03,"Designed for ease of installation, the Mira Form dual outlet mixer shower incorporates a range of Multi-Fit features for simpler retrofitting. These include adjustable inlet connections and adjustable slide bar ends for fitting into a space left by 95% of the concentric mixers available on the market. Made of robust brass with a chrome finish, the Form mixer shower is compatible with modern deluge showerheads.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Mira Form Dual Outlet Mixer Shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/08/D62508_wm.jpg,,,,Chrome,7.7,10.0,0.1,5 Years,N,810,"Valve and shroud: chrome plated ABS, brass inlet elbowsShowerhead, overhead and fittings: chrome plated ABSHose: PVC",2,1,31983W-CP,Mixer Shower,N,ABS and brass construction,Chrome finish,Adjustable inlet connections,Retrofit to 95% of concentric mixers with 110 – 153mm pipe centres,Slide-bar ends adjust for fitting to old fixing holes,"Quick, easy installation",Deluge overhead shower compatible,Height-adjustable slider allows 200mm of variation,Valve shroud design covers all connections and fixing holes,5 year warranty,,,,,Form,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PC66641,Aqualisa Dream Thermo Mixer Shower with Hand Shower,Aqualisa,680.8,"Bringing together smart modern style and a robust build, the Aqualisa Dream thermostatic mixer shower is a reliable choice for a contemporary family bathroom. Designed with its durable controls set into a slimline wall plate, this shower has a clean, chrome finish while its generous 250mm fixed, square showerhead provides an all-encompassing shower experience. A handheld shower with smooth 1.5M shower hose is also included for targeted rinsing. Easy to clean, the Dream's showerheads includes rub-clean nozzles which keep limescale at bay with no more than a quick wipe.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Aqualisa Dream Thermo Mixer Shower with Hand Shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/66/41/NW-C66641_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Aqualisa_Dream_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Aqualisa_Dream_Therm_Shower_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/C66641_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PD53004,Aqualisa Midas 110 exposed exposed bath shower mixer,Aqualisa,325.73,"Combining style and power, the Aqualisa Midas 110 bath shower mixer delivers useful features including safe touch controls and an integrated diverter alongside thermostatic temperature protection to make it the ideal choice for a family home.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Aqualisa Midas 110 exposed exposed bath shower mixer,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/04/NW-D53004_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Aqualisa_Brochure_2019.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Aqualisa_Midas_110-220_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Aqualisa_Midas_110_MD110BSM_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,PD61366,Mira Realm thermostatic exposed variable shower,Mira,376.41,"The traditional, ceramic-handled design of the Mira Realm ER shower mixer, supplied with an extra-large chrome showerhead, is the perfect combination of timeless style and modern luxury. This shower includes a range of safety features, compatibility with all pressure systems and provides easy fitting on reversed inlet supplies.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Mira Realm thermostatic exposed variable shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/66/NW-D61366_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Realm_Drw_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Realm_Drw_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Realm_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Realm_Guide_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_ShowersEnclosuresTrays_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PD96034,Mira Honesty mixer shower,Mira,211.64,"Boldly designed with strong, cubic lines, the Mira Honesty EV shower mixer is a practical, easy to install choice with more than a splash of style. Suitable for use in all pressure systems, even low pressure, the Honesty delivers a range of powerful features including Magni-flo for up to three times the flow of other showers and, for family-friendly safe use, thermostatic control, Cool Shield and a maximum temperature stop.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Mira Honesty mixer shower,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/58/548058_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Mira_Honesty_EVBarValveFittg_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Mira_Honesty_EV_Mixer_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Honesty_EV_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,PD62397,Mira Coda Pro ERD exposed rigid shower with diverter bar,Mira,261.66,"Discover the Mira Coda Pro ERD shower in our range and create a luxurious shower experience for your renovation project.  This thermostatic shower is fantastic for families as it vastly cuts down the risk of the shower overheating when someone else in the house draws water. It also features Cool Shield™ technology, which keeps the controls cool no matter the temperature of the water running through your pipes, and a maximum temperature stop to prevent scalding. However, this stop can be overridden for those who like scorching showers.  With a large 20cm single spray deluge head and a separate 9cm handheld shower nozzle, this mixer shower delivers on power and usability. Not only does it give a great performance, but it also has a modern, exposed design that will look fantastic in any bathroom. Both shower heads are designed to be rub-clean for easy limescale removal, keeping them looking brand new for longer.  Find the Mira Coda Pro ERD shower in our range online at Plumb Center and take advantage of our comp",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Mira Coda Pro ERD exposed rigid shower with diverter bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/97/NW-D62397_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Coda_Pro_ERD_Drw_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Coda_Pro_ERD_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Mira_ERD_ThermostaticBarValve_Instal.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_EV_ERD_Spares.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,P231598,Mira relate EV single outlet bar mixer shower Matt Black,Mira,129.0,"An up-to-the-minute statement design, the Mira Relate EV single outlet bar mixer shower is finished in an eye-catching matte black, durability tested for a long lasting sleek finish. This attractive shower minimises maintenance with easy-clean nozzles while safety is assured through features such as Mira's Cool Shield technology and precise thermostatic control. The Relate offers four indulgent spray settings, easily selected via the on-handle push button.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Mira relate EV single outlet bar mixer shower Matt Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/68/D96068_wm.jpg,,,,Black/Matt,9/L a minute at 0.5bar,10,0.1,5 Years,N,10.5,Stainless Steel,1,4,231598 PK,Bar Value,N,With enhanced 100mm handheld shower,Easy-clean nozzles,Switches effortlessly between 4x spray settings via push button,Separate temperature and flow controls,Precision thermostatic control,Maximum temperature stop,Mira Cool Shield technology prevents hot touchpoints,"Works with any system, at any pressure",Guaranteed performance thanks to Mira Magni-flo technology,Matte black finish,Rigorous testing to guarantee long-lasting performance even in hard water,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,PD77218,Bristan Prism dual control valve,Bristan,348.45,"The modern Bristan Prism recessed concealed shower valve is built for effortless, fingertip touch use and easy cleaning. Designed to fit in any UK wall cavity, requiring a cavity space of just 35mm, and front accessible for servicing, the Prism is a great selection for small bathrooms.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Bristan Prism dual control valve,,Concealing plate;2x handles;4x shrouds;2x screws;Valve body;2x valve body fixings;2x inserts;2x flow regulators;2x filter washers;Wall outlet,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/18/NW-D77218_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Bristan_Prism_PM2_SHCVO_C_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/al/Bristan_DualCtrl_Shower_Valve_Instal.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Bristan_Prism_PM2_SHCVO_C_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,PD61372,Mira Realm thermostatic exposed variable diverter exposed rigid diverter,Mira,426.49,"The traditional, ceramic-handled design of the Mira Realm ERD shower mixer with diverter, supplied with an extra-large chrome showerhead and handheld shower, is the perfect combination of timeless style and modern luxury. This shower includes a range of safety features, compatibility with all pressure systems and provides easy fitting on reversed inlet supplies.",Showering/Showers/Mixer Showers/Mixer Showers.csv -> Mira Realm thermostatic exposed variable diverter exposed rigid diverter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/72/NW-D61372_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ar/es/Mira_Realm_ERD_Drw_Spares.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Realm_ERD_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Mira_Realm_Guide_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Mira_Realm_ERD_Drw_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Mira_ShowersEnclosuresTrays_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
