,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Colour,Flush Type,Warranty,Hazardous,Depth (mm),Overflow Type,Air Pipe Supplied,Inlet Position,Flush Mechanism,Material,Fittings Included,Supplier Product Code,Type,WEEE Compliant,Capacity Litre,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Attachment 3,Range,Feature 7,Feature 8,Attachment 4,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Material Type,Pack Quantity,Sector
28,PB97415,Macdee Hideaway side inlet side outlet cistern plus number 1 lever Chrome Plated,Macdee,74.47,"Designed with a side inlet, the Macdee Hideaway toilet cistern is suitable for installation directly against a flat wall. Made of black plastic, this simple lever-operated cistern with Metro rapid siphon and Silenta three-part ball valve supplies a 6/7/9L single flush.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Macdee Hideaway side inlet side outlet cistern plus number 1 lever Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/15/NW-B97415_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Macdee_Hideaway_Cistern_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/st/ru/Macdee_Hideway_Cistern_Asse_Instru.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,PB90400,Thomas Dudley Elite panel bottom supply bottom outlet cistern 6/9litre White,Thomas Dudley,96.25,"Traditionally designed, this low profile Thomas Dudley Elite plastic toilet cistern is designed to suit a wide range of settings, domestic, local authority and commercial alike. Compatible with close coupled and low level installation, this lever-operated cistern is fitted with a convertible siphon for 6 - 9L flushing while a one piece Dudley Duo flush siphon is additionally supplied as standard, providing a full and water-saving reduced flush.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Elite panel bottom supply bottom outlet cistern 6/9litre White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/00/NW-B90400_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_LightDutyCisterns_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,PB96200,Macdee Elan low level side inlet side outlet cistern White,Macdee,50.98,"Designed with a side inlet, the Macdee Elan toilet cistern is suitable for installation directly against a flat wall. Made of white polystyrene, this simple lever-operated cistern supplies a 6/7/9L single flush.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Macdee Elan low level side inlet side outlet cistern White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/00/NW-B96200_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Macdee_Cistern_Assembly_Instructions.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,PB90332,Thomas Dudley Mirage Auto concealed auto cistern 6/9ltr,Thomas Dudley,71.78,"Ideal for use with commercial urinals, the compact, plastic Thomas Dudley Mirage Auto automatic concealed 6-9L cistern can be effortlessly screwed to a wide range of materials for easy installation.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Mirage Auto concealed auto cistern 6/9ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/32/B90332_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/TDudley_AutomaticCisterns_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,PB47403,"Twyford Alcona AR2342WH Alcona Close coupled cistern, dual flush, 4/2.6ltr, white",Twyford,71.66,The Twyford Alcona flush wise close coupled cistern provides water savings of up to 60% with every 4/2.6L push button flush. This eco-friendly toilet cistern is designed to help reach articles 5 and 6 of the Code For Sustainable Homes.,"Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Twyford Alcona AR2342WH Alcona Close coupled cistern, dual flush, 4/2.6ltr, white",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/03/NW-B47401_B47403_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Twyford_967362000_Instruction.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_AR2342WH_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,PB90482,Thomas Dudley Vantage single flush round button 73.5mm Chrome Plated,Thomas Dudley,27.35,A Thomas Dudley Vantage chrome-finish single flush button for use in a range of cisterns.,Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Vantage single flush round button 73.5mm Chrome Plated,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/04/82/NW-B90482_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Thomas_Dudley_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,PU94955,"Geberit Delta Geberit Delta concealed cistern, 6/3 litres, with flush plate Delta20 gloss chrome-plated 12 cm (1)",Geberit,146.58,"Easy to install and highly durable, the Geberit Delta 6/3L dual flush concealed cistern, supplied with the Delta20 chrome-plated 120mm flush plate, is built for a lifetime of trouble-free use. Manufactured in tried-and-tested materials, this cistern is the result of 60+ years of Geberit research and development, ensuring a functional, reliable and simple bathroom product that gets the job done.","Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Geberit Delta Geberit Delta concealed cistern, 6/3 litres, with flush plate Delta20 gloss chrome-plated 12 cm (1)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/55/U94955_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/U94955_Tech_Sheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/U94955_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wr/as/U94955_WRAS.pdf,,,,,,,,,,,,,,,
35,PU96825,"Geberit low-height furniture cistern, 6/3 litres, pneumatic flush for single or dual flush buttons",Geberit,55.91,"Suitable for installation with back-to-wall or floor-mounted toilets, the Geberit 6/3L concealed low height in-furniture cistern allows for neat concealed fitting into bathroom furniture. This cistern has a bottom left water supply connection and a factory set flush volume of 5.8L. Offering complete compatibility with all pneumatic flush buttons, the cistern is supplied with a 90° flush bend and fastening materials for ease of installation.","Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Geberit low-height furniture cistern, 6/3 litres, pneumatic flush for single or dual flush buttons",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/U96825_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/U96825_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/U96825_Tech_Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,PD04659,Ideal Standard Tempo close coupled dual flush cistern 4/2.6ltr White,Ideal Standard,98.1,"Offering a 4/2.6L push button operated dual flush, the Ideal Standard Tempo bottom inlet close-coupled cistern is made of a robust vitreous china with a smart white gloss finish.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Ideal Standard Tempo close coupled dual flush cistern 4/2.6ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/59/NW-D04659_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/IS_T427101_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,PB90331,Thomas Dudley Mirage Auto concealed auto cistern 4.5ltr,Thomas Dudley,68.89,"Ideal for use with commercial urinals, the compact, plastic Thomas Dudley Mirage Auto automatic concealed 4.5L cistern can be effortlessly screwed to a wide range of materials for easy installation.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Mirage Auto concealed auto cistern 4.5ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/31/B90331_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/TDudley_AutomaticCisterns_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,PB98077,"Thomas Dudley Vantage dual flush concealed cistern with side inlet, flushbend, no button, no poly-jacket",Thomas Dudley,125.34,"Offering fast and stress-free installation, this Thomas Dudley Vantage concealed dual flush toilet cistern is supplied factory assembled and incorporates a push-fit flush bend and inlet elbow. With the option to install the push button up to 750mm away, this cistern is designed for flexibility.","Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Vantage dual flush concealed cistern with side inlet, flushbend, no button, no poly-jacket",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/80/77/B98077_wm.jpg,,,White,Dual Flush,3 Years,N,125,Internal,No,Side,Button,Polyethylene,Yes,313330W,Cistern,N,,"Supplied factory assembled for quick, easy installation",WRAS approved Dudley Niagara flushing valve,WRAS approved Dudley Hydroflo quiet inlet valve,Push-fit water inlet elbow,Push-fit flush bend,Integral isolating valve,,Vantage,"Air tubes enable button, plate or sensor to be installed up to 750mm away from cistern",Front and top access panels,,Unique cistern fixing brackets,No need to cut access holes into vanity tops,Side inlet,Cistern body in high density polyethylene,Internal overflow warning,Internal parts comply with the Regulator's Specification,White polyethylene,,,,
39,PJ57817,Twyford Option Dual flush lever cistern White,Twyford,64.06,"Twyford Option provides a series of fully adaptable and durable products that are not only affordable, but offer stylish bathroom solutions. Operated via a simple button, this Twyford Option 455mm close-coupled white ceramic cistern offers a 4/6L dual flush. Combine with Twyford Option CC Pan & Seat.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Twyford Option Dual flush lever cistern White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/J57817_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Twyford_Option_Drawing.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/J57817_Dimensions.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_Option_CC_WC_Technical.pdf,,,,,,,,,,,,,,,
40,PB90000,Thomas Dudley Elite single duo flush cistern 6/9ltr White,Thomas Dudley,91.42,The water saving Thomas Dudley Elite plastic panel cistern is ideal for light-to-medium duty domestic and commercial use.,Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Elite single duo flush cistern 6/9ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/00/B90000_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/17/Thomas_Dudley_Brochure_2017.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,PJ57807,Twyford Option Lever cistern White,Twyford,64.06,This Twyford Option 455mm close-coupled white ceramic cistern offers 6L single flush operated via a simple chrome plated lever. Combine with Twyford Option CC Pan & Seat.,Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Twyford Option Lever cistern White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/J57807_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/J57807_Dimensions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Twyford_Option_Drawing.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_Option_CC_WC_Technical.pdf,,,,,,,,,,,,,,,
42,PB96400,Macdee Elan low level bottom inlet bottom outlet cistern White,Macdee,54.92,"Designed with a bottom inlet, the Macdee Elan toilet cistern is suitable for installation directly against a flat wall. Made of white polystyrene, this simple lever-operated cistern supplies a 6/7/9L single flush.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Macdee Elan low level bottom inlet bottom outlet cistern White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/00/NW-B96400_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Macdee_Cistern_Assembly_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Macdee_Elan_CFE51WH_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,PD02396,Ideal Standard Sandringham 21 bottom inlet supply internal overflow 75cm projection cistern White,Ideal Standard,127.8,"Offering convenient use for all, this Ideal Standard Sandringham 21 bottom supply toilet cistern has a comfortable 750mm projection and a tactile spatula lever. Made of a hardwearing white vitreous china, this smart loo provides a 6L single flush.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Ideal Standard Sandringham 21 bottom inlet supply internal overflow 75cm projection cistern White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/96/NW-D02396_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E883401_WC_Pan_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Commercial_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,PB90320,Thomas Dudley Tri-Shell side supply overflow high pressure/low pressure high level cistern White,Thomas Dudley,108.49,"Highly robust, the Thomas Dudley high Tri-Shell is a heavy-duty white plastic toilet cistern with single lever-operated flush and side inlet.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Tri-Shell side supply overflow high pressure/low pressure high level cistern White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/03/20/NW-B90320_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_HDutyCisterns_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,PD02406,Ideal Standard Sandringham 21 dual flush cistern with back inlet 4/2.6ltr White,Ideal Standard,63.95,This Ideal Standard Sandringham 21 close coupled bottom inlet cistern has a 4/2.6L dual flush operated via push button and a smart high gloss vitreous china build.,Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Ideal Standard Sandringham 21 dual flush cistern with back inlet 4/2.6ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/06/NW-D02406_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E896301_WC_Pan_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PD12095,Roca Havana cistern with internals 6/3ltr,Roca,53.78,"Made of white vitreous china, the robust Roca Havana top inlet toilet cistern is supplied with all internals for convenient installation. Button-operated, this cistern has a 6/3L flushing capacity.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Roca Havana cistern with internals 6/3ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/95/NW-D12095_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Roca_Primary_Collection_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,PB61734,Nabis Lamone push button cistern close coupled pan WRAS,Nabis,29.26,"Made of white vitreous china, this Nabis Lamone close-coupled cistern has a smart, contemporary square design and offers push-button operation.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Nabis Lamone push button cistern close coupled pan WRAS,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/34/NW-B61734_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Nabis_Bathroom_Suites_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Nabis_B61734_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,PJ12953,Grohe Adagio dual flush concealed bottom fill cistern,Grohe,66.59,"The Grohe Adagio cistern features EcoJoy technology, reducing water consumption by up to 50% with no loss of performance. Supplied from the bottom, this dual flush cistern is fitted with a bright, easy-clean StarLight chrome finished round push button with Eco flush and a long Bowden cable for flexible positioning. This toilet cistern is supplied with fixing brackets, flush pipe and inlet connector.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Grohe Adagio dual flush concealed bottom fill cistern,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/54/NW-J12953_J12954_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Grohe_39053000_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,PT86962,"Roca Dual flush 4,5/3L WC cistern with bottom inlet",Roca,211.49,The Roca Ona 4.5/3L dual flush close-coupled toilet cistern with bottom inlet has a simple vitreous china build and white finish.,"Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Roca Dual flush 4,5/3L WC cistern with bottom inlet",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/62/T86962_wm.jpg,,,White,4.5/3L,25,N,145,N/A,No,Left,Duel,VC,Yes,A34168C00F,CC,N,4.5 l,Dual flush,Bottom inlet,Vitreous china construction,White finish,25 year warranty,,,,,,,,,,,,,,,,,
50,PJ57806,Twyford Option Push button dual flush cistern White,Twyford,64.06,"Twyford Option provides a series of fully adaptable and durable products that are not only affordable, but offer stylish bathroom solutions. This Twyford Option 380mm close-coupled white ceramic cistern has a 4/6L dual flush operated via a simple chrome push-button. Combine with Twyford Option CC Pan & Seat.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Twyford Option Push button dual flush cistern White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/J57806_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/J57806_Dimensions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Twyford_OT2396WH_Installation.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/wi/ng/Twyford_Option_Drawing.pdf,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Twyford_Option_CC_WC_Technical.pdf,,,,,,,,,,,
51,PD44937,Roca The Gap cistern White,Roca,167.65,"The close coupled Roca The Gap toilet cistern is highly economical, saving water with every flush. This smart cistern flushes from an efficient distributor at the back of the toilet, providing push button-operated 4/2L flushing.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Roca The Gap cistern White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/37/NW-D44937_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Roca_A34173C000_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Roca_A34173C000_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,PB90100,Thomas Dudley Slimline side supply overflow high/low pressue low level cistern 6/9ltr White,Thomas Dudley,77.89,"The versatile Thomas Dudley Slimline toilet cistern is equally suitable for use in the home as for local authority and commercial use. Built in a high impact plastic, this 6 - 9L dual flush, side inlet cistern has a compact profile for use in bathrooms where space is at a premium.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Thomas Dudley Slimline side supply overflow high/low pressue low level cistern 6/9ltr White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/00/NW-B90100_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Thomas Dudley_B90100_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Thomas Dudley_B90100_User Guide.pdf,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/TDudley_LightDutyCisterns_Brochure.pdf,,,,,,,,,,,,,,,
53,PU94990,Geberit Duofix frame WC and sigma C/cistern 12cm,Geberit,366.4,"Supplied complete with fixtures and fittings, the Geberit 1120mm Sigma Duofix frame and concealed cistern is suitable for use in dry wall part-height or room-height pre-wall installations and with wall hung toilet pans with projections of up to 620mm. Manufactured using tried and tested materials, every blow-mould Sigma cistern is leak-tested, giving you peace of mind on fitting. Equipped for installations requiring electrical connections, the Sigma Duofix is compatible with touchless flush plates, shower toilets and air purification devices, any of which can be retrofitted with ease.",Bathrooms and Kitchens/Toilets/Toilet Cisterns/Toilet Cisterns.csv -> Geberit Duofix frame WC and sigma C/cistern 12cm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/U94990_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/U94990_Tech_Sheet.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
