,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Hazardous,Model For Use With,Boiler Section,Boiler Range,Supplier Product Code,Type,WEEE Compliant,Attachment 2,By Model Number,Range For Use With,Feature 1,Feature 2,Feature 3,Feature 4,Part Gas Council number
26,P453751,Alpha gauge,Alpha,40.4,"A genuine Alpha part, this pressure gauge is suitable for use in CB, HE, SY, CD, CDS and C range boilers.  A pressure gauge gives a visual measurement of the pressure in a system. Ordinarily a leak in your system will show as a consistent pressure drop.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha gauge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/51/453751_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CB24_28_Installation.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_SY_Installation.pdf,,,,,,,
27,P195406,Alpha spacing frame (for InTec2),Alpha,67.61,This durable Alpha spacing frame is designed for easy installation of the InTec2.,Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha spacing frame (for InTec2),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/06/195406_wm.jpg,,N,,Connection Parts,E-Tec,3.024610,Spacing Frame,N,,,E-Tec,Official alpha innovation spare,Durable,Value for money,Quality materials,
28,P431778,Alpha flow switch space,Alpha,35.09,"This Alpha spacer is for use in InTec, InTec ErP and Eco units.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha flow switch space,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/78/431778_wm.jpg,,N,"26 C LPG, 24 X, 30 C LPG, 34 C, 26 C, 28 X, 30 C, 24 X LPG, Eco 28 kW, 34 C LPG, 28 X LPG",Heat Exchanger,"InTec Range, InTec ErP Range, Eco Range",1.028642,Spacer,N,,"26 C,30 C LPG,34 C,30C,Eco 28 kW,28 X,28 X LPG,24 X LPG,26 C LPG,34 C LPG,24 X",,,,,,
29,P449836,Alpha pressure switch,Alpha,65.27,"This Alpha air pressure switch is a suitable spare for CB and SY range boilers.  A vital safety device, an air pressure switch ensures the boiler fan is working correctly and prevents a build up of toxic gases with no means of venting them in case of a fan failure. The unit's PCB closely monitors the air pressure switch to ensure it's fully functional before firing the system up, keeping the appliance from starting without the presence and operation of key safety features.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/36/449836_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CB24_CB24X_Installation.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CB24_28_Installation.pdf,,,,,,,
30,P453784,Alpha flow switch,Alpha,47.98,"This flow switch is designed for Alpha's C, CD, CDX, District Heating and HE range boilers  The flow switch has an inbuilt sensor that sits inside heating or hot water system pipework as an important safety mechanism. Designed to sense water flow, the switch feeds information to the boiler's printed circuit board (PCB) to ensure that the burner is not activated when the system is low on water or dry.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha flow switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/84/453784_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CD25_Installation.pdf,,,,,,,,,,,,,,,
31,P453759,"Alpha isolating valve with return cock 3/4""",Alpha,39.35,"An Alpha brand spare, this brass 3/4"" isolation valve is suitable for C, CB, CD, CDS, HE, SY and Cyclone Plus boilers.  Usually situated underneath heating appliances, the isolation valve lets the user regulate the flow of gas and water into a central heating system. It also allows the user to stop the flow in case of a leak or emergency.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.","Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha isolating valve with return cock 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/59/453759_wm.jpg,,N,"C 23, C 23 LPG, C 27, C 27 LPG, CB 24, CB 24 LPG, CB 24X, CB 24X LPG, CB 28, CB 28 LPG, CB 28X, CB 28X LPG, CB 50, CB 50 LPG, CD 13R, CD 13R LPG, CD 18R, CD 18R LPG, CD 18S, CD 18S LPG, CD 24C, CD 24C LPG, CD 24R, CD 24R LPG, CD 24S, CD 24S LPG, CD 30S,",Isolation Valve,"C Range, CB Range, CD Range, CDS Range, HE Range, SY Range, Cyclone Plus",1.015491,Isolation Valve,N,,,,,,,,
32,P449843,Alpha diverter valve,Alpha,135.61,"This Alpha diverter valve assembly is suitable for use in HE, CB and CD range appliances.  A directional water device in combi boilers, a diverter valve directs hot water into either a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha diverter valve,,Valve assembly,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/43/449843_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_C_Installation.pdf,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CB24_28_Installation.pdf,,,,,,,
33,P454385,Alpha brass pressure switch,Alpha,32.24,"This Alpha pressure switch, in grey, is a suitable spare for ProTec, C, CB, CDS, CD, CDX, HE, District Heating and SY range  boilers.  A vital safety device, a pressure switch ensures the boiler fan is working correctly and prevents a build up of pressure. The unit's PCB closely monitors pressure switches to ensure they're fully functional before firing the system up, keeping the appliance from starting without the presence and operation of key safety features.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha brass pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/85/454385_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CB24_28_Installation.pdf,,,,,,,,,,,,,,,
34,P454163,Alpha flame sensing electrode,Alpha,29.06,"This Alpha flame sensing electrode is a spare part for CD, CDS and CDX range boilers.  Flame sensing electrodes are responsible for checking if there is a flame present in the burner to make sure that the boiler doesn't keep supplying gas without a flame.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha flame sensing electrode,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/63/454163_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_C_Installation.pdf,,,,,,,,,,,,,,,
35,P465869,Alpha automatic air vent,Alpha,23.42,"This air vent is a genuine replacement part for Alpha CD, CDS, HE and CDX boilers.  A central heating safety device, the air vent releases built up air. As water flows through the system, a float opens or closes the vent depending on the water level. When the system is full the float is pushed to the top, closing the vent until the water level drops.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha automatic air vent,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/69/465869_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CD25_Installation.pdf,,,,,,,,,,,,,,,
36,P468322,Alpha primary pressure switch,Alpha,24.64,"This Alpha brand primary pressure switch is a replacement part suitable for use in E-Tec, InTec, Eco, Evoke, InTec2 and InTec ErP boilers.  Pressure sensors control internal water, gas and air pressure inside a boiler or closed system.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha primary pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/22/468322_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_Eco_Installation.pdf,,,,,,,,,,,,,,,
37,P465865,Alpha boiler complete seal kit,Alpha,38.87,"This boiler complete gas valve seal kit contains seals, gaskets, washers and O-rings and is for use in boilers in Alpha's CD ranges.  Seals are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha boiler complete seal kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/65/465865_wm.jpg,,N,"CD 25C, CD 28C LPG, CD 28C, CD 28C Extra, CD 28C Extra LPG, CD 25C LPG, CD 35C, CD 35C LPG",Gas Assembly,CD Range,3.018595,Seal Kit,N,,"CD 35C,CD 28C Extra,CD 25C,CD 28C LPG,CD 25C LPG,CD 28C Extra LPG,CD 28C,CD 35C LPG",,,,,,
38,P454172,Alpha complete condensate trap,Alpha,29.93,"A complete condensate trap for Alpha's CD, CDS, InTec, Eco, InTec ErP and CDX ranges.  The condensate trap holds discharge that accumulates in the primary heating or cooling system caused by changes in pressure and temperature. A discharge pipe connected to the condensate trap sends held water out of the property. The pipe is usually plastic because the condensate can contain low levels of acid due to CO2 from the combustion process dissolving in the water.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha complete condensate trap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/72/454172_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CD_Installation.pdf,,,,,,,,,,,,,,,
39,P465872,"Alpha isolation valve 3/4""",Alpha,47.32,"An Alpha brand spare, this isolation valve is suitable for CD, CDS, Eco, E-Tec, InTec, InTec2, CDX, InTec ErP, HE, PremierPack and FlowSmart boilers.  Usually situated underneath heating appliances, the isolation valve lets the user regulate the flow of gas and water into a central heating system. It also allows the user to stop the flow in case of a leak or emergency.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.","Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha isolation valve 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/72/465872_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_Cyclone_Plus_Installation.pdf,,,,,,,,,,,,,,,
40,P435397,Alpha cold inlet block,Alpha,46.06,"This Alpha cold inlet block is a replacement part for use in the hydraulics of InTec, Eco, E-Tec, InTec ErP, InTec2 and Evoke boilers.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha cold inlet block,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/97/435397_wm.jpg,,N,"40 GS LPG, Eco 28 kW, 28 LPG, 33, Plus 28, Plus 28 LPG, 30 C LPG, 40GS2, 28 X, 30 C LPG, 30 GS LPG, 34 C, 34 C LPG, 35 CE, 34 C, 34 C LPG, 40 GS, 26 CE, Eco2 28 kW, 33 LPG, 30 C, 24 X, 24 X LPG, 30 GS, 25 X, 30 CE, 28, 28 LPG, 33, 30 GS, 30 GS LPG, 40 GS",Hydraulics,"InTec Range, Eco Range, E-Tec Range, InTec ErP Range, InTec2 Range, Evoke Range",1.028647,Cold Inlet Block,N,,,,,,,,
41,P465885,Alpha pressure gauge,Alpha,32.05,"A genuine Alpha part, this pressure gauge is suitable for use in InTec ErP, InTec, CD, CDS, CDX, HE and Eco range boilers.  A pressure gauge gives a visual measurement of the pressure in a system. Ordinarily a leak in your system will show as a consistent pressure drop.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha pressure gauge,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/85/465885_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_40GS2_Installation.pdf,,,,,,,,,,,,,,,
42,P465827,Alpha circuit seal kit,Alpha,57.63,"This circuit seal kit contains seals, gaskets, washers and O-rings and is for use in boilers in Alpha's CD and CDX ranges.  Seals are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha circuit seal kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/27/465827_wm.jpg,,N,"CD 28C LPG, CD 25X, CD 25X LPG, CD 18R LPG, CD 35C, CD 28X LPG, CD 24R LPG, CD 25C, CD 25C LPG, CD 24R, CD 28C Extra, CD 13R, CD 13R LPG, CD 28C, CD 35C LPG, CD 18R, CD 28C Extra LPG, CD 28X",Casing,"CD Range, CDX Range",3.016823,Seal Kit,N,,"CD 35C,CD 28C Extra,CD 25X LPG,CD 25C,CD 13R LPG,CD 24R LPG,CD 28X LPG,CD 18R,CD 18R LPG,CD 28X,CD 28C LPG,CD 24R,CD 13R,CD 25X,CD 25C LPG,CD 28C Extra LPG,CD 28C,CD 35C LPG",,,,,,H45485
43,P453803,Alpha isolating valve,Alpha,16.55,"An Alpha brand spare, this isolation valve is suitable for C, CB, CD and HE range boilers.  Usually situated underneath heating appliances, the isolation valve lets the user regulate the flow of gas and water into a central heating system. It also allows the user to stop the flow in case of a leak or emergency.  As the UK’s leading parts specialist, Wolseley carry the widest range of spares, stocking all the big name brands for the trade. Now, to give our customers even more support, we’re adding a greater number of specified parts from leading manufacturers into our branches with the introduction of the Wolseley Branch Parts Accreditation Scheme. Many branches will now be Silver and Gold accredited, a sign that they hold more stock than anyone else, so you can be confident you’ll get the parts you need to fix it first time. Fast.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha isolating valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/03/453803_wm.jpg,,N,"C 23, CB 24, CB 24X, CD 28C, CD 28C LPG, CD 32C, C 27, CD 25C, CD 28C Extra, CD 35C, C 27 LPG, CB 28 LPG, CB 50 LPG, C 23 LPG, CD 24C, CD 24C LPG, CD 25C LPG, CD 50 LPG, HE CB 25, HE CB 25 LPG, HE CB 33, CB 24X LPG, CB 50, CD 35C LPG, CB 24 LPG, CD 32C L",Isolation Valve,"C Range, CB Range, CD Range, HE Range",1.015421,Isolation Valve,N,,"CD 35C,CD 25C,C23,CB 28X LPG,C 23 LPG,HE CB 25,HE CB 33,CD 32C LPG,CB 24X,CB 28X,CD 24C LPG,CD 28C Extra LPG,C 27,CD 24C,CD 28C Extra,CB 24X LPG,CB 28,CD 2,HE CB 33 LPG,CB 24,CB 50,CD 25C LPG,HE CB 25 LPG,CD 50 LPG,C 27 LPG,CB 24 LPG,CB 50 LPG,CB 28 LPG",,,,,,
44,P468435,Alpha 1.028395 dhw temperature sensor,Alpha,18.5,"An Alpha brand NTC probe for the control panel of Eco, Intec, Intec 2 and Intec ErP boilers.  The boiler control panel usually features control knobs and a digital display for switching the boiler on and off, viewing fault info and setting modes.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha 1.028395 dhw temperature sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/35/468435_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_InTec2_25XE_28XE_Installation.pdf,,,,,,,,,,,,,,,
45,P449852,Alpha water and gas valve seal kit,Alpha,12.53,"This seal kit is supplied with O-rings, seals, gaskets and washers for use in the casing of boilers in Alpha's C, CB, CDS, HE, CD, SY, PremierPack and CDX ranges.  Seals are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha water and gas valve seal kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/52/449852_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CB24_Installation.pdf,,,,,,,,,,,,,,,
46,P449830,Alpha safety valve,Alpha,21.54,"An Alpha brand part, this 3 bar pressure relief valve is suitable for CD, CDS, CB, HE, C and SY range units.  Fitted to the boiler, these valves help to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha safety valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/30/449830_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_C_Installation.pdf,,,,,,,,,,,,,,,
47,P468310,Alpha flue temperature sensor,Alpha,23.82,"This Alpha flue temperature sensor is suitable for boilers in the brand's CDS, CDX, E-Tec, Evoke, InTec ErP, InTec and Eco ranges.  A boiler flue is the outlet through which steam and toxic gases resulting from the boiler's normal operation are safely expelled. Different models of flue are chosen to suit the type and location of the appliance.  We carry over 300 of the most in demand parts in-branch and stock over 25,000 spare parts available for next-day timed delivery.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha flue temperature sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/83/10/468310_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_Eco_Installation.pdf,,,,,,,,,,,,,,,
48,P452321,Alpha CB28 seal kit,Alpha,9.62,"This seal kit is supplied with mixed O-rings, seals and washers for use in the pump and heat exchanger of boilers in Alpha's C, CB, CDS, CD and SY ranges.  Seals are used in many different areas of the boiler to join parts to pipework. Among others sections, heat exchangers and gas valves require these parts to prevent gas and water leaks.  As the leading supplier of parts for all the major boiler manufacturers we’ve got a wealth of experience and knowledge in this area, and with over 450 branches we carry more heating spare parts in more places than any other merchant to help you improve your first time fix rate.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha CB28 seal kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/23/21/452321_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CB24_Installation.pdf,,,,,,,,,,,,,,,
49,P449921,Alpha CB24 diaphagm kit,Alpha,32.37,"An Alpha DHW diaphragm seal kit for use in the diverter valve section of Alpha's CB, HE, CD and SY range boilers.  A directional water device in combi boilers, a diverter valve directs hot water into either a heating system or a hot water system. This feature means that combis are able to provide both heating and hot water without the need for a storage cylinder. This diaphragm is designed to move a pin to operate a microswitch that sends a message to the boiler's PCB (printed circuit board).  To help you find the right parts for your jobs, go to the industry leading parts identification tool, PartsArena, giving you quick access to over 20,000 exploded diagrams, 10,000 images & 20,000 products. FREE to Wolseley trade account customers.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha CB24 diaphagm kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/21/449921_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_CB24_Installation.pdf,,,,,,,,,,,,,,,
50,P468430,Alpha safety relief valve 3bar,Alpha,31.33,"A genuine Alpha spare, this safety relief valve, sometimes referred to as a pressure relief valve, is compatible with InTec2, E-Tec, Evoke and Eco boilers.  The pressure relief valve helps to control pressure in a closed system by proportionally opening to relieve excess pressure, preventing catastrophic malfunction.  We know you’re busy and need to get repair jobs done quickly and efficiently. Your local parts specialist is always on hand to support you. They offer help, advice and they can get you the part you need.  Your local branch stocks an in-depth range of domestic gas and oil spare parts from leading manufacturers, so you can fix it first time.",Parts and Spares/Domestic Boiler Parts/Alpha Boiler Parts/Alpha Boiler Parts.csv -> Alpha safety relief valve 3bar,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/30/468430_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Alpha_E-Tec_28_33_Installation.pdf,,,,,,,,,,,,,,,
