,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Range,Voltage (V),Warranty,Weight,Hazardous,Sound Power Level (Indoors),Output,Depth (mm),Mounting Type,Compressor Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 1,Attachment 2,Capacity Litre,Feature 8,Attachment 3,Attachment 4,Colour,Projection Depth,Style,Watts,Fuel Source,Material,Orientation,Shape,Wall to Centre Tapping,BTU h,Feature 9,Feature 10,Feature 11,Attachment 5,Diameter,Feature 12,Feature 13,Feature 14,Connection Type,Pressure,Overheat Protection,Direct / Indirect,Insulation Type,Application,Pack Quantity,Area (m2),Attachment 6,Refrigerant Suitability
42,P276291,Stelrad Compact K3 K3 radiator 700 x 700mm,Stelrad,187.42,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 700 x 700mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Renewables/Renewables.csv -> Stelrad Compact K3 K3 radiator 700 x 700mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,P506188,"Intatec 2 pack 750mm pre insulated hoses 1"" female swivel elbow x 28mm",Intatec,117.11,"Helping installers to meet building regs Part L, this Intatec 750mm pre-insulated hose with 1"" female swivel elbow x 28mm connection helps to reduce heat loss while maintaining the COP and SCOP of an ASHP system, maximising efficiency and minimising running costs. Thanks to a water-resistant finish, this outdoor suitable hose will not absorb moisture, an issue which can result in further heat losses.","Renewables/Renewables.csv -> Intatec 2 pack 750mm pre insulated hoses 1"" female swivel elbow x 28mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/88/506188_wm.jpg,,N/A,2 years,22 kg,N,,,780,Pipework,,HPHOSE750B,Heat Pump,N,Pre-insulated to reduce system heat loss,Supplied in pairs for flow and return,Connects directly to heat pump,Additional insulation provided for connections,Water and UV-resistan for all weather use,"Must be inspected annually and retreated, with joints resealed if necessary",Joints should be bonded and sealed correctly to prevent capillary traction,,,,2 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,P276264,Stelrad Compact K3 K3 radiator 500 x 700mm,Stelrad,153.13,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 700 x 500mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Renewables/Renewables.csv -> Stelrad Compact K3 K3 radiator 500 x 700mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/62/67/NW-276261_276267_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,P439017,Gledhill A-class main control PCB,Gledhill,296.32,"A genuine Gledhill part, this main control PCB is suitable for BoilerMate A-Class and Gulfstream A-Class cylinders. The control centre of a boiler, the printed circuit board (PCB) monitors and controls every process occurring throughout a system via switches, thermostats and sensors. It enforces safety measures too, shutting down boiler functions if internal readings indicate any fault such as high pressure or low water levels.",Renewables/Renewables.csv -> Gledhill A-class main control PCB,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/17/NW-439017_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Gledhill_Benchmark_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,P635921,Grant Aerona 3 wiring centre,Grant,149.08,This Grant Aerona³ wiring centre is compatible with the brand's Aerona³ heat pump systems.,Renewables/Renewables.csv -> Grant Aerona 3 wiring centre,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/21/635921_wm.jpg,Aerona,N/A,Subject to T&C'S,0.9,,,,219,N/A,,,,,For use with Grant Aerona³ heat pump systems,Warranty subject to T&Cs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,P612244,Pump House TR-WC-140-B ASHP trunking - wall cover 140mm Black,Pump House,25.28,"Supplying a neat professional finish, this Pump House ASHP trunking wall cover is made of fade-resistant black PVC. Suitable for both insulated flow and return pipework, this 140mm width trunking also accommodates all associated cables.",Renewables/Renewables.csv -> Pump House TR-WC-140-B ASHP trunking - wall cover 140mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/22/44/612244_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Pumphouse_RAC_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Pump_House_ASHP_Trunking_Tech.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/PumpHouse_ASHP_Extnl_Trunking_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Heating_Catalogue_2016.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/ASHP_Trunking_DataSheet.pdf,,,,,,,,,,,,,,
48,PD64322,Intatec Solar thermostatic mixer valve 22mm,Intatec,142.51,"This Intatec Solar 22mm thermostatic solar rated mixing valve works to reduce the temperature of solar heated domestic hot water to ensure safe, scald-free use. Specifically designed to function with a constant high temperature hot water supply, this valve is ideal for use alongside domestic hot water cylinders.",Renewables/Renewables.csv -> Intatec Solar thermostatic mixer valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/22/D64322_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intatec_Solar_TMV_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Intaeco_5.11MixValve_Installation.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Intatec_Brochure_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intaeco_SolarVert_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P506185,Inta BY-Pass Valves ABPS28CP straight auto bypass valve 28 mm,Inta,19.68,"Designed to stabilise circulation, flow rate and pump pressure in a heating system, this Intatec automatic differential bypass valve with compression connections ensures that circulation continues even where radiators are closed.",Renewables/Renewables.csv -> Inta BY-Pass Valves ABPS28CP straight auto bypass valve 28 mm,,ValveInstructions,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/85/506185_wm.jpg,BY-Pass Valves,N/A,2 years,367g,N,,,95,PipeCompression,,ABPS28CP,Heat Pump Accessory,N,Clear dial,Easy adjustment,Differential pressure range of 0.1 - 0.5 bar,Available with 22mm or 28mm straight or angled connections,"Stabilises circulation, flow rate and pump pressure",2 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,P276280,Stelrad Compact K3 K3 radiator 600 x 900mm,Stelrad,206.82,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 900 x 600mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Renewables/Renewables.csv -> Stelrad Compact K3 K3 radiator 600 x 900mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,P117545,Worcester Bosch Greenskies additional collector sensor,Worcester Bosch,42.53,"This Worcester Bosch Greenskies additional collector sensor is a part for the Greenskies standard roof kit, offering compatibility with both the Solar Lifestyle and Solar Lito panels.",Renewables/Renewables.csv -> Worcester Bosch Greenskies additional collector sensor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/45/117545_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Worcester_Greenskies_Solartherm_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Worcester_Solar Thermal_Technical.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Worcester_Oil-Fired_Solar_Guide_2014.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Worcester_Renewable_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,P131049,"Joule HZK0Y000001F Y pattern strainer HP isolation 1""",Joule,20.52,"A Joule HZK0Y000001F 1"" Y pattern HP isolation strainer.","Renewables/Renewables.csv -> Joule HZK0Y000001F Y pattern strainer HP isolation 1""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/49/131049_wm.jpg,,,,,N,,,,,,HZK0Y000001F,,N,Prevents disruption and potential damage caused by debris in the system,Safeguards solenoid valves and other mechanical equipment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,PT21894,Panasonic Aquarea PAW-TS1 tanks sensor with cable 6mtr,Panasonic,37.05,"This Panasonic Aquarea PAW-TS1 water tank sensor, or thermistor, is supplied complete with a connection lead and a copper sensor pocket.",Renewables/Renewables.csv -> Panasonic Aquarea PAW-TS1 tanks sensor with cable 6mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/18/94/T21894_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Panasonic_Renewables_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,P613592,Diversitech SpeediChannel 230-WC4 wall cover 105 mm,Diversitech,9.74,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-WC4 105mm wall penetration cover is used to provide a clean transition from the channel to a through-wall penetration. The sleeve ensures a clean hole while the cover conceals the lineset. Screws are included for ease of fitting.",Renewables/Renewables.csv -> Diversitech SpeediChannel 230-WC4 wall cover 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/92/613592_wm.jpg,SpeediChannel,,,,N,,,,,,230-WC4,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,P613556,Diversitech SpeediChannel 230-DE4 duct end 105 mm,Diversitech,4.73,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-DE4 105mm duct end terminates the run of a channel, converting it to a smaller opening large enough to allow the lineset and condensate drain line to pass through.",Renewables/Renewables.csv -> Diversitech SpeediChannel 230-DE4 duct end 105 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/56/613556_wm.jpg,SpeediChannel,,,,N,,,,,,230-DE4,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,P613565,Diversitech SpeediChannel 230-EIN4W outside elbow 90 degree 105 mm White,Diversitech,9.87,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-EIN4W 105mm 90° outside elbow routes a lineset around a corner. Individually packed, this elbow is supplied with screws for ease of fixing.",Renewables/Renewables.csv -> Diversitech SpeediChannel 230-EIN4W outside elbow 90 degree 105 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/65/613565_wm.jpg,SpeediChannel,,,,N,,,,,,230-EIN4W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,White colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,P613551,Diversitech SpeediChannel 230-DC3W duct cap 70 mm White,Diversitech,2.57,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-DC3W 70mm duct cap is used to securely cap the end of a channel.",Renewables/Renewables.csv -> Diversitech SpeediChannel 230-DC3W duct cap 70 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/51/613551_wm.jpg,SpeediChannel,,,,N,,,,,,230-DC3W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,White colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,P648498,Solis EH1 Solis 6kW Hybrid 5G Inverter,Solis,1377.05,TBC,Renewables/Renewables.csv -> Solis EH1 Solis 6kW Hybrid 5G Inverter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/98/648498_wm.jpg,,,1,22,N,,6 kW,,,,16114,,N,Fan less design IP65,BMS function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,P648465,"SolarEdge 4,000W Home Wave Inverter - Single Phase",SolarEdge,1112.59,TBC,"Renewables/Renewables.csv -> SolarEdge 4,000W Home Wave Inverter - Single Phase",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/65/648465_wm.jpg,,,1,9,N,,4 kW,,,,20984,,N,Built-in safety features to protect yout installation,Fault detection,Arc Fault Circuit Interrupter,Simple plug and play installation and commissioning with SetApp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,P613579,Diversitech SpeediChannel 230-FR3W flat rosette 70 mm White,Diversitech,2.43,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-FR3W 70mm flat wall rosette or escutcheon covers an unsightly opening in a soffit, wall or ceiling. One side of the rosette is flat to allow for a channel run to pass through to an adjacent wall or ceiling.",Renewables/Renewables.csv -> Diversitech SpeediChannel 230-FR3W flat rosette 70 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/79/613579_wm.jpg,SpeediChannel,,,,N,,,,,,230-FR3W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Two-part construction snaps onto channel,White colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,P648497,Solis EH1 Solis 5kW Hybrid 5G Inverter,Solis,1251.14,TBC,Renewables/Renewables.csv -> Solis EH1 Solis 5kW Hybrid 5G Inverter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/97/648497_wm.jpg,,,1,21.5,N,,5 kW,,,,16232,,N,Fan less design IP65,BMS function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,P122886,Grant 2-port high temperature valve 22mm,Grant,103.97,This Grant 22mm two-port high temperature valve is an accessory designed to complement the brand's solar thermal range.,Renewables/Renewables.csv -> Grant 2-port high temperature valve 22mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/28/86/122886_wm.jpg,,,,,N,,,,,,GS222014A,Temperature Valve,N,With 2x ports,For use with Grant solar systems,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,P648474,Solis S6 Mini 2kW 1MPPT 1Ph Inverter,Solis,406.29,TBC,Renewables/Renewables.csv -> Solis S6 Mini 2kW 1MPPT 1Ph Inverter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/74/648474_wm.jpg,,,1,7.4,N,,2 kW,,,,19537,,N,"Grid Tied Inverter, compact and lightweight",Low dBA,Wide voltage range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,P648473,Solis S6 Mini 1.5kW 1MPPT 1Ph Inverter,Solis,371.46,TBC,Renewables/Renewables.csv -> Solis S6 Mini 1.5kW 1MPPT 1Ph Inverter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/73/648473_wm.jpg,,,1,7.4,N,,15 kW,,,,19536,,N,"Grid Tied Inverter, compact and lightweight",Low dBA,Wide voltage range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,P635931,Grant Aerona 13R32/17R32 R32 smart control kit,Grant,659.42,"A clever solution for heat pump control, the Grant Aerona HPID13R32 and HPID17R32 smart controller kit puts advanced controller technology inside a stylish, easy to operate display unit. Compatible with any Aerona³ air source heat pump, this smart controller can be used to set heating schedules, domestic hot water timings and to adjust room temperatures via a single intuitive fitting.",Renewables/Renewables.csv -> Grant Aerona 13R32/17R32 R32 smart control kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/31/635931_wm.jpg,Aerona,N/A,1 year minimum (Subject to T&C's),77KG,N,,,254,N/A,,HPIDR32SMART1317,ASHP Smart Controls,N,Modern design,Compatible with all Aerona³ ASHPs,Easy to navigate interface,"1 year warranty minimum, subject to T&Cs",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,P276274,Stelrad Compact K3 K3 radiator 500 x 2400mm,Stelrad,611.76,"A popular choice for installation in just about any room, the Stelrad Compact K3 triple panel triple convector radiator is perfectly designed for those domestic or commercial projects where space is limited. Designed to combine smart style with reliability, this 2400 x 500mm radiator offers excellent efficiency, thanks in large part to the precision-welding of the convector onto the waterways. Every Compact is designed with flexible connection options for ease of siting, while robust packaging that remains in place until fitting is complete makes the engineer's job even easier, limiting the risk of damage during transport and installation.",Renewables/Renewables.csv -> Stelrad Compact K3 K3 radiator 500 x 2400mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/00/NW-276269_276300_wm.jpg,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/bo/ok/Stelrad_Specification_Radiator_Book.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Stelrad_Radiator_Book_Jan_2019.pdf,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Stelrad_Compact_K3_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,P613550,Diversitech SpeediChannel 230-DC3 duct cap 70 mm,Diversitech,2.57,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-DC3 70mm duct cap is used to securely cap the end of a channel.",Renewables/Renewables.csv -> Diversitech SpeediChannel 230-DC3 duct cap 70 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/50/613550_wm.jpg,SpeediChannel,,,,N,,,,,,230-DC3,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,P648489,"SolarEdge 3,680W Home Hub Inverter 1Ph",SolarEdge,1297.5,TBC,"Renewables/Renewables.csv -> SolarEdge 3,680W Home Hub Inverter 1Ph",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/89/648489_wm.jpg,,,1,12,N,,3.68 kW,,,,22338,,N,Built-in safety features to protect yout installation,Fault detection,Arc Fault Circuit Interrupter,Simple plug and play installation and commissioning with SetApp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,P648464,"SolarEdge 3,680W Home Wave Inverter - Single Phase",SolarEdge,946.25,TBC,"Renewables/Renewables.csv -> SolarEdge 3,680W Home Wave Inverter - Single Phase",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/64/648464_wm.jpg,,,1,7.8,N,,3.68 kW,,,,20983,,N,Built-in safety features to protect yout installation,Fault detection,Arc Fault Circuit Interrupter,Simple plug and play installation and commissioning with SetApp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,P613597,Diversitech SpeediChannel 230-WR4W wall rosette 105 mm White,Diversitech,3.17,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-WR4W 105mm wall rosette or escutcheon covers an unsightly opening in a wall or ceiling. With a centred hole to allow for a freestanding channel to pass through, this two-part rosette is designed to simply snap into place on the channel.",Renewables/Renewables.csv -> Diversitech SpeediChannel 230-WR4W wall rosette 105 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/97/613597_wm.jpg,SpeediChannel,,,,N,,,,,,230-WR4W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,White colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,P613591,Diversitech SpeediChannel 230-WC3W wall cover 70 mm White,Diversitech,5.67,"Made of UV-resistant PVC for a long usable life, the DiversiTech SpeediChannel 230-WC3W 70mm wall penetration cover is used to provide a clean transition from the channel to a through-wall penetration. The sleeve ensures a clean hole while the cover conceals the lineset. Screws are included for ease of fitting.",Renewables/Renewables.csv -> Diversitech SpeediChannel 230-WC3W wall cover 70 mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/35/91/613591_wm.jpg,SpeediChannel,,,,N,,,,,,230-WC3W,,N,PVC construction,UV-resistant to resist fading and damage,Paintable finish,Includes stainless steel screws,White colour,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,P648475,Solis S6 Mini 2.5kW 1MPPT 1PH Inverter,Solis,406.29,TBC,Renewables/Renewables.csv -> Solis S6 Mini 2.5kW 1MPPT 1PH Inverter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/75/648475_wm.jpg,,,1,7.7,N,,25 kW,,,,19538,,N,"Grid Tied Inverter, compact and lightweight",Low dBA,Wide voltage range,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,P648494,Solis EH1 Solis 3.6kW Hybrid 5G Inverter,Solis,1206.04,TBC,Renewables/Renewables.csv -> Solis EH1 Solis 3.6kW Hybrid 5G Inverter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/94/648494_wm.jpg,,,1,20.5,N,,36 kW,,,,16262,,N,Fan less design IP65,BMS function,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
