,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Colour,Hazardous,Depth (mm),Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Diameter,Size,Feature 4,Feature 5,Feature 6,Attachment 1,Attachment 2,Range,Attachment 3,Attachment 4,Dimensions mm (H x W x D),Feature 7,Feature 8,Feature 9,Feature 10,Pack Quantity
31,P257450,Center tap hole stopper White,Center,2.22,"Made of high-impact plastic, this Center tap hole stopper, supplied with a locking nut for secure fitting, effectively covers up unwanted tapholes in a basin or sink.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Center tap hole stopper White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/50/257450_wm.jpg,White,N,49.6,Plastic,PPSSTO374512,Tap Hole Stopper,N,Plastic construction,White colour,Easy installation,,,,,,,,,,,,,,,,
32,PC39755,"Thomas Dudley flush grated waste with 1-1/4in, 2-7/16in flange and 89mm slotted tail",Thomas Dudley,12.66,This Thomas Dudley flush grated waste is supplied with both a flange and slotted tail.,"Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Thomas Dudley flush grated waste with 1-1/4in, 2-7/16in flange and 89mm slotted tail",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/55/C39755_wm.jpg,Chrome,N,89,Brass,PSWWAS335004,Backnut,N,Grated design,"With 1 1/4"", 2 - 7/16"" flange",Includes 89mm slotted tail,,,Brass construction,Chrome finish,,,,,,,65 x 65,,,,,
33,PA05447,Nabis Regal spare bracket for A05403,Nabis,1.27,This Nabis Regal bracket is suitable for the fitting of A05403 deck-mounted bath/shower mixers.,Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Nabis Regal spare bracket for A05403,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/47/A05447_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,
34,PA05449,Nabis Regal back nut,Nabis,1.21,"This Nabis Regal replacement backnut is compatible with A05404, A05432, A05410 and A05434 basin taps and A05436 bath taps.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Nabis Regal back nut,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/49/A05449_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,
35,P257449,"Center waste plug 1 3/4"" Black 2 pack",Center,2.6,"Manufactured in a durable high quality polythene, these Center 1 3/4"" black waste plugs, supplied in packs of two, offer long lasting sealing for steel sinks, basins or baths.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Center waste plug 1 3/4"" Black 2 pack",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/49/257449_wm.jpg,Black,N,445,Rubber / Steel,PPSSTO374510,Waste Plug,N,Pack of 2,Polythene rubber construction,Black colour,,,With triangle,,,,,,,,21.5 x 44.5 x 44.5,,,,,
36,PN66498,Ideal Standard i.Life B boxed handrinse basin 450 mm,Ideal Standard,81.5,"Measuring 450mm, this sleek and contemporary Ideal Standard i.life handrinse basin has been designed especially for modern bathrooms. Manufactured in robust china, this elegantly curved sink has a simple glossy white finish.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Ideal Standard i.Life B boxed handrinse basin 450 mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/64/98/N66498_wm.jpg,White,N,380,Vitreous China,E260201,Hand Rinse Basin,N,Designed by Palomba Serafini Associati,Pedestal or semi-pedestal options mounting options,With single taphole,,,Vitreous china construction,White finish,,,,i.Life B,,,,,,,,
37,PA05440,Nabis Regal fixing kit,Nabis,0.79,"This Nabis Regal tap fixing kit is compatible with the A05401 cloakroom basin mono tap as well as A05435, A05414, A05415, A05422 , A05418, A05421 and A05425 basin mixers.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Nabis Regal fixing kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/75/42/597542_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nabis_Tap Spares Matrix_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Nabis_Bathroom_Spare_List.pdf,,,,,,,,,
38,P257482,"Center 1 1/2"" basin plug and 12"" chain",Center,7.26,"This simple Center 12"" chrome basin chain is supplied complete with a plug and triangle. Keeping a plug securely fastened to your sink or basin, this chain has a traditional ball-type design.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Center 1 1/2"" basin plug and 12"" chain",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/82/257482_wm.jpg,Chrome,N,16,Steel,PPSPLU374508,Plug & Chain,N,Steel construction,Chrome-plated finish,With triangle,,,,,,,,,,,,,,,,
39,PC24909,"Ideal Standard swivel plug waste 1.1/4"" Chrome Plated",Ideal Standard,62.69,"This Ideal Standard swivel plug waste in brass with a chrome finish is designed for use in schools, hotels, office and leisure facilities.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Ideal Standard swivel plug waste 1.1/4"" Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/09/NW-C24909_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Commercial_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AShanks_Sanitaryware_Brochure.pdf,,,,,,,,,
40,PC24916,"Ideal Standard brass strainer waste 1.1/2"" Chrome Plated",Ideal Standard,46.94,"An Ideal Standard Armitage Shanks brass strainer waste with chrome finish, designed for use in education, hotel, leisure and healthcare settings.","Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Ideal Standard brass strainer waste 1.1/2"" Chrome Plated",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/16/NW-C24916_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/AShanks_Sanitaryware_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/IS_Commercial_Brochure.pdf,,,,,,,,,
41,PJ89107,Ideal Standard bottom entry inlet valve 9 inch,Ideal Standard,16.23,"An Ideal Standard 9"" bottom entry inlet valve for use on cisterns.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Ideal Standard bottom entry inlet valve 9 inch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/91/07/J89107_wm.jpg,,N,N/A,Plastic,SR03167,Spare,N,For bottom entry,Spare part,,,,,,,,,,,,,,,,,
42,PB16907,Ideal Standard concealed wall hanger brackets Steel,Ideal Standard,2.15,"An Ideal Standard contemporary steel wall hanger, suitable for mounting wash basins.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Ideal Standard concealed wall hanger brackets Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/07/NW-B16907_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/IS_Brassware_Brochr_2014.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/IS_Spares_Catalogue_2019.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E501067_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/IS_E5010_Tech.pdf,,,,,,
43,PB00076,Cramer Bath Repair rubber skin card,Cramer,23.03,"Keep baths looking brand new with this Cramer Bath Repair rubber skin card. This handy accessory cleans away those unsightly metal marks, rust and stubborn stains, limescale marks and glue residue without scratching.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Cramer Bath Repair rubber skin card,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/00/76/NW-B00076_wm.jpg,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Cramer_30303_EN_ES_PT_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Cramer_Salesbook_2016.pdf,,,,,,,,,
44,PE98146,Vado round bottle trap and pipe 1.1/4in x 35mm Chrome,Vado,80.01,"This Vado 1 1/4"" x 35mm round bottle waste trap for basins is finished in a smart, high-shine chrome to help it blend seamlessly into most modern bathrooms.",Parts and Spares/sub_categories/Plumbing Parts and Spares/sub_categories/Bathroom Basin Parts/Bathroom Basin Parts.csv -> Vado round bottle trap and pipe 1.1/4in x 35mm Chrome,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/46/E98146_wm.jpg,Chrome,N,385,Brass,WG-461/RO-CP,Bottle Trap,N,Brass construction,Chrome finish,Bottle-type,,,,,,,,,,,65 x 95 x 385mm,,,,,
