,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Flow Rate,Fuel Type,Range,Warranty,Weight,Energy Rating,Hazardous,Water Heating Energy Efficiency Class,Output,Depth (mm),Boiler Bundles,Efficiency (SAP 2009),Mounting Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Pack Quantity,Attachment 6,Attachment 7,Feature 9,Feature 10,Colour,Feature 11,Feature 12,Feature 13,Feature 14,Feature 15,Feature 16,Feature 17,Seasonal Space Heating Energy Efficiency %,Feature 18,Feature 19,Max Vertical Level Flue Length (metres),Attachment 8,Attachment 9,Rated Heat Output (Prated or Psup),Seasonal Space Heating Energy Efficiency Class
124,P113026,Worcester Bosch Greenstar GR2301IW combi boiler natural gas 25kW,Worcester Bosch,805.99,"Designed for use in small to medium sized single bathroom homes, the reliable Worcester Bosch Greenstar 2000 GR2301iW 25 C NG combi boiler offers ErP A-rated efficiency. Fully modulating right down to 3kW, this 25kW natural gas combi is ideal for homeowners keen to reduce their carbon footprint and their energy bills. Operating at 47dB(A), the easy-install GR2301iW is Quiet Mark accredited, making it suitable for siting in open-plan spaces and small kitchens while compatibility with wireless RF and external 230V controls provides flexibility to suit every household's needs.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Worcester Bosch Greenstar GR2301IW combi boiler natural gas 25kW,,"Hardware pack, hanging braket, isolation valves",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/30/26/113026_wm.jpg,,,,,,10 L/min @ 40°C,Natural Gas,Greenstar,7,36 kg,A,N,A,24 kW,300,,89.4,Wall,7736902326,Combi Boiler,N,Easy installation,With in-line hydraulic and gas connections,With pre-wired mains cable,PRV positioned for a variety of pipe routing options,94% ErP efficiency in central heating,Offers 1:10 modulation range,Minimises gas consumption when heating demand is low,Rear piping accessories available for flexible installation,,,,Compatible with Worcester wireless RF controls and all 230v controls,7 year warranty when installed with system filter,,,,,,,,,,,,,,,,
125,P333691,Intergas HRE 24/18 combi boiler,Intergas,873.0,"With a self-learning eco mode, reduced parts count and a double high efficiency heat exchanger, the Intergas HRE 24/18 compact combi boiler produces reliable heat and hot water with minimal effort. Fitting well into smaller spaces, this compact combi reduces space waste and, with fewer internal parts to maintain, keeps downtime and costs to an absolute minimum. Supplying endless hot water on demand, the 18kW HRE is designed to satisfy the high traffic of a busy home while keeping fuel bill costs and waste down thanks to an ErP A rating.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Intergas HRE 24/18 combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/36/102436_wm.jpg,,,,,,"10 L/min @ 40°C, 6 L/min @ 60°C",Natural Gas,HRE,7 Years,30Kg,A,N,A,24 kW,240,"333691, 333722",93,Wall Hung,333691 PK,Compact Combi Boiler,N,Easy to service,Less parts means less to maintain,No diverter valve or valve motor,No auto air vent,Double high efficiency heat exchanger,Self-learning eco-mode,Two fixing options,Extended warranty available when following Intergas installation specification and guidelines,,,,10 year warranty on heat exchanger,,White/Gloss,,,,,,,,A,,,,,,,
126,P333707,Viessmann Vitodens 100-W 26 combi boiler 100-W 26kW,Viessmann,1175.41,"A popular solution for smaller, well-insulated homes, the quiet Viessmann Vitodens 100-W 26kW combi boiler is based on Viessmann's years of knowledge and experience, building powerful, innovative technology into a compact wall-mounted package. Delivered ready to incorporate the latest in smart technology, this ErP A-rated combi is efficient and economical, delivering reliable heat and hot water on a minimal carbon footprint thanks to an Inox-Radial heat exchanger and high output ratio.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Viessmann Vitodens 100-W 26 combi boiler 100-W 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/71/88/147188_wm.jpg,,,,,,10 L/min,Natural Gas,Vitodens 100-W,5 Year,35 kg,A,N,A,26 kW,360,,94,Wall,333707 PK,Combi Boiler,N,Compact design,Low weight,Low fan speed for quieter operation,Viessmann combined flue system (CFS) routes numerous boiler flues up the riser to one roof termination point,High output ratio suitable for use in small apartments and well-insulated buildings,Ideal replacement for older boiler systems in renovation projects,High quality stainless steel Inox-Radial heat exchanger,Combined PRV and condensate connections that can be routed into the CFS,,,,Single drain at base of system to remove condensate without unsightly pipes through external walls,Up to 94% of fuel used is converted into heat,White/Gloss,Low CO2 emissions for reduced environmental impact,"User-friendly backlit LCD touchscreen for easy operation, even in dark rooms","Range of compatible room thermostats and controls, including wireless remote control available",DHW flow rate of 12.4LPM at 30K,5 year warranty,Extended warranty available when following Viessmann installation specification and guidelines,,A,,,,,,,
127,P126837,Vokera Vision Plus 40C combi boiler,Vokera,1566.46,"Energy efficient, fully controllable and easy to fit, the Vokera Vision Plus 40C condensing combi boiler is great for users and technicians alike. Designed with a universal pipework layout to replace older major brand boilers and with a click-fit flue for fast fixing, the Vision Plus is a breeze to install while a seven day digital clock and three modes of operation make controlling the heating system a piece of cake. ErP A-rated, this 40kW combi can enjoy further levels of efficiency with the addition of a weather compensation sensor or an OpenTherm control like the BeSMART internet-enabled thermostat.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Vokera Vision Plus 40C combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/37/126836_126837_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/126837_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vokera_Vision_Plus_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vokera_Vision_Plus_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vokera_Vision_Plus_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,P102439,Intergas HRE 36/40 ErP compact combi boiler,Intergas,1623.72,"Keep costs and maintenance time low with the Intergas HRE 36/40 compact combi boiler. Built to fit into a home with ease while satisfying the high hot water and heating demands of a busy family, this compact 40kW combi features a self-learning eco mode, double high efficiency heat exchanger and, thanks to a reduced number of internal components, does what it can to minimise downtime and keep maintenance costs low. With an ErP A rating, the HRE also contributes to reduced emissions and lower fuel bills.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Intergas HRE 36/40 ErP compact combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/24/39/102436_102439_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/102439_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Intergas_HRE_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Intergas_HRE_Operating_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Intergas_Compact_HRE_&_RF_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Intergas_HRE_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,P196028,Alpha E Tec 28NX combi boiler,Alpha,941.02,"Durable yet lightweight, the Alpha E-Tec Plus 28NX combi boiler is fitted with a tough stainless steel heat exchanger moulded in thermoplastic, helping to make installation less back breaking while also minimising ongoing maintenance. Easy to operate, this energy efficient 28kW combi boasts a large touchscreen with a wide range of intuitive options, helping to make day-to-day use simpler for the homeowner.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Alpha E Tec 28NX combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/28/196028_wm.jpg,,,,,,12.1,Natural Gas,E-Tec,10 Years,31.2,A,N,XL,28 kW,275,,89.4,Wall Mounted,3.033121,Combi,N,For wall mounting,Low lift weight for ease of installation,For natural gas operation,With stainless steel heat exchanger,Easy operation via touch sensitive controls,A-rated for energy efficiency,10 year warranty,,,,,,,,,,,,,,,,,,,,,,
130,P141381,Intergas Rapid Plus 32 combi boiler,Intergas,890.67,"Providing efficient central heating and hot water, the wall-hung Intergas Rapid Plus 32 makes the most of the brand's reliable condensing boiler technology. Suitable for use in most domestic applications, this combi boiler offers easy installation and maintenance alike thanks to its front accessibility and built-in expansion vessel, which also means there's no need for a jig.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Intergas Rapid Plus 32 combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/81/141381_wm.jpg,,,,,,13.3,Natural Gas,Rapid Plus,6 Years,39kg,A,N,A,32.7 kW,270,,89,Wall Hung,049947,Combi Boiler,N,Central flue,Up to 10M flueing distance,Easy service and maintenance,LPG conversion available,With built-in programmer,Good flow rate,Priority domestic hot water with additional set up,Supplied with spacer frame,,,,High-rise compliant,Combined PRV and condensate,,A-rated efficiency,6 year warranty,,,,,,,,,,,,,
131,P112932,Worcester Bosch Greenstar CDi Highflow 440CDi NG ErP combi boiler,Worcester Bosch,2460.53,"The Worcester Bosch Greenstar Highflow 440 CDi NG condensing combi boiler is known for industry-leading DHW flow rates for constant hot water delivered on demand, ideal for those busy family homes. This floor standing 30kW combi is designed to fit neatly underneath most kitchen work surfaces however built-in frost protection as standard means that installation in a garage, cellar or outhouse is safe, even in the coldest weather. Easy to install, the Greenstar is provided with a jig fitted with pre-plumbing and rear piping as well as a wheel-in tray, making sliding the boiler into place as effortless as pushing a shopping trolley. With an ErP A rating for heat, the Greenstar Highflow reduces waste and helps to reduce on fuel bill spending.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Worcester Bosch Greenstar CDi Highflow 440CDi NG ErP combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/29/32/112932_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/W_B_Greenstar_CDi_Highflow_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/W_B_Greenstar_Highflow_440CDi_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/W_B_Greenstar_CDi_Highflow_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/W_B_Greenstar_Highflow_440CDi_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,P113741,Intergas Xtreme 24 combi boiler NG 24kw White,Intergas,1419.92,"The patented design of the Intergas Xtreme 24 combi boiler includes a 2-in-1 double aluminium heat exchanger with two copper circuits for optimum heat transfer and the absolute minimum of heat loss. With residual heat from flue gases used during heating operation to pre-heat tap water, energy use is minimised for an ErP A rating and reduced fuel bill costs. Delivering comfort, warmth and the peace of mind that comes with an efficient and reliable central heating system, the 24kW output Xtreme is the ideal choice for a homeowner that demands quality.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Intergas Xtreme 24 combi boiler NG 24kw White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/43/113741_113743_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Intergas_Xtreme_Operating_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ni/al/Intergas_Xtreme_Technial.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Intergas_Xtreme_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Intergas_Boilers_Terms_&_Conditions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/113741_ErP.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,P105642,Vokera Excel i 25 20188732 boiler,Vokera,531.25,"Future-proofing your heating system, the Vokera Excel-I 25C combi boiler accepts a 20% hydrogen blend, adapting to hydrogen-methane when your local network is ready to make the switch. Offering longevity and reliability, this 25kW combi boiler is fitted with a large bore stainless steel heat exchanger, meaning less downtime and reduced maintenance costs. With a simple, easy to understand digital interface, the Excel-I makes life a little easier both for the engineer and the user with straightforward commissioning and day-to-day operation.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Vokera Excel i 25 20188732 boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/56/42/105642_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/li/st/Vokera_Excel-i_25C_Spare_Parts_List.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,P334208,Vokera Vision Plus 35C boiler only pack,Vokera,850.0,"The flexible design of the Vokera Vision Plus 35C combi boiler pack makes installation easy in almost any location. ErP A-rated, this 30kW boiler can be installed with a weather compensation sensor or OpenTherm control, such as BeSMART, for even better energy efficiency. It features a user-friendly embedded 7-day digital clock with three modes of operation while a backlit LCD display provides complete control of heating times. This clock can be disabled if an alternative control is used.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Vokera Vision Plus 35C boiler only pack,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/15/NW-334205_334215_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vokera_Vision_C_Combi_Boiler_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Vokera_Vision_Plus_C_EU_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Vokera_Vision_Plus_Combi_Boiler_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Vokera_Vision_Plus_CBoiler_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,P147023,Viessmann Vitodens 100-W 35 100-w combi b1kf 35kw,Viessmann,1689.35,"A popular choice for installation in smaller and well-insulated homes, the Viessmann Vitodens 100-W 35 combi boiler offers an ErP A rating for efficiency. This reliable 35kW gas condensing wall-mounted boiler incorporates innovative technology and services and is built ready for the addition of smart technology, giving homeowners added controllability and cost savings.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Viessmann Vitodens 100-W 35 100-w combi b1kf 35kw,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/24/NW-147021_147024_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/mi/ty/Viessmann_Vitodens_100W_EUConformity.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Viessmann_Vitodens_100_W_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/tr/ct/Viessmann_Vtdns100W111WF141F_Instrct.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/kl/st/Viessmann_Vtdns100W_B1HFB1KF_Chcklst.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Viessmann_Vitodens_100_W_111_W_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/y_/ds/Viessmann_Vitodens_100_W_Energy_DS.pdf,,,,,,,,,,,,,,,,,,,
136,P125225,Ideal Heating Logic 228331 logic plus combi 2 C35,Ideal Heating,1232.77,The Ideal Logic+2 Combi boiler is the next evolution of our award-winning Logic range.,Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Ideal Heating Logic 228331 logic plus combi 2 C35,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/25/125223_125225_wm.jpg,,,,,,,Natural Gas,Logic,7 Years,34.8,A,N,A,35 kW,310,No,89.6,Wall Mounted,228331,Combi Boiler,N,For wall mounting<multisep/>Compact size for cupboard fit<multisep/>UK built<multisep/>With concealed connections under boiler<multisep/>Fully compatible with easy-fit Halo controls<multisep/>Operated via large high resolution colour screen<multisep/>High quality brass filter protects system<multisep/>A-rated for efficiency<multisep/>7 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,P116011,Vaillant ecoFIT pure 830 combi boiler,Vaillant,1886.98,"Part of Vaillant's 'go anywhere' range, the Vaillant ecoFIT pure 830 combi boiler has flexible top/rear flue siting, Quiet Mark-accredited low noise operation and an extremely compact design so it's simple to cupboard-fit, making life easier for both installer and owner wherever you opt to install. An easy-read LED diagnostic display, reliable and widely available Vaillant parts and, of course, that famous German engineering all contribute to the robustness, usability and long lifetime you can expect from this 30kW output, ErP A-rated boiler.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Vaillant ecoFIT pure 830 combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/12/116010_116012_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Vaillant_ecoFIT_pure_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Vaillant_Boilers_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/io/ns/Vaillant_ecoFIT_pure_Instructions.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Vaillant_ecoFIT_pure_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,P120222,Ideal Vogue Combi GEN2 C32 combi boiler,Ideal,1278.45,"A lightweight, single piece unit, the Ideal Vogue Combi GEN2 C32 boiler is easy to install, repair, service and maintain. Featuring a bang-up-to-date colour LCD screen display, the 32kW Vogue combi provides advanced diagnostics alongside straightforward multi-function button operation and speedy set up. The latest in cool burner door technology lets you crack on with the job at hand even when the Vogue has been running all day, a feature which only improves maintenance times. With an impressive ErP A rating this thoroughly modern boiler isn't just a pleasure to work with but it helps users to save on waste and energy bills as well.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Ideal Vogue Combi GEN2 C32 combi boiler,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/02/23/120221_120223_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Vogue_Combi_GEN2_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Vogue_Combi_GEN2_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/120222_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Vogue_Combi_GEN2_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Vogue_Combi_GEN2_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,P124837,Ideal Vogue Max Combi C26 combi boiler 26kW,Ideal,1140.54,"A thoroughly modern boiler, the Ideal Vogue Max Combi C26 is not just designed to look good in any space but it is highly efficient too with an ErP A rating. Easy and quick to install, this single piece unit has a low lift weight while full text fault modes make repair and service simpler than ever. Thanks to a large full colour LCD screen with text and graphics, operating the Vogue Max is child's play, giving the user full control over their system with a low risk of error. An inbuilt service timer and an excellent warranty package gives customer and installer peace of mind.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Ideal Vogue Max Combi C26 combi boiler 26kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/39/124837_124839_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ty/Ideal_Max_Warranty.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_e/rp/124837_ErP.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Ideal_Vogue_Max_Combi_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Ideal_Vogue_Max_Combi_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Ideal_Vogue_Max_Combi_User_Guide.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,P333985,Worcester Bosch Greenstar 8000 Life GR8300iW 45 C NG combi boiler pack 45kW White,Worcester Bosch,1981.0,"The Worcester Bosch Greenstar 8000 Life GR8300iW 45 C NG is a direct replacement for the perennially popular CDi Classic, building on strong foundations but with new and improved features for the modern homeowner. With its contemporary design the 8000 Life looks great in any interior and installation is fast and easy thanks to a lower lift weight and familiar layout with all the same fixture points as its predecessor. Using this 45kW boiler is simple, with controls at your fingertips via a full colour text display and the option to connect up to Bosch's EasyControl smart thermostat. Offering an ErP A rating the 8000 Life helps to reduce fuel bills and emissions.",Boilers/sub_categories/Gas Boilers/sub_categories/Gas Combi Boilers /Gas Combi Boilers .csv -> Worcester Bosch Greenstar 8000 Life GR8300iW 45 C NG combi boiler pack 45kW White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/hi/te/WB_G_Life_White_wm.jpg,,,,,,15 L/min @ 40°C,Natural Gas,Greenstar 8000 Life,8 years,49kg,A,N,A,45 kW,365,"333827, 333985",94,Wall Hung,333985 PK,Condensing Combi Boiler,N,Direct replacement for the Worcester Bosch CDi Classic,"Easier installation, servicing and maintenance",Full colour text display and push button boiler control,Simple switch from CDi classic with same fixing points and connections,Greenstar Intelligent Filling System,Reduced lift weight compared to the CDi classic,Full wireless connectivity with the Bosch EasyControl,8 year guarantee,,,,,,,,,,,,,,,,,,,,,
