,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Attachment 6,Colour,Hazardous,Supplier Product Code,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6
23,PQ97087,Wavin Wavin OsmaSoil UPVC boss adaptor 50 x 40mm Grey,Wavin,6.31,"Suitable for domestic or commercial use, this Wavin OsmaSoil 50 x 40mm boss adapter is made of durable grey PVC-u and is fitted with solvent weld connections.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> Wavin Wavin OsmaSoil UPVC boss adaptor 50 x 40mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/87/NW-Q97087_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Wavin_AGBG_Trade_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,
24,PF47407,"Hunter Multikwik female offset adaptor 2""",Hunter,11.04,"This Hunter Multikwik 97 to 108mm WC offset adapter with 99 to 105mm push-fit connections is manufactured in EVA for ongoing flexibility and a watertight connection. The WC fins are made from thermoplastic elastomer, a high performance synthetic rubber resistant to cracking and eroding. Multikwik WC connectors are designed to fit pans conforming to BS 5503 and BS 5504, including those with bosses.","Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> Hunter Multikwik female offset adaptor 2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/07/NW-F47407_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Hunter_WC_Connector_Certificate.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Hunter_Multikwik_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Hunter_Multikwik_Plumbers_Guide.pdf,,,,,,,,,,,,,
25,PF24833,Marley Solvent Waste female iron adaptor 40mm White,Marley,3.8,This Marley Solvent Waste 40mm female iron adapter in white is suitable for both internal and external applications.,Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> Marley Solvent Waste female iron adaptor 40mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/33/NW-F24833_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,
26,PF58563,Geberit HDPE 367.615.16.1 HDPE bottom turn bend 110mm,Geberit,121.46,"Capable of discharging up to 12L every second, the Geberit SuperTube HDPE 110mm bottom turn bend has an integrated flow divider to guide water horizontally as a layered flow, leaving space for airflow. Resistant to UV and to around 95% of all commercially available alkalis, acids and chemicals, this bend is suitable for electrofusion welding on both sides.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> Geberit HDPE 367.615.16.1 HDPE bottom turn bend 110mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/ma/ge/F58563_Primary_Image_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/F58563_Tech_Sheet.pdf,,,,,,,,,,,,,,,
27,PF16306,Center CB ABS adaptor male iron 50mm,Center CB,5.35,"Center CB male iron adaptor is made of ABS. The Center ABS solvent weld waste range is perfectly suited for connections from sanitary appliances to either a soil stack or a back inlet drain gully. Constructing a perfect, permanent joint is made easy through the simple application of a solvent weld cement to the pipe spigot and the fitting socket.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> Center CB ABS adaptor male iron 50mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/63/06/NW-F16306_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/19/Center_CB_DrainageProductGuide_2019.pdf,,,,,,,,,,,,,,,
28,PP45012,Philmac 3G copper adaptor set 25 x 15mm,Philmac,5.99,"This Philmac 3G copper connection kit in polypropylene (PP) with 25mm/3/4"" x 15mm metric/imperial to copper end connections is built to last, corrosion-resistant and easy to install making it ideal for a variety of plumbing and commercial applications. Philmac fittings are designed for connection to different pipe materials including metric and imperial PE, lead, PVC, copper, stainless steel and galvanised iron.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> Philmac 3G copper adaptor set 25 x 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/12/NW-P45012_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Philmac_Fittings_Product_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Philmac_PipeFittings_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Philmac_PipeFittings_Brochure.pdf,,,,,,,,,,,,,
29,PQ66013,Wavin OsmaSoil soil and waste single boss adaptor 32mm Black,Wavin,6.83,"Suitable for domestic or commercial use, this Wavin OsmaSoil 32mm soil and waste single boss adapter is made of durable black PVC-u and is fitted with 50 x 32mm solvent weld connections.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> Wavin OsmaSoil soil and waste single boss adaptor 32mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/13/NW-Q66013_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,
30,PQ64018,Wavin Wavin OsmaSoil boss socket adaptor 50mm Grey,Wavin,9.47,"Suitable for domestic or commercial use, this Wavin OsmaSoil 50mm boss socket adapter is made of durable grey PVC-u and is fitted with socket x spigot connections.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> Wavin Wavin OsmaSoil boss socket adaptor 50mm Grey,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/18/NW-Q64018_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,
31,PF24730,Marley Solvent Waste male iron adaptor 32mm White,Marley,3.8,This Marley Solvent Waste 32mm male iron adapter in white is suitable for both internal and external applications.,Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> Marley Solvent Waste male iron adaptor 32mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/30/NW-F24730_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,
32,PF24836,Marley Solvent Waste male iron adaptor 40mm White,Marley,3.8,This Marley Solvent Waste 40mm male iron adapter in white is suitable for both internal and external applications.,Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> Marley Solvent Waste male iron adaptor 40mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/48/36/NW-F24836_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,
33,PQ64013,Wavin OsmaSoil boss socket adaptor 32mm Black,Wavin,7.34,"Suitable for domestic or commercial use, this Wavin OsmaSoil 32mm boss socket adapter is made of durable black PVC-u and is fitted with 50 x 32mm socket x female thread connections.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> Wavin OsmaSoil boss socket adaptor 32mm Black,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/13/NW-Q64013_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Wavin_Osma_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/Wavin_PVC_U_Pipe_&_Fittings_MSDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Wavin_OsmaSoil_Waste_Certificate.pdf,,,,,,,,,,,,,
34,PF27417,Marley WAM3W ultra ABS male iron adaptor 32mm White,Marley,5.35,"Part of a unique system, this Marley 32mm ultra ABS male iron adapter is made of a lightweight ABS with solvent weld connections. Offering a wide range of installation options, the flexible and fully accredited Marley soil and waste range is suitable for a variety of domestic and commercial projects.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> Marley WAM3W ultra ABS male iron adaptor 32mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/17/F27417_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil & waste_Brochure.pdf,,,,,,,,,,,,,,,
35,PF27476,Marley WAF5W ultra ABS female iron adaptor 50mm White,Marley,7.99,"Part of a unique system, this Marley 50mm ultra ABS female iron adapter is made of a lightweight ABS with solvent weld connections. Offering a wide range of installation options, the flexible and fully accredited Marley soil and waste range is suitable for a variety of domestic and commercial projects.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> Marley WAF5W ultra ABS female iron adaptor 50mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/16/F27416_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil & waste_Brochure.pdf,,,,,,,,,,,,,,,
36,PF27477,50MM ULTRA ABS MALE IRON ADAPTOR  WAM5:W,Marley,7.99,"This white Marley ABS Waste male iron adapter with 50mm BSP male x solvent weld connections is a lightweight, cost efficient choice for internal installations.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> 50MM ULTRA ABS MALE IRON ADAPTOR  WAM5:W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/77/NW-F27477_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,
37,PF24986,Marley OFA21W overflow female iron adaptor 21.5mm White,Marley,2.71,"Part of a unique system, this Marley 21.5mm overflow female iron adapter is made of a lightweight plastic with solvent weld connections. Offering a wide range of installation options, the flexible and fully accredited Marley soil and waste range is suitable for a variety of domestic and commercial projects.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> Marley OFA21W overflow female iron adaptor 21.5mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/86/F24986_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil & waste_Brochure.pdf,,,,,,,,,,,,,,,
38,PF27416,Marley WAF3W ultra ABS female iron adaptor 32mm White,Marley,5.35,"Part of a unique system, this Marley 32mm ultra ABS female iron adapter is made of a lightweight ABS with solvent weld connections. Offering a wide range of installation options, the flexible and fully accredited Marley soil and waste range is suitable for a variety of domestic and commercial projects.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> Marley WAF3W ultra ABS female iron adaptor 32mm White,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/16/F27416_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil & waste_Brochure.pdf,,,,,,,,,,,,,,,
39,PF27446,40MM ULTRA ABS FEMALE IRON ADAPTR WAF4:W,Marley,5.35,"This white Marley ABS Waste female iron adapter with 40mm BSP female x solvent weld connections is a lightweight, cost efficient choice for internal installations.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> 40MM ULTRA ABS FEMALE IRON ADAPTR WAF4:W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/46/NW-F27446_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,
40,PF38140,32MM BOSS ADAPTOR,Marley,4.53,"This Marley Solvent Soil 32mm 87.5° boss connector with solvent weld joint is made of grey PVC-U. This fitting is part of the Solvent Soil system designed to meet most drainage requirements, creating a secure, leak-free system.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> 32MM BOSS ADAPTOR,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/41/NW-F38140_F38141_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,
41,PF27447,40MM ULTRA ABS MALE IRON ADAPT    WAM4:W,Marley,5.35,"This white Marley ABS Waste male iron adapter with 40mm BSP male x solvent weld connections is a lightweight, cost efficient choice for internal installations.",Drainage/Waste Pipe and Fittings/Waste Pipe Fittings/Waste Pipe Adaptors/Waste Pipe Adaptors.csv -> 40MM ULTRA ABS MALE IRON ADAPT    WAM4:W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/74/47/NW-F27447_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Marley_Soil-Waste_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Marley_Soil-Waste_Brochure.pdf,,,,,,,,,,,,,,
