,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Colour,Connection Size,Connection Type,Range,Thickness,Refrigerant Suitability,Hazardous,Material,Supplier Product Code,Type,WEEE Compliant,Application,Feature 1,Feature 2,Diameter,Pack Quantity,Size,Connection Type 1,Feature 3,Feature 4,Gender,Connection Type 2,Attachment 2,Attachment 3,Feature 5,Feature 6,Dimensions (L x W x D),Refrigerant,Max Pressure,Sight Glass,Number of Valves,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12
30,P671284,"Parker 144F 144F-6 male flanged equal tee 3/8""",Parker,19.2,"Made of brass, this Parker 144F 3/8"" union tee with 7/16-20 thread size is an economical choice for a metal-to-metal seal in high pressure service. It is resistant to mechanical pull out and offers positive connections to ensure reliability and safety. Flare fittings are a suitable alternative to solder joints where an open flame shouldn't be used.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Parker 144F 144F-6 male flanged equal tee 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/84/NW-671284_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,P688924,Javac Refco thermometer with capilary tube 100mm x 1.5mtr,Javac,62.0,"Made of plastic, this Javac Refco dial thermometer has a universal design for easy mounted from back or front.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac Refco thermometer with capilary tube 100mm x 1.5mtr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/89/24/NW-688924_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,P688543,Javac Refco dry compound gauge bar/psi 70mm,Javac,29.45,"The Javac Refco pressure gauge for low pressure applications has a 63mm outside diameter and offers compatibility with R-22, R-134A and R404A refrigerants.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac Refco dry compound gauge bar/psi 70mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/44/NW-688543_688544_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Javac_Refco_Catalog_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,
33,P688537,Javac Refco dry pressure gauge bar/psi 70mm,Javac,27.23,"The Javac Refco pressure gauge for high pressure applications has a 63mm outside diameter and offers compatibility with R-22, R134A and R-404A refrigerants.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac Refco dry pressure gauge bar/psi 70mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/38/NW-688537_688538_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Javac_Refco_Catalog_2020.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,
34,P671282,"Parker 144F 144F-4 male flanged equal tee 1/4""",Parker,13.11,"Made of brass, this Parker 144F 1/4"" union tee with 7/16-20 thread size is an economical choice for a metal-to-metal seal in high pressure service. It is resistant to mechanical pull out and offers positive connections to ensure reliability and safety. Flare fittings are a suitable alternative to solder joints where an open flame shouldn't be used.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Parker 144F 144F-4 male flanged equal tee 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/82/NW-671282_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,P689648,Javac high side automatic coupler (R134A),Javac,32.36,"This Javac high pressure automotive coupler with 1/4"" SAE hose connection is compatible with R134A refrigerant.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac high side automatic coupler (R134A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/96/48/NW-689648_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,P671100,"Refcomm LGL US4-4 flared manifold coupling 1/4""",Refcomm,10.59,"This Refcom LGL 1/4"" female flare x female flare manifold coupling is made of brass.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL US4-4 flared manifold coupling 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/00/NW-671100_wm.jpg,,,,,LGL,,,N,Brass,US4-4,Manifold Coupling,N,,Made of Brass,"Size in 1/4""",1/4,,14,Flare,,,female,Flare,,,,,,,,,,,,,,,
37,P670992,"Refcomm LGL B1-4 copper flared seal cap 1/4""",Refcomm,1.06,"This Refcom LGL 1/4"" flare seal cap is made of copper.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL B1-4 copper flared seal cap 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/92/NW-670992_wm.jpg,,,,,LGL,,,N,Copper,B1-4,Flare Seal Cap,N,,De-greased copper,Specifically designed for ACR,1/4,,14,Flare,Can be used in assemblies subject to pressure equipment directive,Safety factor of at least 3 applied as a recommended maximum working pressure,,,,,Manufactured to ASME B1622 - 2001 standards,,,,,,,,,,,,
38,P671356,"Refcomm U4-6 female flare union 3/8""",Refcomm,10.06,"This Parker 3/8 x 3/8"" female flare union is made of brass.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm U4-6 female flare union 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0f/hd/660FHD_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,P671299,"Parker 48F 48F-4-2 male flanged x male pipe thread half union 1/4 x 1/8""",Parker,3.64,"Made of brass, this Parker 48F 1/4 x 1/8"" male connector with 7/16-20 thread size is an economical choice for a metal-to-metal seal in high pressure service. It is resistant to mechanical pull out and offers positive connections to ensure reliability and safety. Flare fittings are a suitable alternative to solder joints where an open flame shouldn't be used.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Parker 48F 48F-4-2 male flanged x male pipe thread half union 1/4 x 1/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/01/NW-671299_671301_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,P671078,"Refcomm LGL U3-4A connector female flared x female pipe thread 1/4 x 1/8""",Refcomm,3.97,"This Refcom LGL 1/4 x 1/8"" male flare x FPT coupling is made of brass.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL U3-4A connector female flared x female pipe thread 1/4 x 1/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/79/NW-671078_671079_wm.jpg,,,,,LGL,,,N,Brass,U3-4A,Connector,N,,Made of Brass,"Size in 1/4 x 1/8""",1/4 x 1/8,,1/4 x 1/8,Flare,,,Male x Female,FPT,,,,,,,,,,,,,,,
41,P671355,"Refcomm U4-4 female flare union 1/4""",Refcomm,7.61,"This Parker 1/4 x 1/4"" female flare union is made of brass.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm U4-4 female flare union 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/0f/hd/660FHD_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,P671361,"Refcomm UR2-64 male flanged x male flanged union reducer 3/8 x 1/4"" (Pack of 5)",Refcomm,6.55,"Made of brass, this Parker 3/8 x 1/4"" male flanged x male flanged union reducer is used to connect two copper pipe sections.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm UR2-64 male flanged x male flanged union reducer 3/8 x 1/4"" (Pack of 5)",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/61/NW-671361_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,P337368,Fieldpiece jl micron gauge with alarm int,Fieldpiece,335.91,"Offering reliable evacuation measurements, the Fieldpiece JL micron gauge with alarm is designed with a reliable, leakproof seal, reversible angled coupler and a cylindrical design for easy fitting into challenging spots. Suitable for standalone use via the built-in display, the JL can also wirelessly connect to the Job Link System app or the SMAN digital manifold display. In addition, this tool offers three ways to view found values with level, bar graph and rate meter options. Weather-resistant, this A2L compatible gauge has a robust over-molded construction for excellent impact resistance.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Fieldpiece jl micron gauge with alarm int,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/73/68/337368_wm.jpg,,,,,,,,N,,MG44INT,Digital Vacuum gauge-(wireless),N,,With 1/4” SAE male fitting,60 bar overpressure sensor,,,,,"Accuracy of ±(5% of reading + 5 microns) at 25°C, 50 - 2000 microns","Range of 50 - 25,000 microns mercury, 6 - 3333 Pascals, 0.06 - 33.33 mBar, 50 - 25,000 mTorr, 0.05 - 25 Torr",,,,,"Best resolution of 1 micron of mercury (below 2000 microns), 1 Pascal (below 250 Pascals), 0.001 mBar (below 2.5 mBar), 1 mTorr (below 2000 mTorr), 0.001 Torr (below 2.5 Torr, equivalent to mmHg)",With 2x AA alkaline batteries with typical 40 hours life,,N/A,60 bar over pressure sensor,N/A,1,Auto power off after 15 minutes default (APO adjustable),Wireless range of 300M line of sight,2.4 GHz radio frequency,Operates in -10 to 50°C at <lt/>75% RH,Suitable for storage temperature of -20 to 60°C at <lt/>80% RH (batteries removed),IP54 protection
44,P688487,"Javac Refco hose set (R410A) 36 x 1/4""",Javac,62.1,"A Javac Refco CCL-36-1/2-20UNF R410A 36"" hose set.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac Refco hose set (R410A) 36 x 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/87/NW-688487_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,P688556,"Javac Refco charging hose set 72 x 1/4""",Javac,65.71,"A Javac Refco CCL-72 72"" charging line set with a 60 bar/870 psi working pressure.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac Refco charging hose set 72 x 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/56/NW-688556_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,P688499,"Javac Refco heavy duty hose comes with ball valve 72"" Red",Javac,41.35,"This Javac Refco CA-CL-72-R 72"" length single hose with ball valve is supplied in red colour.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac Refco heavy duty hose comes with ball valve 72"" Red",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/99/NW-688499_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,P680120,Javac high pressure gauge R22/R134A/R404A/R407C 80mm,Javac,31.57,"This robust brass Javac 80MMHP 34 bar pressure gauge offers easy to read measurements in R-22, R-134A, R-407C and R-404A refrigerants.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac high pressure gauge R22/R134A/R404A/R407C 80mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/20/NW-680120_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_HP-LP-Gauge_Technical.pdf,,,,,,,,,,,,,,
48,P671232,"Parker 640F 640F-8 flanged cap nut 1/2""",Parker,7.61,"Made of brass, this Parker 640F 1/2"" cap nut is for use with the 2GF flare gasket. Suitable for use in refrigerant lines, propane lines, fuels, natural gas, oil burners and adapters, this flare fitting is an economical choice for a metal-to-metal seal in high pressure service. 2GF fittings are resistant to mechanical pull out and their positive connections ensures reliability and safety. Available in forgings for refrigeration use, flare fittings are an alternative to solder joints where an open flame shouldn't be used.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Parker 640F 640F-8 flanged cap nut 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/33/NW-671230_671233_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,P670995,"Refcomm LGL B1-6 copper flared seal cap 3/8""",Refcomm,1.46,"This Refcom LGL 3/8"" flare seal cap is made of copper.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL B1-6 copper flared seal cap 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/97/NW-670995_670997_wm.jpg,,,,,LGL,,,N,Copper,B16,Flare Seal Cap,N,,De-greased copper,Specifically designed for ACR,3/8,,3/8,Flare,Can be used in assemblies subject to pressure equipment directive,Safety factor of at least 3 applied as a recommended maximum working pressure,,,,,Manufactured to ASME B1622 - 2001 standards,,,,,,,,,,,,
50,P688500,"Javac Refco heavy duty hose comes with ball valve 72"" Blue",Javac,41.35,"This Javac Refco CA-CL-72-B 72"" length single hose with ball valve is supplied in blue colour.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac Refco heavy duty hose comes with ball valve 72"" Blue",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/00/NW-688500_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,P671025,"Refcomm LGL N4-4 long flared nut 1/4""",Refcomm,4.97,"This Refcom LGL 1/4"" long flare nut is made of brass","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL N4-4 long flared nut 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/26/NW-671025_671026_wm.jpg,,,,,LGL,,,N,Brass,N4-4,Flared Nut,N,,Made of Brass,"Sizes in 1/4""",1/4,,14,Flare,,,,,,,,,,,,,,,,,,,
52,P493188,Testo smart probe refrigeration kit,Testo,448.02,"This useful Testo SMART probe refrigeration test kit contains two Testo 549i high-pressure measuring instruments and two Testo 115i clamp thermometers. Bluetooth-enabled, this kit works with a smartphone or tablet to help install, service and troubleshoot air conditioning and refrigeration systems on-the-go and with ease. Both instruments are quick and simple to attach directly at the system's pressure connection or the temperature measuring point for faster working.",Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Testo smart probe refrigeration kit,,2x testo 549i High-pressure measuring instrument;2x testo 115i clamp thermometer;Testo smart case (refrigeration);Batteries;Calibration protocol,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/31/88/NW-493188_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Testo_Test-Kit_Datasheet.pdf,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Testo_Test-Probe_Application.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Testo_Test-Kit_Instruction_Manual.pdf,,,,,,,,,,,,,
53,P690820,"Javac Edge PTFE braided hose 48"" Stainless Steel",Javac,71.85,"This Javac Edge Supahose 48"" flexible refrigerant hose is made of stainless steel with PTFE lining and offers a 1/4"" SAE connection.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac Edge PTFE braided hose 48"" Stainless Steel",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/08/21/NW-690816_690821_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,P671026,"Refcomm LGL N4-6 long flared nut 3/8""",Refcomm,6.62,"This Refcom LGL 3/8"" long flare nut is made of brass","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL N4-6 long flared nut 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/26/NW-671025_671026_wm.jpg,,,,,LGL,,,N,Brass,N4-6,Flared Nut,N,,Made of Brass,"Sizes in 3/8""",3/8,,3/8,Flare,,,,,,,,,,,,,,,,,,,
55,P671079,"Refcomm LGL U3-4B connector male flared x national pipe thread fuel 1/4 x 1/4""",Refcomm,4.97,"This Refcom LGL 1/4 x 1/4"" male flare x FPT coupling is made of brass.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL U3-4B connector male flared x national pipe thread fuel 1/4 x 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/79/NW-671078_671079_wm.jpg,,,,,LGL,,,N,Brass,U3-4B,Connector,N,,Made of Brass,"Sizes in 1/4""",1/4 x 1/4,,14,Flare,,,Male x Female,FPT,,,,,,,,,,,,,,,
56,P670996,"Refcomm LGL B1-8 copper flared seal cap 1/2""",Refcomm,1.86,"This Refcom LGL 1/2"" flare seal cap is made of copper.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL B1-8 copper flared seal cap 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/09/97/NW-670995_670997_wm.jpg,,,,,LGL,,,N,Copper,B1-8,Flare Seal Cap,N,,De-greased copper,Specifically designed for ACR,1/2,,12,Flare,Can be used in assemblies subject to pressure equipment directive,Safety factor of at least 3 applied as a recommended maximum working pressure,,,,,Manufactured to ASME B1622 - 2001 standards,,,,,,,,,,,,
57,P671034,"Refcomm LGL N5-4 long flared nut 1/4""",Refcomm,2.52,"This Refcom LGL 1/4"" flare cap nut is made of brass","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL N5-4 long flared nut 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/34/NW-671034_wm.jpg,,,,,LGL,,,N,Brass,N5-4,Flared Nut,N,,Made of Brass,"Sizes in 1/4""",1/4,,14,Flare,,,,,,,,,,,,,,,,,,,
58,P688486,"Javac Refco low permeability hose set 36 x 1/4 "" connection",Javac,49.33,"A Javac Refco CCL-36 36"" charging line set with a 60 bar/870 psi working pressure.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Javac Refco low permeability hose set 36 x 1/4 "" connection",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/86/NW-688486_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,P671300,"Parker 48F 48F-4-4 male flanged x male pipe thread half union 1/4 x 1/4""",Parker,4.64,"Made of brass, this Parker 48F 1/4 x 1/4"" male connector with 7/16-20 thread size is an economical choice for a metal-to-metal seal in high pressure service. It is resistant to mechanical pull out and offers positive connections to ensure reliability and safety. Flare fittings are a suitable alternative to solder joints where an open flame shouldn't be used.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Parker 48F 48F-4-4 male flanged x male pipe thread half union 1/4 x 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/01/NW-671299_671301_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Parker_Brass_Fittings_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,P671104,"Refcomm LGL UR3-46 reducer female flared x male flared 1/4 x 3/8""",Refcomm,7.29,"This Refcom LGL 1/4 x 3/8"" female flare x male flare reducer is made of brass.","Air Conditioning/Air Conditioning Parts/HVAC Service Equipment/Refrigerant Hoses and Gauges/Refrigerant Hoses and Gauges.csv -> Refcomm LGL UR3-46 reducer female flared x male flared 1/4 x 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/04/NW-671104_wm.jpg,,,,,LGL,,,N,Brass,UR3-46,Reducer,N,,Made of Brass,"Sizes in 1/4 x 3/8""",1/4 x 3/8,,1/4 x 3/8,Flare,,,Female x Male,Flare,,,,,,,,,,,,,,,
