,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Connection Size,Connection Type,Range,Hazardous,Core Size,Core Type,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Attachment 5,Dimensions (L x W x D),Feature 2,Model For Use With,Power Supply,Feature 3,Warranty,Phase
20,P693960,"Danfoss DCL DCL052S filter drier solder connection 1/4""",Danfoss,16.8,"This Danfoss Eliminator DCL052S 5 cu.inch hermetic filter drier with 1/4"" solder inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss DCL DCL052S filter drier solder connection 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/60/NW-693960_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_7_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,,,,,,
21,P693427,Danfoss SGP SGP6N sight glass male 24 x 3mm,Danfoss,33.9,"Made of brass, this Danfoss SGP6N sight glass with 1/4"" flare connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss SGP SGP6N sight glass male 24 x 3mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/27/NW-693427_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf,,,,,,,,,
22,P693431,Danfoss SGP SGP6SN sight glass male 25 x 4mm,Danfoss,33.9,"Made of brass, this Danfoss SGP6SN sight glass with 1/4"" solder connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss SGP SGP6SN sight glass male 25 x 4mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/31/NW-693431_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf,,,,,,,,,
23,P678125,Beermaster BMO100-550 / 200-404-033 low pressure switch,Beermaster,38.38,"A Beermaster BMO100-550, 200-404-033 black LP switch for use with BMO-100-1, BMO-120-1, BMO-120-1, BMO-150-1/3, BMO-150-1/3, BMO-150-1/3, BMO-200-1/3, BMO-200-1/3, BMO-250-1/3, BMO-250-1/3, BMO-300-1/3, BMO-300-1/3, BMO-300-1/3, BMO-350-3, BMO-450-3 and BMO-550-3.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Beermaster BMO100-550 / 200-404-033 low pressure switch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/81/25/NW-678125_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,,,,,,,,
24,P693852,"Danfoss GBC10S solder ball valve 3/8""",Danfoss,28.63,"GBC ball valves are manually operated shut-off valves suitable for applications where bi-directional flow is a requirement; GBC valves are approved for applications in liquid, suction, and hot gas lines in refrigeration and air conditioning systems; GBC valves offer maximum tightness across the seat and seal, with minimum pressure drop; GBC valves give maximum flow in the fully open position;They are designed for operation within a broad temperature range and are approved for use with any fluorinated refrigerant;Standard GBC valves may be used in applications using high pressure refrigerants, including R410A, and GBC bi-directional ball valves can be delivered with or without external access port; For CO2 applications a dedicated range is available with a max;working pressure of 90 bar (1300 psig); GBC valves are equipped with a one-piece seal cap to prevent tampering;Complies with European Safety Directive EN 378 (Safety and environmental requirements).","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss GBC10S solder ball valve 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/51/693851_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_1_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_Technical.pdf,,,,,,,,,,
25,P693977,"Danfoss DCL DCL165 filter drier flared connection 5/8""",Danfoss,24.2,"This Danfoss Eliminator DCL165 16 cu.inch hermetic filter drier with 5/8"" flare inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss DCL DCL165 filter drier flared connection 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/39/77/NW-693977_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_7_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,,,,,,
26,P694033,Danfoss DCL DCL033S filter drier (033S),Danfoss,13.0,"This Danfoss Eliminator DCL033S 3 cu.inch hermetic filter drier with 3/8"" solder inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss DCL DCL033S filter drier (033S),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/33/NW-694033_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,,,,,,,
27,P691700,"Dena XH9 drier 2 x 1/4"" x 1/4"" 15g",Dena,1.37,"This Dena XH9 drier with 1/4"" inlet and outlet is made of copper with pipe worked at the ends to increase the volume of a refrigerating system. Dena products are available in horizontal and vertical versions, from a minimum diameter of 16mm to a maximum of 76mm.","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Dena XH9 drier 2 x 1/4"" x 1/4"" 15g",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/00/NW-691699_691700_wm.jpg,Inlet: 1/4Outlet: 1/4,Soldered,,N,15g,Molecular Sieve Beads,FR193PD015/08,Drier,N,The products range from a minimum diameter of 16mm and a maximum of 76mm,,,,,,,In both horizontal and vertical versions,,,With inlet and outlet holes from 1.9 to 12mm,,
28,P689841,Javac EL33023 ball valve (R410A),Javac,18.99,"Since it’s inception in 1964, the company has lead the way in HVAC tool technology and is one of the worlds leading manufacturing specialists in vacuum and refrigeration products, designing and building their own brand of recovery and vacuum products for the refrigeration industry.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Javac EL33023 ball valve (R410A),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/41/689841_wm.jpg,5/16 in,,,N,,,EL33023,Ball Valve,N,Quality assured to ISO 9001-2008 standards,,,,,,,,,,,,
29,P681935,Beermaster BMI407-69-133 heater assembly 2kW,Beermaster,284.89,"This Beermaster BMI407-69-133 2kW heater assembly is compatible with BMIE407-69, BMIE407-89, BMIE407-104 and BMIE407-133.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Beermaster BMI407-69-133 heater assembly 2kW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/19/35/NW-681935_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,,,,,,,,
30,P619324,"Henry Technologies 937202 schraeder+ ball valve 1/4""",Henry Technologies,23.83,"Ball valves are used in a wide variety of air conditioning and refrigeration applications. They can be used for both liquid and gas applications. This type of valve is commonly used for isolating purposes. All valves are suitable for CO2, HCFC and HFC refrigerants along with their associated oils.","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Henry Technologies 937202 schraeder+ ball valve 1/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/al/ve/Pic of Ball Valve_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Henry_64-66_Brochure.pdf,,,,,,,,,,,
31,P677973,Kelvion 215-410-401 drain pan heater,Kelvion,37.66,"The Kelvion Searle 215-410-401 110V, 335W drain pan heater fits pre-1998 KM80 and KM95 models with square fan guards.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Kelvion 215-410-401 drain pan heater,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/79/73/NW-677973_wm.jpg,,,,N,,,100461707,Drain Pan Heater,N,To fit KM80 and KM95 (pre 1998 - square fan guards),,,,,,,Models with square fan guards,KM80KM95,"110 V, 335 W",,,
32,P619326,"Henry Technologies 937204 schraeder+ ball valve 1/2""",Henry Technologies,25.13,"Ball valves are used in a wide variety of air conditioning and refrigeration applications. They can be used for both liquid and gas applications. This type of valve is commonly used for isolating purposes. All valves are suitable for CO2, HCFC and HFC refrigerants along with their associated oils.","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Henry Technologies 937204 schraeder+ ball valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/al/ve/Pic of Ball Valve_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Henry_64-66_Brochure.pdf,,,,,,,,,,,
33,P675194,"Danfoss GBC12S solder ball valve 1/2""",Danfoss,26.67,"GBC ball valves are manually operated shut-off valves suitable for applications where bi-directional flow is a requirement; GBC valves are approved for applications in liquid, suction, and hot gas lines in refrigeration and air conditioning systems; GBC valves offer maximum tightness across the seat and seal, with minimum pressure drop; GBC valves give maximum flow in the fully open position;They are designed for operation within a broad temperature range and are approved for use with any fluorinated refrigerant;Standard GBC valves may be used in applications using high pressure refrigerants, including R410A, and GBC bi-directional ball valves can be delivered with or without external access port; For CO2 applications a dedicated range is available with a max;working pressure of 90 bar (1300 psig); GBC valves are equipped with a one-piece seal cap to prevent tampering;Complies with European Safety Directive EN 378 (Safety and environmental requirements).","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss GBC12S solder ball valve 1/2""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/02/693802_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_1_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_Technical.pdf,,,,,,,,,,
34,P694034,Danfoss DCL DCL082S filter drier (082S),Danfoss,18.5,"This Danfoss Eliminator DCL082S 8 cu.inch hermetic filter drier with 1/4"" solder inlet and outlet is manufactured for use in applications needing a high moisture and acid absorption capacity. A solid core, composed of 80% molecular sieve and 20% activated alumina, is ideal for systems using HCFC and CFC refrigerants and mineral or alkyl benzene oils and type DCL driers are especially recommended for systems that operate at high condensing temperatures, requiring a higher drying capacity",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss DCL DCL082S filter drier (082S),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/40/34/NW-694034_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCL_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCL_Installation_Guide.pdf,,,,,,,,
35,P693755,"Danfoss DCB DCB165S bi-flow drier solder connection 5/8""",Danfoss,57.21,"Designed for use in liquid lines on heat pumps, the Danfoss Eliminator DCB165S 16 cu.inch hermetic bi-flow filter drier with 5/8"" solder inlet and outlet connections offers quick, effective removal of moisture along with both organic and inorganic oils. The DCB filter has a built-in check valve to keep refrigerant liquid flowing through the drier from the outer side of the core towards the centre. This ensures that all dirt particles are retained irrespective of flow direction.","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss DCB DCB165S bi-flow drier solder connection 5/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/37/55/NW-693755_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/va/ls/Danfoss_Approvals.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_DCB_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Danfoss_DCB_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/al/og/Danfoss_Catalog.pdf,,,,,,,,
36,P675193,"Danfoss GBC22S solder ball valve 7/8""",Danfoss,39.69,"A manually-operated shut-off valve, this Danfoss GBC 7/8"" solder ball valve is suitable for applications where bi-directional flow is needed. Suitable for liquid and suction applications as well as for use in hot gas lines in refrigeration or air conditioning systems, this valve provides maximum tightness across the seat and seal along with minimal pressure drop. Supplying maximum flow in the fully open position, GBC valves are approved for use with fluorinated refrigerant and operate across a wide temperature range. Supplied with a tamperproof one-piece seal cap, standard GBC valves are suitable for use with high pressure refrigerants, including R410A. A dedicated range of ball valves with a maximum working pressure of 90 bar or 1300 psig is available for CO2 applications.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reli","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss GBC22S solder ball valve 7/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/02/693802_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_1_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_Technical.pdf,,,,,,,,,,
37,P684223,Beermaster BMO100-300 acoustic kit (1 fan system),Beermaster,331.79,"The Beermaster BMO100-300 acoustic kit is designed for BMO 100 to 300 condensing unit models, supplying minimised sound pressure levels. With reductions up to 6 dB(A) at 10M, when running the fan at minimum speed, this noise-supressing kit includes fan speed controller and acoustic lining for the compressor compartment.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Beermaster BMO100-300 acoustic kit (1 fan system),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/23/NW-684223_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Beermaster_BMIE-BMO_Installation.pdf,,,,,,,,,,
38,P693425,Danfoss SGP SGP12N sight glass male 25 x 4mm,Danfoss,34.8,"Made of brass, this Danfoss SGP12N sight glass with 1/2"" flare connections is for installation after the filter drier in the liquid line of a refrigerating system and in the compressor, using socket type. The sight glass allows users to observe property changes in liquid or vapour refrigerant and uses colour to indicate moisture level.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss SGP SGP12N sight glass male 25 x 4mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/34/26/NW-693423_693426_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_SG-SGP_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Danfoss_SG-SGP_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ca/te/Danfoss_SG-SGP_Safety_Certificate.pdf,,,,,,,,,
39,P693858,"Danfoss GBC35S solder ball valve 1.3/8""",Danfoss,77.7,"GBC ball valves are manually operated shut-off valves suitable for applications where bi-directional flow is a requirement; GBC valves are approved for applications in liquid, suction, and hot gas lines in refrigeration and air conditioning systems; GBC valves offer maximum tightness across the seat and seal, with minimum pressure drop; GBC valves give maximum flow in the fully open position;They are designed for operation within a broad temperature range and are approved for use with any fluorinated refrigerant;Standard GBC valves may be used in applications using high pressure refrigerants, including R410A, and GBC bi-directional ball valves can be delivered with or without external access port; For CO2 applications a dedicated range is available with a max;working pressure of 90 bar (1300 psig); GBC valves are equipped with a one-piece seal cap to prevent tampering;Complies with European Safety Directive EN 378 (Safety and environmental requirements).","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Danfoss GBC35S solder ball valve 1.3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/38/51/693851_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Danfoss_1_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Danfoss_Technical.pdf,,,,,,,,,,
40,P681662,Beermaster solenoid valve coil,Beermaster,55.4,"A Beermaster BME solenoid valve coil for use with BMI407-37, BMIE407-37, BMI407-48, BMIE407-48, BMI407-69, BMIE407-69, BMI407-89, BMIE407-89, BMI407-104, BMIE407-104, BMI407-133 and BMIE407-133.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Beermaster solenoid valve coil,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/62/NW-681662_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,,,,,,,,
41,P681660,Beermaster 200-403-023 series solenoid valve,Beermaster,139.1,"This Beermaster BME Series 200-403-023 solenoid valve is compatible with BMI407-37, BMIE407-37, BMI407-48, BMIE407-48, BMI407-69, BMIE407-69, BMI407-89, BMIE407-89, BMI407-104, BMIE407-104, BMI407-133 and BMIE407-133.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Beermaster 200-403-023 series solenoid valve,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/60/NW-681660_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Beermaster_R407C_Brochure.pdf,,,,,,,,,,,
42,P619295,"Henry Technologies 907203 ball valve 3/8""",Henry Technologies,22.3,"Suitable for use in air conditioning and refrigeration, this Henry Technologies 3/8"" ball valve can be used in both liquid and gas. A popular choice for isolating applications, this valve is compatible with CO2, HCFC and HFC refrigerants and their associated oils.  A ball valve is a type of quarter-turn valve featuring a hollow, perforated ball that pivots to control the flow of a fluid. The valve is open when the ball's hole is in line with flow and closed when pivoted to 90°. The long lasting reliability of ball valves makes them popular in a wide range of settings.","Parts and Spares/sub_categories/Cooling Parts/sub_categories/Refrigeration Parts and Accessories/Refrigeration Parts and Accessories.csv -> Henry Technologies 907203 ball valve 3/8""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/al/ve/Pic of Ball Valve_wm.jpg,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Henry_64-66_Brochure.pdf,,,,,,,,,,,
