,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Range,Hazardous,Physical State / Form,Size,Supplier Product Code,Type,WEEE Compliant,Feature 1,Attachment 4,Pack Quantity,Feature 2,Feature 3,Weight,Handle Type,Material,Feature 4,Feature 5,Dimensions (L x W x D)
27,P600521,Arctic Hayes Vortex Soldering & Brazing  VT3GBOXM VT3 Brazing torch plus Mapp gas (1),Arctic Hayes,68.5,"Containing everything you'll need for the majority of brazing and soldering jobs, the Arctic Hayes Vortex box contains the popular VT3 brazing torch along with a variety of burner heads for different jobs requiring different flame types. Also included is a Mapp gas canister.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Arctic Hayes Vortex Soldering & Brazing  VT3GBOXM VT3 Brazing torch plus Mapp gas (1),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/05/21/600521_wm.jpg,,,,Vortex Soldering & Brazing,N,,307mm x 256mm x 80mm,VT3M,Box,N,Includes VT3 brazing torch,,1,With propane gas canister,Includes 3x burner heads for different plumbing jobs,,,,,,
28,P688815,Rothenberger 3.1043 heat reflector for superfire,Rothenberger,30.48,This Rothenberger 175mm heat deflector guard protects walls and skirting boards from scorching during welding jobs.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger 3.1043 heat reflector for superfire,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/15/NW-688815_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,
29,P688848,Rothenberger 3.574 roxy kit welding set 120ltr,Rothenberger,176.21,This Rothenberger compact portable brazing and welding kit is suitable for lead burning and offers many of the features found in oxy-acetylene equipment.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger 3.574 roxy kit welding set 120ltr,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/88/48/NW-688848_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Rothenberger_Maxigas_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,
30,P655810,Rothenberger Primus 2000 brass torch adaptor,Rothenberger,15.17,"This Rothenberger Primus 2000 adaptor is used to fit Calor 340 gas cylinders. It is suitable for use with the Jet Torch, Rapid Fire, Quick Fire, Super Fire 2 and Microfire Rothenberger torches.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger Primus 2000 brass torch adaptor,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/58/10/NW-655810_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,
31,P691130,Javac flexi brazing torch,Javac,105.17,"This Javac flexi brazing torch with swirl flame and variable flame control has a double barrel to significantly reduce brazing time. Suitable for use with MAPP and propane, this torch is ideal for heat treating, brazing copper pipe or hardened steel, thawing pipes and loosening rusty bolts.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Javac flexi brazing torch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/30/NW-691130_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Javac_Flexi-Torch_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,
32,P689090,JET Range S2 solder/brazing rod 1kg,JET Range,54.86,"Jet S2 solder/brazing rod is a self-fluxing, silver copper phosphorous brazing rod that is perfect for the repair, maintenance and joining of higher stressed copper components found in piping systems. The specially developed square rods contain 0.2% silver and has a melting range of 645 to 815°C with an optimal working temp of 760°C making it perfect for capillary gap brazing.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> JET Range S2 solder/brazing rod 1kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/90/NW-689090_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/689090_Technical.pdf,,,,,,,,,,,,,,,,,,,,
33,P624592,VBC Group Meta-Braze 138 brazing rods 1.5 x 500mm (Pack of 5),VBC Group,42.05,"Supplied in a pack of five, these VBC Group Meta-Braze 138 38% silver 1.5 x 500mm brazing rods are suitable for joining brass, steel and copper alloy fittings for use in HVACR applications. These ISO 17672, Ag138 and AWS BAg-34 approved rods should be used with either a separate silver brazing flux, like Meta-Braze LT21 Flux Powder, or as a flux-coated rod.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> VBC Group Meta-Braze 138 brazing rods 1.5 x 500mm (Pack of 5),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/92/624592_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/VBC_Group_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,
34,P624671,VBC Group Meta-Braze 281 brazing rods 2 x 500mm (Pack of 25),VBC Group,52.73,"Supplied in a pack of 25, these VBC Group Meta-Braze 281 5% silver-copper-phos 2 x 500mm brazing rods combine good ductility and flow, making them ideal for refrigerated pipework applications, especially in supermarkets and for HVACR OEM jobs, including the brazing of heat exchanger and air-conditioning parts. Meeting ISO 17672 Ag281/CuP104, these rods can also be used for brazing K65 copper tube in carbon dioxide refrigerated systems.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> VBC Group Meta-Braze 281 brazing rods 2 x 500mm (Pack of 25),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/71/624671_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/VBC_Group_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,
35,P611095,Javac twinbarrel brazing torch,Javac,81.78,This Javac double barrel fusion dual brazing and soldering torch with 360° swivel tip and variable control swirl flame is designed for use with MAPP and propane gas.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Javac twinbarrel brazing torch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/95/NW-611095_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,,
36,P671607,Johnson Matthey Easy flow Easy-flo™ Flux Powder flux 250g (250g),Johnson Matthey,14.97,"Popular with distributors and end users, EASY-FLO Easy flow flux powder is a general purpose white-silver brazing flux powder suitable for use on common engineering metals including copper, copper alloys (brass, bronze, nickel silver, copper nickel), nickel alloys, steel, stainless steel and tungsten carbide. Flux powder has a varying working range, activity and overheat resistance and can be supplied according to Rolls-Royce MSRR 9500 specification.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Johnson Matthey Easy flow Easy-flo™ Flux Powder flux 250g (250g),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/07/NW-671607_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/EASY_FLO_Easy_Flow_Powder_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/br/cr/Johnson_Matthey_MJ_AlloysFluxes_Brcr.pdf,,,,,,,,,,,,,,,,,,,
37,PT64375,Rothenberger Supermat high temp soldering pad,Rothenberger,17.45,"Heat-resistant up to 1260°C, the Rothenberger Supermat high temperature soldering pad is manufactured with a 12 gauge gold vermiculite high temperature coating.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger Supermat high temp soldering pad,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/75/NW-T64375_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Rothenberger_Refrgrtn_AC_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,
38,P655261,Arctic Hayes Vortex propane gas,Arctic Hayes,9.93,"Ideal for everyday plumbing jobs, this Arctic Hayes Vortex propane/butane gas is cooler than Vortex Map-X. Supplied in a non-refillable canister, this gas is suitable for all general soldering and brazing and can be used with any Vortex brazing torch.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Arctic Hayes Vortex propane gas,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/61/NW-655261_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,
39,P611096,Javac Olympus Olympus OLY2 brazing torch,Javac,97.82,This Javac Olympus brazing and soldering torch is suitable for use with MAP/Pro and propane gas.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Javac Olympus Olympus OLY2 brazing torch,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/96/NW-611096_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Javac_Fusion_Dual_&_Olympus_Tech.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,
40,P655246,Arctic Hayes Vortex Solder Bag,Arctic Hayes,88.34,"An must-have kit for the professional plumber or DIY expert, this Arctic Hayes Vortex solder pack comes complete with everything you'll need for most soldering and brazing jobs, all packed in a smart multi-pocket carry bag.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Arctic Hayes Vortex Solder Bag,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/52/46/655246_wm.jpg,,,,,N,,Box 270 x 180 x 370mm,VBKIT5,Soldering & Brazing Packs,N,Ready to use,,,All-in-one solution,Complete with bag,,,,,,
41,P581130,Fernox Powerflow medium flux 100g,Fernox,8.33,"Easy to apply, this Fernox Powerflow soldering paste is a soft, white paste for application on joint areas before soldering jobs. Designed specifically for copper plumbing systems, Powerflow is suitable for use with a range of additional metals and alloys.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Fernox Powerflow medium flux 100g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/11/30/NW-581130_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/581130_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/581130_SDS.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Fernox_Product_Catalogue.pdf,,,,,,,,,,,,,,,,,,
42,P611082,Javac lightewight nozzle (No.13),Javac,7.62,This Javac lightweight size 13 swaged nozzle is made of copper.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Javac lightewight nozzle (No.13),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/82/NW-611080_611082_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Javac_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,
43,PN16197,Nerrad Blowtorch NTFJ500 firejet torch,Nerrad,70.97,"With a unique nozzle designed to minimise thermal conductivity, the Nerrad Firejet blowtorch provides safer handling for more confident use. Making life easier when heating a joint from underneath, the Firejet's nozzle can be removed for access to the solid brass diffuser, allowing for effortless cleaning in case of flux or solder ingress. Meanwhile, the non-corroding brass cylinder connections of this torch mean that there's no risk of stripped threads when removing and installing gas cylinders.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Nerrad Blowtorch NTFJ500 firejet torch,,Blowtorch,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/61/97/NW-N16197_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Nerrad_Product_Catalogue_2021.pdf,,,,,,,,,,,,,,,,,,,,
44,P601289,Pump House Map Gas map canister gas 453g,Pump House,16.69,This Pump House 435g aerosol Map Gas cylinder is suitable for brazing and soldering use.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Pump House Map Gas map canister gas 453g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/89/601289_wm.jpg,,,,Map Gas,N,Aerosol,435 g,MAP+,Gas Cylinder,N,For brazing and soldering,,,Aersol,435g,,,,,,
45,P555320,Center lead free solder multi-buy,Center,50.03,This Center multi-buy pack of solder wire complies with EN-ISO 9453.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Center lead free solder multi-buy,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/53/20/NW-555320_wm.jpg,,,,,N,,,555320 PK,Solder wire,N,Multi-buy,,,Conforms to EN-ISO 9453,,,,,,,
46,P611081,Javac lightewight nozzle (No.10),Javac,7.62,This Javac lightweight size 10 swaged nozzle is made of copper.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Javac lightewight nozzle (No.10),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/82/NW-611080_611082_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Javac_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,
47,P231548,Rothenberger MAP/Pro 3.5663 gas canister 399.7g,Rothenberger,19.04,"Burning hotter than propane, this Rothenberger MAP/Pro 3.5663 disposable gas cartridge supplies a flame recommended for brazing and silver soldering on pipework.With a flame temperature of up to 2400°C, this canister helps to reduce working time, processing hot work tasks in HVAC and refrigeration without the requirement for oxy-fuel or for a two-bottle oxyacetylene system. Free of contaminants, ultra-clean MAP/Pro encourages tool longevity and offers compatibility with a wide variety of torches, including those in the Rothenberger 1"" range, the SuperFire 2, QuickFire and Rofire Global torches, the Trigger Torch and the Swivel Pro.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger MAP/Pro 3.5663 gas canister 399.7g,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/43/76/NW-T64376_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/in/fo/Rothenberger_EA_Gas_Disposal_Info.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Rothenberger_Product_Brochure_2021.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Rothenberger_GasVent_Key_Information.pdf,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Rothenberger_Propylene_SDS.pdf,,,,,,,,,
48,P624593,VBC Group Meta-Braze 138 brazing rods 1.5 x 500mm (Pack of 25),VBC Group,201.79,"Supplied in a pack of 25, these VBC Group Meta-Braze 281 38% silver 1.5 x 500mm brazing rods can be used in HVACR applications when joining brass, steel and copper alloy fittings. Meeting ISO 17672 Ag138 and AWS BAg-34 standards, these rods should be used with a separate silver brazing flux, like Meta-Braze LT21 Flux Powder, or as a flux-coated rod.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> VBC Group Meta-Braze 138 brazing rods 1.5 x 500mm (Pack of 25),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/45/93/624593_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/18/VBC_Group_Brochure_2018.pdf,,,,,,,,,,,,,,,,,,,,
49,P611084,Javac light weight shank,Javac,93.07,This Javac lightweight shank is suitable for oxygen and acetylene use.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Javac light weight shank,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/84/NW-611084_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/14/Javac_Welding_Data_Sheet_2014.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,
50,P611070,Javac regulator acetylene 1.5bar Stainless Steel,Javac,74.87,"Made of quality solid-forged and chemically stabilised brass, this Javac single stage acetylene regulator incorporates a zinc die-cast bonnet protected by a double layer of powder coating for reliable corrosion resistance even in the most aggressive environments. An integrated pressure relief valve, located on the rear, provides additional safety, keeping end users from changing the factory setting while engraved identification allows for identification even if the label is removed. Other features include encapsulated control valves and a captive pressure adjusting screw.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Javac regulator acetylene 1.5bar Stainless Steel,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/70/NW-611070_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/he/et/Javac_Welding_Datasheet.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/Javac_Product_Guide_2021.pdf,,,,,,,,,,,,,,,,,,,
51,P506071,Center CB leaded solder spool 1/2kg,Center CB,13.86,"This Center CB solder wire for the repair, maintenance and setting of flawless joints. Following all relevant health and safety requirements and tested to meet BS/EN standards, this high lead content wire is not suitable for use in potable water supplies.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Center CB leaded solder spool 1/2kg,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/60/71/NW-506071_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/CenterCB_506071_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ms/ds/CenterCB_506071_MSDS.pdf,,,,,,,,,,,,,,,,,,,
52,P514142,Wiseman Everflux small tub 80 ml,Wiseman,7.59,"Suitable for use on gas and potable water installations, this Wiseman Everflux water-soluble plumbing flux offers convenient, high-speed flux technology, cleverly cleaning as it joins copper pipe.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Wiseman Everflux small tub 80 ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/41/42/NW-514142_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Wiseman_Merchants_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Wiseman_Everflux_Soldering_Flux_SDS.pdf,,,,,,,,,,,,,,,,,,,
53,PT86951,Rothenberger Soldering & Welding 18174 rocase soldering kit (1),Rothenberger,99.68,"This Rothenberger Rocase complete blowtorch soldering/brazing kit includes the brand's always popular Super Fire 2 torch. This kit also contains a MAPP/Pro gas cylinder and a 260 x 195mm, 1200°C soldering mat.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Rothenberger Soldering & Welding 18174 rocase soldering kit (1),,"Rocase,1x Mapp/Pro Cartridge,Super fire 2 torch,Soldering mat",https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/51/T86951_wm.jpg,,,,Soldering & welding,N,,3kg,18174,Rocase Soldering kit,N,Complete soldering kit,,1,"Includes fire torch, MAP/Pro gas and accessories",Supplied in a strong ROCASE case,,,,,,
54,P555937,Arctic Hayes Clipper gas lighter,Arctic Hayes,5.94,"This Arctic Hayes Clipper gas lighter has a long ignition tip for safe lighting of stoves, fires and barbeques.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Arctic Hayes Clipper gas lighter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/37/NW-555937_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Arctic_Hayes_Product_Catalogue_2016.pdf,,,,,,,,,,,,,,,,,,,,
55,PH72061,"Monument soldering pad 12 x 12""",Monument,28.66,"Suitable for professional or DIY use, this heat-resistant Monument 2350X Pro 300mm² (12in²) soldering and brazing pad resists temperatures of up to 600°C. Presenting  of the hazards associated with asbestos, this pad is made of professional quality oven glass fabric.","Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Monument soldering pad 12 x 12""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/20/61/NW-H72061_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Monument_Tools_Spring_2016_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,
56,PN96860,Bahco 9031 adjustab wrench 8in 38mm cap,Bahco,25.03,"The Bahco 9031 Ergo black phosphated adjustable wrench offers a wider opening compared to similar tools, providing better access and easier use. Slimline and lightweight, with a conveniently sized handle and angled jaws, this wrench offers improved accessibility in tight spaces and ease of carrying and storage so tradespeople will always find space in their kit for it.",Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Bahco 9031 adjustab wrench 8in 38mm cap,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/68/60/N96860_wm.jpg,,,,,N,,,BAH9031,Adjustable Wrench,N,With 40% wide opening,,,Convenient handle length,Lightweight design for ease of use and transport,230.00000,Straight,Metal,Jaws angled at 15° for manoeuvrability in tight spaces,Metal construction,
57,P611075,Javac cup spark lighter,Javac,4.61,This Javac Flint cup spark lighter is easy to use and easy to ignite.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Javac cup spark lighter,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/75/NW-611075_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Javac_Product_Guide.pdf,,,,,,,,,,,,,,,,,,,,
58,PF32503,Polypipe Terrain solvent-weld cement 250ml,Polypipe,31.82,This Polypipe Terrain solvent weld cement is for solvent jointing of uPVC and ABS fittings in non-pressure systems.,Trade Essentials/Soldering and Brazing Supplies/Soldering and Brazing Supplies.csv -> Polypipe Terrain solvent-weld cement 250ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/25/03/NW-F32503_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Polypipe_TerrainS&W_Brochure.pdf,,,,,,,,,,,,,,,,,,,,
