,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Colour,Diameter,Range,Thickness,Warranty,Hazardous,Material,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Size,Pipe Size,Attachment 4,Attachment 5,Attachment 6,Feature 13,Length (M),Material Type,Pack Quantity,Weight,Connection Size,Connection Type,Drainage Product Type,Minimum Operating Temperature,Resistance Features,Wall Thickness (mm),Maximum Operating Temperature,Paintable,Standards,Application,Attachment 7,Attachment 8,Attachment 9,Attachment 10,Attachment 11
47,P187236,Isover glass foiled insulation 1.2mtr x 28mm x 25mm,Isover,70.63,"Supplied in a 1.2M length, this Isover 28 x 25mm foiled glass mineral wool insulation includes pre-formed snap-on sections for ease of installation, along with self-adhesive lap for the reliable sealing of a strong vapour barrier. Reducing the number of joints required across a system, this well-designed insulation minimises time spent on-site.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Isover glass foiled insulation 1.2mtr x 28mm x 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/46/187226_187246_wm.jpg,,,,Natural,,,2.5 mm,,N,Glass Mineral Wool,LAGG028025,Pipe Insulation,N,Glass mineral wool construction,Natural colour,"Fast, simple installation saves on-site time",Quick snap-on sections,Self-adhesive overlap reduces need for tape,CE marked to EN14303,,,,,,,,28 mm,,,,,,,,,,,,,,,,,,,,,,,
48,P621340,Armaflex Evo technical insulation 5/8in OD x 1/2in WT - 2mtr,Armaflex,2.8,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Armaflex Evo technical insulation 5/8in OD x 1/2in WT - 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,15 mm,Evo,1.5 mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU13015000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,
49,P621398,Armaflex Evo AC coil 7/8OD X 1/2WT (13022) 26M,Armaflex,56.18,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo 7/8"" OD x 1/2"" WT pipe insulation is designed with a unique microcell structure for easy installation with no need for an additional vapour barrier. Supplied in a 15M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Armaflex Evo AC coil 7/8OD X 1/2WT (13022) 26M",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/99/621374_621399_wm.jpg,,,,Black,22 mm,Evo,22mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU13022299,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,Self-seal tube format speeds up installation,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,,,,,,5 year warranty,,,,,,,,,,,,,,,,,,,
50,P189011,Rockwool Rock Foiled insulation 1mtr x 27mm x 25mm,Rockwool,79.46,"ROCKWOOL RockLap H&V Sections are pre-formed sections of stone wool insulation, manufactured pre-slit for ease of application and have a layer of factory applied foil facing and a self-adhesive lap. The self-adhesive lap allows the sections to be snapped onto the pipework, then backing tape used to completely seal the joint.  The sections have been designed to provide acoustic and thermal insulation to heating, ventilation and air conditioning pipework, from temperatures of 0C to 250C.  In addition to insulating to save energy and minimise heat loss, insulation is required to services and equipment for other specific criteria such as Frost Protection, Condensation Control, Personnel Protection and Acoustic Control.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Rockwool Rock Foiled insulation 1mtr x 27mm x 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/12/189010_189012_wm.jpg,,,,Natural,,Rock Foiled,2.5 mm,,N,Rock Mineral Wool,03C027025,Pipe Insulation,N,"Quick, easy installation reduces costs and time on site",Tape requirement reduced,Rock mineral wool,CE marked to EN 14303,,,,,,,,,,27 mm,,,,,1,,,,,,,,,,,,,,,,,,
51,P621338,Armaflex Evo technical insulation 3/8in OD x 1/2in WT - 2mtr,Armaflex,2.68,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Armaflex Evo technical insulation 3/8in OD x 1/2in WT - 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,10 mm,Evo,10 mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU13010000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,
52,P187240,Isover glass foiled insulation 1.2mtr x 54mm x 25mm,Isover,104.24,"Supplied in a 1.2M length, this Isover 54 x 25mm foiled glass mineral wool insulation includes pre-formed snap-on sections for ease of installation, along with self-adhesive lap for the reliable sealing of a strong vapour barrier. Reducing the number of joints required across a system, this well-designed insulation minimises time spent on-site.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Isover glass foiled insulation 1.2mtr x 54mm x 25mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/72/46/187226_187246_wm.jpg,,,,Natural,,,2.5 mm,,N,Glass Mineral Wool,LAGG054025,Pipe Insulation,N,Glass mineral wool construction,Natural colour,"Fast, simple installation saves on-site time",Quick snap-on sections,Self-adhesive overlap reduces need for tape,CE marked to EN14303,,,,,,,,54mm,,,,,,,,,,,,,,,,,,,,,,,
53,P190693,Climaflex Pipe Insulation slit pipe insulation 15 x 19mm 2mtr,Climaflex,5.13,"Climaflex 19mm thick pipe insulation is made of flexible foamed, closed cell polyethylene with NMC Nature foam, containing at least 50% renewable raw materials for a more environmentally-friendly installation. Supplied in 2M lengths, this professional grade slit insulation is designed for 15mm pipes.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Climaflex Pipe Insulation slit pipe insulation 15 x 19mm 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/96/190693_190696_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Climaflex_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Climaflex_Product_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Climaflex_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Climaflex_nmc_Nature_Foam_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Climaflex_Leaflet_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/Climaflex_Decla_Of_Performance.pdf,,,,,,,,,,,,,,,,,,,,
54,P511061,Center CB nail type pipe clip 22mm,Center CB,0.08,This robust Center CB standard 22mm white polypropylene nail clip provides excellent pipe retention.,"Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Center CB nail type pipe clip 22mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/10/61/NW-511060_511061_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Center_CB_LTD_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,PT82107,Jubilee Original zinc plated mild steel hose clip 25-35mm,Jubilee,1.03,"Made of zinc-protected mild steel, this Jubilee Original range clip offers a clamping size of 25 - 35mm and is suitable for joining hose in a wide range of applications, from automotive industry and the automotive aftermarket to the agricultural sector, including irrigation and farm machinery, from pneumatic and hydraulic use in the industrial sector through to hardware, DIY and construction.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Jubilee Original zinc plated mild steel hose clip 25-35mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/21/10/NW-T82107_T82110_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Lit-Jubilee-Original-Range_Catalogue.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,P129906,Armaflex evo slit 13mm thk 28mm od pipe 2m,Armaflex,15.29,"Offering flexible insulation against condensation, freezing and energy losses, this 2M length of Armaflex Evo 28mm elastomeric foam insulation can be used on pipes, air ducts and vessels. With a 13mm thickness, Armaflex Evo is suitable for hot and cold water services, air conditioning and refrigeration pipework, chilled water pipes and heating systems.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Armaflex evo slit 13mm thk 28mm od pipe 2m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/06/129906_wm.jpg,,,,Black,,,13mm,,N,Flexible Elastometic Foam insulation,IAFEU13028100,Thermal insulation,N,Reliably controls condensation,Offers effective reduction of thermal losses,Built-in Microban antimicrobial protection reduces mould and bacteria growth,Closed cell structure,Dust and fibre free,Xero GWP,Pre-slit tube for ease of installation,"Euroclass BL-s2,d0 fire performance",FM Approved,,,,,28 mm,,,,,,,,,,,,,,,,,,,,,,,
57,P190682,Climaflex Pipe Insulation semi-slit pipe insulation 15 x 9mm,Climaflex,1.92,"Climaflex 9mm thick pipe insulation is made of flexible foamed, closed cell polyethylene with NMC Nature foam, containing at least 50% renewable raw materials for a more environmentally-friendly installation. Supplied in 2M lengths, this professional grade slit insulation is designed for 15mm pipes.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Climaflex Pipe Insulation semi-slit pipe insulation 15 x 9mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/86/190682_190686_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Climaflex_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Climaflex_Product_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Climaflex_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Climaflex_Leaflet_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Climaflex_nmc_Nature_Foam_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/Climaflex_Decla_Of_Performance.pdf,,,,,,,,,,,,,,,,,,,,
58,P190695,Climaflex Pipe Insulation slit pipe insulation 28 x 19mm,Climaflex,6.94,"Climaflex 19mm thick pipe insulation is made of flexible foamed, closed cell polyethylene with NMC Nature foam, containing at least 50% renewable raw materials for a more environmentally-friendly installation. Supplied in 2M lengths, this professional grade slit insulation is designed for 28mm pipes.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Climaflex Pipe Insulation slit pipe insulation 28 x 19mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/96/190693_190696_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Climaflex_Installation_Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Climaflex_Product_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_h/&s/Climaflex_H&S.pdf,,,,,,,,,,,,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Climaflex_nmc_Nature_Foam_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/15/Climaflex_Leaflet_2015.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/an/ce/Climaflex_Decla_Of_Performance.pdf,,,,,,,,,,,,,,,,,,,,
59,P511425,Talon Pipe Cover flat corner for double cover 15mm,Talon,1.9,"Offering a high quality, neat and professional finish, this Talon Pipe Cover 15mm uPVC flat corner is designed to conceal a gap where skirting cover lengths meet and is ideal for use where a vertical cover meets a horizontal cover.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Talon Pipe Cover flat corner for double cover 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/25/NW-511425_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talon_Pipe_Cover_V2_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Talon_Pipe_Cover_Accessories_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,P511633,Talon TS single flexi-clip 35mm,Talon,1.73,"Suitable for use with a range of 31.8 - 35mm pipes, this Talon TS flexi clip range is made of quality polypropylene, providing strong, long-lasting pipe fixing.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Talon TS single flexi-clip 35mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/16/33/NW-511630_511633_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Talon_Flexi_Hinged_Clips_Technical.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,P189229,Isover Glass Foiled insulation 1.2mtr x 54mm x 20mm,Isover,29.38,"CLIMPIPE Sections can be considered for the thermal and acoustic insulation of pipework. Robust and lightweight, they feature pre-formed ‘snap on’ sections with a reinforced self-adhesive overlap to help ensure a strong vapour barrier. Manufactured in 1.2m lengths, they offer the opportunity for fewer joints than traditional 1m products, helping to reduce thermal bridging.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Isover Glass Foiled insulation 1.2mtr x 54mm x 20mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/92/29/189229_wm.jpg,,,,Natural,,Glass Foiled,20 mm,,N,Glass Mineral Wool,03P054020,Pipe Insulation,N,"Quick, easy installation reduces costs and time on site",Tape requirement reduced,Glass mineral wool,CE marked to EN 14303,,,,,,,,,,54mm,,,,,1/2,,,,,,,,,,,,,,,,,,
62,P597031,Flamco RKW fixing 15mm White,Flamco,0.47,"Providing a neat finish to any installation this Flamco RKW 15mm white pipe escutcheon plate conceals messy pipe holes in walls, floors or ceilings.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Flamco RKW fixing 15mm White",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/70/35/NW-597030_597035_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Flamco_Domestic_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,P129905,Armaflex evo slit 13mm thk 22mm od pipe 2m,Armaflex,12.7,"Offering flexible insulation against condensation, freezing and energy losses, this 2M length of Armaflex Evo 22mm elastomeric foam insulation can be used on pipes, air ducts and vessels. With a 13mm thickness, Armaflex Evo is suitable for hot and cold water services, air conditioning and refrigeration pipework, chilled water pipes and heating systems.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Armaflex evo slit 13mm thk 22mm od pipe 2m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/05/129905_wm.jpg,,,,Black,,,13mm,,N,Flexible Elastometic Foam insulation,IAFEU13022100,Thermal insulation,N,Reliably controls condensation,Offers effective reduction of thermal losses,Built-in Microban antimicrobial protection reduces mould and bacteria growth,Closed cell structure,Dust and fibre free,Xero GWP,Pre-slit tube for ease of installation,"Euroclass BL-s2,d0 fire performance",FM Approved,,,,,22 mm,,,,,,,,,,,,,,,,,,,,,,,
64,P621339,Armaflex Evo technical insulation 1/2in OD x 1/2in WT - 2mtr,Armaflex,2.72,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Armaflex Evo technical insulation 1/2in OD x 1/2in WT - 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,12 mm,Evo,1.2 mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU13012000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,
65,P511430,Talon Pipe Cover stop end for double cover 15mm,Talon,1.33,"Offering a high quality, neat and professional finish, this Talon Pipe Cover 15mm uPVC double stop end conceals a gap where pipe cover lengths end.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Talon Pipe Cover stop end for double cover 15mm",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/30/NW-511430_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/og/ue/Talon_Pipe_Cover_V2_Catalogue.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Talon_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/te/ch/Talon_Pipe_Cover_Accessories_Tech.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,P129868,Armaflex evo self seal 19mm thk 22mm od 2m,Armaflex,15.31,"Offering flexible insulation against condensation, freezing and energy losses, this 2M length of Armaflex Evo self-seal 22mm elastomeric foam insulation can be used on pipes, air ducts and vessels. With a 19mm thickness, Armaflex Evo is suitable for hot and cold water services, air conditioning and refrigeration pipework, chilled water pipes and heating systems.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Armaflex evo self seal 19mm thk 22mm od 2m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/68/129868_wm.jpg,,,,Black,,,19mm,,N,Flexible Elastometic Foam insulation,IAFEU19022600,Thermal insulation,N,Reliably controls condensation,Offers effective reduction of thermal losses,Built-in Microban antimicrobial protection reduces mould and bacteria growth,Closed cell structure,Dust and fibre free,Xero GWP,Pre-slit tube for ease of installation,Self-sealing for faster fitting,"Euroclass BL-s2,d0 fire performance",FM Approved,,,,22 mm,,,,,,,,,,,,,,,,,,,,,,,
67,P621337,Armaflex Evo technical insulation 1/4in OD x 1/2in WT - 2mtr,Armaflex,2.54,"Offering flexible and reliable condensation control, AF/ArmaFlex Evo technical pipe insulation has a closed-cell insulation material structure and built-in Microban antimicrobial protection. Supplied in a 2M coil, this insulation has very low thermal conductivity alongside high levels of resistance to water vapour transmission, helping to reduce energy losses during the long term while also minimising moisture ingress and reducing the risk of corrosion under insulation (CUI). Suitable for installation in public buildings and for use in process industries, AF Evo has inbuilt antimicrobial protection and high levels of fire performance make it a reliable choice for even the most challenging of situations. In addition to insulation, the AF/Armaflex range includes fire sleeves, pipe supports and adhesives for a comprehensive single-brand solution.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Armaflex Evo technical insulation 1/4in OD x 1/2in WT - 2mtr",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/13/68/621324_621368_wm.jpg,,,,Black,6 mm,Evo,6mm,5 Years,N,Closed cell flexible elastomeric foam insulation,IAFEU13006000,Pipe Insulation,N,Black colour,Made using a closed cell material,Built-in water vapour barrier reduces corrosion under insulation (CUI) risk,Built-in Microban® antimicrobial protection for reduced risk of mould and bacteria growth,Low thermal conductivity value of 0.033 W/m K at 0°C),Highest system reliability if installed with ArmaFix pipe supports and ArmaFlex adhesives,FM approved,"Meets Euroclass B/BL-s2, d0",BRE Green Guide A rating,CE marked,Meets EN 14304,5 year warranty,,,,,,,,,,,,,,,,,,,,,,,,,
68,P129857,Armaflex evo self seal 13mm thk 28mm od 2m,Armaflex,10.92,"Offering flexible insulation against condensation, freezing and energy losses, this 2M length of Armaflex Evo self-seal 28mm elastomeric foam insulation can be used on pipes, air ducts and vessels. With a 13mm thickness, Armaflex Evo is suitable for hot and cold water services, air conditioning and refrigeration pipework, chilled water pipes and heating systems.","Pipe, Valves and Fittings/Pipe Support Systems/Pipe Support Systems.csv -> Armaflex evo self seal 13mm thk 28mm od 2m",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/57/129857_wm.jpg,,,,Black,,,13mm,,N,Flexible Elastometic Foam insulation,IAFEU13028600,Thermal insulation,N,Reliably controls condensation,Offers effective reduction of thermal losses,Built-in Microban antimicrobial protection reduces mould and bacteria growth,Closed cell structure,Dust and fibre free,Xero GWP,Pre-slit tube for ease of installation,Self-sealing for faster fitting,"Euroclass BL-s2,d0 fire performance",FM Approved,,,,28 mm,,,,,,,,,,,,,,,,,,,,,,,
