,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Attachment 4,Range,Hazardous,Material,Number of Ports,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Connection Size,Warranty,Depth (mm),Dimensions (L x W x D),Feature 8,Feature 9,Feature 10,Feature 11,Feature 12,Feature 13,Feature 14
22,P581484,JG Underfloor LowFit 4 port manifold stainless steel 12mm conns,JG Underfloor,219.8,"Manufactured to the best possible quality, the high performance JG Speedfit LowFit four port underfloor heating manifold promises reliability and longevity. Manufactured in stainless steel, this manifold offers quick and easy installation thanks to its Speedfit push-fit connections, pre-assembled wall brackets and ready-fitted vibration isolation mounts and automatic air vent. Suitable for left or right handed supplies, this manifold comes fully assembled with flow and return rails and with adjustable flow meters and a fill valve included. Protective dust caps on the return rail are suitable for removal, opening and closing flow to pipe loops for the installation of circuit actuator valves.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor LowFit 4 port manifold stainless steel 12mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/87/NW-581482_581487_wm.jpg,,,,,Lowfit,N,Stainless Steel,4,JGLOWFITMAN4,Manifold,N,4 ports,Stainless steel construction,High performance,"Easy, quick install with 12mm Speedfit connections",Speedfit connections eliminate requirement for reducing adaptors,Pre-mounted brackets and vibration isolation mount for ease of installation,Integral automatic air vent eliminates the air that may impact circulation,12 mm,2 Year,,,Valves on return manifold compatible with thermoelectric heads,Rail valves on return rail for easy connection of circuit actuators,Suitable for left- or right-hand supply,Maximum working pressure 3 bar,Maximum test pressure 10 bar,Working temperature 30 - 55°C,2 year warranty
23,P581432,JG Underfloor speedfit 8 port manifold 15mm conns,JG Underfloor,353.52,"This stainless steel JG Speedfit eight zone underfloor heating manifold is manufactured to the highest standards for robust reliability. With Speedfit Push-fit connections and pre-fitted with brackets, vibration isolation mounts and automatic air vent, this manifold is ultra-easy and fast to install.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor speedfit 8 port manifold 15mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/32/581432_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG UFH Fittings Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_UFH_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
24,P581503,JG Underfloor 7 port JGUFHMAN7/3 manifold s/s 15mm connections,JG Underfloor,318.24,"Keeping underfloor heating pipework in one place, the JG Underfloor seven port manifold distributes warm water through pipe circuits for even warmth without hot spots. Manufactured in stainless steel to very high standards, this manifold offers quick, simple installation thanks to its JG Speedfit connections, integral air vent and fill valve and its pre-assembled wall bracket and vibration isolation mount. Additionally, pre-assembled flow rate indicators allow for the easy adjustment of flow and pipe circuit isolation. Protective dust caps on the return rail are suitable for removal, opening and closing flow to pipe loops for the installation of circuit actuator valves. Suitable for use with the JG Aura wiring centre and JG Aura heating controls, the JG Underfloor manifold can also be used for independent zone control.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor 7 port JGUFHMAN7/3 manifold s/s 15mm connections,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/03/NW-581503_wm.jpg,,,,,7 port,N,Stainless Steel,7,JGUFHMAN7/3,N/A,N,High performance stainless steel manifold with 7 ports,Easy to fit wall bracket and vibration isolation mount,Fast and simple push-fit connections (JG Speedfit),"Integral air vent, fill valve and adjustable flow meter",Versatile assembly for left or right-hand supply,Protective and removable dust caps,Suitable for use with JG Speedfit PEX and polybutylene barrier pipe (inserts required),15mm,2,60.5,120x336x605,"Screw plugs, pipe inserts (STS) and collet clips supplied",Suitable for underfloor heating applications only,,,,,
25,P581430,JG Underfloor speedfit 4 port manifold 15mm conns,JG Underfloor,221.92,"This stainless steel JG Speedfit four zone underfloor heating manifold is manufactured to the highest standards for robust reliability. With Speedfit Push-fit connections and pre-fitted with brackets, vibration isolation mounts and automatic air vent, this manifold is ultra-easy and fast to install.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor speedfit 4 port manifold 15mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/30/581430_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG UFH Fittings Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_UFH_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
26,P581434,JG Underfloor speedfit 12 port manifold 15mm conns,JG Underfloor,487.61,"This stainless steel JG Speedfit 12 zone underfloor heating manifold is manufactured to the highest standards for robust reliability. With Speedfit Push-fit connections and pre-fitted with brackets, vibration isolation mounts and automatic air vent, this manifold is ultra-easy and fast to install.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor speedfit 12 port manifold 15mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/34/581434_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG UFH Fittings Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_UFH_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
27,P581482,JG Underfloor LowFit 2 port manifold stainless steel 12mm conns,JG Underfloor,174.71,"Manufactured to the best possible quality, the high performance JG Speedfit LowFit two port underfloor heating manifold promises reliability and longevity. Manufactured in stainless steel, this manifold offers quick and easy installation thanks to its Speedfit push-fit connections, pre-assembled wall brackets and ready-fitted vibration isolation mounts and automatic air vent. Suitable for left or right handed supplies, this manifold comes fully assembled with flow and return rails and with adjustable flow meters and a fill valve included. Protective dust caps on the return rail are suitable for removal, opening and closing flow to pipe loops for the installation of circuit actuator valves.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor LowFit 2 port manifold stainless steel 12mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/87/NW-581482_581487_wm.jpg,,,,,Lowfit,N,Stainless Steel,2,JGLOWFITMAN2,Manifold,N,2 ports,Stainless steel construction,High performance,"Easy, quick install with 12mm Speedfit connections",Speedfit connections eliminate requirement for reducing adaptors,Pre-mounted brackets and vibration isolation mount for ease of installation,Integral automatic air vent eliminates the air that may impact circulation,12 mm,2 Year,,,Valves on return manifold compatible with thermoelectric heads,Rail valves on return rail for easy connection of circuit actuators,Suitable for left- or right-hand supply,Maximum working pressure 3 bar,Maximum test pressure 10 bar,Working temperature 30 - 55°C,2 year warranty
28,P567634,Wavin Hep2O 15UH513 underfloor heating composite manifold 3-piece balancing adaptor 15mm,Wavin,152.46,"Serving two or more plumbed UFH circuits connected to a boiler or alternative heat source, this Wavin Hep2O underfloor heating composite manifold includes three ports and 15mm connections. Should the underfloor heating be connected to a high temperature heat source that also controls hot water or radiators, a mixing unit will need to be connected to this manifold. This will ensure that water is mixed to the correct temperature for the system.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> Wavin Hep2O 15UH513 underfloor heating composite manifold 3-piece balancing adaptor 15mm,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/76/34/567634_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ui/de/Hep2o_Underfloor_Product-Guide.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Hep2o_Underfloor_Manifold_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,P581487,JG Underfloor LowFit 7 port manifold stainless steel 12mm conns,JG Underfloor,318.24,"Manufactured to the best possible quality, the high performance JG Speedfit LowFit seven port underfloor heating manifold promises reliability and longevity. Manufactured in stainless steel, this manifold offers quick and easy installation thanks to its Speedfit push-fit connections, pre-assembled wall brackets and ready-fitted vibration isolation mounts and automatic air vent. Suitable for left or right handed supplies, this manifold comes fully assembled with flow and return rails and with adjustable flow meters and a fill valve included. Protective dust caps on the return rail are suitable for removal, opening and closing flow to pipe loops for the installation of circuit actuator valves.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor LowFit 7 port manifold stainless steel 12mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/87/NW-581482_581487_wm.jpg,,,,,Lowfit,N,Stainless Steel,7,JGLOWFITMAN7,Manifold,N,7 ports,Stainless steel construction,High performance,"Easy, quick install with 12mm Speedfit connections",Speedfit connections eliminate requirement for reducing adaptors,Pre-mounted brackets and vibration isolation mount for ease of installation,Integral automatic air vent eliminates the air that may impact circulation,12 mm,2 Year,,,Valves on return manifold compatible with thermoelectric heads,Rail valves on return rail for easy connection of circuit actuators,Suitable for left- or right-hand supply,Maximum working pressure 3 bar,Maximum test pressure 10 bar,Working temperature 30 - 55°C,2 year warranty
30,P581502,JG Underfloor 5 port JGUFHMAN5/3 manifold s/s 15mm connections,JG Underfloor,242.94,"Keeping underfloor heating pipework in one centralised place, the JG Underfloor five port manifold distributes warm water through pipe circuits for even warmth without hot spots. Manufactured in stainless steel to very high standards, this manifold offers quick, simple installation thanks to its JG Speedfit connections, integral air vent and fill valve and its pre-assembled wall bracket and vibration isolation mount. Additionally, pre-assembled flow rate indicators allow for the easy adjustment of flow and pipe circuit isolation. Protective dust caps on the return rail are suitable for removal, opening and closing flow to pipe loops for the installation of circuit actuator valves. Suitable for use with the JG Aura wiring centre and JG Aura heating controls, the JG Underfloor manifold can also be used for independent zone control.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor 5 port JGUFHMAN5/3 manifold s/s 15mm connections,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/02/NW-581502_wm.jpg,,,,,5 port,N,Stainless Steel,5,JGUFHMAN5/3,N/A,N,High performance stainless steel manifold with 5 ports,Easy to fit wall bracket and vibration isolation mount,Fast and simple push-fit connections (JG Speedfit),"Integral air vent, fill valve and adjustable flow meter",Versatile assembly for left or right-hand supply,Protective and removable dust caps,Suitable for use with JG Speedfit PEX and polybutylene barrier pipe (inserts required),15mm,2,405,120x336x405,"Screw plugs, pipe inserts (STS) and collet clips supplied",Suitable for underfloor heating applications only,,,,,
31,P581491,JG Underfloor Lowfit JGLOWFITMAN11 11 port manifold stainless steel 12mm conns,JG Underfloor,451.58,"Distributing warm water via low profile pipework, the JG Underfloor LowFit 12mm 11-port UFH manifold is manufactured to a high level in tough stainless steel. Fitted using JG Speedfit push-fit connections, this manifold is easy and quick to install thanks to the supplied pre-mounted bracket and vibration isolation mount. Ready assembled, the LowFit UFH manifold is supplied complete with vital components including flow and return rails, an automatic air vent, adjustable flow meters and a fill valve. In addition, protective dust caps are supplied on the return rail, removable if circuit actuator valves are installed, allowing for the opening and closing of water flow around pipe loops.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor Lowfit JGLOWFITMAN11 11 port manifold stainless steel 12mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/91/NW-581491_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JG_LowFit_UFH_Manifold_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/JG_Underfloor_Heating_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,P581492,JG Underfloor Lowfit JGLOWFITMAN12 12 port manifold stainless steel 12mm conns,JG Underfloor,482.99,"Distributing warm water via low profile pipework, the JG Underfloor LowFit 12mm 12-port UFH manifold is manufactured to a high level in tough stainless steel. Fitted using JG Speedfit push-fit connections, this manifold is easy and quick to install thanks to the supplied pre-mounted bracket and vibration isolation mount. Ready assembled, the LowFit UFH manifold is supplied complete with vital components including flow and return rails, an automatic air vent, adjustable flow meters and a fill valve. In addition, protective dust caps are supplied on the return rail, removable if circuit actuator valves are installed, allowing for the opening and closing of water flow around pipe loops.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor Lowfit JGLOWFITMAN12 12 port manifold stainless steel 12mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/92/NW-581492_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JG_LowFit_UFH_Manifold_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/JG_Underfloor_Heating_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,P581428,JG Underfloor speedfit 2 port manifold 15mm conns,JG Underfloor,176.39,"Manufactured to the best possible quality, the JG Speedfit two zone underfloor heating manifold promises reliability and longevity. Manufactured in stainless steel, this manifold offers quick and easy installation thanks to its Speedfit push-fit connections, pre-assembled wall brackets and ready-fitted vibration isolation mounts and automatic air vent.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor speedfit 2 port manifold 15mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/28/581428_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG_Speedfit_Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/JG UFH Fittings Brochure.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/JG_Speedfit_UFH_Install.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,
34,P581483,JG Underfloor LowFit 3 port manifold stainless steel 12mm conns,JG Underfloor,198.2,"Manufactured to the best possible quality, the high performance JG Speedfit LowFit three port underfloor heating manifold promises reliability and longevity. Manufactured in stainless steel, this manifold offers quick and easy installation thanks to its Speedfit push-fit connections, pre-assembled wall brackets and ready-fitted vibration isolation mounts and automatic air vent. Suitable for left or right handed supplies, this manifold comes fully assembled with flow and return rails and with adjustable flow meters and a fill valve included. Protective dust caps on the return rail are suitable for removal, opening and closing flow to pipe loops for the installation of circuit actuator valves.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor LowFit 3 port manifold stainless steel 12mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/87/NW-581482_581487_wm.jpg,,,,,Lowfit,N,Stainless Steel,3,JGLOWFITMAN3,Manifold,N,3 ports,Stainless steel construction,High performance,"Easy, quick install with 12mm Speedfit connections",Speedfit connections eliminate requirement for reducing adaptors,Pre-mounted brackets and vibration isolation mount for ease of installation,Integral automatic air vent eliminates the air that may impact circulation,12 mm,2 Year,,,Valves on return manifold compatible with thermoelectric heads,Rail valves on return rail for easy connection of circuit actuators,Suitable for left- or right-hand supply,Maximum working pressure 3 bar,Maximum test pressure 10 bar,Working temperature 30 - 55°C,2 year warranty
35,P581489,JG Underfloor Lowfit JGLOWFITMAN9 9 port manifold stainless steel 12mm conns,JG Underfloor,386.55,"Distributing warm water via low profile pipework, the JG Underfloor LowFit 12mm 9-port UFH manifold is manufactured to a high level in tough stainless steel. Fitted using JG Speedfit push-fit connections, this manifold is easy and quick to install thanks to the supplied pre-mounted bracket and vibration isolation mount. Ready assembled, the LowFit UFH manifold is supplied complete with vital components including flow and return rails, an automatic air vent, adjustable flow meters and a fill valve. In addition, protective dust caps are supplied on the return rail, removable if circuit actuator valves are installed, allowing for the opening and closing of water flow around pipe loops.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor Lowfit JGLOWFITMAN9 9 port manifold stainless steel 12mm conns,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/14/89/NW-581489_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/JG_LowFit_UFH_Manifold_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/21/JG_Underfloor_Heating_Brochure_2021.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,P581504,JG Underfloor 9 port JGUFHMAN9/3 manifold s/s 15mm connections,JG Underfloor,386.55,"Keeping underfloor heating pipework in one place, the JG Underfloor nine port manifold distributes warm water through pipe circuits for even warmth without hot spots. Manufactured in stainless steel to very high standards, this manifold offers quick, simple installation thanks to its JG Speedfit connections, integral air vent and fill valve and its pre-assembled wall bracket and vibration isolation mount. Additionally, pre-assembled flow rate indicators allow for the easy adjustment of flow and pipe circuit isolation. Protective dust caps on the return rail are suitable for removal, opening and closing flow to pipe loops for the installation of circuit actuator valves. Suitable for use with the JG Aura wiring centre and JG Aura heating controls, the JG Underfloor manifold can also be used for independent zone control.",Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> JG Underfloor 9 port JGUFHMAN9/3 manifold s/s 15mm connections,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/15/04/NW-581504_wm.jpg,,,,,9 port,N,Stainless Steel,9,JGUFHMAN9/3,N/A,N,High performance stainless steel manifold with 9 ports,Easy to fit wall bracket and vibration isolation mount,Fast and simple push-fit connections (JG Speedfit),"Integral air vent, fill valve and adjustable flow meter",Versatile assembly for left or right-hand supply,Protective and removable dust caps,Suitable for use with JG Speedfit PEX and polybutylene barrier pipe (inserts required),15mm,2,60.5,120x336x605,"Screw plugs, pipe inserts (STS) and collet clips supplied",Suitable for underfloor heating applications only,,,,,
37,PP91795,"Uponor UNI-C manifold l-end cap 3/4""",Uponor,3.45,"A Uponor UNI-C 3/4"" brass end cap.","Renewables/Heat Emitters/Underfloor Heating/Underfloor Heating Manifolds/Underfloor Heating Manifolds.csv -> Uponor UNI-C manifold l-end cap 3/4""",,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/17/95/NW-P91795_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Uponor_Plumbing&Heating_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,
