,pid,Title,Brand,Price,Description,category,mfpartnumber,whatisincluded,Image,Attachment 1,Attachment 2,Attachment 3,Hazardous,Supplier Product Code,Type,WEEE Compliant,Feature 1,Feature 2,Pack Quantity,Range,Feature 3,Feature 4,Feature 5,Feature 6,Feature 7,Attachment 4,Model For Use With,Attachment 5,Warranty,Weight,For Use With
24,P696503,Pump House Coil Care AER-I-600 indoor coil cleaner and disinfectant 600ml,Pump House,20.05,"Pump House Coil Care fragranced evaporator cleaner and disinfectant is formulated to remove bacteria, fungi and viruses, neutralise odours and improve air quality. Coil Care's highly effective cleaning action improves the efficiency of an air conditioning system while cleaning and freshening the coil.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House Coil Care AER-I-600 indoor coil cleaner and disinfectant 600ml,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/65/03/NW-696503_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pump_House_696503_Technical.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_s/ds/Pump_House_Coil_Care_SDS.pdf,,,,,,,,,,,,,,,,,,,,
25,P604936,Daikin 5014878 Wire Harness Inv Fan,Daikin,76.87,A Daikin wire harness invert fan.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 5014878 Wire Harness Inv Fan,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/36/NW-604936_wm.jpg,,,,N,5014878,Wire harness,N,,,,,,,,,,,Inverter Fans,,,,
26,P600634,Fujitsu UTDLFNB Duct Long-Life Filter Kit (For 18/24/30),Fujitsu,49.2,This Fujitsu filter kit is suitable for ARXG 12/14/18/22/24/30/36/45/54 KHTAP and ARYG 12/14/18/24/30/36/45/54 LHTBP air conditioning units.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Fujitsu UTDLFNB Duct Long-Life Filter Kit (For 18/24/30),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/34/NW-600634_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_CS_OP_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,
27,P604753,Daikin 142417J Fan Motor 566V - 750W,Daikin,883.46,"This Daikin B180-56-857 566V, 750W fan motor is a replacement part for use in air conditioning units.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 142417J Fan Motor 566V - 750W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/53/NW-604753_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
28,P660103,Fujitsu UTDRF204 Spigots,Fujitsu,24.6,"This Fujitsu filter kit is suitable for ARXG 22/24/30/36/45 KMLA, ARYG 24/36/45 LMLA, ARYG 30/36 LMLE, ABYG 30/36 LRTE, ABYG 36/45/54 LRTA, ARXP 009/012/ 014/018 GLAH, ARXA 024/030/ 036/045 GLEH and ABYA 030/036/ 045/054 GTEH air conditioning units.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Fujitsu UTDRF204 Spigots,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/01/03/NW-660103_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Fujitsu_AR24_AO24_Tech_Manual.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_CS_OP_Catalogue_2020.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Fujitsu_UTDRF204_Technical.pdf,,,,,,,,,,,,,,,,,,,
29,P606924,Daikin FXNQ50A R410A Low Level Indoor Vrv Chassis Unit 50 Class,Daikin,946.0,"Designed for concealed installation inside walls, the Daikin VRV indoor floor-standing air conditioning unit blends discreetly into its surrounding with only its suction and discharge grilles on show, ideal for those settings where space is limited.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin FXNQ50A R410A Low Level Indoor Vrv Chassis Unit 50 Class,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/24/NW-606920_606924_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_FXNQ-A_4PEN323720-1E_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_FXNQ_A_RoHS_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_FXNQ-A_4PEN393318-1C_Install.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FXNQ_Technical.pdf,,,
30,P619008,Fujitsu UTYVDGX Coil Unit For Air Handling Application,Fujitsu,689.72,This Fujitsu AHU DX coil interface for air handling is compatible with the brand's own VRF systems.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Fujitsu UTYVDGX Coil Unit For Air Handling Application,,UTY-VDGX and associated sensors required for installation,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/90/08/619008_wm.jpg,,,,N,UTYVDGX,AHU DX Coil interface,N,Includes sensors required for installation,For air handling applications,,,,,,,,,,,,,
31,P609836,Daikin 139863J Fan Blade P70K-11S,Daikin,443.13,This Daikin P70K-11S fan blade is a replacement part suitable for use in Daikin units.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 139863J Fan Blade P70K-11S,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/98/36/609836_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
32,P608579,Toshiba Carrier MCC-1596 PCB assembly MCC-1596,Toshiba Carrier,880.33,A Toshiba Carrier MCC-1596 PCB assembly for installation in air conditioning units.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Toshiba Carrier MCC-1596 PCB assembly MCC-1596,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/85/79/608579_wm.jpg,,,,N,4316V441,PCB Assembly,N,,,,,,,,,,,,,,,
33,P604705,Daikin 1696699 Pcb Pc0209-2,Daikin,620.75,A Daikin PC0209-2 PCB for air conditioning units.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 1696699 Pcb Pc0209-2,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/47/05/NW-604705_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
34,P618479,Fujitsu VR-II UTPRX01AH Rb Unit A Type,Fujitsu,296.06,This Fujitsu VR-II UTPRX01AH RB single A Type unit is for use with a VRF.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Fujitsu VR-II UTPRX01AH Rb Unit A Type,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/84/79/618479_wm.jpg,,,,N,UTPRX01AH,RB Box,N,Maximum capacity of connectable indoor units: equal to or less than 8kW,,,VR-II,,,,,,,,,3 Years,,
35,P604617,Daikin 1992809 Pcb (Ec09093),Daikin,455.51,"The Daikin EC09093 PCB is suitable for use in a wide selection of Daikin units, including those in the FCQG and FXFSP ranges.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 1992809 Pcb (Ec09093),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/46/17/604617_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
36,P695430,Pump House 7 insulation wall clamp 7/8 inner diameter 3/4,Pump House,10.89,"The Pump House Klo-Shure 7 insulation coupling in 7/8"" x 3/4"" is a one-piece tubular sleeve with an internal configuration designed to support, secure and seal tubular insulation while supporting and levelling copper tubing in strut-mounted suspension devices and drop hangers. With Klo-Shure there's no need to double-wrap, glue and tape insulation and insulating copper tubing for refrigerant lines is faster. A patented clamp allows sections of closed-cell insulation to be secured at fixing points.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House 7 insulation wall clamp 7/8 inner diameter 3/4,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/NW-695426_695434_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pump_House_Klo-Shure_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pump_House_Klo-Shure_Line_DWG.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pump_House_Klo-Shure_Technical.pdf,,,,,
37,P609902,Daikin 300735P Fan Motor 566V 750W,Daikin,515.97,"A Daikin DMSB18P80DK4 556V, 750W fan motor for use in air conditioning systems.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 300735P Fan Motor 566V 750W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/02/NW-609902_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
38,P685093,Fujitsu UTYRVRY Designer Remote Controller Utyrvry,Fujitsu,318.98,This Fujitsu UTYRVRY Designer remote controller makes controlling a unit easy via an intuitive touchscreen.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Fujitsu UTYRVRY Designer Remote Controller Utyrvry,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/50/93/685093_wm.jpg,,,,N,UTYRVRY,Remote controller,N,Touchscreen operation,Compatible with all current models,,,,,,,,,All current models,,,,
39,P609915,Daikin 301399P Fan Motor 280V,Daikin,255.82,This Daikin 280V fan motor is a replacement part suitable for use in Daikin units.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 301399P Fan Motor 280V,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/99/15/609915_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
40,P604940,Daikin 5014170 Pcb Assembly (Ec0641G),Daikin,1371.13,This Daikin EC0641G PCB assembly is a replacement part for use in air conditioning units.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 5014170 Pcb Assembly (Ec0641G),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/40/604940_wm.jpg,,,,N,5014170,PCB,N,,,,,,,,,,,PCB,,,,
41,P609771,Daikin 5009724 Fan Motor 280V 140W,Daikin,348.73,"A Daikin KFD-280-140-8B2 280V, 140W fan motor for use in air conditioning systems.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 5009724 Fan Motor 280V 140W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/97/71/609771_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
42,P604949,Daikin 5013740 Pcb Assembly (Ec070331F),Daikin,764.51,This Daikin EC07033-1F PCB assembly is a replacement part for use in air conditioning units.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 5013740 Pcb Assembly (Ec070331F),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/49/604949_wm.jpg,,,,N,5013740,PCB,N,,,,,,,,,,,,,,,
43,P604938,Daikin 4014853 Dc Fan Motor (Kfd-280-40-8K) 40W,Daikin,156.0,This Daikin KFD-280-40-8K DC 40W fan motor is a replacement part for use in air conditioning units.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 4014853 Dc Fan Motor (Kfd-280-40-8K) 40W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/38/604938_wm.jpg,,,,N,4014853,fan motor,N,DC fan motor,40W power rating,,,,,,,,,air conditioning units,,,,
44,P604268,Toshiba Carrier MCC-5009 PCB MCC-5009,Toshiba Carrier,658.41,"this Daikin EC0419-1 RZQ100 printed circuit board, or PCB, is a replacement part for use in the digital inverter of air conditioning units.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Toshiba Carrier MCC-5009 PCB MCC-5009,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/68/604268_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Toshiba_Carrier_RAV-SM_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
45,P695412,Pump House 7 insulation wall clamp 1/2 inner diameter 1/2,Pump House,5.52,"The Pump House Klo-Shure 7 insulation coupling in 1/2"" x 1/2"" is a one-piece tubular sleeve with an internal configuration designed to support, secure and seal tubular insulation while supporting and levelling copper tubing in strut-mounted suspension devices and drop hangers. With Klo-Shure there's no need to double-wrap, glue and tape insulation and insulating copper tubing for refrigerant lines is faster. A patented clamp allows sections of closed-cell insulation to be secured at fixing points.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House 7 insulation wall clamp 1/2 inner diameter 1/2,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/13/NW-695411_695413_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pump_House_Klo-Shure_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pump_House_Klo-Shure_Line_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pump_House_Klo-Shure_Technical.pdf,,,,,
46,P604266,Toshiba Carrier MF-230-600-1R fan motor 280vdc,Toshiba Carrier,761.96,A Toshiba Carrier MF-230-600-1R 280VDC replacement fan motor.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Toshiba Carrier MF-230-600-1R fan motor 280vdc,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/66/604266_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/nu/al/Toshiba_SMMS_SHRM_Service_Manual.pdf,,,,,,,,,,,,,,,,,,,,,
47,P600633,Fujitsu UTYLBTYM Infrared Receiver Kit,Fujitsu,210.95,"This Fujitsu air conditioning IR remote control interface receiver kit converts a hard-wired remote control to IR hand remote for control of the ARYG ducted range of units. The IR remote control system allows users to run and stop the unit, switch operations, adjust temperature, fan speed and air flow direction and control timer operation.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Fujitsu UTYLBTYM Infrared Receiver Kit,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/06/33/NW-600633_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/20/Fujitsu_CS_OP_Catalogue_2020.pdf,,,,,,,,,,,,,,,,,,,,,
48,P604958,Daikin 301317P Dc Fan Motor (8Pugbtef12Mdk536908) 350W,Daikin,342.69,This Daikin UGBTEF-12MDK536-908 350W DC fan motor is a replacement part for use in air conditioning units.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 301317P Dc Fan Motor (8Pugbtef12Mdk536908) 350W,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/58/604958_wm.jpg,,,,N,301317P,fan motor,N,DC fan motor,350W power rating,,,,,,,,,,,,,
49,P604275,Toshiba Carrier MCC-1502 PCB assembly,Toshiba Carrier,1056.63,A Toshiba Carrier MCC-1502 PCB assembly for air conditioning units.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Toshiba Carrier MCC-1502 PCB assembly,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/42/75/604275_wm.jpg,,,,N,4316V377,PCB,N,,,,,,,,,,,,,,1.49778,
50,P695429,Pump House 7 insulation wall clamp 3/4 inner diameter 3/4,Pump House,9.43,"The Pump House Klo-Shure 7 insulation coupling in 3/4"" x 3/4"" is a one-piece tubular sleeve with an internal configuration designed to support, secure and seal tubular insulation while supporting and levelling copper tubing in strut-mounted suspension devices and drop hangers. With Klo-Shure there's no need to double-wrap, glue and tape insulation and insulating copper tubing for refrigerant lines is faster. A patented clamp allows sections of closed-cell insulation to be secured at fixing points.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Pump House 7 insulation wall clamp 3/4 inner diameter 3/4,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/54/34/NW-695426_695434_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Pump_House_Klo-Shure_Installation.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/_d/wg/Pump_House_Klo-Shure_Line_DWG.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/20/16/Pump_House_Catalogue_2016.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Pump_House_Klo-Shure_Technical.pdf,,,,,
51,P606922,Daikin FXNQ32A R410A Low Level Indoor Vrv Chassis Unit 32 Class,Daikin,902.0,"Designed for concealed installation inside walls, the Daikin VRV indoor floor-standing air conditioning unit blends discreetly into its surrounding with only its suction and discharge grilles on show, ideal for those settings where space is limited.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin FXNQ32A R410A Low Level Indoor Vrv Chassis Unit 32 Class,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/69/24/NW-606920_606924_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_FXNQ-A_4PEN323720-1E_Install.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ti/on/Daikin_FXNQ_A_RoHS_Declaration.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ta/ll/Daikin_FXNQ-A_4PEN393318-1C_Install.pdf,,,,,,,,,,,,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/ic/al/Daikin_FXNQ_Technical.pdf,,,
52,P611294,Daikin 5006319 Compressor 2.2KW,Daikin,2148.56,A Daikin JT1G-VDYR@B2 2.2kW compressor for use in air conditioning systems.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 5006319 Compressor 2.2KW,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/12/94/NW-611294_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/hu/re/Daikin_Brochure.pdf,,,,,,,,,,,,,,,,,,,,,
53,P604942,Daikin 5014090 Propeller Fan (P47N11F),Daikin,79.82,This Daikin P47N11F propeller fan is a replacement part for use in air conditioning units.,Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin 5014090 Propeller Fan (P47N11F),,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/49/42/NW-604942_wm.jpg,,,,N,5014090,Fan Propeller,N,,,,,,,,,,,,,,,
54,P605934,Daikin BRP069B42 Wi-Fi Adaptor For Splits,Daikin,81.0,"The Daikin Wi-Fi adapter for FTXZ-N and FVXM-F allows for app-based remote control of your air conditioning from any location, improving comfort.",Parts and Spares/sub_categories/Cooling Parts/sub_categories/Air Conditioning Parts/Air Conditioning Parts.csv -> Daikin BRP069B42 Wi-Fi Adaptor For Splits,,,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/wol-web-proof-medium-w/std.lang.all/59/34/NW-605934_wm.jpg,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_2/Daikin_BRP069B42_Installation_2.pdf,https://www.wolseley.co.uk/wcsstore/ExtendedSitesCatalogAssetStore/images/products/AssetPush/DTP_AssetPushHighRes/std.lang.all/on/_1/Daikin_BRP069B42_Installation_1.pdf,,,,,,,,,,,,,,,,,,,,
